日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000548,湖南投资,4.59,4.59,4.49,4.51,4.45,0.14,3.1461,4451710,20260132.06
2019-06-28,'000548,湖南投资,4.45,4.55,4.42,4.54,4.55,-0.1,-2.1978,3583500,16024092.0
2019-06-27,'000548,湖南投资,4.55,4.63,4.52,4.58,4.58,-0.03,-0.655,3476036,15891224.08
2019-06-26,'000548,湖南投资,4.58,4.63,4.52,4.57,4.57,0.01,0.2188,3002301,13783469.85
2019-06-25,'000548,湖南投资,4.57,4.66,4.5,4.64,4.66,-0.09,-1.9313,3660614,16727083.69
2019-06-24,'000548,湖南投资,4.66,4.72,4.6,4.66,4.67,-0.01,-0.2141,4288514,19906903.78
2019-06-21,'000548,湖南投资,4.67,4.78,4.62,4.63,4.6,0.07,1.5217,7151144,33530730.1
2019-06-20,'000548,湖南投资,4.6,4.61,4.5,4.54,4.54,0.06,1.3216,4832549,22073582.64
2019-06-19,'000548,湖南投资,4.54,4.63,4.53,4.62,4.53,0.01,0.2208,3519962,16089623.72
2019-06-18,'000548,湖南投资,4.53,4.57,4.45,4.45,4.46,0.07,1.5695,2680879,12110540.82
2019-06-17,'000548,湖南投资,4.46,4.49,4.41,4.45,4.43,0.03,0.6772,2031600,9064635.0
2019-06-14,'000548,湖南投资,4.43,4.53,4.4,4.48,4.5,-0.07,-1.5556,2175700,9708210.0
2019-06-13,'000548,湖南投资,4.5,4.55,4.43,4.45,4.47,0.03,0.6711,2984896,13429702.0
2019-06-12,'000548,湖南投资,4.47,4.56,4.43,4.49,4.51,-0.04,-0.8869,3405647,15308755.55
2019-06-11,'000548,湖南投资,4.51,4.51,4.35,4.37,4.38,0.13,2.968,3900637,17391210.1
2019-06-10,'000548,湖南投资,4.38,4.39,4.28,4.31,4.31,0.07,1.6241,2789691,12101433.27
2019-06-06,'000548,湖南投资,4.31,4.38,4.27,4.35,4.32,-0.01,-0.2315,3207899,13849950.69
2019-06-05,'000548,湖南投资,4.32,4.4,4.32,4.37,4.34,-0.02,-0.4608,2485728,10866409.12
2019-06-04,'000548,湖南投资,4.34,4.46,4.32,4.44,4.46,-0.12,-2.6906,3710743,16223995.79
2019-06-03,'000548,湖南投资,4.46,4.54,4.43,4.51,4.5,-0.04,-0.8889,3562821,15959485.87
2019-05-31,'000548,湖南投资,4.5,4.57,4.45,4.54,4.54,-0.04,-0.8811,3031374,13694301.26
2019-05-30,'000548,湖南投资,4.54,4.56,4.49,4.52,4.54,0.0,0.0,3016489,13645626.55
2019-05-29,'000548,湖南投资,4.54,4.61,4.54,4.59,4.59,-0.05,-1.0893,3485260,15916265.6
2019-05-28,'000548,湖南投资,4.61,4.69,4.57,4.62,4.66,-0.05,-1.073,4512517,20906835.66
2019-05-27,'000548,湖南投资,4.66,4.7,4.5,4.52,4.51,0.15,3.3259,5380403,24899482.86
2019-05-24,'000548,湖南投资,4.51,4.61,4.49,4.52,4.61,-0.1,-2.1692,4131789,18742131.96
2019-05-23,'000548,湖南投资,4.61,4.8,4.56,4.69,4.66,-0.05,-1.073,7361130,34596472.15
2019-05-22,'000548,湖南投资,4.66,4.69,4.55,4.64,4.65,0.01,0.2151,3554369,16442061.16
2019-05-21,'000548,湖南投资,4.65,4.68,4.55,4.59,4.59,0.06,1.3072,3420646,15822249.7
2019-05-20,'000548,湖南投资,4.59,4.62,4.46,4.57,4.57,0.02,0.4376,3046579,13831026.35
