ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2007-04-26,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-25,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-24,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-23,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-20,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-19,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-18,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-17,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-16,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-13,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-12,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-11,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-10,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-09,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
2007-04-06,'000549,S Ïæ»ð¾æ,0.0,0.0,0.0,0.0,8.9,None,None,0,0.0
