日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000550,江铃汽车,19.42,19.75,19.31,19.31,19.39,0.03,0.1547,4177096,81540876.56
2019-06-28,'000550,江铃汽车,19.39,19.5,19.06,19.26,19.26,0.13,0.675,3116394,60167853.24
2019-06-27,'000550,江铃汽车,19.26,19.53,18.99,19.32,19.25,0.01,0.0519,4638383,89421672.45
2019-06-26,'000550,江铃汽车,19.25,19.77,19.2,19.77,19.62,-0.37,-1.8858,3163824,61545993.33
2019-06-25,'000550,江铃汽车,19.62,20.21,19.22,20.12,20.17,-0.55,-2.7268,2986924,58735173.27
2019-06-24,'000550,江铃汽车,20.17,20.22,19.83,20.06,19.97,0.2,1.0015,4210301,84393519.21
2019-06-21,'000550,江铃汽车,19.97,20.57,19.7,20.28,20.39,-0.42,-2.0598,5792743,115599478.13
2019-06-20,'000550,江铃汽车,20.39,20.75,19.86,19.99,19.93,0.46,2.3081,3734042,75942060.65
2019-06-19,'000550,江铃汽车,19.93,20.68,19.93,20.42,20.11,-0.18,-0.8951,2416096,48995061.82
2019-06-18,'000550,江铃汽车,20.11,20.82,20.11,20.38,20.23,-0.12,-0.5932,3937094,80389455.31
2019-06-17,'000550,江铃汽车,20.23,21.53,20.23,21.5,22.0,-1.77,-8.0455,4101509,85061939.78
2019-06-14,'000550,江铃汽车,22.0,22.87,20.53,22.16,22.18,-0.18,-0.8115,5434054,116217376.68
2019-06-13,'000550,江铃汽车,22.18,22.8,21.68,22.02,22.5,-0.32,-1.4222,3411262,74955409.26
2019-06-12,'000550,江铃汽车,22.5,23.39,21.88,23.32,23.7,-1.2,-5.0633,3493821,78447742.72
2019-06-11,'000550,江铃汽车,23.7,23.84,22.94,23.7,23.05,0.65,2.82,3620677,84143409.07
2019-06-10,'000550,江铃汽车,23.05,23.7,23.0,23.05,23.31,-0.26,-1.1154,1765488,41261746.2
2019-06-06,'000550,江铃汽车,23.31,23.75,22.1,23.0,23.7,-0.39,-1.6456,3370885,77540144.61
2019-06-05,'000550,江铃汽车,23.7,25.35,23.52,25.0,25.29,-1.59,-6.2871,4392367,106042210.48
2019-06-04,'000550,江铃汽车,25.29,26.87,24.82,26.87,26.83,-1.54,-5.7398,2954674,74851556.54
2019-06-03,'000550,江铃汽车,26.83,28.0,26.71,27.8,27.9,-1.07,-3.8351,2951396,80686286.72
2019-05-31,'000550,江铃汽车,27.9,28.5,26.92,27.5,27.63,0.27,0.9772,4569836,126218811.19
2019-05-30,'000550,江铃汽车,27.63,28.06,26.2,27.58,27.64,-0.01,-0.0362,4611533,123923206.11
2019-05-29,'000550,江铃汽车,27.64,27.95,27.2,27.5,27.64,0.0,0.0,2705728,74637536.12
2019-05-28,'000550,江铃汽车,27.64,28.29,25.5,25.8,25.77,1.87,7.2565,3518618,95515119.89
2019-05-27,'000550,江铃汽车,25.77,26.08,24.6,25.43,25.47,0.3,1.1779,1791495,45503332.56
2019-05-24,'000550,江铃汽车,25.47,25.7,24.4,25.3,25.5,-0.03,-0.1176,2735564,68454740.56
2019-05-23,'000550,江铃汽车,25.5,26.35,24.18,26.12,26.24,-0.74,-2.8201,2537800,63951569.0
2019-05-22,'000550,江铃汽车,26.24,26.32,25.65,26.29,26.29,-0.05,-0.1902,1510021,39319505.81
2019-05-21,'000550,江铃汽车,26.29,26.3,24.71,24.77,25.04,1.25,4.992,2492961,64069681.09
2019-05-20,'000550,江铃汽车,25.04,25.15,22.61,24.21,24.66,0.38,1.541,3339373,81773228.34
2019-05-17,'000550,江铃汽车,24.66,25.05,23.75,24.99,24.92,-0.26,-1.0433,2226224,53800822.8
2019-05-16,'000550,江铃汽车,24.92,25.4,24.46,25.4,25.1,-0.18,-0.7171,1570556,39139521.6
2019-05-15,'000550,江铃汽车,25.1,25.54,24.77,25.23,24.87,0.23,0.9248,1760867,44118494.9
2019-05-14,'000550,江铃汽车,24.87,25.5,24.82,25.45,25.46,-0.59,-2.3174,1715212,42942555.84
2019-05-13,'000550,江铃汽车,25.46,25.79,24.71,25.3,25.4,0.06,0.2362,3015234,76294091.86
2019-05-10,'000550,江铃汽车,25.4,25.98,24.14,25.62,25.62,-0.22,-0.8587,2096157,52932864.5
2019-05-09,'000550,江铃汽车,25.62,26.39,25.03,26.0,26.43,-0.81,-3.0647,2504303,64234510.74
2019-05-08,'000550,江铃汽车,26.43,26.58,24.5,24.99,25.33,1.1,4.3427,4261024,110271489.67
2019-05-07,'000550,江铃汽车,25.33,25.35,23.41,23.9,24.17,1.16,4.7993,3975067,97757187.67
2019-05-06,'000550,江铃汽车,24.17,26.39,24.17,26.39,26.86,-2.69,-10.0149,6078653,147909793.45
2019-04-30,'000550,江铃汽车,26.86,26.95,25.15,26.08,26.1,0.76,2.9119,2431222,63580925.24
2019-04-29,'000550,江铃汽车,26.1,27.31,26.05,26.85,27.1,-1.0,-3.69,2046369,54499752.46
2019-04-26,'000550,江铃汽车,27.1,27.72,25.72,27.5,27.34,-0.24,-0.8778,3450066,91938908.96
2019-04-25,'000550,江铃汽车,27.34,28.38,27.12,27.85,28.3,-0.96,-3.3922,4341553,119975545.14
2019-04-24,'000550,江铃汽车,28.3,28.33,26.55,26.55,26.95,1.35,5.0093,6916011,188084821.9
2019-04-23,'000550,江铃汽车,26.95,27.5,26.48,26.88,26.8,0.15,0.5597,4723992,127233646.89
2019-04-22,'000550,江铃汽车,26.8,27.82,26.53,27.3,27.56,-0.76,-2.7576,5714100,154299593.02
2019-04-19,'000550,江铃汽车,27.56,27.88,26.52,27.81,27.5,0.06,0.2182,3406992,92808763.51
2019-04-18,'000550,江铃汽车,27.5,29.23,27.5,28.83,29.05,-1.55,-5.3356,4919307,138782082.71
2019-04-17,'000550,江铃汽车,29.05,29.35,26.51,27.43,28.15,0.9,3.1972,6674226,188193650.95
2019-04-16,'000550,江铃汽车,28.15,29.06,25.47,27.3,27.95,0.2,0.7156,8044834,213548780.66
2019-04-15,'000550,江铃汽车,27.95,29.5,27.95,29.37,31.05,-3.1,-9.9839,6319234,177633402.58
2019-04-12,'000550,江铃汽车,31.05,33.48,30.5,32.17,32.0,-0.95,-2.9688,5973659,193184132.6
2019-04-11,'000550,江铃汽车,32.0,32.6,30.03,30.36,30.47,1.53,5.0213,4519002,141481136.87
2019-04-10,'000550,江铃汽车,30.47,30.6,28.03,28.9,29.38,1.09,3.71,4131330,121794480.75
