日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000551,创元科技,7.13,7.33,6.85,6.9,6.73,0.4,5.9435,11312360,79615120.61
2019-06-28,'000551,创元科技,6.73,6.86,6.65,6.86,6.86,-0.13,-1.895,3389991,22869977.56
2019-06-27,'000551,创元科技,6.86,6.9,6.72,6.78,6.73,0.13,1.9316,5177692,35486052.6
2019-06-26,'000551,创元科技,6.73,6.84,6.71,6.8,6.78,-0.05,-0.7375,3194301,21645295.32
2019-06-25,'000551,创元科技,6.78,6.88,6.68,6.88,6.85,-0.07,-1.0219,4097746,27727614.66
2019-06-24,'000551,创元科技,6.85,6.94,6.79,6.85,6.86,-0.01,-0.1458,4521047,30978870.82
2019-06-21,'000551,创元科技,6.86,6.88,6.68,6.69,6.68,0.18,2.6946,6401200,43544918.51
2019-06-20,'000551,创元科技,6.68,6.73,6.51,6.51,6.52,0.16,2.454,5903419,39198126.17
2019-06-19,'000551,创元科技,6.52,6.6,6.5,6.54,6.4,0.12,1.875,4347979,28481289.69
2019-06-18,'000551,创元科技,6.4,6.45,6.3,6.38,6.38,0.02,0.3135,2333924,14932695.06
2019-06-17,'000551,创元科技,6.38,6.45,6.34,6.4,6.4,-0.02,-0.3125,2271430,14514126.8
2019-06-14,'000551,创元科技,6.4,6.68,6.4,6.64,6.63,-0.23,-3.4691,4674501,30558553.46
2019-06-13,'000551,创元科技,6.63,6.65,6.45,6.58,6.53,0.1,1.5314,5135164,33714036.39
2019-06-12,'000551,创元科技,6.53,6.72,6.48,6.55,6.54,-0.01,-0.1529,6079522,40102734.27
2019-06-11,'000551,创元科技,6.54,6.55,6.3,6.3,6.27,0.27,4.3062,6020022,38926693.12
2019-06-10,'000551,创元科技,6.27,6.33,6.07,6.22,6.2,0.07,1.129,3627401,22656320.27
2019-06-06,'000551,创元科技,6.2,6.39,6.2,6.35,6.33,-0.13,-2.0537,4024922,25304212.62
2019-06-05,'000551,创元科技,6.33,6.47,6.29,6.44,6.39,-0.06,-0.939,4373311,27972384.41
2019-06-04,'000551,创元科技,6.39,6.55,6.26,6.54,6.57,-0.18,-2.7397,5352500,34283127.74
2019-06-03,'000551,创元科技,6.57,6.77,6.43,6.76,6.73,-0.16,-2.3774,7331496,48255508.4
2019-05-31,'000551,创元科技,6.73,6.87,6.7,6.82,6.78,-0.05,-0.7375,5062631,34333266.01
2019-05-30,'000551,创元科技,6.78,6.85,6.63,6.85,6.86,-0.08,-1.1662,4853301,32712385.96
2019-05-29,'000551,创元科技,6.86,6.95,6.83,6.87,6.86,0.0,0.0,5018419,34583019.94
2019-05-28,'000551,创元科技,6.86,7.01,6.82,6.87,6.88,-0.02,-0.2907,5490123,37975681.96
2019-05-27,'000551,创元科技,6.88,6.89,6.64,6.64,6.67,0.21,3.1484,4048407,27515355.35
2019-05-24,'000551,创元科技,6.67,6.76,6.58,6.7,6.73,-0.06,-0.8915,4100458,27394142.66
2019-05-23,'000551,创元科技,6.73,6.82,6.65,6.8,6.82,-0.09,-1.3196,4262926,28715189.24
2019-05-22,'000551,创元科技,6.82,6.97,6.75,6.93,6.9,-0.08,-1.1594,4907637,33675456.16
2019-05-21,'000551,创元科技,6.9,7.02,6.71,6.72,6.77,0.13,1.9202,6248057,43248215.25
2019-05-20,'000551,创元科技,6.77,6.8,6.46,6.65,6.73,0.04,0.5944,4974568,32866072.87
2019-05-17,'000551,创元科技,6.73,7.07,6.71,6.95,6.96,-0.23,-3.3046,8210632,56706368.13
2019-05-16,'000551,创元科技,6.96,7.03,6.84,6.91,6.92,0.04,0.578,6720646,46652724.94
2019-05-15,'000551,创元科技,6.92,6.94,6.73,6.74,6.69,0.23,3.438,6796141,46592072.24
2019-05-14,'000551,创元科技,6.69,6.8,6.53,6.64,6.78,-0.09,-1.3274,6029003,40317313.98
2019-05-13,'000551,创元科技,6.78,6.93,6.65,6.69,6.72,0.06,0.8929,8231777,56019082.26
2019-05-10,'000551,创元科技,6.72,6.77,6.35,6.57,6.48,0.24,3.7037,8474673,56472632.28
2019-05-09,'000551,创元科技,6.48,6.72,6.46,6.6,6.62,-0.14,-2.1148,6215800,40822553.9
2019-05-08,'000551,创元科技,6.62,6.8,6.45,6.52,6.74,-0.12,-1.7804,6017921,39981572.79
2019-05-07,'000551,创元科技,6.74,6.86,6.5,6.68,6.7,0.04,0.597,7994599,53705254.44
2019-05-06,'000551,创元科技,6.7,7.25,6.7,7.22,7.44,-0.74,-9.9462,9699400,66783553.69
2019-04-30,'000551,创元科技,7.44,7.71,7.33,7.41,7.53,-0.09,-1.1952,9953275,74827905.35
2019-04-29,'000551,创元科技,7.53,8.45,7.53,8.42,8.37,-0.84,-10.0358,19961109,154184221.68
2019-04-26,'000551,创元科技,8.37,8.69,8.1,8.14,8.23,0.14,1.7011,17777089,150424449.6
2019-04-25,'000551,创元科技,8.23,8.93,8.12,8.75,9.02,-0.79,-8.7583,22609661,194935808.68
2019-04-24,'000551,创元科技,9.02,9.2,8.01,8.11,8.61,0.41,4.7619,32648486,277876545.61
2019-04-23,'000551,创元科技,8.61,9.48,8.51,8.92,8.86,-0.25,-2.8217,46374476,422638193.59
2019-04-22,'000551,创元科技,8.86,8.86,8.78,8.78,8.05,0.81,10.0621,9702828,85873360.12
2019-04-19,'000551,创元科技,8.05,8.05,7.78,7.85,7.88,0.17,2.1574,4773147,37770800.77
2019-04-18,'000551,创元科技,7.88,8.06,7.85,8.01,8.01,-0.13,-1.623,4192194,33334686.96
2019-04-17,'000551,创元科技,8.01,8.16,7.9,7.96,7.96,0.05,0.6281,5831507,46914142.58
2019-04-16,'000551,创元科技,7.96,7.96,7.7,7.76,7.83,0.13,1.6603,5048764,39543936.11
2019-04-15,'000551,创元科技,7.83,8.07,7.82,8.0,7.92,-0.09,-1.1364,5037950,40208958.67
2019-04-12,'000551,创元科技,7.92,8.14,7.83,8.12,8.16,-0.24,-2.9412,6752011,53758023.94
2019-04-11,'000551,创元科技,8.16,8.6,8.08,8.43,8.29,-0.13,-1.5682,12896067,107140796.25
2019-04-10,'000551,创元科技,8.29,8.45,7.87,7.98,8.01,0.28,3.4956,14924246,121875481.65
2019-04-09,'000551,创元科技,8.01,8.04,7.66,7.76,7.8,0.21,2.6923,9567540,75512378.01
2019-04-08,'000551,创元科技,7.8,7.89,7.5,7.8,7.75,0.05,0.6452,7980726,61676295.65
2019-04-04,'000551,创元科技,7.75,7.88,7.73,7.77,7.77,-0.02,-0.2574,6602580,51591406.46
2019-04-03,'000551,创元科技,7.77,7.81,7.6,7.77,7.77,0.0,0.0,6395158,49289228.37
2019-04-02,'000551,创元科技,7.77,7.77,7.62,7.72,7.65,0.12,1.5686,7569285,58198031.47
2019-04-01,'000551,创元科技,7.65,7.7,7.4,7.45,7.43,0.22,2.961,7870356,59685057.26
2019-03-29,'000551,创元科技,7.43,7.49,7.15,7.24,7.25,0.18,2.4828,5837927,42921090.1
2019-03-28,'000551,创元科技,7.25,7.44,7.24,7.34,7.36,-0.11,-1.4946,3902314,28647719.14
2019-03-27,'000551,创元科技,7.36,7.41,7.15,7.38,7.3,0.06,0.8219,5268487,38358517.9
2019-03-26,'000551,创元科技,7.3,7.68,7.29,7.68,7.55,-0.25,-3.3113,6014788,44699259.37
2019-03-25,'000551,创元科技,7.55,7.88,7.48,7.52,7.65,-0.1,-1.3072,9969391,76817026.06
2019-03-22,'000551,创元科技,7.65,7.92,7.3,7.39,7.36,0.29,3.9402,11244201,85444404.47
2019-03-21,'000551,创元科技,7.36,7.42,7.17,7.17,7.2,0.16,2.2222,7573777,55528796.41
2019-03-20,'000551,创元科技,7.2,7.31,7.09,7.28,7.26,-0.06,-0.8264,6298230,45360574.46
2019-03-19,'000551,创元科技,7.26,7.28,7.15,7.25,7.22,0.04,0.554,4963751,35878096.76
2019-03-18,'000551,创元科技,7.22,7.23,7.07,7.14,7.05,0.17,2.4113,4998633,35839025.85
2019-03-15,'000551,创元科技,7.05,7.1,6.9,6.92,6.9,0.15,2.1739,5665387,39770117.53
2019-03-14,'000551,创元科技,6.9,7.16,6.76,7.04,7.16,-0.26,-3.6313,6811274,47276033.8
2019-03-13,'000551,创元科技,7.16,7.41,7.12,7.32,7.32,-0.16,-2.1858,8362400,60646491.45
2019-03-12,'000551,创元科技,7.32,7.51,7.22,7.37,7.39,-0.07,-0.9472,12388661,91006406.81
2019-03-11,'000551,创元科技,7.39,7.42,6.88,6.88,6.86,0.53,7.7259,10983503,78612165.02
2019-03-08,'000551,创元科技,6.86,7.15,6.85,7.1,7.2,-0.34,-4.7222,9915682,69763255.47
2019-03-07,'000551,创元科技,7.2,7.49,7.12,7.49,7.05,0.15,2.1277,10866763,79182173.26
2019-03-06,'000551,创元科技,7.05,7.1,6.94,7.02,6.98,0.07,1.0029,6731211,47271586.68
2019-03-05,'000551,创元科技,6.98,7.0,6.81,6.82,6.84,0.14,2.0468,6055015,41768993.04
2019-03-04,'000551,创元科技,6.84,6.95,6.82,6.85,6.79,0.05,0.7364,8428374,58017716.93
2019-03-01,'000551,创元科技,6.79,6.82,6.7,6.78,6.76,0.03,0.4438,4142255,28053881.99
2019-02-28,'000551,创元科技,6.76,6.86,6.7,6.7,6.72,0.04,0.5952,4547651,30795795.41
2019-02-27,'000551,创元科技,6.72,6.87,6.65,6.7,6.7,0.02,0.2985,6122450,41395266.57
2019-02-26,'000551,创元科技,6.7,6.9,6.68,6.71,6.76,-0.06,-0.8876,9060923,61448281.77
2019-02-25,'000551,创元科技,6.76,6.78,6.52,6.52,6.51,0.25,3.8402,9933650,66320813.03
2019-02-22,'000551,创元科技,6.51,6.58,6.33,6.4,6.4,0.11,1.7188,5220178,33686356.5
2019-02-21,'000551,创元科技,6.4,6.56,6.36,6.4,6.41,-0.01,-0.156,4462002,28744586.71
2019-02-20,'000551,创元科技,6.41,6.43,6.33,6.39,6.39,0.02,0.313,3341136,21308546.9
2019-02-19,'000551,创元科技,6.39,6.45,6.31,6.43,6.42,-0.03,-0.4673,4744844,30281081.25
2019-02-18,'000551,创元科技,6.42,6.43,6.24,6.28,6.28,0.14,2.2293,5661547,36031838.29
2019-02-15,'000551,创元科技,6.28,6.48,6.16,6.19,6.2,0.08,1.2903,6629128,41844891.27
2019-02-14,'000551,创元科技,6.2,6.23,6.15,6.17,6.21,-0.01,-0.161,3041138,18841193.61
2019-02-13,'000551,创元科技,6.21,6.22,6.08,6.08,6.08,0.13,2.1382,3451461,21282463.69
2019-02-12,'000551,创元科技,6.08,6.13,6.02,6.05,6.05,0.03,0.4959,2668079,16218950.74
2019-02-11,'000551,创元科技,6.05,6.06,5.89,5.91,5.89,0.16,2.7165,2023174,12145815.76
2019-02-01,'000551,创元科技,5.89,5.95,5.73,5.75,5.72,0.17,2.972,2231429,13118591.67
2019-01-31,'000551,创元科技,5.72,6.02,5.7,5.8,5.78,-0.06,-1.0381,2299225,13469764.0
2019-01-30,'000551,创元科技,5.78,5.86,5.7,5.74,5.77,0.01,0.1733,1740433,10095866.22
2019-01-29,'000551,创元科技,5.77,5.91,5.68,5.89,5.89,-0.12,-2.0374,1984701,11433034.3
2019-01-28,'000551,创元科技,5.89,6.02,5.84,6.01,5.97,-0.08,-1.34,1976867,11716810.79
2019-01-25,'000551,创元科技,5.97,6.19,5.96,6.14,6.12,-0.15,-2.451,3404900,20547936.0
2019-01-24,'000551,创元科技,6.12,6.3,6.01,6.01,6.02,0.1,1.6611,4392600,27016872.63
2019-01-23,'000551,创元科技,6.02,6.05,5.94,5.98,5.98,0.04,0.6689,1728181,10375263.76
2019-01-22,'000551,创元科技,5.98,6.08,5.96,6.06,6.03,-0.05,-0.8292,2294253,13798433.87
2019-01-21,'000551,创元科技,6.03,6.12,5.99,6.11,6.03,0.0,0.0,4372506,26485308.48
2019-01-18,'000551,创元科技,6.03,6.23,5.96,6.14,6.15,-0.12,-1.9512,4715858,28820155.86
2019-01-17,'000551,创元科技,6.15,6.24,6.13,6.21,6.18,-0.03,-0.4854,2194201,13555448.15
2019-01-16,'000551,创元科技,6.18,6.35,6.17,6.23,6.27,-0.09,-1.4354,3225565,20200776.49
2019-01-15,'000551,创元科技,6.27,6.3,6.12,6.13,6.16,0.11,1.7857,4949188,30797052.56
2019-01-14,'000551,创元科技,6.16,6.28,6.12,6.25,6.29,-0.13,-2.0668,3966435,24515933.76
2019-01-11,'000551,创元科技,6.29,6.4,6.15,6.36,6.39,-0.1,-1.5649,8845553,55684503.93
2019-01-10,'000551,创元科技,6.39,6.59,5.96,5.98,5.99,0.4,6.6778,12543716,79406710.35
2019-01-09,'000551,创元科技,5.99,6.09,5.95,5.98,6.0,-0.01,-0.1667,5586279,33621626.09
2019-01-08,'000551,创元科技,6.0,6.05,5.94,5.99,5.99,0.01,0.1669,3193874,19120612.41
2019-01-07,'000551,创元科技,5.99,6.05,5.86,5.9,5.9,0.09,1.5254,5948196,35579939.53
2019-01-04,'000551,创元科技,5.9,5.92,5.45,5.52,5.55,0.35,6.3063,4769060,27367848.35
2019-01-03,'000551,创元科技,5.55,5.7,5.51,5.64,5.65,-0.1,-1.7699,2439984,13699513.56
2019-01-02,'000551,创元科技,5.65,5.88,5.6,5.85,5.81,-0.16,-2.7539,2413851,13868586.09
2018-12-28,'000551,创元科技,5.81,5.86,5.71,5.86,5.84,-0.03,-0.5137,2385857,13767553.3
2018-12-27,'000551,创元科技,5.84,5.92,5.79,5.83,5.78,0.06,1.0381,2973094,17369195.94
2018-12-26,'000551,创元科技,5.78,5.92,5.7,5.76,5.77,0.01,0.1733,3144239,18282290.64
2018-12-25,'000551,创元科技,5.77,5.8,5.48,5.66,5.68,0.09,1.5845,2496803,14077048.37
2018-12-24,'000551,创元科技,5.68,5.7,5.58,5.58,5.55,0.13,2.3423,1433949,8122325.91
2018-12-21,'000551,创元科技,5.55,5.65,5.52,5.58,5.61,-0.06,-1.0695,1212849,6785438.19
2018-12-20,'000551,创元科技,5.61,5.65,5.55,5.59,5.58,0.03,0.5376,1357696,7603197.8
2018-12-19,'000551,创元科技,5.58,5.72,5.55,5.72,5.72,-0.14,-2.4476,1958000,11003993.0
2018-12-18,'000551,创元科技,5.72,5.82,5.59,5.82,5.85,-0.13,-2.2222,2945214,16779920.66
2018-12-17,'000551,创元科技,5.85,5.89,5.61,5.76,5.76,0.09,1.5625,2978901,17150741.46
2018-12-14,'000551,创元科技,5.76,5.95,5.74,5.86,5.85,-0.09,-1.5385,3292096,19259372.24
2018-12-13,'000551,创元科技,5.85,5.9,5.76,5.8,5.77,0.08,1.3865,2189616,12798581.62
2018-12-12,'000551,创元科技,5.77,5.82,5.72,5.72,5.73,0.04,0.6981,2189600,12642621.0
2018-12-11,'000551,创元科技,5.73,5.74,5.68,5.68,5.66,0.07,1.2367,1500347,8578837.19
2018-12-10,'000551,创元科技,5.66,5.8,5.65,5.76,5.81,-0.15,-2.5818,2404455,13729949.5
2018-12-07,'000551,创元科技,5.81,5.84,5.67,5.75,5.76,0.05,0.8681,2571048,14826549.88
2018-12-06,'000551,创元科技,5.76,5.87,5.72,5.87,5.85,-0.09,-1.5385,2405196,13916955.12
2018-12-05,'000551,创元科技,5.85,5.9,5.8,5.85,5.93,-0.08,-1.3491,2953462,17294792.1
2018-12-04,'000551,创元科技,5.93,5.96,5.82,5.9,5.92,0.01,0.1689,4057519,23878778.08
2018-12-03,'000551,创元科技,5.92,6.03,5.83,5.84,5.66,0.26,4.5936,5581736,33074634.81
