ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000553,°²µÀÂóA,10.94,10.97,10.82,10.96,10.72,0.22,2.0522,3029100,33069998.0
2019-06-28,'000553,°²µÀÂóA,10.72,10.97,10.53,10.95,10.87,-0.15,-1.3799,2835247,30332536.54
2019-06-27,'000553,°²µÀÂóA,10.87,11.15,10.83,10.97,10.98,-0.11,-1.0018,3544588,38896564.28
2019-06-26,'000553,°²µÀÂóA,10.98,11.1,10.92,11.01,11.04,-0.06,-0.5435,1420402,15634875.32
2019-06-25,'000553,°²µÀÂóA,11.04,11.35,10.94,11.35,11.35,-0.31,-2.7313,3214491,35622036.97
2019-06-24,'000553,°²µÀÂóA,11.35,11.38,11.16,11.27,11.24,0.11,0.9786,3382570,38204145.13
2019-06-21,'000553,°²µÀÂóA,11.24,11.34,11.16,11.2,11.15,0.09,0.8072,3713694,41697546.67
2019-06-20,'000553,°²µÀÂóA,11.15,11.24,10.93,11.15,11.09,0.06,0.541,3390877,37559905.97
2019-06-19,'000553,°²µÀÂóA,11.09,11.27,11.07,11.21,11.02,0.07,0.6352,3071215,34266866.43
2019-06-18,'000553,°²µÀÂóA,11.02,11.15,10.97,11.01,11.04,-0.02,-0.1812,1763146,19441706.68
2019-06-17,'000553,°²µÀÂóA,11.04,11.29,10.96,11.21,11.21,-0.17,-1.5165,2960374,32844519.37
2019-06-14,'000553,°²µÀÂóA,11.21,11.38,11.1,11.25,11.17,0.04,0.3581,4398305,49419993.91
2019-06-13,'000553,°²µÀÂóA,11.17,11.35,11.05,11.35,11.32,-0.15,-1.3251,4197147,46877798.56
2019-06-12,'000553,°²µÀÂóA,11.32,11.5,11.24,11.5,11.54,-0.22,-1.9064,5627874,63806227.21
2019-06-11,'000553,°²µÀÂóA,11.54,11.56,11.2,11.26,11.25,0.29,2.5778,6754612,77159482.66
2019-06-10,'000553,°²µÀÂóA,11.25,11.34,11.11,11.28,11.28,-0.03,-0.266,4553959,51130643.82
2019-06-06,'000553,°²µÀÂóA,11.28,11.66,11.1,11.19,11.18,0.1,0.8945,7368834,84037126.63
2019-06-05,'000553,°²µÀÂóA,11.18,11.47,11.0,11.24,11.1,0.08,0.7207,7809097,87871478.55
2019-06-04,'000553,°²µÀÂóA,11.1,11.1,10.63,10.79,10.72,0.38,3.5448,5699379,62035546.21
