日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000554,泰山石油,6.11,6.12,5.97,6.06,5.98,0.13,2.1739,11101230,67302970.09
2019-06-28,'000554,泰山石油,5.98,6.1,5.92,6.06,6.07,-0.09,-1.4827,9191900,54932953.21
2019-06-27,'000554,泰山石油,6.07,6.2,6.05,6.19,6.18,-0.11,-1.7799,14708445,89944500.26
2019-06-26,'000554,泰山石油,6.18,6.24,5.93,5.98,6.0,0.18,3.0,21386835,131426547.92
2019-06-25,'000554,泰山石油,6.0,6.09,5.87,6.09,6.11,-0.11,-1.8003,11621050,69579616.99
2019-06-24,'000554,泰山石油,6.11,6.12,6.01,6.05,6.07,0.04,0.659,10053839,61127704.45
2019-06-21,'000554,泰山石油,6.07,6.15,5.98,6.08,5.99,0.08,1.3356,16399875,99409010.68
2019-06-20,'000554,泰山石油,5.99,6.0,5.79,5.83,5.84,0.15,2.5685,11724618,69413950.47
2019-06-19,'000554,泰山石油,5.84,5.91,5.82,5.86,5.76,0.08,1.3889,5764816,33799525.64
2019-06-18,'000554,泰山石油,5.76,5.82,5.74,5.8,5.8,-0.04,-0.6897,3235650,18672588.0
2019-06-17,'000554,泰山石油,5.8,5.85,5.75,5.8,5.84,-0.04,-0.6849,3905295,22676377.1
2019-06-14,'000554,泰山石油,5.84,5.96,5.8,5.96,6.06,-0.22,-3.6304,10188454,60093279.15
2019-06-13,'000554,泰山石油,6.06,6.06,5.75,5.87,5.87,0.19,3.2368,14484348,85563946.77
2019-06-12,'000554,泰山石油,5.87,5.95,5.86,5.9,5.91,-0.04,-0.6768,8235851,48602719.5
2019-06-11,'000554,泰山石油,5.91,5.93,5.73,5.76,5.77,0.14,2.4263,8658803,50724334.44
2019-06-10,'000554,泰山石油,5.77,5.82,5.67,5.72,5.72,0.05,0.8741,5245428,30163839.2
2019-06-06,'000554,泰山石油,5.72,5.82,5.65,5.77,5.83,-0.11,-1.8868,5845711,33481804.7
2019-06-05,'000554,泰山石油,5.83,5.94,5.82,5.87,5.85,-0.02,-0.3419,6395400,37589154.0
2019-06-04,'000554,泰山石油,5.85,5.86,5.71,5.86,5.82,0.03,0.5155,5055100,29275958.0
2019-06-03,'000554,泰山石油,5.82,6.06,5.8,6.06,6.05,-0.23,-3.8017,10891144,63901662.96
2019-05-31,'000554,泰山石油,6.05,6.24,6.05,6.09,6.2,-0.15,-2.4194,14733146,90073560.59
2019-05-30,'000554,泰山石油,6.2,6.32,5.88,5.88,5.92,0.28,4.7297,24153392,147916772.97
2019-05-29,'000554,泰山石油,5.92,6.12,5.76,5.83,5.84,0.08,1.3699,10725595,63613762.27
2019-05-28,'000554,泰山石油,5.84,5.91,5.78,5.81,5.78,0.06,1.0381,6915183,40475944.16
2019-05-27,'000554,泰山石油,5.78,5.81,5.64,5.68,5.64,0.14,2.4823,5239752,30075209.52
2019-05-24,'000554,泰山石油,5.64,5.72,5.61,5.64,5.67,-0.03,-0.5291,5192210,29423727.72
2019-05-23,'000554,泰山石油,5.67,5.95,5.65,5.93,5.98,-0.31,-5.1839,9453401,54705537.82
2019-05-22,'000554,泰山石油,5.98,6.09,5.93,6.08,6.08,-0.1,-1.6447,6515243,39205209.99
2019-05-21,'000554,泰山石油,6.08,6.11,5.96,6.01,6.03,0.05,0.8292,6955135,42129465.58
2019-05-20,'000554,泰山石油,6.03,6.04,5.86,5.89,5.91,0.12,2.0305,6785086,40481359.35
2019-05-17,'000554,泰山石油,5.91,6.25,5.88,6.25,6.24,-0.33,-5.2885,11935863,72061655.54
2019-05-16,'000554,泰山石油,6.24,6.24,6.08,6.14,6.14,0.1,1.6287,11237611,69192263.72
2019-05-15,'000554,泰山石油,6.14,6.17,6.03,6.08,6.02,0.12,1.9934,8666341,53028851.02
2019-05-14,'000554,泰山石油,6.02,6.11,5.98,6.01,6.15,-0.13,-2.1138,7332600,44294213.0
2019-05-13,'000554,泰山石油,6.15,6.3,6.01,6.02,6.13,0.02,0.3263,10459098,64372341.52
2019-05-10,'000554,泰山石油,6.13,6.2,5.86,6.03,5.94,0.19,3.1987,12500798,75699687.76
2019-05-09,'000554,泰山石油,5.94,6.06,5.85,5.95,6.04,-0.1,-1.6556,6614600,39432477.0
2019-05-08,'000554,泰山石油,6.04,6.23,5.65,5.77,5.94,0.1,1.6835,9167680,55129834.2
2019-05-07,'000554,泰山石油,5.94,6.04,5.81,5.94,5.87,0.07,1.1925,6571401,38996145.81
2019-05-06,'000554,泰山石油,5.87,6.24,5.87,6.18,6.52,-0.65,-9.9693,14162610,85183374.82
2019-04-30,'000554,泰山石油,6.52,6.55,6.38,6.41,6.36,0.16,2.5157,6241900,40513029.0
2019-04-29,'000554,泰山石油,6.36,6.65,6.32,6.54,6.55,-0.19,-2.9008,9258256,60267550.17
2019-04-26,'000554,泰山石油,6.55,6.62,6.42,6.58,6.58,-0.03,-0.4559,9463798,61712986.68
2019-04-25,'000554,泰山石油,6.58,6.87,6.57,6.86,6.89,-0.31,-4.4993,15142610,101454243.42
2019-04-24,'000554,泰山石油,6.89,7.09,6.71,7.02,7.06,-0.17,-2.4079,19326113,132430609.95
2019-04-23,'000554,泰山石油,7.06,7.55,7.01,7.37,7.34,-0.28,-3.8147,23840858,172910336.02
2019-04-22,'000554,泰山石油,7.34,7.65,7.21,7.21,7.17,0.17,2.371,31006783,229309828.85
2019-04-19,'000554,泰山石油,7.17,7.35,7.1,7.18,7.15,0.02,0.2797,18107851,130811431.06
2019-04-18,'000554,泰山石油,7.15,7.5,7.15,7.41,7.56,-0.41,-5.4233,21128113,154784151.85
2019-04-17,'000554,泰山石油,7.56,7.58,7.16,7.23,7.26,0.3,4.1322,32175271,237535514.51
2019-04-16,'000554,泰山石油,7.26,7.28,6.92,7.01,7.1,0.16,2.2535,20788728,148195699.98
2019-04-15,'000554,泰山石油,7.1,7.34,6.98,7.1,7.16,-0.06,-0.838,25252635,180445162.02
2019-04-12,'000554,泰山石油,7.16,7.4,6.86,6.86,6.91,0.25,3.6179,28268697,203815311.51
2019-04-11,'000554,泰山石油,6.91,7.04,6.81,6.96,6.96,-0.05,-0.7184,14772690,102462510.79
2019-04-10,'000554,泰山石油,6.96,7.08,6.85,7.07,7.17,-0.21,-2.9289,17131943,119120078.75
2019-04-09,'000554,泰山石油,7.17,7.6,7.14,7.6,7.34,-0.17,-2.3161,26129988,191049068.35
2019-04-08,'000554,泰山石油,7.34,7.38,7.0,7.14,7.08,0.26,3.6723,35645010,257654275.47
2019-04-04,'000554,泰山石油,7.08,7.3,6.86,7.04,7.05,0.03,0.4255,26171798,183392889.48
2019-04-03,'000554,泰山石油,7.05,7.16,6.75,6.77,6.82,0.23,3.3724,27547258,191945332.78
2019-04-02,'000554,泰山石油,6.82,6.97,6.76,6.79,6.78,0.04,0.59,21865558,149882502.14
2019-04-01,'000554,泰山石油,6.78,6.8,6.5,6.56,6.56,0.22,3.3537,19741115,132525626.12
2019-03-29,'000554,泰山石油,6.56,6.58,6.3,6.53,6.47,0.09,1.391,15374276,99357351.23
2019-03-28,'000554,泰山石油,6.47,6.75,6.44,6.55,6.57,-0.1,-1.5221,14763930,97690134.23
2019-03-27,'000554,泰山石油,6.57,6.62,6.43,6.45,6.37,0.2,3.1397,14539538,94831743.74
2019-03-26,'000554,泰山石油,6.37,6.69,6.36,6.66,6.62,-0.25,-3.7764,16337853,106326620.69
2019-03-25,'000554,泰山石油,6.62,6.84,6.61,6.7,6.87,-0.25,-3.639,19043642,127917989.13
2019-03-22,'000554,泰山石油,6.87,6.95,6.7,6.75,6.83,0.04,0.5857,24023734,163619084.06
2019-03-21,'000554,泰山石油,6.83,6.86,6.67,6.86,6.92,-0.09,-1.3006,30840422,208933377.45
2019-03-20,'000554,泰山石油,6.92,7.0,6.61,6.83,7.34,-0.42,-5.7221,58648945,402798053.3
2019-03-19,'000554,泰山石油,7.34,7.43,6.75,6.89,6.75,0.59,8.7407,73828950,540024984.83
2019-03-18,'000554,泰山石油,6.75,6.85,6.35,6.43,6.45,0.3,4.6512,37722175,248763486.47
2019-03-15,'000554,泰山石油,6.45,6.56,6.08,6.17,6.21,0.24,3.8647,36902416,233702986.86
2019-03-14,'000554,泰山石油,6.21,6.44,6.04,6.18,6.05,0.16,2.6446,30804538,191944810.91
2019-03-13,'000554,泰山石油,6.05,6.31,5.98,6.29,6.31,-0.26,-4.1204,23316411,143512499.61
