日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000555,神州信息,12.02,12.03,11.53,11.55,11.38,0.64,5.6239,20576673,243026525.68
2019-06-28,'000555,神州信息,11.38,11.77,11.3,11.72,11.86,-0.48,-4.0472,14537578,166879166.43
2019-06-27,'000555,神州信息,11.86,12.08,11.58,11.69,11.64,0.22,1.89,16201519,192650257.14
2019-06-26,'000555,神州信息,11.64,11.82,11.64,11.68,11.8,-0.16,-1.3559,6883900,80602020.0
2019-06-25,'000555,神州信息,11.8,12.03,11.66,11.89,11.92,-0.12,-1.0067,12080000,142626284.68
2019-06-24,'000555,神州信息,11.92,12.28,11.85,12.09,12.1,-0.18,-1.4876,12286700,147697004.0
2019-06-21,'000555,神州信息,12.1,12.21,11.93,12.04,12.04,0.06,0.4983,15244021,184204416.75
2019-06-20,'000555,神州信息,12.04,12.12,11.79,11.85,11.88,0.16,1.3468,14676164,175658128.48
2019-06-19,'000555,神州信息,11.88,12.14,11.83,12.0,11.7,0.18,1.5385,17471054,209654318.89
2019-06-18,'000555,神州信息,11.7,11.94,11.6,11.8,11.81,-0.11,-0.9314,9383084,109952349.68
2019-06-17,'000555,神州信息,11.81,11.98,11.43,11.5,11.45,0.36,3.1441,14814310,174748429.56
2019-06-14,'000555,神州信息,11.45,12.08,11.42,11.99,11.8,-0.35,-2.9661,10676656,125273066.34
2019-06-13,'000555,神州信息,11.8,11.93,11.51,11.55,11.62,0.18,1.5491,14378446,169608390.6
2019-06-12,'000555,神州信息,11.62,11.81,11.5,11.67,11.78,-0.16,-1.3582,13643976,158990487.2
2019-06-11,'000555,神州信息,11.78,11.83,11.15,11.28,11.24,0.54,4.8043,16742510,192950423.27
2019-06-10,'000555,神州信息,11.27,11.87,10.83,10.94,10.79,0.48,4.4486,11324700,128082195.4
2019-06-06,'000555,神州信息,10.79,11.28,10.7,11.21,11.25,-0.46,-4.0889,9889040,108088159.8
2019-06-05,'000555,神州信息,11.25,11.48,11.17,11.42,11.25,0.0,0.0,6942899,78591705.66
2019-06-04,'000555,神州信息,11.25,11.42,11.11,11.3,11.28,-0.03,-0.266,7798673,88064160.71
2019-06-03,'000555,神州信息,11.28,11.66,11.15,11.55,11.5,-0.22,-1.913,11126002,126577519.66
2019-05-31,'000555,神州信息,11.5,11.95,11.47,11.7,11.74,-0.24,-2.0443,11722212,136771027.76
2019-05-30,'000555,神州信息,11.74,11.95,11.61,11.95,11.95,-0.21,-1.7573,11269645,132249152.8
2019-05-29,'000555,神州信息,11.95,12.17,11.75,11.85,11.92,0.03,0.2517,13277525,159334999.84
2019-05-28,'000555,神州信息,11.92,12.28,11.82,12.0,11.82,0.1,0.846,19941593,240411926.57
2019-05-27,'000555,神州信息,11.82,11.88,11.27,11.49,11.32,0.5,4.417,14025178,162935551.54
2019-05-24,'000555,神州信息,11.32,11.63,11.25,11.31,11.54,-0.22,-1.9064,11113504,127056613.3
2019-05-23,'000555,神州信息,11.54,12.15,11.5,12.14,12.07,-0.53,-4.3911,17929618,210842906.3
2019-05-22,'000555,神州信息,12.07,12.35,11.72,11.72,11.67,0.4,3.4276,25320604,304721626.36
2019-05-21,'000555,神州信息,11.67,11.89,11.2,11.45,11.81,-0.14,-1.1854,24437214,283573111.52
2019-05-20,'000555,神州信息,11.81,12.29,11.66,11.92,11.84,-0.03,-0.2534,38805762,465624087.59
2019-05-17,'000555,神州信息,11.84,12.3,11.77,12.0,11.18,0.66,5.9034,39815120,483659097.17
2019-05-16,'000555,神州信息,11.18,11.32,11.06,11.13,11.16,0.02,0.1792,9355619,104634697.47
2019-05-15,'000555,神州信息,11.16,11.19,11.01,11.02,11.0,0.16,1.4545,8297473,92146714.94
2019-05-14,'000555,神州信息,11.0,11.23,10.9,10.99,11.12,-0.12,-1.0791,8279941,91654628.96
2019-05-13,'000555,神州信息,11.12,11.25,11.0,11.11,11.27,-0.15,-1.331,9146482,101620779.84
2019-05-10,'000555,神州信息,11.27,11.34,10.68,10.9,10.77,0.5,4.6425,14761921,163655669.19
2019-05-09,'000555,神州信息,10.77,11.11,10.73,10.86,10.89,-0.12,-1.1019,8813098,96187494.94
2019-05-08,'000555,神州信息,10.89,11.26,10.4,10.6,10.96,-0.07,-0.6387,10987723,119838946.49
2019-05-07,'000555,神州信息,10.96,11.2,10.65,11.04,11.07,-0.11,-0.9937,13898088,152028376.62
2019-05-06,'000555,神州信息,11.07,11.78,11.07,11.6,12.3,-1.23,-10.0,18064541,205452575.22
2019-04-30,'000555,神州信息,12.3,12.9,12.04,12.9,13.38,-1.08,-8.0717,30211624,374496739.67
2019-04-29,'000555,神州信息,13.38,13.8,13.2,13.59,13.59,-0.21,-1.5453,36792048,497826818.52
2019-04-26,'000555,神州信息,13.59,13.84,12.6,12.67,12.85,0.74,5.7588,38308476,515446063.57
2019-04-25,'000555,神州信息,12.85,13.58,12.84,13.44,13.66,-0.81,-5.9297,21624580,287083064.52
2019-04-24,'000555,神州信息,13.66,13.78,12.7,12.9,12.99,0.67,5.1578,30474944,405480693.74
2019-04-23,'000555,神州信息,12.99,13.13,12.49,12.88,12.95,0.04,0.3089,16492098,210320636.76
2019-04-22,'000555,神州信息,12.95,13.41,12.84,13.41,13.3,-0.35,-2.6316,14406367,188758365.88
2019-04-19,'000555,神州信息,13.3,13.3,12.9,13.08,13.07,0.23,1.7598,13206811,172935494.11
2019-04-18,'000555,神州信息,13.07,13.35,13.0,13.3,13.31,-0.24,-1.8032,13765600,180924542.0
2019-04-17,'000555,神州信息,13.31,13.55,13.21,13.45,13.45,-0.14,-1.0409,16604420,221860732.36
2019-04-16,'000555,神州信息,13.45,13.48,12.81,12.9,13.1,0.35,2.6718,22219693,292965230.63
2019-04-15,'000555,神州信息,13.1,13.82,13.07,13.2,12.88,0.22,1.7081,25086412,336684973.85
2019-04-12,'000555,神州信息,12.88,13.02,12.74,12.87,12.87,0.01,0.0777,10091401,129979693.85
2019-04-11,'000555,神州信息,12.87,13.16,12.85,13.05,13.05,-0.18,-1.3793,12356467,160605190.68
2019-04-10,'000555,神州信息,13.05,13.2,12.88,13.19,13.26,-0.21,-1.5837,14270346,186368449.23
2019-04-09,'000555,神州信息,13.26,13.52,13.02,13.1,13.22,0.04,0.3026,15115924,200719104.87
2019-04-08,'000555,神州信息,13.22,13.9,12.8,13.82,14.09,-0.87,-6.1746,37508039,500777033.0
2019-04-04,'000555,神州信息,14.09,14.46,13.73,13.91,13.94,0.15,1.076,26674902,376147553.83
2019-04-03,'000555,神州信息,13.94,14.12,13.7,13.71,13.92,0.02,0.1437,19915227,276329092.08
2019-04-02,'000555,神州信息,13.92,14.25,13.69,13.75,13.79,0.13,0.9427,36091537,505398207.58
2019-04-01,'000555,神州信息,13.79,13.85,13.18,13.19,13.13,0.66,5.0267,30463373,414843716.4
2019-03-29,'000555,神州信息,13.13,13.19,12.2,12.62,12.97,0.16,1.2336,32775837,417558366.26
2019-03-28,'000555,神州信息,12.97,13.75,12.96,13.6,12.93,0.04,0.3094,34131900,458891426.57
2019-03-27,'000555,神州信息,12.93,13.35,12.7,13.14,13.19,-0.26,-1.9712,19531237,252639117.15
2019-03-26,'000555,神州信息,13.19,13.84,13.15,13.58,13.58,-0.39,-2.8719,22378179,302290763.77
2019-03-25,'000555,神州信息,13.58,13.96,13.4,13.5,14.09,-0.51,-3.6196,23045932,315040342.22
2019-03-22,'000555,神州信息,14.09,14.18,13.51,14.03,13.94,0.15,1.076,26795419,371563019.35
2019-03-21,'000555,神州信息,13.94,14.11,13.5,13.59,13.61,0.33,2.4247,31527489,437437794.94
2019-03-20,'000555,神州信息,13.61,13.8,13.21,13.8,13.84,-0.23,-1.6618,23599400,318855639.73
2019-03-19,'000555,神州信息,13.84,14.05,13.5,13.79,13.55,0.29,2.1402,26788219,369476092.75
2019-03-18,'000555,神州信息,13.55,13.6,13.21,13.33,13.31,0.24,1.8032,22893172,307100614.04
2019-03-15,'000555,神州信息,13.31,13.59,13.01,13.41,13.22,0.09,0.6808,27995032,373835166.08
2019-03-14,'000555,神州信息,13.22,13.88,12.86,13.57,14.03,-0.81,-5.7733,35432113,470792814.12
2019-03-13,'000555,神州信息,14.03,15.6,13.77,15.6,14.8,-0.77,-5.2027,52424542,775154102.2
2019-03-12,'000555,神州信息,14.8,14.98,13.81,14.13,14.08,0.72,5.1136,48011817,692147509.61
2019-03-11,'000555,神州信息,14.08,14.5,13.52,14.02,13.3,0.78,5.8647,41353982,574962040.6
2019-03-08,'000555,神州信息,13.3,14.78,12.75,13.0,13.52,-0.22,-1.6272,52517963,724118337.98
2019-03-07,'000555,神州信息,13.52,13.98,13.01,13.3,13.33,0.19,1.4254,48698423,651190777.08
2019-03-06,'000555,神州信息,13.33,13.36,12.55,12.76,12.85,0.48,3.7354,48649668,629870896.37
2019-03-05,'000555,神州信息,12.85,13.11,11.76,11.77,11.95,0.9,7.5314,48968759,614756492.16
2019-03-04,'000555,神州信息,11.95,12.2,11.75,11.75,11.61,0.34,2.9285,38891185,466352028.04
2019-03-01,'000555,神州信息,11.61,11.75,11.37,11.59,11.55,0.06,0.5195,19058332,220347245.5
2019-02-28,'000555,神州信息,11.55,11.94,11.3,11.6,11.78,-0.23,-1.9525,24262180,282193901.39
2019-02-27,'000555,神州信息,11.78,12.17,11.45,11.49,11.49,0.29,2.5239,41548981,493146562.17
2019-02-26,'000555,神州信息,11.49,11.98,11.48,11.84,11.84,-0.35,-2.9561,39252556,460627993.48
2019-02-25,'000555,神州信息,11.84,11.86,11.17,11.63,11.01,0.83,7.5386,45799541,529303749.75
2019-02-22,'000555,神州信息,11.01,11.15,10.73,10.73,10.69,0.32,2.9935,29600595,324566974.99
2019-02-21,'000555,神州信息,10.69,11.02,10.61,10.74,10.91,-0.22,-2.0165,28381653,306647422.19
2019-02-20,'000555,神州信息,10.91,11.3,10.7,11.3,11.2,-0.29,-2.5893,29536343,322366005.15
2019-02-19,'000555,神州信息,11.2,11.24,10.77,11.14,10.92,0.28,2.5641,36070683,396149241.79
2019-02-18,'000555,神州信息,10.92,11.0,10.38,10.62,10.33,0.59,5.7115,29085321,310906854.74
2019-02-15,'000555,神州信息,10.33,10.9,9.83,9.88,9.96,0.37,3.7149,25807056,267761093.33
2019-02-14,'000555,神州信息,9.96,10.14,9.87,9.98,9.92,0.04,0.4032,15535210,155336972.2
2019-02-13,'000555,神州信息,9.92,9.97,9.59,9.68,9.69,0.23,2.3736,17334107,170659126.88
2019-02-12,'000555,神州信息,9.69,9.79,9.52,9.55,9.55,0.14,1.466,11775202,113314186.96
2019-02-11,'000555,神州信息,9.55,9.63,9.24,9.33,9.23,0.32,3.467,12184115,115121424.08
2019-02-01,'000555,神州信息,9.23,9.25,9.0,9.0,8.97,0.26,2.8986,10948876,100217539.98
2019-01-31,'000555,神州信息,8.97,9.23,8.8,9.14,9.6,-0.63,-6.5625,22389135,201962264.64
2019-01-30,'000555,神州信息,9.6,9.89,9.57,9.87,10.05,-0.45,-4.4776,14224653,138284183.22
2019-01-29,'000555,神州信息,10.05,10.46,9.91,10.28,10.33,-0.28,-2.7106,15880861,160774372.82
2019-01-28,'000555,神州信息,10.33,10.58,10.29,10.48,10.43,-0.1,-0.9588,14091745,146697926.2
2019-01-25,'000555,神州信息,10.43,10.9,10.4,10.81,10.66,-0.23,-2.1576,23975125,254236990.7
2019-01-24,'000555,神州信息,10.66,10.86,10.58,10.7,10.7,-0.04,-0.3738,23366984,250874844.51
2019-01-23,'000555,神州信息,10.7,10.72,10.43,10.5,10.57,0.13,1.2299,20660862,218522315.85
2019-01-22,'000555,神州信息,10.57,10.83,10.55,10.72,10.72,-0.15,-1.3993,20944151,222893033.26
2019-01-21,'000555,神州信息,10.72,10.93,10.61,10.86,10.94,-0.22,-2.011,31033992,332519877.07
2019-01-18,'000555,神州信息,10.94,11.66,10.77,11.19,11.4,-0.46,-4.0351,42657996,474839965.87
2019-01-17,'000555,神州信息,11.4,12.39,10.86,11.0,11.3,0.1,0.885,71426126,830461845.74
2019-01-16,'000555,神州信息,11.3,11.3,10.52,10.66,10.27,1.03,10.0292,36523708,401840370.04
2019-01-15,'000555,神州信息,10.27,10.27,9.37,9.39,9.34,0.93,9.9572,20980447,209685683.71
2019-01-14,'000555,神州信息,9.34,9.53,9.29,9.5,9.5,-0.16,-1.6842,8588985,80481160.85
2019-01-11,'000555,神州信息,9.5,9.57,9.45,9.48,9.46,0.04,0.4228,6730500,63921581.0
2019-01-10,'000555,神州信息,9.46,9.68,9.41,9.68,9.77,-0.31,-3.173,13273722,126310053.53
2019-01-09,'000555,神州信息,9.77,9.97,9.76,9.82,9.81,-0.04,-0.4077,9094535,89822984.07
2019-01-08,'000555,神州信息,9.81,9.97,9.8,9.95,10.0,-0.19,-1.9,7814318,76982383.81
2019-01-07,'000555,神州信息,10.0,10.05,9.75,9.9,9.81,0.19,1.9368,13151288,130260531.08
2019-01-04,'000555,神州信息,9.81,9.9,9.37,9.4,9.51,0.3,3.1546,12018244,116521797.51
2019-01-03,'000555,神州信息,9.51,9.63,9.37,9.45,9.45,0.06,0.6349,6788625,64771719.1
2019-01-02,'000555,神州信息,9.45,9.47,9.33,9.36,9.34,0.11,1.1777,3737126,35137162.53
2018-12-28,'000555,神州信息,9.34,9.47,9.3,9.45,9.37,-0.03,-0.3202,4274172,40096272.04
2018-12-27,'000555,神州信息,9.37,9.78,9.34,9.69,9.56,-0.19,-1.9874,6270845,59891900.38
2018-12-26,'000555,神州信息,9.56,9.62,9.42,9.47,9.5,0.06,0.6316,5214232,49710767.52
2018-12-25,'000555,神州信息,9.5,9.55,9.23,9.52,9.63,-0.13,-1.3499,7600658,71261254.4
2018-12-24,'000555,神州信息,9.63,9.65,9.5,9.53,9.53,0.1,1.0493,5191852,49783873.19
2018-12-21,'000555,神州信息,9.53,9.63,9.43,9.44,9.53,0.0,0.0,4847208,46213697.13
2018-12-20,'000555,神州信息,9.53,9.58,9.37,9.38,9.41,0.12,1.2752,6096547,57909730.68
2018-12-19,'000555,神州信息,9.41,9.6,9.41,9.58,9.58,-0.17,-1.7745,4028472,38312795.81
2018-12-18,'000555,神州信息,9.58,9.58,9.34,9.35,9.49,0.09,0.9484,5550418,52572779.16
2018-12-17,'000555,神州信息,9.49,9.53,9.32,9.5,9.51,-0.02,-0.2103,5875550,55292856.36
2018-12-14,'000555,神州信息,9.51,9.84,9.47,9.81,9.86,-0.35,-3.5497,9279827,89516244.83
2018-12-13,'000555,神州信息,9.86,10.0,9.7,10.0,10.15,-0.29,-2.8571,15471706,152199405.74
2018-12-12,'000555,神州信息,10.15,10.28,10.1,10.25,10.18,-0.03,-0.2947,3885080,39472773.72
2018-12-11,'000555,神州信息,10.18,10.22,10.06,10.14,10.12,0.06,0.5929,4681395,47478980.92
2018-12-10,'000555,神州信息,10.12,10.18,10.01,10.11,10.21,-0.09,-0.8815,5442744,54881199.72
2018-12-07,'000555,神州信息,10.21,10.41,10.2,10.35,10.2,0.01,0.098,5188200,53373964.0
