日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2002-04-26,'000556,PT 南 洋,1.5,1.5,1.5,1.5,4.0,-2.5,-62.5,1976700,2965050.0
2002-04-25,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-24,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-23,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-22,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-19,'000556,PT 南 洋,4.0,4.0,4.0,4.0,4.4,-0.4,-9.0909,1896000,7584000.0
2002-04-18,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-17,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-16,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-15,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-12,'000556,PT 南 洋,4.4,4.4,4.4,4.4,4.4,0.0,0.0,1576700,6937480.0
2002-04-11,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-10,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-09,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-08,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.4,None,None,0,0.0
2002-04-05,'000556,PT 南 洋,4.4,4.4,4.4,4.4,4.28,0.12,2.8037,2174700,9568680.0
2002-04-04,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.28,None,None,0,0.0
2002-04-03,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.28,None,None,0,0.0
2002-04-02,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.28,None,None,0,0.0
2002-04-01,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.28,None,None,0,0.0
2002-03-29,'000556,PT 南 洋,4.28,4.28,4.28,4.28,4.28,0.0,0.0,2618300,11206324.0
2002-03-28,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.28,None,None,0,0.0
2002-03-27,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.28,None,None,0,0.0
2002-03-26,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.28,None,None,0,0.0
2002-03-25,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.28,None,None,0,0.0
2002-03-22,'000556,PT 南 洋,4.28,4.28,4.28,4.28,4.08,0.2,4.902,4256700,18218676.0
2002-03-21,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.08,None,None,0,0.0
2002-03-20,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.08,None,None,0,0.0
2002-03-19,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.08,None,None,0,0.0
2002-03-18,'000556,PT 南 洋,0.0,0.0,0.0,0.0,4.08,None,None,0,0.0
2002-03-15,'000556,PT 南 洋,4.08,4.08,4.08,4.08,3.89,0.19,4.8843,1108490,4522639.2
2002-03-14,'000556,PT 南 洋,0.0,0.0,0.0,0.0,3.89,None,None,0,0.0
2002-03-13,'000556,PT 南 洋,0.0,0.0,0.0,0.0,3.89,None,None,0,0.0
2002-03-12,'000556,PT 南 洋,0.0,0.0,0.0,0.0,3.89,None,None,0,0.0
2002-03-11,'000556,PT 南 洋,0.0,0.0,0.0,0.0,3.89,None,None,0,0.0
2002-03-08,'000556,PT 南 洋,3.89,3.89,3.89,3.89,3.7,0.19,5.1351,994873,3870055.97
2002-03-07,'000556,PT 南 洋,0.0,0.0,0.0,0.0,3.7,None,None,0,0.0
2002-03-06,'000556,PT 南 洋,0.0,0.0,0.0,0.0,3.7,None,None,0,0.0
2002-03-05,'000556,PT 南 洋,0.0,0.0,0.0,0.0,3.7,None,None,0,0.0
2002-03-04,'000556,PT 南 洋,0.0,0.0,0.0,0.0,3.7,None,None,0,0.0
2002-03-01,'000556,PT 南 洋,3.7,3.7,3.7,3.7,3.52,0.18,5.1136,1307928,4839333.6
2002-02-28,'000556,PT 南 洋,0.0,0.0,0.0,0.0,3.52,None,None,0,0.0
