日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000557,西部创业,4.0,4.01,3.94,3.97,3.9,0.1,2.5641,6439623,25663318.18
2019-06-28,'000557,西部创业,3.9,4.0,3.89,3.98,3.96,-0.06,-1.5152,4325573,16977654.91
2019-06-27,'000557,西部创业,3.96,4.03,3.95,3.98,3.96,0.0,0.0,5453516,21747836.68
2019-06-26,'000557,西部创业,3.96,3.99,3.93,3.97,3.96,0.0,0.0,3087416,12251485.52
2019-06-25,'000557,西部创业,3.96,4.03,3.9,4.01,4.03,-0.07,-1.737,6277000,24873999.0
2019-06-24,'000557,西部创业,4.03,4.05,3.99,4.01,4.0,0.03,0.75,5289467,21250131.67
2019-06-21,'000557,西部创业,4.0,4.03,3.94,3.95,3.95,0.05,1.2658,7812935,31240964.19
2019-06-20,'000557,西部创业,3.95,3.96,3.87,3.88,3.88,0.07,1.8041,6234053,24487485.69
2019-06-19,'000557,西部创业,3.88,3.95,3.86,3.88,3.83,0.05,1.3055,6103559,23861455.56
2019-06-18,'000557,西部创业,3.83,3.88,3.81,3.83,3.86,-0.03,-0.7772,2308100,8850121.99
2019-06-17,'000557,西部创业,3.86,3.89,3.78,3.84,3.88,-0.02,-0.5155,4757189,18223906.32
2019-06-14,'000557,西部创业,3.88,4.08,3.86,3.93,3.93,-0.05,-1.2723,7746769,30600547.45
2019-06-13,'000557,西部创业,3.93,3.94,3.85,3.92,3.88,0.05,1.2887,4176636,16323187.72
2019-06-12,'000557,西部创业,3.88,3.95,3.87,3.88,3.9,-0.02,-0.5128,5163697,20159808.96
2019-06-11,'000557,西部创业,3.9,3.93,3.76,3.76,3.77,0.13,3.4483,6396437,24765503.05
2019-06-10,'000557,西部创业,3.77,3.83,3.71,3.75,3.71,0.06,1.6173,3885123,14609082.89
2019-06-06,'000557,西部创业,3.71,3.89,3.69,3.88,3.88,-0.17,-4.3814,6481872,24493670.2
2019-06-05,'000557,西部创业,3.88,3.94,3.87,3.9,3.88,0.0,0.0,4444150,17365454.85
2019-06-04,'000557,西部创业,3.88,3.96,3.85,3.94,3.93,-0.05,-1.2723,5249052,20481162.84
2019-06-03,'000557,西部创业,3.93,4.04,3.92,3.99,4.0,-0.07,-1.75,6379312,25251273.16
2019-05-31,'000557,西部创业,4.0,4.05,3.98,4.01,4.02,-0.02,-0.4975,4100600,16472091.36
2019-05-30,'000557,西部创业,4.02,4.07,3.97,4.07,4.07,-0.05,-1.2285,7318964,29282030.08
2019-05-29,'000557,西部创业,4.07,4.13,4.03,4.04,4.06,0.01,0.2463,4211652,17198582.8
2019-05-28,'000557,西部创业,4.06,4.16,4.02,4.1,4.14,-0.08,-1.9324,6715540,27617398.0
2019-05-27,'000557,西部创业,4.14,4.16,4.03,4.08,4.06,0.08,1.9704,9071965,37237310.79
2019-05-24,'000557,西部创业,4.06,4.15,3.9,3.97,4.0,0.06,1.5,8391720,33872648.37
2019-05-23,'000557,西部创业,4.0,4.12,4.0,4.12,4.1,-0.1,-2.439,8432297,34076371.55
2019-05-22,'000557,西部创业,4.1,4.2,4.1,4.19,4.31,-0.21,-4.8724,16227961,67321250.68
2019-05-21,'000557,西部创业,4.31,4.39,3.92,3.98,3.99,0.32,8.0201,17972752,75343482.76
2019-05-20,'000557,西部创业,3.99,4.04,3.88,3.99,4.0,-0.01,-0.25,6708004,26434824.2
2019-05-17,'000557,西部创业,4.0,4.2,3.96,4.17,4.2,-0.2,-4.7619,12520264,51036607.34
2019-05-16,'000557,西部创业,4.2,4.29,4.13,4.15,4.17,0.03,0.7194,11721422,49366991.19
2019-05-15,'000557,西部创业,4.17,4.22,4.08,4.1,4.08,0.09,2.2059,12299829,51241728.75
2019-05-14,'000557,西部创业,4.08,4.22,4.06,4.18,4.25,-0.17,-4.0,13520575,55895162.5
2019-05-13,'000557,西部创业,4.25,4.3,4.04,4.05,4.08,0.17,4.1667,17789237,74301308.64
2019-05-10,'000557,西部创业,4.08,4.08,3.85,4.02,3.98,0.1,2.5126,11676475,47052431.56
2019-05-09,'000557,西部创业,3.98,4.05,3.96,4.0,4.02,-0.04,-0.995,7460320,29832277.88
