日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000559,万向钱潮,6.12,6.21,6.05,6.1,5.98,0.14,2.3411,8602038,52669488.25
2019-06-28,'000559,万向钱潮,5.98,6.13,5.93,6.11,6.18,-0.2,-3.2362,7927278,47691606.18
2019-06-27,'000559,万向钱潮,6.18,6.32,6.01,6.01,6.03,0.15,2.4876,14179639,87602889.93
2019-06-26,'000559,万向钱潮,6.03,6.06,5.98,6.05,6.03,0.0,0.0,3749478,22638251.51
2019-06-25,'000559,万向钱潮,6.03,6.15,5.98,6.1,6.11,-0.08,-1.3093,6012009,36276368.2
2019-06-24,'000559,万向钱潮,6.11,6.18,5.98,6.06,6.01,0.1,1.6639,9542376,58194938.58
2019-06-21,'000559,万向钱潮,6.01,6.1,5.97,5.97,5.97,0.04,0.67,8279835,50092250.13
2019-06-20,'000559,万向钱潮,5.97,6.0,5.84,5.89,5.89,0.08,1.3582,8594232,51084513.69
2019-06-19,'000559,万向钱潮,5.89,5.94,5.81,5.82,5.73,0.16,2.7923,10127327,59692325.06
2019-06-18,'000559,万向钱潮,5.73,5.81,5.7,5.77,5.78,-0.05,-0.8651,5498229,31535218.92
2019-06-17,'000559,万向钱潮,5.78,5.82,5.72,5.82,5.78,0.0,0.0,4613687,26685649.75
2019-06-14,'000559,万向钱潮,5.78,5.9,5.75,5.87,5.87,-0.09,-1.5332,4932184,28672272.31
2019-06-13,'000559,万向钱潮,5.87,5.92,5.82,5.92,5.92,-0.05,-0.8446,4955877,29076194.48
2019-06-12,'000559,万向钱潮,5.92,5.99,5.89,5.96,5.97,-0.05,-0.8375,4750385,28219272.16
2019-06-11,'000559,万向钱潮,5.97,5.97,5.75,5.78,5.77,0.2,3.4662,7890950,46483641.59
2019-06-10,'000559,万向钱潮,5.77,5.85,5.75,5.77,5.73,0.04,0.6981,4873850,28298702.35
2019-06-06,'000559,万向钱潮,5.73,5.86,5.72,5.81,5.81,-0.08,-1.3769,4104316,23675310.24
2019-06-05,'000559,万向钱潮,5.81,5.91,5.8,5.88,5.8,0.01,0.1724,2810421,16456144.32
2019-06-04,'000559,万向钱潮,5.8,5.93,5.75,5.88,5.88,-0.08,-1.3605,4197266,24473003.05
2019-06-03,'000559,万向钱潮,5.88,6.02,5.84,5.95,5.95,-0.07,-1.1765,4273662,25279684.51
2019-05-31,'000559,万向钱潮,5.95,6.04,5.92,6.01,5.96,-0.01,-0.1678,2753566,16492318.1
2019-05-30,'000559,万向钱潮,5.96,6.03,5.89,6.01,6.06,-0.1,-1.6502,4725713,28137746.49
2019-05-29,'000559,万向钱潮,6.06,6.11,6.0,6.06,6.09,-0.03,-0.4926,5548474,33495809.72
2019-05-28,'000559,万向钱潮,6.09,6.15,6.02,6.11,6.1,-0.01,-0.1639,6899992,42036508.48
2019-05-27,'000559,万向钱潮,6.1,6.11,5.95,5.98,5.98,0.12,2.0067,7749995,46934011.8
