日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000560,我爱我家,4.88,4.88,4.8,4.85,4.78,0.1,2.0921,14008200,67942378.95
2019-06-28,'000560,我爱我家,4.78,4.82,4.67,4.82,4.8,-0.02,-0.4167,9402038,44541538.83
2019-06-27,'000560,我爱我家,4.8,4.85,4.74,4.77,4.8,0.0,0.0,8534923,41020870.46
2019-06-26,'000560,我爱我家,4.8,4.84,4.76,4.79,4.81,-0.01,-0.2079,6644899,31906958.81
2019-06-25,'000560,我爱我家,4.81,4.93,4.73,4.93,4.9,-0.09,-1.8367,11330240,54270001.34
2019-06-24,'000560,我爱我家,4.9,4.97,4.85,4.94,4.91,-0.01,-0.2037,10121844,49643662.46
2019-06-21,'000560,我爱我家,4.91,4.96,4.86,4.91,4.85,0.06,1.2371,16493968,80953896.55
2019-06-20,'000560,我爱我家,4.85,4.86,4.68,4.74,4.8,0.05,1.0417,16915959,80898468.71
2019-06-19,'000560,我爱我家,4.8,4.95,4.74,4.8,4.7,0.1,2.1277,20500883,99274690.03
2019-06-18,'000560,我爱我家,4.77,4.81,4.69,4.8,4.82,-0.05,-1.0373,8866588,42080177.52
2019-06-17,'000560,我爱我家,4.82,4.89,4.77,4.8,4.81,0.01,0.2079,8554333,41136673.42
2019-06-14,'000560,我爱我家,4.81,4.99,4.79,4.96,4.98,-0.17,-3.4137,12371910,60440552.58
2019-06-13,'000560,我爱我家,4.98,5.08,4.9,5.02,5.03,-0.05,-0.994,13001069,64656864.32
2019-06-12,'000560,我爱我家,5.03,5.12,4.97,5.12,5.12,-0.09,-1.7578,12486421,62662762.27
2019-06-11,'000560,我爱我家,5.12,5.14,4.86,4.97,4.95,0.17,3.4343,14968948,75362351.4
2019-06-10,'000560,我爱我家,4.95,5.05,4.89,5.0,4.93,0.02,0.4057,9652129,47906595.31
2019-06-06,'000560,我爱我家,4.93,4.97,4.86,4.96,4.94,-0.01,-0.2024,7386920,36372718.0
2019-06-05,'000560,我爱我家,4.94,5.02,4.87,4.96,4.93,0.01,0.2028,8068779,39873378.38
2019-06-04,'000560,我爱我家,4.93,5.04,4.9,4.97,4.97,-0.04,-0.8048,7773780,38526771.8
2019-06-03,'000560,我爱我家,4.97,5.2,4.93,5.16,5.16,-0.19,-3.6822,15400744,76950417.38
2019-05-31,'000560,我爱我家,5.16,5.28,5.08,5.14,5.15,0.01,0.1942,9156220,47356712.6
2019-05-30,'000560,我爱我家,5.15,5.27,5.02,5.24,5.24,-0.09,-1.7176,12404877,63456626.68
2019-05-29,'000560,我爱我家,5.24,5.33,5.18,5.21,5.22,0.02,0.3831,10973014,57637176.79
2019-05-28,'000560,我爱我家,5.22,5.33,5.15,5.23,5.2,0.02,0.3846,11836810,62181060.76
2019-05-27,'000560,我爱我家,5.2,5.21,5.06,5.21,5.16,0.04,0.7752,9450085,48688970.55
2019-05-24,'000560,我爱我家,5.16,5.21,5.07,5.18,5.18,-0.02,-0.3861,10142948,52246693.96
2019-05-23,'000560,我爱我家,5.18,5.29,5.13,5.26,5.21,-0.03,-0.5758,12815070,66698434.51
2019-05-22,'000560,我爱我家,5.21,5.54,5.1,5.51,5.45,-0.24,-4.4037,18274312,96219000.56
2019-05-21,'000560,我爱我家,5.45,5.5,5.15,5.23,5.2,0.25,4.8077,18540392,99929006.78
2019-05-20,'000560,我爱我家,5.2,5.41,4.91,5.4,5.39,-0.19,-3.525,26322804,134625137.05
2019-05-17,'000560,我爱我家,5.39,5.79,5.35,5.79,5.8,-0.41,-7.069,18923982,104866448.54
2019-05-16,'000560,我爱我家,5.8,5.85,5.75,5.8,5.74,0.06,1.0453,7837544,45408227.51
2019-05-15,'000560,我爱我家,5.74,5.76,5.62,5.66,5.6,0.14,2.5,10693800,60992228.65
2019-05-14,'000560,我爱我家,5.6,5.8,5.56,5.67,5.78,-0.18,-3.1142,14948743,84319648.5
2019-05-13,'000560,我爱我家,5.78,5.84,5.71,5.8,5.92,-0.14,-2.3649,10467016,60436090.53
2019-05-10,'000560,我爱我家,5.92,5.95,5.53,5.72,5.72,0.2,3.4965,20853280,120454196.44
2019-05-09,'000560,我爱我家,5.72,5.93,5.65,5.84,5.86,-0.14,-2.3891,12081519,69381800.45
2019-05-08,'000560,我爱我家,5.86,6.04,5.68,5.78,5.88,-0.02,-0.3401,10633928,62579412.72
2019-05-07,'000560,我爱我家,5.88,5.89,5.64,5.64,5.64,0.24,4.2553,19762046,114351451.07
2019-05-06,'000560,我爱我家,5.64,6.1,5.64,6.1,6.27,-0.63,-10.0478,18025800,105288113.99
2019-04-30,'000560,我爱我家,6.27,6.44,6.08,6.24,6.18,0.09,1.4563,13067064,82311290.13
2019-04-29,'000560,我爱我家,6.18,6.4,6.0,6.29,6.29,-0.11,-1.7488,21389665,133062600.69
2019-04-26,'000560,我爱我家,6.29,6.48,6.24,6.35,6.36,-0.07,-1.1006,19422160,123700080.53
2019-04-25,'000560,我爱我家,6.36,6.69,6.31,6.58,6.58,-0.22,-3.3435,15351406,99545241.63
2019-04-24,'000560,我爱我家,6.58,6.72,6.41,6.54,6.54,0.04,0.6116,20954113,137880291.63
2019-04-23,'000560,我爱我家,6.54,6.69,6.28,6.43,6.43,0.11,1.7107,27401962,178716379.97
2019-04-22,'000560,我爱我家,6.43,6.83,6.26,6.83,6.79,-0.36,-5.3019,49172097,315868376.56
2019-04-19,'000560,我爱我家,6.79,6.97,6.74,6.96,6.9,-0.11,-1.5942,18647424,127303237.02
2019-04-18,'000560,我爱我家,6.9,7.26,6.88,7.25,7.13,-0.23,-3.2258,24318378,169616391.27
2019-04-17,'000560,我爱我家,7.13,7.39,7.07,7.25,7.13,0.0,0.0,19915835,144233630.39
2019-04-16,'000560,我爱我家,7.13,7.19,6.74,7.05,7.2,-0.07,-0.9722,26062782,180477940.69
2019-04-15,'000560,我爱我家,7.2,7.55,7.08,7.08,6.98,0.22,3.1519,27701700,203318413.18
2019-04-12,'000560,我爱我家,6.98,7.28,6.91,7.22,7.21,-0.23,-3.19,17652130,123722995.78
2019-04-11,'000560,我爱我家,7.21,7.68,7.14,7.67,7.6,-0.39,-5.1316,22520228,165083166.48
2019-04-10,'000560,我爱我家,7.6,8.1,7.54,7.8,7.81,-0.21,-2.6889,20340321,157488905.23
2019-04-09,'000560,我爱我家,7.81,8.46,7.7,7.98,7.85,-0.04,-0.5096,28788003,233376210.79
2019-04-08,'000560,我爱我家,7.85,7.99,7.3,7.62,7.49,0.36,4.8064,22196037,169474777.15
2019-04-04,'000560,我爱我家,7.49,7.58,7.4,7.54,7.53,-0.04,-0.5312,10743226,80440797.62
2019-04-03,'000560,我爱我家,7.53,7.6,7.36,7.54,7.51,0.02,0.2663,11156320,83729067.5
2019-04-02,'000560,我爱我家,7.51,7.78,7.46,7.77,7.66,-0.15,-1.9582,24291668,183752845.73
2019-04-01,'000560,我爱我家,7.66,7.9,7.37,7.4,7.28,0.38,5.2198,48534138,369411339.29
2019-03-29,'000560,我爱我家,7.28,7.33,6.78,6.8,6.78,0.5,7.3746,27094435,191802146.96
