日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000561,烽火电子,7.16,7.16,7.0,7.03,6.9,0.26,3.7681,5430990,38562692.83
2019-06-28,'000561,烽火电子,6.9,7.09,6.87,7.07,7.04,-0.14,-1.9886,4224100,29312154.0
2019-06-27,'000561,烽火电子,7.04,7.16,7.02,7.15,7.1,-0.06,-0.8451,3292749,23337036.27
2019-06-26,'000561,烽火电子,7.1,7.15,6.96,7.02,7.05,0.05,0.7092,2604790,18419395.8
2019-06-25,'000561,烽火电子,7.05,7.21,6.9,7.19,7.22,-0.17,-2.3546,4272124,30061614.12
2019-06-24,'000561,烽火电子,7.22,7.25,7.1,7.23,7.2,0.02,0.2778,4034089,28999029.63
2019-06-21,'000561,烽火电子,7.2,7.26,7.12,7.12,7.08,0.12,1.6949,5046709,36399773.19
2019-06-20,'000561,烽火电子,7.08,7.09,6.88,6.96,6.97,0.11,1.5782,3768383,26463374.84
2019-06-19,'000561,烽火电子,6.97,7.08,6.92,6.99,6.88,0.09,1.3081,3659295,25645794.95
2019-06-18,'000561,烽火电子,6.88,7.01,6.83,6.99,6.99,-0.11,-1.5737,3087024,21312277.32
2019-06-17,'000561,烽火电子,6.99,7.1,6.94,7.05,7.06,-0.07,-0.9915,2575564,18032480.82
2019-06-14,'000561,烽火电子,7.06,7.27,7.02,7.19,7.17,-0.11,-1.5342,4717239,33646891.74
2019-06-13,'000561,烽火电子,7.17,7.26,7.12,7.22,7.22,-0.05,-0.6925,3229097,23206854.81
2019-06-12,'000561,烽火电子,7.22,7.28,7.15,7.24,7.25,-0.03,-0.4138,5515940,39813172.42
2019-06-11,'000561,烽火电子,7.25,7.25,6.94,7.06,7.08,0.17,2.4011,5615091,40131006.65
2019-06-10,'000561,烽火电子,7.08,7.09,6.87,6.87,6.87,0.21,3.0568,3252894,22866694.81
2019-06-06,'000561,烽火电子,6.87,7.18,6.85,7.13,7.11,-0.24,-3.3755,4069028,28502686.0
2019-06-05,'000561,烽火电子,7.11,7.25,7.06,7.2,7.16,-0.05,-0.6983,4426899,31707282.86
2019-06-04,'000561,烽火电子,7.16,7.41,7.05,7.31,7.4,-0.24,-3.2432,5583561,40268942.08
2019-06-03,'000561,烽火电子,7.4,7.45,7.12,7.31,7.28,0.12,1.6484,5694944,41683199.71
2019-05-31,'000561,烽火电子,7.28,7.43,7.27,7.33,7.34,-0.06,-0.8174,4003525,29409645.31
2019-05-30,'000561,烽火电子,7.34,7.35,7.17,7.3,7.31,0.03,0.4104,4752200,34546674.0
2019-05-29,'000561,烽火电子,7.31,7.39,7.2,7.27,7.27,0.04,0.5502,4916825,35995180.75
2019-05-28,'000561,烽火电子,7.27,7.38,7.23,7.24,7.22,0.05,0.6925,7432569,54221505.26
2019-05-27,'000561,烽火电子,7.22,7.23,6.93,6.93,6.94,0.28,4.0346,5221476,37252064.44
2019-05-24,'000561,烽火电子,6.94,7.11,6.88,6.91,7.07,-0.13,-1.8388,3264045,22882072.07
2019-05-23,'000561,烽火电子,7.07,7.29,7.0,7.28,7.27,-0.2,-2.751,5047721,36083960.24
2019-05-22,'000561,烽火电子,7.27,7.35,7.1,7.22,7.22,0.05,0.6925,5404981,39228108.84
2019-05-21,'000561,烽火电子,7.22,7.32,7.05,7.12,7.1,0.12,1.6901,6923096,49777224.23
2019-05-20,'000561,烽火电子,7.1,7.11,6.9,6.99,6.88,0.22,3.1977,4915060,34548362.97
2019-05-17,'000561,烽火电子,6.88,7.17,6.87,7.12,7.13,-0.25,-3.5063,5348257,37522720.89
2019-05-16,'000561,烽火电子,7.13,7.17,6.99,7.05,7.07,0.06,0.8487,5211876,37008866.92
2019-05-15,'000561,烽火电子,7.07,7.12,6.98,7.04,7.02,0.05,0.7123,4919400,34696963.9
2019-05-14,'000561,烽火电子,7.02,7.15,6.78,6.82,6.94,0.08,1.1527,6114157,42970319.73
2019-05-13,'000561,烽火电子,6.94,7.06,6.8,6.95,7.01,-0.07,-0.9986,4712295,32736909.1
2019-05-10,'000561,烽火电子,7.01,7.03,6.57,6.72,6.67,0.34,5.0975,7849595,53973598.15
2019-05-09,'000561,烽火电子,6.67,6.76,6.53,6.62,6.65,0.02,0.3008,3112645,20847951.8
2019-05-08,'000561,烽火电子,6.65,6.73,6.38,6.5,6.63,0.02,0.3017,4425799,29333135.76
2019-05-07,'000561,烽火电子,6.63,6.69,6.45,6.61,6.57,0.06,0.9132,4530021,29854834.2
2019-05-06,'000561,烽火电子,6.57,7.1,6.55,7.1,7.28,-0.71,-9.7527,8192613,55522717.47
2019-04-30,'000561,烽火电子,7.28,7.3,7.05,7.09,7.12,0.16,2.2472,5041499,36385226.75
2019-04-29,'000561,烽火电子,7.12,7.49,6.96,7.44,7.44,-0.32,-4.3011,8117304,58350210.52
2019-04-26,'000561,烽火电子,7.44,7.61,7.29,7.35,7.35,0.09,1.2245,7208135,53626630.27
2019-04-25,'000561,烽火电子,7.35,7.84,7.34,7.75,7.8,-0.45,-5.7692,10002797,75933772.66
2019-04-24,'000561,烽火电子,7.8,7.96,7.58,7.84,7.84,-0.04,-0.5102,9161403,71191442.83
2019-04-23,'000561,烽火电子,7.84,8.2,7.79,8.1,8.09,-0.25,-3.0902,10674674,85215330.91
2019-04-22,'000561,烽火电子,8.09,8.38,8.03,8.26,8.31,-0.22,-2.6474,10389580,85385522.0
2019-04-19,'000561,烽火电子,8.31,8.4,8.08,8.26,8.35,-0.04,-0.479,11431149,94394705.33
2019-04-18,'000561,烽火电子,8.35,8.39,7.97,8.21,8.23,0.12,1.4581,14981464,123810598.85
2019-04-17,'000561,烽火电子,8.23,8.45,8.15,8.35,8.35,-0.12,-1.4371,13780095,114051690.09
2019-04-16,'000561,烽火电子,8.35,8.36,7.89,8.04,8.04,0.31,3.8557,14984018,122629045.05
2019-04-15,'000561,烽火电子,8.04,8.33,8.01,8.23,8.03,0.01,0.1245,12539298,102471272.48
2019-04-12,'000561,烽火电子,8.03,8.1,7.82,7.82,7.88,0.15,1.9036,10955032,87994586.09
2019-04-11,'000561,烽火电子,7.88,8.15,7.85,8.15,8.05,-0.17,-2.1118,10121018,80667228.78
2019-04-10,'000561,烽火电子,8.05,8.16,7.95,8.16,8.19,-0.14,-1.7094,12686989,102082484.85
2019-04-09,'000561,烽火电子,8.19,8.32,8.01,8.01,8.15,0.04,0.4908,11618137,95020590.01
2019-04-08,'000561,烽火电子,8.15,8.57,8.05,8.39,8.47,-0.32,-3.778,22962706,189468816.87
