日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2015-01-23,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-22,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-21,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-20,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-19,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-16,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-15,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-14,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-13,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-12,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-09,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-08,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-07,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-06,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2015-01-05,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-31,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-30,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-29,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-26,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-25,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-24,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-23,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-22,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-19,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-18,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-17,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-16,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-15,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-12,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-11,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-10,'000562,宏源证券,0.0,0.0,0.0,0.0,30.5,None,None,0,0.0
2014-12-09,'000562,宏源证券,30.5,30.86,28.5,30.0,28.05,2.45,8.7344,284286800,8706329793.03
2014-12-08,'000562,宏源证券,28.05,28.05,26.23,27.67,25.5,2.55,10.0,161131449,4434068885.49
2014-12-05,'000562,宏源证券,25.5,25.5,24.44,25.5,23.18,2.32,10.0086,168685241,4282993895.04
2014-12-04,'000562,宏源证券,23.18,23.18,21.32,21.53,21.07,2.11,10.0142,161363747,3625385258.0
2014-12-03,'000562,宏源证券,21.07,21.07,20.71,21.07,19.15,1.92,10.0261,184351548,3882075453.1
2014-12-02,'000562,宏源证券,19.15,19.15,17.5,17.6,17.41,1.74,9.9943,133438469,2484064437.89
2014-12-01,'000562,宏源证券,17.41,18.2,17.27,17.58,17.56,-0.15,-0.8542,114920335,2030972494.12
2014-11-28,'000562,宏源证券,17.56,17.87,17.23,17.68,17.79,-0.23,-1.2929,137499765,2414605261.55
2014-11-27,'000562,宏源证券,17.79,17.95,16.8,17.32,17.15,0.64,3.7318,187858318,3265784161.97
2014-11-26,'000562,宏源证券,17.15,17.58,16.78,16.82,16.65,0.5,3.003,154127081,2643191913.11
2014-11-25,'000562,宏源证券,16.65,17.15,16.24,16.46,16.57,0.08,0.4828,131980248,2203619850.05
2014-11-24,'000562,宏源证券,16.57,16.99,15.8,16.11,15.77,0.8,5.0729,210901566,3490308066.54
2014-11-21,'000562,宏源证券,15.77,15.95,14.86,14.95,14.95,0.82,5.4849,130447337,2017669761.34
2014-11-20,'000562,宏源证券,14.95,15.14,14.72,14.8,14.84,0.11,0.7412,44798528,670615413.07
2014-11-19,'000562,宏源证券,14.84,15.22,14.71,14.71,14.71,0.13,0.8838,68391123,1023298778.47
2014-11-18,'000562,宏源证券,14.71,15.18,14.63,15.05,15.13,-0.42,-2.7759,70343045,1043367387.95
2014-11-17,'000562,宏源证券,15.13,15.69,15.02,15.53,15.48,-0.35,-2.261,80460209,1231633255.48
2014-11-14,'000562,宏源证券,15.48,15.85,15.35,15.61,16.02,-0.54,-3.3708,112998887,1757276232.52
2014-11-13,'000562,宏源证券,16.02,16.35,15.11,15.26,15.25,0.77,5.0492,211354072,3367840478.41
2014-11-12,'000562,宏源证券,15.25,15.28,14.54,14.8,14.89,0.36,2.4177,82904363,1237836825.12
2014-11-11,'000562,宏源证券,14.89,15.75,14.5,15.24,15.08,-0.19,-1.2599,142359504,2162517566.21
2014-11-10,'000562,宏源证券,15.08,15.32,14.68,15.23,14.81,0.27,1.8231,122177885,1832569725.62
2014-11-07,'000562,宏源证券,14.81,15.62,14.57,14.65,14.59,0.22,1.5079,150462435,2267945714.26
2014-11-06,'000562,宏源证券,14.59,14.89,14.37,14.89,14.96,-0.37,-2.4733,87843342,1284154957.94
2014-11-05,'000562,宏源证券,14.96,15.5,14.35,15.0,14.15,0.81,5.7244,177802894,2660830605.37
2014-11-04,'000562,宏源证券,0.0,0.0,0.0,0.0,14.15,None,None,0,0.0
2014-11-03,'000562,宏源证券,0.0,0.0,0.0,0.0,14.15,None,None,0,0.0
2014-10-31,'000562,宏源证券,0.0,0.0,0.0,0.0,14.15,None,None,0,0.0
2014-10-30,'000562,宏源证券,0.0,0.0,0.0,0.0,14.15,None,None,0,0.0
2014-10-29,'000562,宏源证券,14.15,14.48,13.45,13.65,13.56,0.59,4.351,141377000,1982604802.46
2014-10-28,'000562,宏源证券,13.56,13.56,12.8,12.8,12.71,0.85,6.6876,66255638,874307271.38
2014-10-27,'000562,宏源证券,12.71,13.03,12.65,13.03,13.24,-0.53,-4.003,59151932,758118079.07
2014-10-24,'000562,宏源证券,13.24,13.38,13.18,13.27,13.21,0.03,0.2271,29924016,396993862.35
2014-10-23,'000562,宏源证券,13.21,13.48,13.11,13.14,13.17,0.04,0.3037,48220673,640656061.26
2014-10-22,'000562,宏源证券,13.17,13.66,13.15,13.44,13.52,-0.35,-2.5888,62534105,837534994.19
2014-10-21,'000562,宏源证券,13.52,14.01,13.51,13.74,13.77,-0.25,-1.8155,63617599,876593363.56
2014-10-20,'000562,宏源证券,13.77,13.84,13.53,13.75,13.75,0.02,0.1455,53317665,730725354.51
2014-10-17,'000562,宏源证券,13.75,13.93,13.16,13.7,13.71,0.04,0.2918,95427426,1300750548.6
2014-10-16,'000562,宏源证券,13.71,14.07,13.69,13.95,14.08,-0.37,-2.6278,102113085,1416807565.56
2014-10-15,'000562,宏源证券,14.08,14.32,13.2,13.33,13.26,0.82,6.184,150362724,2067143286.92
2014-10-14,'000562,宏源证券,13.26,13.52,12.83,12.87,12.83,0.43,3.3515,138128668,1837018572.98
2014-10-13,'000562,宏源证券,12.83,12.88,12.57,12.81,12.95,-0.12,-0.9266,67449292,860324040.98
2014-10-10,'000562,宏源证券,12.95,13.18,12.25,12.3,12.36,0.59,4.7735,158865414,2044852750.59
2014-10-09,'000562,宏源证券,12.36,12.38,12.13,12.19,12.17,0.19,1.5612,63686729,781221353.56
2014-10-08,'000562,宏源证券,12.17,12.22,12.11,12.17,12.15,0.02,0.1646,33449513,406829255.3
2014-09-30,'000562,宏源证券,12.15,12.25,12.12,12.24,12.18,-0.03,-0.2463,31952818,388742732.48
2014-09-29,'000562,宏源证券,12.18,12.28,12.12,12.19,12.06,0.12,0.995,46737653,569963214.12
2014-09-26,'000562,宏源证券,12.06,12.17,11.99,12.03,12.11,-0.05,-0.4129,36102979,435522279.42
2014-09-25,'000562,宏源证券,12.11,12.41,12.05,12.36,12.35,-0.24,-1.9433,73590325,900422842.69
2014-09-24,'000562,宏源证券,12.35,12.44,11.86,11.88,11.91,0.44,3.6944,115010230,1407391516.68
2014-09-23,'000562,宏源证券,11.91,11.99,11.72,11.78,11.78,0.13,1.1036,32509002,386167322.99
2014-09-22,'000562,宏源证券,11.78,11.9,11.76,11.82,11.83,-0.05,-0.4227,27901160,329909341.18
2014-09-19,'000562,宏源证券,11.83,11.88,11.72,11.73,11.78,0.05,0.4244,31459081,371796265.95
2014-09-18,'000562,宏源证券,11.78,11.94,11.67,11.72,11.74,0.04,0.3407,36714292,433442509.14
2014-09-17,'000562,宏源证券,11.74,11.84,11.63,11.81,11.72,0.02,0.1706,37315061,438165216.37
2014-09-16,'000562,宏源证券,11.72,12.24,11.7,12.08,12.06,-0.34,-2.8192,59705760,717705003.62
2014-09-15,'000562,宏源证券,12.06,12.13,12.0,12.13,12.14,-0.08,-0.659,41543800,500726339.27
2014-09-12,'000562,宏源证券,12.14,12.18,12.02,12.07,12.1,0.04,0.3306,34986321,423179880.95
2014-09-11,'000562,宏源证券,12.1,12.35,12.07,12.1,12.15,-0.05,-0.4115,73887218,902034064.87
2014-09-10,'000562,宏源证券,12.15,12.21,11.96,12.05,12.09,0.06,0.4963,39286147,474763503.1
2014-09-09,'000562,宏源证券,12.09,12.28,12.06,12.28,12.26,-0.17,-1.3866,48535480,588281645.41
2014-09-05,'000562,宏源证券,12.26,12.45,12.18,12.34,12.27,-0.01,-0.0815,61223500,752830702.43
2014-09-04,'000562,宏源证券,12.27,12.38,12.14,12.23,12.19,0.08,0.6563,65565912,803585083.35
2014-09-03,'000562,宏源证券,12.19,12.4,12.15,12.37,12.41,-0.22,-1.7728,92699369,1137049947.48
2014-09-02,'000562,宏源证券,12.41,12.42,11.62,11.68,11.65,0.76,6.5236,146958472,1782641187.03
2014-09-01,'000562,宏源证券,11.65,11.7,11.58,11.68,11.66,-0.01,-0.0858,31126846,362334086.94
2014-08-29,'000562,宏源证券,11.66,11.68,11.52,11.55,11.56,0.1,0.8651,28532600,330766672.68
2014-08-28,'000562,宏源证券,11.56,11.73,11.55,11.61,11.63,-0.07,-0.6019,31772594,369076152.13
2014-08-27,'000562,宏源证券,11.63,11.78,11.6,11.66,11.71,-0.08,-0.6832,36022603,420151963.35
