日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000563,陕国投Ａ,4.54,4.64,4.5,4.61,4.44,0.1,2.2523,101681178,464626484.76
2019-06-28,'000563,陕国投Ａ,4.44,4.51,4.41,4.49,4.53,-0.09,-1.9868,51789762,230414722.02
2019-06-27,'000563,陕国投Ａ,4.53,4.65,4.49,4.49,4.47,0.06,1.3423,84426842,385826821.05
2019-06-26,'000563,陕国投Ａ,4.47,4.55,4.44,4.48,4.61,-0.14,-3.0369,56023191,251863764.18
2019-06-25,'000563,陕国投Ａ,4.61,4.64,4.42,4.55,4.58,0.03,0.655,112978836,512497967.97
2019-06-24,'000563,陕国投Ａ,4.58,4.69,4.53,4.66,4.75,-0.17,-3.5789,138302890,635183988.15
2019-06-21,'000563,陕国投Ａ,4.75,4.88,4.46,4.49,4.53,0.22,4.8565,308320943,1431760984.7
2019-06-20,'000563,陕国投Ａ,4.55,4.55,4.11,4.14,4.14,0.41,9.9034,247104817,1099203100.74
2019-06-19,'000563,陕国投Ａ,4.14,4.38,4.14,4.32,4.07,0.07,1.7199,62514409,264764079.2
2019-06-18,'000563,陕国投Ａ,4.07,4.14,4.05,4.11,4.11,-0.04,-0.9732,22178280,90521966.9
2019-06-17,'000563,陕国投Ａ,4.11,4.17,4.03,4.12,4.12,-0.01,-0.2427,31964060,131255466.76
2019-06-14,'000563,陕国投Ａ,4.12,4.29,4.11,4.24,4.23,-0.11,-2.6005,48839907,205442805.8
2019-06-13,'000563,陕国投Ａ,4.23,4.28,4.19,4.24,4.22,0.01,0.237,38935749,165144257.68
2019-06-12,'000563,陕国投Ａ,4.22,4.32,4.19,4.26,4.27,-0.05,-1.171,54677915,232311767.06
2019-06-11,'000563,陕国投Ａ,4.27,4.32,3.95,3.95,3.98,0.29,7.2864,94962352,395014644.32
2019-06-10,'000563,陕国投Ａ,3.98,4.17,3.86,4.14,4.16,-0.18,-4.3269,76999341,305480980.59
2019-06-06,'000563,陕国投Ａ,4.16,4.26,4.13,4.25,4.25,-0.09,-2.1176,38871059,162842877.71
2019-06-05,'000563,陕国投Ａ,4.25,4.33,4.24,4.31,4.26,-0.01,-0.2347,33168880,142099867.0
2019-06-04,'000563,陕国投Ａ,4.26,4.31,4.24,4.28,4.28,-0.02,-0.4673,32274478,137903403.96
2019-06-03,'000563,陕国投Ａ,4.28,4.39,4.26,4.33,4.32,-0.04,-0.9259,43482093,187494840.99
2019-05-31,'000563,陕国投Ａ,4.32,4.45,4.31,4.38,4.38,-0.06,-1.3699,40033141,174812644.92
2019-05-30,'000563,陕国投Ａ,4.38,4.47,4.31,4.45,4.51,-0.13,-2.8825,63472341,278044233.37
2019-05-29,'000563,陕国投Ａ,4.51,4.63,4.4,4.41,4.45,0.06,1.3483,92027674,415211020.15
2019-05-28,'000563,陕国投Ａ,4.45,4.55,4.42,4.48,4.51,-0.06,-1.3304,73181037,328071313.69
2019-05-27,'000563,陕国投Ａ,4.51,4.54,4.28,4.36,4.37,0.14,3.2037,110130658,488761441.57
2019-05-24,'000563,陕国投Ａ,4.37,4.44,4.28,4.28,4.34,0.03,0.6912,69813509,305998925.07
2019-05-23,'000563,陕国投Ａ,4.34,4.5,4.21,4.28,4.33,0.01,0.2309,88140906,384333510.29
2019-05-22,'000563,陕国投Ａ,4.33,4.42,4.27,4.4,4.43,-0.1,-2.2573,73099174,317045553.42
2019-05-21,'000563,陕国投Ａ,4.43,4.6,4.23,4.26,4.29,0.14,3.2634,111929764,493015058.34
2019-05-20,'000563,陕国投Ａ,4.29,4.33,4.12,4.17,4.15,0.14,3.3735,59368475,250844979.84
2019-05-17,'000563,陕国投Ａ,4.15,4.45,4.11,4.42,4.43,-0.28,-6.3205,87504059,371876476.33
2019-05-16,'000563,陕国投Ａ,4.43,4.52,4.4,4.42,4.45,-0.02,-0.4494,56586331,251209573.26
2019-05-15,'000563,陕国投Ａ,4.45,4.48,4.38,4.4,4.36,0.09,2.0642,65802925,291670021.75
2019-05-14,'000563,陕国投Ａ,4.36,4.48,4.3,4.33,4.4,-0.04,-0.9091,52654348,231990845.05
2019-05-13,'000563,陕国投Ａ,4.4,4.47,4.38,4.45,4.54,-0.14,-3.0837,57938456,256256384.11
2019-05-10,'000563,陕国投Ａ,4.54,4.66,4.29,4.39,4.34,0.2,4.6083,115683572,519015648.0
2019-05-09,'000563,陕国投Ａ,4.34,4.39,4.25,4.27,4.33,0.01,0.2309,55224354,239692763.98
2019-05-08,'000563,陕国投Ａ,4.33,4.43,4.19,4.21,4.35,-0.02,-0.4598,65427829,283669159.26
2019-05-07,'000563,陕国投Ａ,4.35,4.4,4.22,4.32,4.26,0.09,2.1127,73633308,318528025.49
2019-05-06,'000563,陕国投Ａ,4.26,4.56,4.13,4.3,4.54,-0.28,-6.1674,99780892,432531206.83
2019-04-30,'000563,陕国投Ａ,4.54,4.65,4.4,4.44,4.49,0.05,1.1136,76037379,346489519.84
2019-04-29,'000563,陕国投Ａ,4.49,5.0,4.49,4.95,4.99,-0.5,-10.02,144336237,673854385.47
2019-04-26,'000563,陕国投Ａ,4.99,5.2,4.95,5.01,5.22,-0.23,-4.4061,133144589,672747741.14
2019-04-25,'000563,陕国投Ａ,5.22,5.56,5.2,5.45,5.43,-0.21,-3.8674,185394965,1004531280.53
2019-04-24,'000563,陕国投Ａ,5.43,5.43,5.16,5.25,5.28,0.15,2.8409,137791226,733068485.68
2019-04-23,'000563,陕国投Ａ,5.28,5.49,5.1,5.2,5.21,0.07,1.3436,128589717,677901238.12
2019-04-22,'000563,陕国投Ａ,5.21,5.34,5.15,5.31,5.27,-0.06,-1.1385,89803397,470165492.77
2019-04-19,'000563,陕国投Ａ,5.27,5.32,5.2,5.2,5.19,0.08,1.5414,80727188,424692684.55
2019-04-18,'000563,陕国投Ａ,5.19,5.33,5.18,5.3,5.31,-0.12,-2.2599,91113286,476620452.89
2019-04-17,'000563,陕国投Ａ,5.31,5.45,5.29,5.38,5.41,-0.1,-1.8484,126311202,675927939.0
2019-04-16,'000563,陕国投Ａ,5.41,5.47,5.09,5.14,5.32,0.09,1.6917,169694166,893887886.71
2019-04-15,'000563,陕国投Ａ,5.32,5.84,5.31,5.78,5.6,-0.28,-5.0,241114621,1345905075.55
2019-04-12,'000563,陕国投Ａ,5.6,5.67,5.3,5.33,5.37,0.23,4.2831,248615922,1378797939.66
2019-04-11,'000563,陕国投Ａ,5.37,5.54,5.21,5.33,5.39,-0.02,-0.3711,154979336,832547410.92
2019-04-10,'000563,陕国投Ａ,5.39,5.53,5.3,5.48,5.55,-0.16,-2.8829,117794456,637477047.3
2019-04-09,'000563,陕国投Ａ,5.55,5.63,5.36,5.36,5.42,0.13,2.3985,151368467,830492353.54
2019-04-08,'000563,陕国投Ａ,5.42,5.63,5.36,5.6,5.58,-0.16,-2.8674,190770161,1040074595.25
2019-04-04,'000563,陕国投Ａ,5.58,5.81,5.56,5.8,5.73,-0.15,-2.6178,199397312,1126863555.51
2019-04-03,'000563,陕国投Ａ,5.73,5.83,5.48,5.65,5.62,0.11,1.9573,284851511,1622774889.63
