日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000564,供销大集,2.69,2.7,2.64,2.65,2.61,0.08,3.0651,19996501,53459646.02
2019-06-28,'000564,供销大集,2.61,2.68,2.59,2.67,2.68,-0.07,-2.6119,18829000,49389434.0
2019-06-27,'000564,供销大集,2.68,2.7,2.65,2.68,2.66,0.02,0.7519,15641100,41818427.0
2019-06-26,'000564,供销大集,2.66,2.69,2.65,2.69,2.68,-0.02,-0.7463,14439700,38558434.0
2019-06-25,'000564,供销大集,2.68,2.74,2.66,2.73,2.72,-0.04,-1.4706,19965411,53584217.37
2019-06-24,'000564,供销大集,2.72,2.76,2.7,2.74,2.75,-0.03,-1.0909,22486960,61299576.3
2019-06-21,'000564,供销大集,2.75,2.79,2.71,2.72,2.69,0.06,2.2305,37732621,103765844.24
2019-06-20,'000564,供销大集,2.69,2.71,2.62,2.64,2.64,0.05,1.8939,28231750,75392917.4
2019-06-19,'000564,供销大集,2.64,2.68,2.63,2.65,2.6,0.04,1.5385,23063900,61229286.0
2019-06-18,'000564,供销大集,2.6,2.62,2.57,2.61,2.61,-0.01,-0.3831,11463700,29766369.0
2019-06-17,'000564,供销大集,2.61,2.62,2.56,2.59,2.59,0.02,0.7722,12393810,32170696.1
2019-06-14,'000564,供销大集,2.59,2.68,2.59,2.65,2.66,-0.07,-2.6316,24856070,65469272.5
2019-06-13,'000564,供销大集,2.66,2.67,2.59,2.61,2.62,0.04,1.5267,27100310,71462084.25
2019-06-12,'000564,供销大集,2.62,2.68,2.6,2.65,2.66,-0.04,-1.5038,28677720,75482436.4
2019-06-11,'000564,供销大集,2.66,2.66,2.55,2.56,2.56,0.1,3.9063,31114910,81527958.22
2019-06-10,'000564,供销大集,2.56,2.6,2.53,2.56,2.56,0.0,0.0,17521711,44969284.69
2019-06-06,'000564,供销大集,2.56,2.63,2.55,2.63,2.63,-0.07,-2.6616,20857711,53708943.66
2019-06-05,'000564,供销大集,2.63,2.64,2.58,2.59,2.57,0.06,2.3346,21597150,56419419.0
2019-06-04,'000564,供销大集,2.57,2.64,2.55,2.63,2.62,-0.05,-1.9084,19394100,50397460.0
2019-06-03,'000564,供销大集,2.62,2.71,2.59,2.7,2.69,-0.07,-2.6022,21084950,55578142.0
2019-05-31,'000564,供销大集,2.69,2.72,2.67,2.69,2.68,0.01,0.3731,20046800,54033766.0
2019-05-30,'000564,供销大集,2.68,2.73,2.63,2.72,2.72,-0.04,-1.4706,19943100,53384642.0
2019-05-29,'000564,供销大集,2.72,2.76,2.71,2.73,2.75,-0.03,-1.0909,18605901,50778155.72
2019-05-28,'000564,供销大集,2.75,2.78,2.72,2.73,2.73,0.02,0.7326,17974989,49515397.85
2019-05-27,'000564,供销大集,2.73,2.76,2.62,2.69,2.7,0.03,1.1111,23928121,64555793.82
2019-05-24,'000564,供销大集,2.7,2.72,2.68,2.7,2.67,0.03,1.1236,18782600,50712396.0
2019-05-23,'000564,供销大集,2.67,2.79,2.65,2.78,2.78,-0.11,-3.9568,21863400,59333898.0
2019-05-22,'000564,供销大集,2.78,2.84,2.73,2.82,2.83,-0.05,-1.7668,23629931,66051859.02
2019-05-21,'000564,供销大集,2.83,2.86,2.77,2.79,2.81,0.02,0.7117,30486302,86116680.62
2019-05-20,'000564,供销大集,2.81,3.0,2.74,3.0,3.04,-0.23,-7.5658,54460436,152595090.72
2019-05-17,'000564,供销大集,3.04,3.17,2.99,3.16,3.14,-0.1,-3.1847,23472101,72397585.99
2019-05-16,'000564,供销大集,3.14,3.15,3.11,3.12,3.14,0.0,0.0,15329915,48048733.69
2019-05-15,'000564,供销大集,3.14,3.17,3.08,3.09,3.08,0.06,1.9481,16877049,52720068.76
2019-05-14,'000564,供销大集,3.08,3.12,3.05,3.06,3.1,-0.02,-0.6452,11356939,35069234.73
2019-05-13,'000564,供销大集,3.1,3.14,3.09,3.11,3.15,-0.05,-1.5873,12364900,38534265.0
2019-05-10,'000564,供销大集,3.15,3.16,3.02,3.09,3.07,0.08,2.6059,25008651,78011056.63
2019-05-09,'000564,供销大集,3.07,3.13,3.05,3.07,3.08,-0.01,-0.3247,15687600,48489433.0
2019-05-08,'000564,供销大集,3.08,3.15,2.98,3.0,3.08,0.0,0.0,25874700,79686823.0
2019-05-07,'000564,供销大集,3.08,3.15,3.0,3.12,3.1,-0.02,-0.6452,28115400,86147897.0
2019-05-06,'000564,供销大集,3.1,3.34,3.1,3.34,3.44,-0.34,-9.8837,46830070,149007943.99
2019-04-30,'000564,供销大集,3.44,3.57,3.43,3.48,3.52,-0.08,-2.2727,37938627,133037900.61
