日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000565,渝三峡Ａ,5.95,5.98,5.9,5.95,5.86,0.09,1.5358,4630696,27476449.24
2019-06-28,'000565,渝三峡Ａ,5.86,5.96,5.73,5.96,5.93,-0.07,-1.1804,2888094,16790246.39
2019-06-27,'000565,渝三峡Ａ,5.93,6.0,5.91,5.93,5.96,-0.03,-0.5034,3276432,19499001.66
2019-06-26,'000565,渝三峡Ａ,5.96,6.04,5.9,5.97,5.88,0.08,1.3605,3253180,19399107.53
2019-06-25,'000565,渝三峡Ａ,5.88,6.01,5.78,6.0,5.95,-0.07,-1.1765,4957569,29206751.25
2019-06-24,'000565,渝三峡Ａ,5.95,6.05,5.9,5.97,5.9,0.05,0.8475,5985979,35674692.35
2019-06-21,'000565,渝三峡Ａ,5.9,5.92,5.76,5.76,5.75,0.15,2.6087,6363258,37214423.26
2019-06-20,'000565,渝三峡Ａ,5.75,5.8,5.63,5.68,5.68,0.07,1.2324,5849202,33510659.88
2019-06-19,'000565,渝三峡Ａ,5.68,5.73,5.6,5.7,5.57,0.11,1.9749,5526513,31302861.63
2019-06-18,'000565,渝三峡Ａ,5.57,5.62,5.48,5.52,5.58,-0.01,-0.1792,2002947,11101955.77
2019-06-17,'000565,渝三峡Ａ,5.58,5.65,5.51,5.65,5.59,-0.01,-0.1789,2997550,16724369.0
2019-06-14,'000565,渝三峡Ａ,5.59,5.73,5.55,5.72,5.66,-0.07,-1.2367,3537750,19892270.5
2019-06-13,'000565,渝三峡Ａ,5.66,5.69,5.53,5.55,5.61,0.05,0.8913,3325500,18743268.5
2019-06-12,'000565,渝三峡Ａ,5.61,5.73,5.58,5.6,5.61,0.0,0.0,3478258,19614133.01
2019-06-11,'000565,渝三峡Ａ,5.61,5.61,5.38,5.42,5.38,0.23,4.2751,3760790,20798705.86
2019-06-10,'000565,渝三峡Ａ,5.38,5.44,5.3,5.3,5.29,0.09,1.7013,2549321,13694544.15
2019-06-06,'000565,渝三峡Ａ,5.29,5.54,5.26,5.51,5.51,-0.22,-3.9927,4515654,24152481.2
2019-06-05,'000565,渝三峡Ａ,5.51,5.62,5.49,5.58,5.51,0.0,0.0,2411145,13383799.65
2019-06-04,'000565,渝三峡Ａ,5.51,5.74,5.4,5.72,5.7,-0.19,-3.3333,3400149,18915953.56
2019-06-03,'000565,渝三峡Ａ,5.7,5.76,5.56,5.74,5.71,-0.01,-0.1751,3430501,19435246.6
2019-05-31,'000565,渝三峡Ａ,5.71,5.85,5.7,5.78,5.82,-0.11,-1.89,4878150,28180389.0
2019-05-30,'000565,渝三峡Ａ,5.82,5.97,5.67,5.89,5.88,-0.06,-1.0204,5918625,34589956.0
2019-05-29,'000565,渝三峡Ａ,5.89,5.95,5.82,5.88,5.89,0.0,0.0,3045405,17956004.88
2019-05-28,'000565,渝三峡Ａ,5.89,6.0,5.8,5.93,5.91,-0.02,-0.3384,5330542,31530489.32
2019-05-27,'000565,渝三峡Ａ,5.91,5.93,5.63,5.7,5.65,0.26,4.6018,6949052,40415890.0
2019-05-24,'000565,渝三峡Ａ,5.65,5.67,5.5,5.57,5.52,0.13,2.3551,5281382,29435358.49
2019-05-23,'000565,渝三峡Ａ,5.52,5.75,5.47,5.73,5.75,-0.23,-4.0,4623782,25904192.34
2019-05-22,'000565,渝三峡Ａ,5.75,5.94,5.64,5.86,5.88,-0.13,-2.2109,5436291,31377154.81
2019-05-21,'000565,渝三峡Ａ,5.88,5.93,5.77,5.77,5.76,0.12,2.0833,6474789,37952874.42
2019-05-20,'000565,渝三峡Ａ,5.76,6.05,5.42,6.04,5.96,-0.2,-3.3557,9172074,52092955.09
2019-05-17,'000565,渝三峡Ａ,5.96,6.33,5.9,6.24,6.29,-0.33,-5.2464,11058658,67469114.21
2019-05-16,'000565,渝三峡Ａ,6.29,6.47,6.18,6.36,6.36,-0.07,-1.1006,12292145,77404541.69
2019-05-15,'000565,渝三峡Ａ,6.36,6.59,6.35,6.36,6.51,-0.15,-2.3041,15204403,98075919.5
2019-05-14,'000565,渝三峡Ａ,6.51,6.58,5.98,6.22,6.22,0.29,4.6624,23175859,145108824.26
2019-05-13,'000565,渝三峡Ａ,6.22,6.22,5.61,5.64,5.65,0.57,10.0885,13767188,83070882.32
2019-05-10,'000565,渝三峡Ａ,5.65,5.68,5.4,5.48,5.46,0.19,3.4799,6658714,37079224.82
2019-05-09,'000565,渝三峡Ａ,5.46,5.59,5.43,5.43,5.5,-0.04,-0.7273,3026670,16652627.92
2019-05-08,'000565,渝三峡Ａ,5.5,5.62,5.31,5.4,5.54,-0.04,-0.722,4489202,24755862.24
2019-05-07,'000565,渝三峡Ａ,5.54,5.6,5.41,5.48,5.42,0.12,2.214,4982038,27372781.6
2019-05-06,'000565,渝三峡Ａ,5.42,6.0,5.4,6.0,6.0,-0.58,-9.6667,10399522,58998123.54
2019-04-30,'000565,渝三峡Ａ,6.0,6.03,5.8,5.85,5.82,0.18,3.0928,4561217,27225007.01
2019-04-29,'000565,渝三峡Ａ,5.82,6.25,5.73,6.19,6.16,-0.34,-5.5195,8523050,50705679.85
2019-04-26,'000565,渝三峡Ａ,6.16,6.35,6.15,6.25,6.25,-0.09,-1.44,5480980,34076619.3
2019-04-25,'000565,渝三峡Ａ,6.25,6.71,6.25,6.68,6.73,-0.48,-7.1322,10452239,67522460.72
2019-04-24,'000565,渝三峡Ａ,6.73,6.74,6.56,6.56,6.55,0.18,2.7481,7478834,49777605.88
2019-04-23,'000565,渝三峡Ａ,6.55,6.85,6.55,6.78,6.85,-0.3,-4.3796,10833470,72329742.62
2019-04-22,'000565,渝三峡Ａ,6.85,7.17,6.85,7.17,7.17,-0.32,-4.463,14481052,101029606.33
2019-04-19,'000565,渝三峡Ａ,7.17,7.27,6.78,6.85,6.95,0.22,3.1655,23799958,167651161.82
2019-04-18,'000565,渝三峡Ａ,6.95,6.95,6.58,6.76,6.76,0.19,2.8107,17268516,117444531.27
2019-04-17,'000565,渝三峡Ａ,6.76,6.83,6.71,6.79,6.8,-0.04,-0.5882,11748390,79510795.63
2019-04-16,'000565,渝三峡Ａ,6.8,6.88,6.51,6.88,6.9,-0.1,-1.4493,18325399,122121706.61
2019-04-15,'000565,渝三峡Ａ,6.9,7.09,6.83,7.0,6.9,0.0,0.0,13250131,92187599.33
2019-04-12,'000565,渝三峡Ａ,6.9,7.15,6.8,7.06,7.36,-0.46,-6.25,24850065,172988789.07
2019-04-11,'000565,渝三峡Ａ,7.36,8.19,7.3,7.9,7.88,-0.52,-6.599,43245290,336071849.75
2019-04-10,'000565,渝三峡Ａ,7.88,7.88,6.82,6.95,7.16,0.72,10.0559,46747829,351303511.39
2019-04-09,'000565,渝三峡Ａ,7.16,7.61,6.54,6.93,6.93,0.23,3.3189,34385800,240295862.53
2019-04-08,'000565,渝三峡Ａ,6.93,6.93,6.38,6.49,6.3,0.63,10.0,36776993,247172675.85
2019-04-04,'000565,渝三峡Ａ,6.3,6.33,6.06,6.14,6.16,0.14,2.2727,12631956,77996485.28
2019-04-03,'000565,渝三峡Ａ,6.16,6.3,6.04,6.1,6.12,0.04,0.6536,9479549,58344907.61
2019-04-02,'000565,渝三峡Ａ,6.12,6.17,6.07,6.13,6.14,-0.02,-0.3257,8491958,51939049.94
2019-04-01,'000565,渝三峡Ａ,6.14,6.14,5.92,5.98,5.9,0.24,4.0678,13739129,83068574.06
2019-03-29,'000565,渝三峡Ａ,5.9,5.93,5.7,5.78,5.81,0.09,1.5491,8081643,47352299.43
2019-03-28,'000565,渝三峡Ａ,5.81,5.93,5.6,5.84,5.86,-0.05,-0.8532,6446830,37513794.06
2019-03-27,'000565,渝三峡Ａ,5.86,5.98,5.81,5.9,5.89,-0.03,-0.5093,6535768,38394618.54
2019-03-26,'000565,渝三峡Ａ,5.89,6.04,5.73,6.0,5.97,-0.08,-1.34,7428994,43371893.24
2019-03-25,'000565,渝三峡Ａ,5.97,6.06,5.75,5.84,5.95,0.02,0.3361,10207700,60926591.77
2019-03-22,'000565,渝三峡Ａ,5.95,6.1,5.85,6.1,6.1,-0.15,-2.459,12668853,75242952.41
2019-03-21,'000565,渝三峡Ａ,6.1,6.32,5.83,5.95,6.01,0.09,1.4975,17463103,105537149.18
2019-03-20,'000565,渝三峡Ａ,6.01,6.14,5.82,5.92,5.87,0.14,2.385,11323083,67670141.92
2019-03-19,'000565,渝三峡Ａ,5.87,5.91,5.76,5.89,5.8,0.07,1.2069,7444277,43624295.06
2019-03-18,'000565,渝三峡Ａ,5.8,5.95,5.65,5.77,5.68,0.12,2.1127,7645237,44428109.29
2019-03-15,'000565,渝三峡Ａ,5.68,5.72,5.5,5.51,5.47,0.21,3.8391,5264653,29595483.92
2019-03-14,'000565,渝三峡Ａ,5.47,5.75,5.28,5.65,5.69,-0.22,-3.8664,6558845,36041164.6
2019-03-13,'000565,渝三峡Ａ,5.69,5.89,5.65,5.83,5.83,-0.14,-2.4014,6581944,38129164.53
2019-03-12,'000565,渝三峡Ａ,5.83,5.99,5.72,5.9,5.8,0.03,0.5172,10284847,60288056.19
2019-03-11,'000565,渝三峡Ａ,5.8,5.8,5.55,5.58,5.57,0.23,4.1293,8910852,50781916.78
2019-03-08,'000565,渝三峡Ａ,5.57,6.06,5.52,5.66,5.74,-0.17,-2.9617,16392074,95138577.9
2019-03-07,'000565,渝三峡Ａ,5.74,5.79,5.62,5.71,5.71,0.03,0.5254,9036548,51655908.59
2019-03-06,'000565,渝三峡Ａ,5.71,5.73,5.46,5.55,5.54,0.17,3.0686,11130504,62428268.67
2019-03-05,'000565,渝三峡Ａ,5.54,5.55,5.34,5.42,5.4,0.14,2.5926,8672555,47303107.29
2019-03-04,'000565,渝三峡Ａ,5.4,5.54,5.27,5.35,5.33,0.07,1.3133,9441888,50923513.58
2019-03-01,'000565,渝三峡Ａ,5.33,5.43,5.25,5.36,5.39,-0.06,-1.1132,4401985,23375067.08
2019-02-28,'000565,渝三峡Ａ,5.39,5.46,5.3,5.33,5.33,0.06,1.1257,5645987,30315981.48
2019-02-27,'000565,渝三峡Ａ,5.33,5.4,5.23,5.36,5.37,-0.04,-0.7449,5609635,29910107.19
2019-02-26,'000565,渝三峡Ａ,5.37,5.46,5.26,5.4,5.36,0.01,0.1866,9254669,49703667.52
2019-02-25,'000565,渝三峡Ａ,5.36,5.39,5.12,5.16,5.13,0.23,4.4834,10220002,54042197.75
2019-02-22,'000565,渝三峡Ａ,5.13,5.2,5.01,5.05,5.0,0.13,2.6,8037726,41170558.68
2019-02-21,'000565,渝三峡Ａ,5.0,5.2,4.99,5.02,4.99,0.01,0.2004,7259416,36942627.42
2019-02-20,'000565,渝三峡Ａ,4.99,5.05,4.93,4.98,5.0,-0.01,-0.2,3634783,18144543.97
2019-02-19,'000565,渝三峡Ａ,5.0,5.16,4.98,5.06,5.03,-0.03,-0.5964,6255244,31622549.79
2019-02-18,'000565,渝三峡Ａ,5.03,5.21,4.74,4.81,4.74,0.29,6.1181,8723827,43538383.09
