日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000566,海南海药,6.61,6.64,6.43,6.5,6.41,0.2,3.1201,29735875,193757300.28
2019-06-28,'000566,海南海药,6.41,6.52,6.33,6.46,6.34,0.07,1.1041,13674165,87725446.89
2019-06-27,'000566,海南海药,6.34,6.5,6.32,6.4,6.33,0.01,0.158,9458895,60415795.05
2019-06-26,'000566,海南海药,6.33,6.4,6.21,6.26,6.26,0.07,1.1182,7247704,45956702.69
2019-06-25,'000566,海南海药,6.26,6.42,6.18,6.41,6.41,-0.15,-2.3401,10704257,67082771.24
2019-06-24,'000566,海南海药,6.41,6.51,6.38,6.5,6.5,-0.09,-1.3846,8245173,52987231.36
2019-06-21,'000566,海南海药,6.5,6.57,6.41,6.44,6.41,0.09,1.4041,15802914,102606791.84
2019-06-20,'000566,海南海药,6.41,6.45,6.27,6.35,6.36,0.05,0.7862,11699445,74539712.78
2019-06-19,'000566,海南海药,6.36,6.55,6.34,6.5,6.34,0.02,0.3155,9960097,63774765.98
2019-06-18,'000566,海南海药,6.34,6.46,6.27,6.45,6.44,-0.1,-1.5528,8618300,54575656.0
2019-06-17,'000566,海南海药,6.44,6.5,6.23,6.26,6.21,0.23,3.7037,21280678,136311843.37
2019-06-14,'000566,海南海药,6.21,6.43,6.2,6.4,6.44,-0.23,-3.5714,12693179,80049168.29
2019-06-13,'000566,海南海药,6.44,6.48,6.28,6.38,6.25,0.19,3.04,15883359,101869017.23
2019-06-12,'000566,海南海药,6.25,6.32,6.13,6.2,6.2,0.05,0.8065,12188500,76070467.0
2019-06-11,'000566,海南海药,6.2,6.21,5.96,5.98,5.98,0.22,3.6789,11709650,71734410.86
2019-06-10,'000566,海南海药,5.98,6.07,5.86,5.93,5.94,0.04,0.6734,8373832,49840206.12
2019-06-06,'000566,海南海药,5.94,6.17,5.88,6.16,6.16,-0.22,-3.5714,12275934,73567139.7
2019-06-05,'000566,海南海药,6.16,6.28,6.12,6.25,6.18,-0.02,-0.3236,10406599,64480373.79
2019-06-04,'000566,海南海药,6.18,6.38,6.12,6.37,6.38,-0.2,-3.1348,14146806,87583458.78
2019-06-03,'000566,海南海药,6.38,6.68,6.36,6.62,6.61,-0.23,-3.4796,13603680,87806574.63
2019-05-31,'000566,海南海药,6.61,6.67,6.53,6.58,6.54,0.07,1.0703,13173208,86939932.64
2019-05-30,'000566,海南海药,6.54,6.68,6.46,6.68,6.71,-0.17,-2.5335,16169207,105635888.33
2019-05-29,'000566,海南海药,6.71,6.83,6.66,6.75,6.85,-0.14,-2.0438,18319108,123307099.41
2019-05-28,'000566,海南海药,6.85,7.2,6.8,7.2,6.86,-0.01,-0.1458,30758495,214994408.81
2019-05-27,'000566,海南海药,6.86,6.92,6.61,6.63,6.63,0.23,3.4691,14526477,99191819.32
2019-05-24,'000566,海南海药,6.63,6.72,6.51,6.62,6.62,0.01,0.1511,11906924,78927942.14
2019-05-23,'000566,海南海药,6.62,6.84,6.59,6.8,6.92,-0.3,-4.3353,18453467,124044877.17
2019-05-22,'000566,海南海药,6.92,7.19,6.52,6.62,6.62,0.3,4.5317,29028023,198200534.08
2019-05-21,'000566,海南海药,6.62,6.65,6.31,6.36,6.39,0.23,3.5994,16574073,108782311.64
2019-05-20,'000566,海南海药,6.39,6.65,6.06,6.65,6.69,-0.3,-4.4843,21540793,136826279.08
2019-05-17,'000566,海南海药,6.69,7.09,6.6,7.08,7.02,-0.33,-4.7009,24667243,167868280.26
2019-05-16,'000566,海南海药,7.02,7.12,6.76,6.79,6.81,0.21,3.0837,26397607,184656165.06
2019-05-15,'000566,海南海药,6.81,6.85,6.66,6.66,6.59,0.22,3.3384,22482689,152496230.58
2019-05-14,'000566,海南海药,6.59,6.75,6.46,6.58,6.71,-0.12,-1.7884,20046950,132252340.36
2019-05-13,'000566,海南海药,6.71,6.93,6.62,6.87,6.95,-0.24,-3.4532,25594470,173437830.26
2019-05-10,'000566,海南海药,6.95,7.06,6.5,6.75,6.73,0.22,3.2689,36750492,253313753.41
2019-05-09,'000566,海南海药,6.73,7.09,6.67,6.9,7.06,-0.33,-4.6742,35351962,242117803.43
2019-05-08,'000566,海南海药,7.06,7.34,7.06,7.11,7.84,-0.78,-9.949,59155042,423559076.94
2019-05-07,'000566,海南海药,7.84,8.36,7.81,7.9,8.68,-0.84,-9.6774,82465144,659916888.41
2019-05-06,'000566,海南海药,8.68,8.93,8.26,8.4,8.12,0.56,6.8966,114932820,999543473.48
2019-04-30,'000566,海南海药,0.0,0.0,0.0,0.0,8.12,None,None,0,0.0
2019-04-29,'000566,海南海药,0.0,0.0,0.0,0.0,8.12,None,None,0,0.0
2019-04-26,'000566,海南海药,8.12,8.9,7.98,8.72,8.87,-0.75,-8.4555,45362649,376628251.19
2019-04-25,'000566,海南海药,8.87,9.51,8.56,8.73,8.73,0.14,1.6037,70790790,641826287.39
2019-04-24,'000566,海南海药,8.73,8.93,8.12,8.2,8.19,0.54,6.5934,63444705,544268086.06
2019-04-23,'000566,海南海药,8.19,8.3,7.91,8.09,8.07,0.12,1.487,40606775,330981557.23
2019-04-22,'000566,海南海药,8.07,8.18,7.82,7.83,7.84,0.23,2.9337,39342400,317074596.81
2019-04-19,'000566,海南海药,7.84,7.89,7.68,7.71,7.71,0.13,1.6861,15892608,123866288.65
2019-04-18,'000566,海南海药,7.71,7.92,7.7,7.88,7.88,-0.17,-2.1574,17201653,133532071.51
2019-04-17,'000566,海南海药,7.88,8.06,7.66,7.66,7.72,0.16,2.0725,26214216,206765953.17
2019-04-16,'000566,海南海药,7.72,7.73,7.48,7.63,7.54,0.18,2.3873,16625099,126931558.52
2019-04-15,'000566,海南海药,7.54,7.92,7.51,7.86,7.72,-0.18,-2.3316,17754597,137450548.32
2019-04-12,'000566,海南海药,7.72,7.82,7.61,7.61,7.88,-0.16,-2.0305,18661642,144190846.77
2019-04-11,'000566,海南海药,7.88,8.36,7.86,8.34,8.29,-0.41,-4.9457,37829400,304975217.67
2019-04-10,'000566,海南海药,8.29,8.46,7.85,7.94,7.99,0.3,3.7547,56835280,465377369.17
2019-04-09,'000566,海南海药,7.99,8.04,7.61,7.68,7.73,0.26,3.3635,31656014,249898146.35
2019-04-08,'000566,海南海药,7.73,8.01,7.66,7.91,7.87,-0.14,-1.7789,30263624,237504729.91
2019-04-04,'000566,海南海药,7.87,8.05,7.81,8.02,8.01,-0.14,-1.7478,31787019,251095144.91
2019-04-03,'000566,海南海药,8.01,8.15,7.84,7.92,7.82,0.19,2.4297,38139051,305825641.88
2019-04-02,'000566,海南海药,7.82,7.93,7.73,7.81,7.79,0.03,0.3851,32166381,252216543.05
2019-04-01,'000566,海南海药,7.79,7.87,7.49,7.55,7.55,0.24,3.1788,38247579,296104337.82
2019-03-29,'000566,海南海药,7.55,7.66,7.11,7.35,7.41,0.14,1.8893,46518066,341649895.68
2019-03-28,'000566,海南海药,7.41,7.9,7.38,7.84,7.91,-0.5,-6.3211,38627927,295938056.62
2019-03-27,'000566,海南海药,7.91,8.12,7.7,8.0,8.04,-0.13,-1.6169,38091460,300408242.09
2019-03-26,'000566,海南海药,8.04,8.62,8.0,8.55,8.42,-0.38,-4.5131,45938579,376809337.51
2019-03-25,'000566,海南海药,8.42,8.94,7.89,8.0,8.17,0.25,3.06,62657307,527885186.74
2019-03-22,'000566,海南海药,8.17,8.22,7.92,8.18,8.16,0.01,0.1225,41003554,331363237.91
2019-03-21,'000566,海南海药,8.16,8.35,8.05,8.26,8.21,-0.05,-0.609,60248186,493781269.42
2019-03-20,'000566,海南海药,8.21,8.27,7.85,7.99,8.08,0.13,1.6089,65954416,534669262.3
