日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000567,海德股份,8.4,8.44,8.3,8.39,8.21,0.19,2.3143,5819675,48680455.85
2019-06-28,'000567,海德股份,8.21,8.32,7.97,8.23,8.34,-0.13,-1.5588,4830444,39383636.27
2019-06-27,'000567,海德股份,8.34,8.52,8.31,8.32,8.3,0.04,0.4819,5332870,44825944.08
2019-06-26,'000567,海德股份,8.3,8.4,8.24,8.32,8.44,-0.14,-1.6588,4208315,34984045.0
2019-06-25,'000567,海德股份,8.44,8.48,8.22,8.31,8.44,0.0,0.0,7652462,63696725.35
2019-06-24,'000567,海德股份,8.44,8.6,8.31,8.53,8.76,-0.32,-3.653,11656783,98587654.54
2019-06-21,'000567,海德股份,8.76,9.22,8.46,8.5,8.42,0.34,4.038,19984794,175994735.49
2019-06-20,'000567,海德股份,8.42,8.42,7.59,7.65,7.65,0.77,10.0654,7728685,62761839.25
2019-06-19,'000567,海德股份,7.65,7.87,7.65,7.85,7.63,0.02,0.2621,3057456,23735217.94
2019-06-18,'000567,海德股份,7.63,7.64,7.44,7.61,7.51,0.12,1.5979,2338896,17707164.58
2019-06-17,'000567,海德股份,7.51,7.75,7.47,7.73,7.73,-0.22,-2.8461,2859722,21649500.4
2019-06-14,'000567,海德股份,7.73,8.05,7.73,8.04,8.02,-0.29,-3.616,3351451,26343352.98
2019-06-13,'000567,海德股份,8.02,8.13,7.91,8.01,8.09,-0.07,-0.8653,3682108,29508586.65
2019-06-12,'000567,海德股份,11.78,11.97,11.69,11.85,11.89,-0.11,-0.9251,3122700,36845260.03
2019-06-11,'000567,海德股份,11.89,11.98,11.41,11.42,11.45,0.44,3.8428,3827722,44881477.68
2019-06-10,'000567,海德股份,11.45,11.46,11.2,11.32,11.31,0.14,1.2378,2180366,24759741.54
2019-06-06,'000567,海德股份,11.31,11.45,11.07,11.45,11.29,0.02,0.1771,2002300,22508257.0
2019-06-05,'000567,海德股份,11.29,11.44,11.24,11.31,11.2,0.09,0.8036,1804600,20431338.0
2019-06-04,'000567,海德股份,11.2,11.36,11.1,11.31,11.35,-0.15,-1.3216,1901600,21260142.0
2019-06-03,'000567,海德股份,11.35,11.74,11.34,11.57,11.54,-0.19,-1.6464,2616100,30098824.97
2019-05-31,'000567,海德股份,11.54,11.72,11.45,11.52,11.52,0.02,0.1736,2363065,27395352.95
2019-05-30,'000567,海德股份,11.52,11.61,11.36,11.52,11.65,-0.13,-1.1159,2437801,27946526.48
2019-05-29,'000567,海德股份,11.65,11.72,11.25,11.37,11.43,0.22,1.9248,3691599,42658371.45
2019-05-28,'000567,海德股份,11.43,11.65,11.37,11.5,11.6,-0.17,-1.4655,4233813,48647192.17
2019-05-27,'000567,海德股份,11.6,12.0,10.98,11.8,12.18,-0.58,-4.7619,9304520,106905924.74
2019-05-24,'000567,海德股份,12.18,12.66,12.18,12.48,12.9,-0.72,-5.5814,5414423,67115105.27
2019-05-23,'000567,海德股份,12.9,13.25,12.75,12.81,12.75,0.15,1.1765,9972538,129383112.72
2019-05-22,'000567,海德股份,12.75,13.0,12.25,12.56,12.76,-0.01,-0.0784,8417258,106343521.75
2019-05-21,'000567,海德股份,12.76,12.98,11.89,11.89,12.19,0.57,4.676,8065814,100567194.42
2019-05-20,'000567,海德股份,12.19,12.26,10.91,11.24,11.24,0.95,8.452,5260867,61138184.8
2019-05-17,'000567,海德股份,11.24,12.09,11.12,12.06,12.04,-0.8,-6.6445,4858712,56263292.82
2019-05-16,'000567,海德股份,12.04,12.11,11.97,12.03,12.03,0.01,0.0831,2979202,35878557.84
2019-05-15,'000567,海德股份,12.03,12.14,11.9,11.92,11.85,0.18,1.519,3486201,41890369.9
2019-05-14,'000567,海德股份,11.85,12.04,11.62,11.62,11.86,-0.01,-0.0843,2781711,32963497.15
2019-05-13,'000567,海德股份,11.86,12.03,11.81,11.97,12.0,-0.14,-1.1667,2451741,29192146.31
2019-05-10,'000567,海德股份,12.0,12.05,11.5,11.7,11.56,0.44,3.8062,4350236,51474645.44
2019-05-09,'000567,海德股份,11.56,11.79,11.53,11.55,11.65,-0.09,-0.7725,2254022,26309523.94
2019-05-08,'000567,海德股份,11.65,11.87,11.3,11.52,11.9,-0.25,-2.1008,3262848,38010588.0
2019-05-07,'000567,海德股份,11.9,12.6,11.6,12.6,12.12,-0.22,-1.8152,4986525,59758265.51
2019-05-06,'000567,海德股份,12.12,12.79,12.12,12.5,13.47,-1.35,-10.0223,5587642,68973516.4
2019-04-30,'000567,海德股份,13.47,13.79,13.23,13.38,13.45,0.02,0.1487,4063900,54889205.44
2019-04-29,'000567,海德股份,13.45,14.43,13.29,14.21,14.03,-0.58,-4.134,7803525,107428574.0
2019-04-26,'000567,海德股份,14.03,14.93,13.86,14.85,15.09,-1.06,-7.0245,10581930,151766766.09
2019-04-25,'000567,海德股份,15.09,15.82,15.05,15.75,16.1,-1.01,-6.2733,14632296,225910907.53
2019-04-24,'000567,海德股份,16.1,16.4,14.86,14.91,14.91,1.19,7.9812,22418393,354080349.18
2019-04-23,'000567,海德股份,14.91,15.5,14.52,14.87,14.9,0.01,0.0671,8338583,125278132.43
2019-04-22,'000567,海德股份,14.9,15.5,14.86,15.5,15.5,-0.6,-3.871,7581322,114766476.97
2019-04-19,'000567,海德股份,15.5,15.58,14.4,14.55,14.64,0.86,5.8743,10882302,163623290.71
2019-04-18,'000567,海德股份,14.64,15.05,14.52,14.97,15.07,-0.43,-2.8534,6291267,92777288.3
2019-04-17,'000567,海德股份,15.07,15.28,14.83,15.02,15.23,-0.16,-1.0506,10547408,158626213.57
2019-04-16,'000567,海德股份,15.23,15.28,14.1,14.6,14.76,0.47,3.1843,13362580,196348694.59
2019-04-15,'000567,海德股份,14.76,15.49,14.24,14.32,14.17,0.59,4.1637,14438406,216118440.07
2019-04-12,'000567,海德股份,14.17,14.39,14.0,14.19,14.02,0.15,1.0699,5216500,73882305.28
2019-04-11,'000567,海德股份,14.02,14.59,13.95,14.59,14.6,-0.58,-3.9726,5870735,83553666.16
2019-04-10,'000567,海德股份,14.6,14.8,14.25,14.61,14.55,0.05,0.3436,6829885,99360304.6
2019-04-09,'000567,海德股份,14.55,14.98,14.26,14.76,14.79,-0.24,-1.6227,9444183,137829984.76
2019-04-08,'000567,海德股份,14.79,15.71,14.6,14.91,14.81,-0.02,-0.135,13177059,198832061.12
2019-04-04,'000567,海德股份,14.81,15.1,14.3,14.32,14.24,0.57,4.0028,13968589,205895227.8
2019-04-03,'000567,海德股份,14.24,14.32,13.85,14.0,13.98,0.26,1.8598,7900317,111771372.2
2019-04-02,'000567,海德股份,13.98,14.33,13.79,13.86,13.85,0.13,0.9386,8727311,122435598.61
2019-04-01,'000567,海德股份,13.85,14.04,13.35,13.41,13.32,0.53,3.979,7964665,109187838.62
2019-03-29,'000567,海德股份,13.32,13.34,12.62,12.84,12.85,0.47,3.6576,5471100,71451414.53
2019-03-28,'000567,海德股份,12.85,13.21,12.8,13.0,13.02,-0.17,-1.3057,3885805,50561756.45
2019-03-27,'000567,海德股份,13.02,13.38,12.72,13.22,13.21,-0.19,-1.4383,4340041,56405449.59
2019-03-26,'000567,海德股份,13.21,13.9,13.1,13.58,13.52,-0.31,-2.2929,5673500,76876417.89
2019-03-25,'000567,海德股份,13.52,13.93,13.51,13.77,14.03,-0.51,-3.6351,5518544,75848640.02
2019-03-22,'000567,海德股份,14.03,14.18,13.74,14.1,14.07,-0.04,-0.2843,6511946,90632497.14
2019-03-21,'000567,海德股份,14.07,14.34,13.82,13.95,13.87,0.2,1.442,9836050,138890002.26
2019-03-20,'000567,海德股份,13.87,14.04,13.54,13.88,13.92,-0.05,-0.3592,6547273,90083824.52
2019-03-19,'000567,海德股份,13.92,13.97,13.4,13.48,13.44,0.48,3.5714,7576053,104037260.92
2019-03-18,'000567,海德股份,13.44,13.49,13.12,13.25,13.3,0.14,1.0526,4572636,61035822.0
2019-03-15,'000567,海德股份,13.3,13.49,13.12,13.22,13.18,0.12,0.9105,5162372,68745544.73
2019-03-14,'000567,海德股份,13.18,13.93,12.92,13.74,13.7,-0.52,-3.7956,7025037,93622496.8
2019-03-13,'000567,海德股份,13.7,14.5,13.7,14.24,14.25,-0.55,-3.8596,9990931,140746705.53
2019-03-12,'000567,海德股份,14.25,14.77,13.82,13.88,13.88,0.37,2.6657,13961731,198773307.19
2019-03-11,'000567,海德股份,13.88,14.1,13.23,13.26,13.31,0.57,4.2825,9444917,129245339.12
2019-03-08,'000567,海德股份,13.31,13.73,13.2,13.65,13.96,-0.65,-4.6562,11294270,151867619.9
2019-03-07,'000567,海德股份,13.96,14.24,13.7,14.21,14.2,-0.24,-1.6901,11923582,166671050.03
2019-03-06,'000567,海德股份,14.2,14.28,13.51,13.7,13.8,0.4,2.8986,13943315,193224788.07
2019-03-05,'000567,海德股份,13.8,13.84,13.41,13.5,13.76,0.04,0.2907,8099730,110343457.42
2019-03-04,'000567,海德股份,13.76,14.03,13.32,13.56,13.42,0.34,2.5335,11039931,150746976.55
2019-03-01,'000567,海德股份,13.42,13.59,13.17,13.31,13.23,0.19,1.4361,6981040,93044025.19
2019-02-28,'000567,海德股份,13.23,13.61,13.0,13.6,13.77,-0.54,-3.9216,8742546,115841272.29
2019-02-27,'000567,海德股份,13.77,14.07,13.5,13.78,13.62,0.15,1.1013,11871305,164396490.4
2019-02-26,'000567,海德股份,13.62,14.3,13.48,14.3,14.09,-0.47,-3.3357,15296768,212435792.59
2019-02-25,'000567,海德股份,14.09,14.09,13.13,13.58,12.81,1.28,9.9922,16946966,231330407.9
2019-02-22,'000567,海德股份,12.81,12.99,11.99,12.12,12.2,0.61,5.0,10486784,130899221.79
2019-02-21,'000567,海德股份,12.2,12.6,12.0,12.16,12.27,-0.07,-0.5705,7504883,92845692.59
2019-02-20,'000567,海德股份,12.27,12.61,12.1,12.6,12.6,-0.33,-2.619,7499155,91913505.74
2019-02-19,'000567,海德股份,12.6,13.08,11.92,12.06,12.1,0.5,4.1322,10927175,137433206.59
2019-02-18,'000567,海德股份,12.1,12.26,11.47,11.58,11.59,0.51,4.4003,8006497,96241434.45
2019-02-15,'000567,海德股份,11.59,12.12,11.01,11.1,11.1,0.49,4.4144,7588398,88147643.55
2019-02-14,'000567,海德股份,11.1,11.19,10.95,11.05,11.09,0.01,0.0902,2546384,28217652.55
2019-02-13,'000567,海德股份,11.09,11.19,10.82,10.84,10.88,0.21,1.9301,2881603,31738818.26
2019-02-12,'000567,海德股份,10.88,11.02,10.67,10.76,10.77,0.11,1.0214,2251509,24526294.47
2019-02-11,'000567,海德股份,10.77,10.8,10.48,10.56,10.57,0.2,1.8921,1523051,16277382.64
2019-02-01,'000567,海德股份,10.57,10.57,10.1,10.16,10.07,0.5,4.9652,2351179,24343451.83
2019-01-31,'000567,海德股份,10.07,10.46,9.95,10.3,10.33,-0.26,-2.5169,1970423,20063606.88
2019-01-30,'000567,海德股份,10.33,10.52,10.24,10.32,10.33,0.0,0.0,1301100,13505008.0
2019-01-29,'000567,海德股份,10.33,10.79,10.26,10.79,10.8,-0.47,-4.3519,2006597,20912547.31
2019-01-28,'000567,海德股份,10.8,11.06,10.8,10.94,10.89,-0.09,-0.8264,1578859,17253888.19
2019-01-25,'000567,海德股份,10.89,11.1,10.87,11.07,11.06,-0.17,-1.5371,1967271,21630763.75
2019-01-24,'000567,海德股份,11.06,11.2,11.04,11.05,11.06,0.0,0.0,1520975,16889427.4
2019-01-23,'000567,海德股份,11.06,11.4,11.05,11.27,11.3,-0.24,-2.1239,1810088,20171091.73
