日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000568,泸州老窖,83.65,84.8,82.9,83.0,80.83,2.82,3.4888,17597588,1477894072.74
2019-06-28,'000568,泸州老窖,80.83,82.2,79.54,80.93,80.93,-0.1,-0.1236,10790322,874303404.26
2019-06-27,'000568,泸州老窖,80.93,81.66,76.63,76.63,76.24,4.69,6.1516,18465996,1476931431.05
2019-06-26,'000568,泸州老窖,76.24,77.17,75.9,76.95,77.2,-0.96,-1.2435,7881403,602002489.03
2019-06-25,'000568,泸州老窖,77.2,78.5,75.3,76.88,76.9,0.3,0.3901,13421221,1028645603.55
2019-06-24,'000568,泸州老窖,76.9,78.88,75.0,75.92,75.8,1.1,1.4512,16282940,1258011673.25
2019-06-21,'000568,泸州老窖,75.8,76.25,73.76,74.57,74.16,1.64,2.2114,18485131,1386870739.45
2019-06-20,'000568,泸州老窖,74.16,74.95,70.67,70.79,71.0,3.16,4.4507,20759795,1524276747.41
2019-06-19,'000568,泸州老窖,71.0,72.15,70.85,71.8,69.7,1.3,1.8651,11546970,825325894.04
2019-06-18,'000568,泸州老窖,69.7,70.43,68.5,69.88,69.82,-0.12,-0.1719,7692758,533591415.13
2019-06-17,'000568,泸州老窖,69.82,70.89,69.07,70.1,70.24,-0.42,-0.5979,7674802,536832620.42
2019-06-14,'000568,泸州老窖,70.24,72.1,69.8,70.73,70.73,-0.49,-0.6928,9821547,695344309.93
2019-06-13,'000568,泸州老窖,70.73,71.67,69.89,71.4,71.29,-0.56,-0.7855,8817660,622357800.59
2019-06-12,'000568,泸州老窖,71.29,72.44,70.35,71.6,72.05,-0.76,-1.0548,10718205,766992208.0
2019-06-11,'000568,泸州老窖,72.05,72.57,68.56,68.56,67.91,4.14,6.0963,25231335,1792719190.69
2019-06-10,'000568,泸州老窖,67.91,68.78,65.67,66.82,66.8,1.11,1.6617,13112067,883272264.45
2019-06-06,'000568,泸州老窖,66.8,68.48,66.57,68.35,68.16,-1.36,-1.9953,11876507,798968513.47
2019-06-05,'000568,泸州老窖,68.16,69.6,67.58,68.99,67.9,0.26,0.3829,11223206,767188633.06
2019-06-04,'000568,泸州老窖,67.9,70.29,67.44,70.0,69.6,-1.7,-2.4425,16442565,1121115565.74
2019-06-03,'000568,泸州老窖,69.6,71.98,69.13,70.8,70.63,-1.03,-1.4583,13361775,935694346.9
2019-05-31,'000568,泸州老窖,70.63,72.4,69.85,72.0,72.0,-1.37,-1.9028,12955432,918276157.83
2019-05-30,'000568,泸州老窖,72.0,74.0,71.06,73.33,73.79,-1.79,-2.4258,12656432,911548547.58
2019-05-29,'000568,泸州老窖,73.79,75.14,72.5,72.9,73.99,-0.2,-0.2703,11293266,835276424.54
2019-05-28,'000568,泸州老窖,73.99,73.99,71.45,72.0,72.31,1.68,2.3233,14069252,1028122324.4
2019-05-27,'000568,泸州老窖,72.31,73.3,69.88,72.07,72.2,0.11,0.1524,13501230,965886125.56
2019-05-24,'000568,泸州老窖,72.2,72.5,70.1,70.56,70.55,1.65,2.3388,17665092,1262231387.01
2019-05-23,'000568,泸州老窖,70.55,73.2,69.98,72.68,73.65,-3.1,-4.2091,17125972,1220225740.19
2019-05-22,'000568,泸州老窖,73.65,75.34,72.5,75.34,75.74,-2.09,-2.7594,14028260,1033290860.24
2019-05-21,'000568,泸州老窖,75.74,76.25,72.6,73.78,74.1,1.64,2.2132,18118990,1351857288.29
2019-05-20,'000568,泸州老窖,74.1,77.1,71.3,77.0,77.35,-3.25,-4.2017,24527486,1804593472.51
2019-05-17,'000568,泸州老窖,77.35,81.19,76.5,80.01,81.0,-3.65,-4.5062,22875722,1791288389.24
2019-05-16,'000568,泸州老窖,81.0,82.32,77.1,79.3,77.72,3.28,4.2203,21567607,1727505916.71
2019-05-15,'000568,泸州老窖,77.72,77.72,71.8,71.8,70.65,7.07,10.0071,20349809,1526038393.92
2019-05-14,'000568,泸州老窖,70.65,72.86,69.5,69.5,71.7,-1.05,-1.4644,14394978,1028343989.72
2019-05-13,'000568,泸州老窖,71.7,73.26,68.18,70.5,71.81,-0.11,-0.1532,15957037,1141213510.12
2019-05-10,'000568,泸州老窖,71.81,72.38,67.88,68.8,67.7,4.11,6.0709,20522409,1442261992.41
2019-05-09,'000568,泸州老窖,67.7,70.95,65.8,70.07,71.22,-3.52,-4.9424,20990047,1421358972.65
2019-05-08,'000568,泸州老窖,71.22,73.06,69.07,70.0,72.32,-1.1,-1.521,12550771,898992206.37
2019-05-07,'000568,泸州老窖,72.32,73.6,70.2,70.5,70.5,1.82,2.5816,20121745,1454510145.74
2019-05-06,'000568,泸州老窖,70.5,75.9,70.09,75.9,77.88,-7.38,-9.4761,24671868,1772250752.37
2019-04-30,'000568,泸州老窖,77.88,79.55,75.61,76.18,76.37,1.51,1.9772,12079231,940017564.45
2019-04-29,'000568,泸州老窖,76.37,79.98,74.01,75.65,75.43,0.94,1.2462,18569379,1433994486.23
