日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000571,*ST大洲,2.14,2.24,2.03,2.18,2.14,0.0,0.0,22957533,49165945.76
2019-06-28,'000571,*ST大洲,2.14,2.14,2.04,2.04,2.04,0.1,4.902,23563967,49833053.2
2019-06-27,'000571,*ST大洲,2.04,2.04,1.98,2.03,1.94,0.1,5.1546,13205342,26677530.58
2019-06-26,'000571,*ST大洲,1.94,1.94,1.83,1.85,1.85,0.09,4.8649,12963261,24746403.48
2019-06-25,'000571,*ST大洲,1.85,1.86,1.78,1.81,1.82,0.03,1.6484,8328405,15231691.57
2019-06-24,'000571,*ST大洲,1.82,1.88,1.81,1.84,1.84,-0.02,-1.087,9821550,17989991.56
2019-06-21,'000571,*ST大洲,1.84,1.84,1.79,1.81,1.75,0.09,5.1429,18885632,34445458.79
2019-06-20,'000571,*ST大洲,1.75,1.83,1.74,1.82,1.83,-0.08,-4.3716,19459035,34054350.92
2019-06-19,'000571,*ST大洲,1.83,1.87,1.82,1.86,1.83,0.0,0.0,6521949,12010264.62
2019-06-18,'000571,*ST大洲,1.83,1.85,1.81,1.82,1.83,0.0,0.0,8049622,14730079.81
2019-06-17,'000571,*ST大洲,1.83,1.91,1.82,1.87,1.92,-0.09,-4.6875,12009512,22233558.14
2019-06-14,'000571,*ST大洲,1.92,1.99,1.91,1.97,1.98,-0.06,-3.0303,12974931,25244461.75
2019-06-13,'000571,*ST大洲,1.98,1.98,1.85,1.87,1.89,0.09,4.7619,18757036,36301286.06
2019-06-12,'000571,*ST大洲,1.89,1.91,1.83,1.84,1.9,-0.01,-0.5263,12652787,23736015.23
2019-06-11,'000571,*ST大洲,1.9,1.96,1.9,1.92,2.0,-0.1,-5.0,26082498,49808459.98
2019-06-10,'000571,*ST大洲,2.0,2.12,2.0,2.1,2.1,-0.1,-4.7619,11901500,24069202.0
2019-06-06,'000571,*ST大洲,2.1,2.17,2.09,2.17,2.16,-0.06,-2.7778,5433782,11512817.81
2019-06-05,'000571,*ST大洲,2.16,2.19,2.16,2.17,2.16,0.0,0.0,2923800,6348289.0
2019-06-04,'000571,*ST大洲,2.16,2.2,2.13,2.18,2.16,0.0,0.0,6084976,13162588.67
2019-06-03,'000571,*ST大洲,2.16,2.23,2.14,2.21,2.21,-0.05,-2.2624,8346536,18287285.4
2019-05-31,'000571,*ST大洲,2.21,2.26,2.18,2.2,2.2,0.01,0.4545,5634436,12594039.06
2019-05-30,'000571,*ST大洲,2.2,2.27,2.17,2.18,2.2,0.0,0.0,10765903,23983623.95
2019-05-29,'000571,*ST大洲,2.2,2.24,2.12,2.21,2.23,-0.03,-1.3453,13275043,29022387.58
2019-05-28,'000571,*ST大洲,2.23,2.28,2.22,2.25,2.26,-0.03,-1.3274,9470789,21301308.36
2019-05-27,'000571,*ST大洲,2.26,2.3,2.16,2.19,2.2,0.06,2.7273,14966243,33640606.09
2019-05-24,'000571,*ST大洲,2.2,2.21,2.09,2.19,2.19,0.01,0.4566,23024743,49563542.15
2019-05-23,'000571,*ST大洲,2.19,2.29,2.19,2.25,2.3,-0.11,-4.7826,16575097,36721151.2
2019-05-22,'000571,*ST大洲,2.3,2.38,2.29,2.35,2.35,-0.05,-2.1277,9473400,22140872.18
2019-05-21,'000571,*ST大洲,2.35,2.38,2.34,2.34,2.37,-0.02,-0.8439,8091200,19091790.12
2019-05-20,'000571,*ST大洲,2.37,2.43,2.34,2.37,2.36,0.01,0.4237,14231615,33899105.85
2019-05-17,'000571,*ST大洲,2.36,2.42,2.33,2.39,2.41,-0.05,-2.0747,15012976,35718783.84
2019-05-16,'000571,*ST大洲,2.41,2.42,2.3,2.36,2.38,0.03,1.2605,20214366,47924780.62
2019-05-15,'000571,*ST大洲,2.38,2.53,2.38,2.53,2.5,-0.12,-4.8,42611931,103333771.12
2019-05-14,'000571,*ST大洲,2.5,2.6,2.5,2.55,2.63,-0.13,-4.943,21979470,55380088.35
2019-05-13,'000571,*ST大洲,2.63,2.67,2.5,2.63,2.57,0.06,2.3346,34912193,90557325.81
2019-05-10,'000571,*ST大洲,2.57,2.57,2.36,2.48,2.45,0.12,4.898,44634774,111673238.15
2019-05-09,'000571,*ST大洲,2.45,2.45,2.27,2.27,2.33,0.12,5.1502,41464023,99579972.28
2019-05-08,'000571,*ST大洲,2.33,2.37,2.16,2.18,2.26,0.07,3.0973,46119362,106348117.01
2019-05-07,'000571,*ST大洲,2.26,2.31,2.26,2.26,2.38,-0.12,-5.042,52235942,118245557.96
2019-05-06,'000571,*ST大洲,2.38,2.38,2.38,2.38,2.5,-0.12,-4.8,3466100,8249318.0
2019-04-30,'000571,*ST大洲,2.5,2.5,2.5,2.5,2.63,-0.13,-4.943,2724000,6810000.0
2019-04-29,'000571,ST大洲,0.0,0.0,0.0,0.0,2.63,None,None,0,0.0
