日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000572,*ST 海马,2.02,2.03,2.0,2.01,1.99,0.03,1.5075,10123070,20434129.3
2019-06-28,'000572,*ST 海马,1.99,2.01,1.98,2.01,2.01,-0.02,-0.995,8075160,16114368.4
2019-06-27,'000572,*ST 海马,2.01,2.05,2.01,2.03,2.03,-0.02,-0.9852,10111874,20495039.71
2019-06-26,'000572,*ST 海马,2.03,2.05,1.99,2.0,2.01,0.02,0.995,13630887,27631855.49
2019-06-25,'000572,*ST 海马,2.01,2.03,1.99,2.02,2.02,-0.01,-0.495,7942520,15921902.1
2019-06-24,'000572,*ST 海马,2.02,2.03,2.0,2.03,2.04,-0.02,-0.9804,9041135,18202687.81
2019-06-21,'000572,*ST 海马,2.04,2.08,2.01,2.02,1.99,0.05,2.5126,17847970,36322157.86
2019-06-20,'000572,*ST 海马,1.99,2.0,1.96,1.97,1.98,0.01,0.5051,10315528,20413423.45
2019-06-19,'000572,*ST 海马,1.98,2.02,1.97,2.01,1.98,0.0,0.0,7770670,15473393.9
2019-06-18,'000572,*ST 海马,1.98,1.99,1.96,1.99,1.98,0.0,0.0,6300369,12456883.93
2019-06-17,'000572,*ST 海马,1.98,2.03,1.98,2.02,2.01,-0.03,-1.4925,8803334,17542721.06
2019-06-14,'000572,*ST 海马,2.01,2.06,2.01,2.05,2.06,-0.05,-2.4272,13734765,28000290.77
2019-06-13,'000572,*ST 海马,2.06,2.09,1.98,1.99,2.0,0.06,3.0,16550380,33701751.0
2019-06-12,'000572,*ST 海马,2.0,2.02,1.98,2.0,2.0,0.0,0.0,9981510,19907066.0
2019-06-11,'000572,*ST 海马,2.0,2.01,1.93,1.95,1.95,0.05,2.5641,15840058,31280056.58
2019-06-10,'000572,*ST 海马,1.95,1.97,1.94,1.95,1.95,0.0,0.0,10337400,20179872.0
2019-06-06,'000572,*ST 海马,1.95,2.02,1.95,2.0,2.01,-0.06,-2.9851,12480664,24752001.3
2019-06-05,'000572,*ST 海马,2.01,2.03,2.0,2.01,2.0,0.01,0.5,10158881,20461459.6
2019-06-04,'000572,*ST 海马,2.0,2.01,1.99,2.0,1.99,0.01,0.5025,10053500,20078936.0
2019-06-03,'000572,*ST 海马,1.99,2.02,1.98,1.99,1.99,0.0,0.0,11734400,23455784.0
2019-05-31,'000572,*ST 海马,1.99,2.0,1.96,1.97,1.97,0.02,1.0152,12558731,24893402.38
2019-05-30,'000572,*ST 海马,1.97,1.98,1.96,1.98,1.99,-0.02,-1.005,9035000,17805445.0
2019-05-29,'000572,*ST 海马,1.99,2.01,1.97,1.97,1.98,0.01,0.5051,12850812,25556374.76
2019-05-28,'000572,*ST 海马,1.98,2.03,1.96,1.97,1.98,0.0,0.0,18663299,37444760.48
2019-05-27,'000572,*ST 海马,1.98,2.0,1.94,1.96,1.98,0.0,0.0,17183563,33756062.21
2019-05-24,'000572,*ST 海马,1.98,1.98,1.91,1.93,1.95,0.03,1.5385,23468398,45556580.28
2019-05-23,'000572,*ST 海马,1.95,2.0,1.95,1.99,2.02,-0.07,-3.4653,22464343,44359901.14
2019-05-22,'000572,*ST 海马,2.02,2.05,1.97,2.04,2.05,-0.03,-1.4634,31524687,63421786.52
2019-05-21,'000572,*ST 海马,2.05,2.06,2.01,2.03,2.04,0.01,0.4902,18346087,37516049.02
2019-05-20,'000572,*ST 海马,2.04,2.11,2.0,2.09,2.1,-0.06,-2.8571,25307027,51432598.85
2019-05-17,'000572,*ST 海马,2.1,2.19,2.08,2.14,2.14,-0.04,-1.8692,28852602,61544354.29
2019-05-16,'000572,*ST 海马,2.14,2.19,2.12,2.17,2.09,0.05,2.3923,34463521,74055799.14
2019-05-15,'000572,*ST 海马,2.09,2.1,2.05,2.08,2.06,0.03,1.4563,17839161,37066611.26
2019-05-14,'000572,*ST 海马,2.06,2.11,2.03,2.04,2.08,-0.02,-0.9615,16146061,33433211.88
2019-05-13,'000572,*ST 海马,2.08,2.11,2.07,2.1,2.14,-0.06,-2.8037,24356254,50864636.32
2019-05-10,'000572,*ST 海马,2.14,2.15,2.05,2.12,2.1,0.04,1.9048,40437643,85413402.3
2019-05-09,'000572,*ST 海马,2.1,2.17,2.08,2.13,2.15,-0.05,-2.3256,35119711,74893180.23
2019-05-08,'000572,*ST 海马,2.15,2.22,2.03,2.06,2.11,0.04,1.8957,59495031,129545243.85
2019-05-07,'000572,*ST 海马,2.11,2.15,2.04,2.06,2.1,0.01,0.4762,38136520,80032686.64
2019-05-06,'000572,*ST 海马,2.1,2.14,2.1,2.13,2.21,-0.11,-4.9774,32406440,68383864.4
2019-04-30,'000572,*ST 海马,2.21,2.28,2.2,2.23,2.32,-0.11,-4.7414,74716082,166326516.41
2019-04-29,'000572,*ST 海马,2.32,2.43,2.32,2.4,2.44,-0.12,-4.918,22936600,53654825.0
2019-04-26,'000572,*ST 海马,2.44,2.47,2.44,2.44,2.57,-0.13,-5.0584,77631300,189532034.65
2019-04-25,'000572,*ST 海马,2.57,2.67,2.57,2.57,2.7,-0.13,-4.8148,83876820,216002337.34
2019-04-24,'000572,*ST 海马,2.7,2.7,2.7,2.7,2.84,-0.14,-4.9296,3459600,9340920.0
2019-04-23,'000572,海马汽车,0.0,0.0,0.0,0.0,2.84,None,None,0,0.0
2019-04-22,'000572,海马汽车,2.84,2.92,2.83,2.86,2.98,-0.14,-4.698,68875790,197609550.12
2019-04-19,'000572,海马汽车,2.98,3.08,2.82,2.86,2.92,0.06,2.0548,102737513,304924153.74
2019-04-18,'000572,海马汽车,2.92,3.08,2.89,3.06,3.03,-0.11,-3.6304,92212811,274268278.98
2019-04-17,'000572,海马汽车,3.03,3.1,2.79,2.85,2.86,0.17,5.9441,120155155,355328817.43
2019-04-16,'000572,海马汽车,2.86,2.89,2.76,2.86,2.83,0.03,1.0601,50015240,141379628.2
2019-04-15,'000572,海马汽车,2.83,2.94,2.81,2.91,2.97,-0.14,-4.7138,68972894,198280460.2
2019-04-12,'000572,海马汽车,2.97,3.02,2.79,2.89,2.89,0.08,2.7682,106141834,311822882.08
2019-04-11,'000572,海马汽车,2.89,3.03,2.81,2.83,2.83,0.06,2.1201,101631082,298100536.43
2019-04-10,'000572,海马汽车,2.83,2.95,2.69,2.73,2.77,0.06,2.1661,75293494,212057702.28
2019-04-09,'000572,海马汽车,2.77,2.78,2.63,2.7,2.72,0.05,1.8382,47561961,129663160.02
2019-04-08,'000572,海马汽车,2.72,2.82,2.68,2.79,2.79,-0.07,-2.509,49789961,136468168.15
2019-04-04,'000572,海马汽车,2.79,2.8,2.71,2.72,2.74,0.05,1.8248,53463449,147786326.41
2019-04-03,'000572,海马汽车,2.74,2.75,2.67,2.71,2.72,0.02,0.7353,41327110,111915656.88
2019-04-02,'000572,海马汽车,2.72,2.75,2.69,2.73,2.71,0.01,0.369,46414494,125989131.66
2019-04-01,'000572,海马汽车,2.71,2.73,2.62,2.63,2.63,0.08,3.0418,49515481,133436506.82
2019-03-29,'000572,海马汽车,2.63,2.65,2.52,2.57,2.6,0.03,1.1538,45865978,119266973.99
2019-03-28,'000572,海马汽车,2.6,2.73,2.59,2.7,2.79,-0.19,-6.81,59457030,158206760.4
2019-03-27,'000572,海马汽车,2.79,2.83,2.58,2.7,2.7,0.09,3.3333,86355063,233445213.4
2019-03-26,'000572,海马汽车,2.7,2.92,2.68,2.86,2.9,-0.2,-6.8966,79832633,221687461.07
2019-03-25,'000572,海马汽车,2.9,3.04,2.9,2.94,3.07,-0.17,-5.5375,85354935,251972565.92
2019-03-22,'000572,海马汽车,3.07,3.27,2.88,2.99,3.12,-0.05,-1.6026,151264535,457743171.68
2019-03-21,'000572,海马汽车,3.12,3.27,2.97,3.01,2.97,0.15,5.0505,213379897,670847566.66
2019-03-20,'000572,海马汽车,2.97,2.97,2.7,2.71,2.7,0.27,10.0,123683475,360190239.01
2019-03-19,'000572,海马汽车,2.7,2.77,2.68,2.74,2.78,-0.08,-2.8777,44747400,121801630.0
2019-03-18,'000572,海马汽车,2.78,2.88,2.62,2.72,2.72,0.06,2.2059,65709603,180751524.8
2019-03-15,'000572,海马汽车,2.72,2.76,2.57,2.57,2.57,0.15,5.8366,62831176,167279798.92
2019-03-14,'000572,海马汽车,2.57,2.74,2.52,2.67,2.69,-0.12,-4.461,42285759,109902646.6
2019-03-13,'000572,海马汽车,2.69,2.81,2.66,2.8,2.83,-0.14,-4.947,45698010,125736136.92
2019-03-12,'000572,海马汽车,2.83,2.9,2.78,2.83,2.82,0.01,0.3546,57934373,164108224.28
2019-03-11,'000572,海马汽车,2.82,2.82,2.68,2.68,2.73,0.09,3.2967,43175992,119796389.0
2019-03-08,'000572,海马汽车,2.73,2.94,2.72,2.86,3.01,-0.28,-9.3023,80835791,230663487.23
2019-03-07,'000572,海马汽车,3.01,3.08,2.85,3.0,2.86,0.15,5.2448,170259387,508794714.49
2019-03-06,'000572,海马汽车,2.86,2.86,2.59,2.6,2.6,0.26,10.0,60094892,163867920.65
2019-03-05,'000572,海马汽车,2.6,2.67,2.49,2.52,2.56,0.04,1.5625,66901849,172474226.42
2019-03-04,'000572,海马汽车,2.56,2.66,2.51,2.54,2.55,0.01,0.3922,72736444,186735511.89
2019-03-01,'000572,海马汽车,2.55,2.62,2.48,2.55,2.65,-0.1,-3.7736,73566458,186959498.33
2019-02-28,'000572,海马汽车,2.65,2.69,2.48,2.51,2.52,0.13,5.1587,90752981,233918426.52
2019-02-27,'000572,海马汽车,2.52,2.58,2.41,2.43,2.46,0.06,2.439,65076423,162736275.02
2019-02-26,'000572,海马汽车,2.46,2.55,2.35,2.4,2.4,0.06,2.5,62584143,152634785.28
2019-02-25,'000572,海马汽车,2.4,2.4,2.29,2.29,2.29,0.11,4.8035,47244863,110859725.28
2019-02-22,'000572,海马汽车,2.29,2.31,2.22,2.27,2.28,0.01,0.4386,27005440,60863356.7
2019-02-21,'000572,海马汽车,2.28,2.37,2.23,2.25,2.26,0.02,0.885,40900658,93980988.01
2019-02-20,'000572,海马汽车,2.26,2.32,2.24,2.25,2.24,0.02,0.8929,30981700,70551089.05
2019-02-19,'000572,海马汽车,2.24,2.26,2.2,2.21,2.21,0.03,1.3575,28005000,62411714.0
