»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,≥…Ωª¡ø,≥…ΩªΩ∂Ó
2019-07-01,'000573,‘¡∫Í‘∂£¡,3.42,3.43,3.36,3.36,3.35,0.07,2.0896,6295063,21415853.92
2019-06-28,'000573,‘¡∫Í‘∂£¡,3.35,3.39,3.31,3.36,3.36,-0.01,-0.2976,4036093,13535656.83
2019-06-27,'000573,‘¡∫Í‘∂£¡,3.36,3.4,3.36,3.4,3.36,0.0,0.0,3259337,11013764.84
2019-06-26,'000573,‘¡∫Í‘∂£¡,3.36,3.41,3.34,3.36,3.34,0.02,0.5988,4366046,14736218.84
2019-06-25,'000573,‘¡∫Í‘∂£¡,3.34,3.39,3.32,3.39,3.38,-0.04,-1.1834,4524615,15161811.25
2019-06-24,'000573,‘¡∫Í‘∂£¡,3.38,3.4,3.34,3.37,3.35,0.03,0.8955,6170412,20863974.06
2019-06-21,'000573,‘¡∫Í‘∂£¡,3.35,3.39,3.33,3.36,3.28,0.07,2.1341,5554408,18603156.78
2019-06-20,'000573,‘¡∫Í‘∂£¡,3.34,3.36,3.28,3.29,3.29,0.05,1.5198,5299476,17628550.29
2019-06-19,'000573,‘¡∫Í‘∂£¡,3.29,3.34,3.27,3.28,3.24,0.05,1.5432,4400221,14558332.09
2019-06-18,'000573,‘¡∫Í‘∂£¡,3.24,3.28,3.22,3.26,3.28,-0.04,-1.2195,3344300,10861849.0
2019-06-17,'000573,‘¡∫Í‘∂£¡,3.28,3.3,3.25,3.26,3.28,0.0,0.0,3589100,11725328.01
2019-06-14,'000573,‘¡∫Í‘∂£¡,3.28,3.36,3.26,3.34,3.33,-0.05,-1.5015,4748004,15752207.98
2019-06-13,'000573,‘¡∫Í‘∂£¡,3.33,3.35,3.28,3.3,3.3,0.03,0.9091,3483536,11564241.8
2019-06-12,'000573,‘¡∫Í‘∂£¡,3.3,3.36,3.3,3.33,3.32,-0.02,-0.6024,4739924,15781441.28
2019-06-11,'000573,‘¡∫Í‘∂£¡,3.32,3.33,3.2,3.2,3.22,0.1,3.1056,5842010,19153240.8
2019-06-10,'000573,‘¡∫Í‘∂£¡,3.22,3.22,3.14,3.17,3.17,0.05,1.5773,4610417,14742157.23
2019-06-06,'000573,‘¡∫Í‘∂£¡,3.17,3.25,3.15,3.24,3.23,-0.06,-1.8576,3778900,12044053.0
2019-06-05,'000573,‘¡∫Í‘∂£¡,3.23,3.32,3.22,3.31,3.27,-0.04,-1.2232,7611600,24902741.0
2019-06-04,'000573,‘¡∫Í‘∂£¡,3.27,3.4,3.22,3.4,3.39,-0.12,-3.5398,7548201,24980761.24
2019-06-03,'000573,‘¡∫Í‘∂£¡,3.39,3.45,3.34,3.35,3.36,0.03,0.8929,11176101,37956077.39
2019-05-31,'000573,‘¡∫Í‘∂£¡,3.36,3.39,3.34,3.35,3.34,0.02,0.5988,3730000,12546900.0
2019-05-30,'000573,‘¡∫Í‘∂£¡,3.34,3.39,3.32,3.37,3.37,-0.03,-0.8902,4239921,14199647.04
2019-05-29,'000573,‘¡∫Í‘∂£¡,3.37,3.41,3.37,3.38,3.38,-0.01,-0.2959,3184600,10790794.0
2019-05-28,'000573,‘¡∫Í‘∂£¡,3.38,3.41,3.36,3.37,3.38,0.0,0.0,4542600,15381002.0
2019-05-27,'000573,‘¡∫Í‘∂£¡,3.38,3.39,3.28,3.32,3.32,0.06,1.8072,4323709,14447025.0
2019-05-24,'000573,‘¡∫Í‘∂£¡,3.32,3.35,3.28,3.3,3.33,-0.01,-0.3003,4095237,13561271.47
2019-05-23,'000573,‘¡∫Í‘∂£¡,3.33,3.43,3.31,3.41,3.42,-0.09,-2.6316,5034717,16921932.27
2019-05-22,'000573,‘¡∫Í‘∂£¡,3.42,3.47,3.4,3.45,3.47,-0.05,-1.4409,4148800,14240570.0
2019-05-21,'000573,‘¡∫Í‘∂£¡,3.47,3.48,3.37,3.38,3.41,0.06,1.7595,5219001,18028882.45
2019-05-20,'000573,‘¡∫Í‘∂£¡,3.41,3.47,3.36,3.45,3.45,-0.04,-1.1594,4680158,15902814.23
2019-05-17,'000573,‘¡∫Í‘∂£¡,3.45,3.6,3.44,3.59,3.59,-0.14,-3.8997,7513519,26476724.12
2019-05-16,'000573,‘¡∫Í‘∂£¡,3.59,3.62,3.53,3.54,3.53,0.06,1.6997,6926436,24780612.71
2019-05-15,'000573,‘¡∫Í‘∂£¡,3.53,3.56,3.48,3.49,3.46,0.07,2.0231,5587055,19695705.54
