日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000576,广东甘化,9.4,9.55,9.2,9.2,9.15,0.25,2.7322,12597116,117512297.24
2019-06-28,'000576,广东甘化,9.15,9.58,8.61,8.76,8.76,0.39,4.4521,15815056,142015768.9
2019-06-27,'000576,广东甘化,8.76,8.85,8.39,8.46,8.42,0.34,4.038,10578376,90926687.0
2019-06-26,'000576,广东甘化,8.42,8.51,8.35,8.44,8.5,-0.08,-0.9412,3492233,29435591.4
2019-06-25,'000576,广东甘化,8.5,8.63,8.41,8.54,8.59,-0.09,-1.0477,4232969,35994674.55
2019-06-24,'000576,广东甘化,8.59,8.74,8.53,8.74,8.68,-0.09,-1.0369,4427700,38162472.1
2019-06-21,'000576,广东甘化,8.68,8.84,8.56,8.6,8.52,0.16,1.8779,7205807,62689527.82
2019-06-20,'000576,广东甘化,8.52,8.59,8.33,8.54,8.49,0.03,0.3534,7298273,61693831.5
2019-06-19,'000576,广东甘化,8.49,8.67,8.47,8.61,8.43,0.06,0.7117,5508698,47113049.9
2019-06-18,'000576,广东甘化,8.43,8.57,8.23,8.43,8.52,-0.09,-1.0563,5103010,42819670.6
2019-06-17,'000576,广东甘化,8.52,8.64,8.46,8.64,8.52,0.0,0.0,3559996,30324094.04
2019-06-14,'000576,广东甘化,8.52,8.86,8.41,8.8,8.73,-0.21,-2.4055,6963490,59830080.86
2019-06-13,'000576,广东甘化,8.73,8.87,8.62,8.67,8.65,0.08,0.9249,6630594,57941674.21
2019-06-12,'000576,广东甘化,8.65,8.96,8.6,8.84,8.84,-0.19,-2.1493,7972900,69881923.0
2019-06-11,'000576,广东甘化,8.84,8.92,8.46,8.6,8.59,0.25,2.9104,9301911,81280212.09
2019-06-10,'000576,广东甘化,8.59,8.74,8.52,8.69,8.52,0.07,0.8216,4664199,40246184.99
2019-06-06,'000576,广东甘化,8.52,8.99,8.43,8.93,8.83,-0.31,-3.5108,7724504,66777209.96
2019-06-05,'000576,广东甘化,8.83,9.0,8.42,8.42,8.33,0.5,6.0024,11992988,104637095.32
2019-06-04,'000576,广东甘化,8.33,8.94,7.92,8.84,8.8,-0.47,-5.3409,12224138,102509188.47
2019-06-03,'000576,广东甘化,8.8,9.06,8.76,8.76,9.11,-0.31,-3.4029,7710211,68188828.51
2019-05-31,'000576,广东甘化,9.11,9.27,9.06,9.17,9.22,-0.11,-1.1931,6378537,58342225.8
2019-05-30,'000576,广东甘化,9.22,9.46,9.09,9.38,9.55,-0.33,-3.4555,11320135,104292003.33
2019-05-29,'000576,广东甘化,9.55,9.83,9.2,9.32,9.22,0.33,3.5792,14375067,136363383.04
2019-05-28,'000576,广东甘化,9.22,9.49,9.15,9.4,9.29,-0.07,-0.7535,7951931,74148540.95
2019-05-27,'000576,广东甘化,9.29,9.37,8.96,9.07,8.78,0.51,5.8087,11260954,103407002.81
2019-05-24,'000576,广东甘化,8.78,9.22,8.77,9.15,9.12,-0.34,-3.7281,7635288,68335847.86
2019-05-23,'000576,广东甘化,9.12,9.41,9.08,9.35,9.37,-0.25,-2.6681,6312802,58015426.58
2019-05-22,'000576,广东甘化,9.37,9.55,9.28,9.4,9.46,-0.09,-0.9514,6374167,60123195.7
2019-05-21,'000576,广东甘化,9.46,9.55,9.17,9.32,9.27,0.19,2.0496,6971750,65648973.9
2019-05-20,'000576,广东甘化,9.27,9.5,8.7,9.15,9.28,-0.01,-0.1078,6889597,62618689.36
2019-05-17,'000576,广东甘化,9.28,9.95,9.21,9.94,9.87,-0.59,-5.9777,10964399,104024247.86
2019-05-16,'000576,广东甘化,9.87,9.97,9.7,9.87,9.87,0.0,0.0,8661639,85092340.03
2019-05-15,'000576,广东甘化,9.87,9.88,9.5,9.6,9.46,0.41,4.334,10152591,98677391.9
2019-05-14,'000576,广东甘化,9.46,9.66,9.33,9.33,9.43,0.03,0.3181,7973776,75945528.93
2019-05-13,'000576,广东甘化,9.43,9.64,9.3,9.5,9.69,-0.26,-2.6832,8947515,84768062.17
2019-05-10,'000576,广东甘化,9.69,9.76,9.12,9.46,9.4,0.29,3.0851,12543665,120227903.53
2019-05-09,'000576,广东甘化,9.4,9.96,9.27,9.89,9.86,-0.46,-4.6653,16254072,156113660.06
2019-05-08,'000576,广东甘化,9.86,10.19,9.0,9.16,9.26,0.6,6.4795,19056483,184914720.32
2019-05-07,'000576,广东甘化,9.26,9.42,8.99,9.2,8.99,0.27,3.0033,14195095,131205759.18
2019-05-06,'000576,广东甘化,8.99,9.89,8.99,9.8,9.99,-1.0,-10.01,13953633,130664806.86
2019-04-30,'000576,广东甘化,9.99,10.44,9.62,9.76,10.21,-0.22,-2.1548,14178601,142514456.14
2019-04-29,'000576,广东甘化,10.21,10.65,9.95,10.21,10.33,-0.12,-1.1617,13667478,141023262.44
2019-04-26,'000576,广东甘化,10.33,11.27,10.33,11.18,11.28,-0.95,-8.422,12347549,133280499.02
2019-04-25,'000576,广东甘化,11.28,11.95,11.23,11.7,11.71,-0.43,-3.6721,15305007,177588804.85
2019-04-24,'000576,广东甘化,11.71,11.74,11.17,11.29,11.29,0.42,3.7201,15970250,183306604.1
2019-04-23,'000576,广东甘化,11.29,11.53,11.15,11.3,11.28,0.01,0.0887,13625611,154916884.08
2019-04-22,'000576,广东甘化,11.28,12.09,11.1,11.99,11.84,-0.56,-4.7297,17712354,206233559.89
2019-04-19,'000576,广东甘化,11.84,11.85,11.28,11.65,11.66,0.18,1.5437,18288587,210979070.41
2019-04-18,'000576,广东甘化,11.66,12.11,11.58,11.73,11.85,-0.19,-1.6034,19028411,225722275.44
2019-04-17,'000576,广东甘化,11.85,12.16,11.6,11.76,11.82,0.03,0.2538,18374150,218914489.7
2019-04-16,'000576,广东甘化,11.82,12.19,11.52,12.0,12.3,-0.48,-3.9024,28995526,342567059.27
2019-04-15,'000576,广东甘化,12.3,13.15,12.3,12.76,12.25,0.05,0.4082,36161739,457923112.35
2019-04-12,'000576,广东甘化,12.25,12.77,11.67,11.82,11.87,0.38,3.2013,35094984,430910010.7
2019-04-11,'000576,广东甘化,11.87,12.33,11.04,11.48,11.39,0.48,4.2142,39544694,461726076.68
2019-04-10,'000576,广东甘化,11.39,12.86,11.33,11.53,11.91,-0.52,-4.3661,56648843,684792260.97
2019-04-09,'000576,广东甘化,11.91,11.91,10.5,10.61,10.83,1.08,9.9723,52596997,598857015.55
2019-04-08,'000576,广东甘化,10.83,10.95,10.08,10.14,10.15,0.68,6.6995,31289073,327079442.79
2019-04-04,'000576,广东甘化,10.15,10.52,10.04,10.4,10.37,-0.22,-2.1215,15987610,162796726.3
2019-04-03,'000576,广东甘化,10.37,10.58,10.25,10.5,10.65,-0.28,-2.6291,20582333,213811192.66
2019-04-02,'000576,广东甘化,10.65,10.9,9.92,10.1,10.05,0.6,5.9701,34096676,352531899.78
2019-04-01,'000576,广东甘化,10.05,10.1,9.69,9.8,9.64,0.41,4.2531,17927688,178250468.15
2019-03-29,'000576,广东甘化,9.64,9.76,9.28,9.52,9.49,0.15,1.5806,14129800,135112314.0
2019-03-28,'000576,广东甘化,9.49,9.8,9.3,9.56,9.59,-0.1,-1.0428,12494124,119795588.21
2019-03-27,'000576,广东甘化,9.59,10.23,9.22,10.12,9.99,-0.4,-4.004,17460796,168885187.65
2019-03-26,'000576,广东甘化,9.99,10.54,9.94,10.22,10.13,-0.14,-1.382,18701526,191294734.11
2019-03-25,'000576,广东甘化,10.13,10.42,9.8,9.94,9.96,0.17,1.7068,24177295,248160934.66
2019-03-22,'000576,广东甘化,9.96,10.17,9.8,10.08,10.18,-0.22,-2.1611,15451301,153565413.87
