日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2011-03-21,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-18,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-17,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-16,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-15,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-14,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-11,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-10,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-09,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-08,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-07,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-04,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-03,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-02,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-03-01,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-02-28,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-02-25,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-02-24,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-02-23,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-02-22,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-02-21,'000578,盐湖集团,0.0,0.0,0.0,0.0,24.44,None,None,0,0.0
2011-02-18,'000578,盐湖集团,24.44,25.5,24.31,25.5,25.8,-1.36,-5.2713,9690507,239758907.46
2011-02-17,'000578,盐湖集团,25.8,26.28,24.7,25.05,25.04,0.76,3.0351,8997799,231073883.13
2011-02-16,'000578,盐湖集团,25.04,25.09,24.11,24.2,24.51,0.53,2.1624,5585721,137770585.02
2011-02-15,'000578,盐湖集团,24.51,24.91,24.06,24.91,24.99,-0.48,-1.9208,5046714,123722118.61
2011-02-14,'000578,盐湖集团,24.99,25.07,24.6,24.86,24.86,0.13,0.5229,4494667,111781619.32
2011-02-11,'000578,盐湖集团,24.86,25.0,24.3,24.7,24.75,0.11,0.4444,3115098,76385759.65
2011-02-10,'000578,盐湖集团,24.75,25.17,24.32,24.7,24.75,0.0,0.0,2998301,74124231.85
2011-02-09,'000578,盐湖集团,24.75,25.17,23.71,23.98,24.03,0.72,2.9963,5049030,125219387.12
2011-02-01,'000578,盐湖集团,24.03,24.5,23.11,24.3,24.5,-0.47,-1.9184,3603838,86217946.52
2011-01-31,'000578,盐湖集团,24.5,24.96,23.81,24.88,24.25,0.25,1.0309,6766295,165000540.5
2011-01-28,'000578,盐湖集团,24.25,24.39,22.8,23.0,22.44,1.81,8.066,5415930,127087669.71
2011-01-27,'000578,盐湖集团,22.44,22.44,20.63,20.8,20.4,2.04,10.0,3392203,74605395.17
2011-01-26,'000578,盐湖集团,0.0,0.0,0.0,0.0,20.4,None,None,0,0.0
2011-01-25,'000578,盐湖集团,20.4,21.39,20.18,21.3,21.23,-0.83,-3.9096,1444281,29723288.61
2011-01-24,'000578,盐湖集团,21.23,22.88,21.13,22.57,22.58,-1.35,-5.9787,1796141,38732244.8
2011-01-21,'000578,盐湖集团,22.58,22.74,22.31,22.5,22.5,0.08,0.3556,1253627,28324387.83
2011-01-20,'000578,盐湖集团,22.5,23.29,22.38,23.29,23.32,-0.82,-3.5163,1921302,43835825.4
2011-01-19,'000578,盐湖集团,23.32,23.33,22.71,22.88,22.7,0.62,2.7313,1117410,25830496.25
2011-01-18,'000578,盐湖集团,22.7,23.12,22.51,23.07,23.12,-0.42,-1.8166,837398,19054071.32
2011-01-17,'000578,盐湖集团,23.12,23.93,22.15,23.93,24.1,-0.98,-4.0664,2588112,59737642.23
2011-01-14,'000578,盐湖集团,24.1,24.95,23.93,24.8,24.68,-0.58,-2.3501,1386242,33549981.66
2011-01-13,'000578,盐湖集团,24.68,24.99,24.38,24.65,24.3,0.38,1.5638,1556913,38379938.43
2011-01-12,'000578,盐湖集团,24.3,24.4,24.06,24.2,24.12,0.18,0.7463,1070564,25898958.38
2011-01-11,'000578,盐湖集团,24.12,24.66,23.9,24.58,24.58,-0.46,-1.8714,2118663,51235971.38
2011-01-10,'000578,盐湖集团,24.58,25.22,24.26,24.9,24.88,-0.3,-1.2058,2287064,56629131.28
2011-01-07,'000578,盐湖集团,24.88,26.14,24.58,25.93,25.91,-1.03,-3.9753,5261174,133301144.9
2011-01-06,'000578,盐湖集团,25.91,26.9,25.72,26.8,26.88,-0.97,-3.6086,3303619,86344926.55
2011-01-05,'000578,盐湖集团,26.88,27.17,26.0,26.45,26.58,0.3,1.1287,3634005,96791230.81
2011-01-04,'000578,盐湖集团,26.58,27.11,26.25,26.75,26.66,-0.08,-0.3001,3732323,99058499.23
2010-12-31,'000578,盐湖集团,26.66,26.72,25.5,25.7,25.8,0.86,3.3333,2771487,72646721.24
2010-12-30,'000578,盐湖集团,25.8,26.01,25.2,25.42,25.45,0.35,1.3752,1834278,47221567.35
2010-12-29,'000578,盐湖集团,25.45,25.74,25.2,25.74,25.6,-0.15,-0.5859,1375310,34876695.59
2010-12-28,'000578,盐湖集团,25.6,26.05,24.8,25.2,25.23,0.37,1.4665,3816165,96654361.9
2010-12-27,'000578,盐湖集团,25.23,26.44,25.2,25.56,25.82,-0.59,-2.2851,3177472,81955249.63
2010-12-24,'000578,盐湖集团,25.82,27.02,25.8,27.0,27.58,-1.76,-6.3814,4089437,106777686.78
2010-12-23,'000578,盐湖集团,27.58,28.99,27.06,27.99,27.21,0.37,1.3598,9227621,259155538.27
2010-12-22,'000578,盐湖集团,27.21,28.3,26.32,26.61,26.31,0.9,3.4208,6249881,172050091.95
2010-12-21,'000578,盐湖集团,26.31,26.38,25.75,25.99,25.89,0.42,1.6222,1824536,47607832.37
2010-12-20,'000578,盐湖集团,25.89,26.9,25.2,26.6,26.6,-0.71,-2.6692,2365741,61610215.09
2010-12-17,'000578,盐湖集团,26.6,26.96,26.25,26.7,26.88,-0.28,-1.0417,1893166,50169766.26
2010-12-16,'000578,盐湖集团,26.88,27.1,26.6,26.88,27.09,-0.21,-0.7752,2212112,59226346.18
2010-12-15,'000578,盐湖集团,27.09,27.65,26.33,26.38,26.44,0.65,2.4584,5497192,149767181.55
2010-12-14,'000578,盐湖集团,26.44,26.61,26.0,26.6,26.6,-0.16,-0.6015,4163411,109644511.12
2010-12-13,'000578,盐湖集团,26.6,26.8,25.28,25.3,24.96,1.64,6.5705,5933244,155148880.41
2010-12-10,'000578,盐湖集团,24.96,25.0,24.12,24.35,24.4,0.56,2.2951,1567508,38673419.59
2010-12-09,'000578,盐湖集团,24.4,25.24,24.39,25.24,25.25,-0.85,-3.3663,2533282,62411950.08
2010-12-08,'000578,盐湖集团,25.25,25.95,25.15,25.5,25.73,-0.48,-1.8655,2452996,62603259.05
2010-12-07,'000578,盐湖集团,25.73,25.88,24.8,25.32,25.31,0.42,1.6594,2704243,68896857.38
2010-12-06,'000578,盐湖集团,25.31,25.68,24.79,24.79,24.71,0.6,2.4282,2861537,72355574.49
2010-12-03,'000578,盐湖集团,24.71,25.1,24.52,25.0,24.98,-0.27,-1.0809,1523792,37724549.58
2010-12-02,'000578,盐湖集团,24.98,25.56,24.84,25.2,24.75,0.23,0.9293,2549073,64404860.38
2010-12-01,'000578,盐湖集团,24.75,25.25,24.71,25.22,25.25,-0.5,-1.9802,1908978,47594431.18
2010-11-30,'000578,盐湖集团,25.25,26.77,24.5,26.42,26.38,-1.13,-4.2835,3118354,79185147.57
2010-11-29,'000578,盐湖集团,26.38,27.19,26.06,27.13,27.13,-0.75,-2.7645,3150334,83228534.83
2010-11-26,'000578,盐湖集团,27.13,27.46,26.11,26.46,26.4,0.73,2.7652,5032037,135672478.67
2010-11-25,'000578,盐湖集团,26.4,26.49,25.71,26.0,25.76,0.64,2.4845,3569152,93262987.64
2010-11-24,'000578,盐湖集团,25.76,25.98,24.8,25.0,25.27,0.49,1.9391,2621102,67161133.16
2010-11-23,'000578,盐湖集团,25.27,26.49,24.8,26.32,26.54,-1.27,-4.7852,3187200,80870605.17
2010-11-22,'000578,盐湖集团,26.54,26.8,25.8,26.0,26.4,0.14,0.5303,3220501,85114810.06
2010-11-19,'000578,盐湖集团,26.4,26.4,25.2,25.71,25.66,0.74,2.8839,3127417,80434088.33
2010-11-18,'000578,盐湖集团,25.66,25.97,24.82,25.4,25.21,0.45,1.785,2158044,54932099.25
2010-11-17,'000578,盐湖集团,25.21,26.08,25.0,25.48,25.8,-0.59,-2.2868,2899160,74084015.09
2010-11-16,'000578,盐湖集团,25.8,27.78,25.5,27.78,27.74,-1.94,-6.9935,4469754,119127517.59
2010-11-15,'000578,盐湖集团,27.74,28.7,27.0,28.16,28.11,-0.37,-1.3163,4199657,115805230.53
