日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000582,北部湾港,9.16,9.36,8.95,9.09,9.0,0.16,1.7778,11233812,102024499.15
2019-06-28,'000582,北部湾港,9.0,9.05,8.59,8.77,8.77,0.23,2.6226,8007270,71039910.18
2019-06-27,'000582,北部湾港,8.77,8.81,8.72,8.77,8.78,-0.01,-0.1139,3314838,29044413.02
2019-06-26,'000582,北部湾港,8.78,8.84,8.67,8.71,8.71,0.07,0.8037,1769474,15521917.07
2019-06-25,'000582,北部湾港,8.71,8.81,8.67,8.8,8.79,-0.08,-0.9101,3567672,31143761.38
2019-06-24,'000582,北部湾港,8.79,8.85,8.76,8.83,8.81,-0.02,-0.227,3157642,27786231.15
2019-06-21,'000582,北部湾港,8.81,8.98,8.77,8.87,8.87,-0.06,-0.6764,6241479,55309294.83
2019-06-20,'000582,北部湾港,8.87,8.95,8.79,8.83,8.84,0.03,0.3394,7741651,68725245.26
2019-06-19,'000582,北部湾港,8.84,8.92,8.79,8.8,8.7,0.14,1.6092,5723606,50586054.48
2019-06-18,'000582,北部湾港,8.7,8.79,8.51,8.55,8.58,0.12,1.3986,3128359,27154282.71
2019-06-17,'000582,北部湾港,8.58,8.62,8.45,8.47,8.5,0.08,0.9412,1934820,16557292.7
2019-06-14,'000582,北部湾港,8.5,8.74,8.47,8.71,8.65,-0.15,-1.7341,3070890,26348516.9
2019-06-13,'000582,北部湾港,8.65,8.78,8.55,8.66,8.56,0.09,1.0514,5083306,44112943.02
2019-06-12,'000582,北部湾港,8.56,8.63,8.42,8.52,8.58,-0.02,-0.2331,5005446,42820994.46
2019-06-11,'000582,北部湾港,8.58,8.66,8.15,8.2,8.21,0.37,4.5067,5753451,48757664.09
2019-06-10,'000582,北部湾港,8.21,8.24,8.03,8.1,8.08,0.13,1.6089,2036460,16625092.8
2019-06-06,'000582,北部湾港,8.19,8.38,8.16,8.36,8.31,-0.12,-1.444,2880440,23712842.2
2019-06-05,'000582,北部湾港,8.31,8.62,8.3,8.6,8.55,-0.24,-2.807,4887150,41155410.3
2019-06-04,'000582,北部湾港,8.55,8.74,8.38,8.62,8.58,-0.03,-0.3497,6229908,53355646.56
2019-06-03,'000582,北部湾港,8.58,8.85,8.55,8.58,8.54,0.04,0.4684,6532380,56782719.2
2019-05-31,'000582,北部湾港,8.54,8.58,8.41,8.52,8.49,0.05,0.5889,2816360,24006759.8
2019-05-30,'000582,北部湾港,8.49,8.6,8.4,8.6,8.61,-0.12,-1.3937,3070858,26018581.46
2019-05-29,'000582,北部湾港,8.61,8.75,8.57,8.67,8.68,-0.07,-0.8065,3299495,28507722.38
