ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2006-05-09,'000583,*ST ÍÐÆÕ,0.0,0.0,0.0,0.0,0.76,None,None,0,0.0
2006-05-08,'000583,*ST ÍÐÆÕ,0.0,0.0,0.0,0.0,0.76,None,None,0,0.0
2006-04-28,'000583,*ST ÍÐÆÕ,0.0,0.0,0.0,0.0,0.76,None,None,0,0.0
2006-04-27,'000583,*ST ÍÐÆÕ,0.0,0.0,0.0,0.0,0.76,None,None,0,0.0
2006-04-26,'000583,*ST ÍÐÆÕ,0.0,0.0,0.0,0.0,0.76,None,None,0,0.0
2006-04-25,'000583,*ST ÍÐÆÕ,0.0,0.0,0.0,0.0,0.76,None,None,0,0.0
2006-04-24,'000583,*ST ÍÐÆÕ,0.0,0.0,0.0,0.0,0.76,None,None,0,0.0
2006-04-21,'000583,*ST ÍÐÆÕ,0.0,0.0,0.0,0.0,0.76,None,None,0,0.0
2006-04-20,'000583,*ST ÍÐÆÕ,0.0,0.0,0.0,0.0,0.76,None,None,0,0.0
2006-04-19,'000583,*ST ÍÐÆÕ,0.76,0.8,0.76,0.78,0.8,-0.04,-5.0,6736392,5179340.92
2006-04-18,'000583,*ST ÍÐÆÕ,0.8,0.83,0.79,0.83,0.83,-0.03,-3.6145,4685934,3777646.2
2006-04-17,'000583,*ST ÍÐÆÕ,0.83,0.86,0.83,0.85,0.85,-0.02,-2.3529,2476663,2094586.51
2006-04-14,'000583,*ST ÍÐÆÕ,0.85,0.86,0.83,0.85,0.86,-0.01,-1.1628,2073580,1740920.4
2006-04-13,'000583,*ST ÍÐÆÕ,0.86,0.89,0.85,0.88,0.88,-0.02,-2.2727,2785469,2400729.65
2006-04-12,'000583,*ST ÍÐÆÕ,0.88,0.89,0.86,0.87,0.87,0.01,1.1494,3844573,3374989.11
2006-04-11,'000583,*ST ÍÐÆÕ,0.87,0.88,0.84,0.86,0.86,0.01,1.1628,3265836,2798891.87
2006-04-10,'000583,*ST ÍÐÆÕ,0.86,0.87,0.84,0.86,0.87,-0.01,-1.1494,2842485,2433286.1
2006-04-07,'000583,*ST ÍÐÆÕ,0.87,0.87,0.83,0.84,0.84,0.03,3.5714,3088854,2645281.96
2006-04-06,'000583,*ST ÍÐÆÕ,0.84,0.87,0.83,0.86,0.87,-0.03,-3.4483,2869756,2418701.39
