日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000584,哈工智能,7.42,7.45,7.32,7.33,7.22,0.2,2.7701,7882600,58272704.0
2019-06-28,'000584,哈工智能,7.22,7.46,7.18,7.43,7.38,-0.16,-2.168,5580037,40700189.77
2019-06-27,'000584,哈工智能,7.38,7.51,7.36,7.44,7.4,-0.02,-0.2703,5465050,40577408.5
2019-06-26,'000584,哈工智能,7.4,7.46,7.31,7.39,7.38,0.02,0.271,3837706,28369692.6
2019-06-25,'000584,哈工智能,7.38,7.6,7.27,7.57,7.57,-0.19,-2.5099,6481403,47860208.02
2019-06-24,'000584,哈工智能,7.57,7.67,7.53,7.6,7.65,-0.08,-1.0458,6377650,48414627.5
2019-06-21,'000584,哈工智能,7.65,7.68,7.54,7.56,7.55,0.1,1.3245,12531403,95430226.5
2019-06-20,'000584,哈工智能,7.55,7.62,7.31,7.41,7.5,0.05,0.6667,13056600,97801587.0
2019-06-19,'000584,哈工智能,7.5,8.0,7.4,7.5,7.46,0.04,0.5362,17713302,135258782.88
2019-06-18,'000584,哈工智能,7.46,7.83,7.04,7.12,7.12,0.34,4.7753,11916604,89015446.41
2019-06-17,'000584,哈工智能,7.12,7.14,7.02,7.1,7.06,0.06,0.8499,2787701,19753688.07
2019-06-14,'000584,哈工智能,7.06,7.32,7.05,7.32,7.28,-0.22,-3.022,6116200,43844688.0
2019-06-13,'000584,哈工智能,7.28,7.39,7.12,7.15,7.2,0.08,1.1111,6332703,46047252.6
2019-06-12,'000584,哈工智能,7.2,7.48,7.19,7.31,7.3,-0.1,-1.3699,7722751,56418630.2
2019-06-11,'000584,哈工智能,7.3,7.36,7.02,7.06,7.06,0.24,3.3994,9842201,71113788.57
2019-06-10,'000584,哈工智能,7.06,7.17,6.94,7.11,7.11,-0.05,-0.7032,7852501,55396014.05
2019-06-06,'000584,哈工智能,7.11,7.32,7.07,7.32,7.48,-0.37,-4.9465,12740068,91211468.94
2019-06-05,'000584,哈工智能,7.48,7.84,7.38,7.62,7.78,-0.3,-3.856,22360071,168755423.16
2019-06-04,'000584,哈工智能,7.78,7.78,6.94,7.05,7.07,0.71,10.0424,26150579,200900610.69
2019-06-03,'000584,哈工智能,7.07,7.29,7.02,7.26,7.24,-0.17,-2.3481,3863100,27476035.0
2019-05-31,'000584,哈工智能,7.24,7.3,7.16,7.18,7.15,0.09,1.2587,2875650,20798849.5
2019-05-30,'000584,哈工智能,7.15,7.38,7.03,7.3,7.34,-0.19,-2.5886,4761016,34302456.84
2019-05-29,'000584,哈工智能,7.34,7.45,7.26,7.39,7.4,-0.06,-0.8108,3408600,25143622.31
2019-05-28,'000584,哈工智能,7.42,7.63,7.41,7.52,7.52,-0.1,-1.3298,4540151,34254823.05
2019-05-27,'000584,哈工智能,7.52,7.54,7.27,7.27,7.25,0.27,3.7241,3848076,28684604.49
2019-05-24,'000584,哈工智能,7.25,7.43,7.24,7.3,7.35,-0.1,-1.3605,2121200,15512350.0
2019-05-23,'000584,哈工智能,7.35,7.57,7.34,7.38,7.44,-0.09,-1.2097,3147642,23393806.9
2019-05-22,'000584,哈工智能,7.44,7.71,7.38,7.57,7.59,-0.15,-1.9763,3898000,29426143.0
2019-05-21,'000584,哈工智能,7.59,7.64,7.39,7.46,7.47,0.12,1.6064,3247734,24490388.0
2019-05-20,'000584,哈工智能,7.47,7.47,7.15,7.4,7.44,0.03,0.4032,3496172,25571924.23
2019-05-17,'000584,哈工智能,7.44,7.9,7.29,7.85,7.94,-0.5,-6.2972,7525422,57182845.74
2019-05-16,'000584,哈工智能,7.94,8.18,7.63,7.67,7.66,0.28,3.6554,10139068,80423974.68
2019-05-15,'000584,哈工智能,7.66,7.68,7.53,7.55,7.49,0.17,2.2697,3824137,29077954.01
2019-05-14,'000584,哈工智能,7.49,7.56,7.33,7.51,7.56,-0.07,-0.9259,3832507,28564961.59
2019-05-13,'000584,哈工智能,7.56,7.6,7.46,7.5,7.62,-0.06,-0.7874,3290002,24789673.04
2019-05-10,'000584,哈工智能,7.62,7.63,7.15,7.34,7.32,0.3,4.0984,5681146,42545105.58
2019-05-09,'000584,哈工智能,7.32,7.45,7.29,7.3,7.36,-0.04,-0.5435,3636148,26777857.88
2019-05-08,'000584,哈工智能,7.36,7.56,7.17,7.25,7.47,-0.11,-1.4726,3292407,24388947.43
2019-05-07,'000584,哈工智能,7.47,7.69,7.27,7.5,7.43,0.04,0.5384,4078748,30608189.84
2019-05-06,'000584,哈工智能,7.43,8.11,7.31,7.96,8.12,-0.69,-8.4975,8398885,64280865.55
2019-04-30,'000584,哈工智能,8.12,8.35,7.65,7.65,7.64,0.48,6.2827,9141713,73557085.21
2019-04-29,'000584,哈工智能,7.64,8.22,7.61,8.2,8.18,-0.54,-6.6015,7309100,57145236.9
2019-04-26,'000584,哈工智能,8.18,8.38,8.08,8.16,8.11,0.07,0.8631,6880572,56489450.64
2019-04-25,'000584,哈工智能,8.11,8.79,8.1,8.79,8.78,-0.67,-7.631,9142272,76875173.46
2019-04-24,'000584,哈工智能,8.78,8.79,8.52,8.78,8.61,0.17,1.9744,5392177,46796409.42
2019-04-23,'000584,哈工智能,8.61,8.87,8.45,8.8,8.96,-0.35,-3.9063,10395178,90152811.15
2019-04-22,'000584,哈工智能,8.96,9.35,8.96,9.32,9.33,-0.37,-3.9657,8055676,73457498.95
2019-04-19,'000584,哈工智能,9.33,9.33,9.15,9.19,9.24,0.09,0.974,4426176,40927473.27
2019-04-18,'000584,哈工智能,9.24,9.54,9.18,9.48,9.49,-0.25,-2.6344,8080868,75291754.54
2019-04-17,'000584,哈工智能,9.49,9.63,9.43,9.62,9.59,-0.1,-1.0428,7269705,69280999.0
2019-04-16,'000584,哈工智能,9.59,9.6,9.12,9.28,9.37,0.22,2.3479,7094369,66986589.36
2019-04-15,'000584,哈工智能,9.37,9.86,9.35,9.62,9.59,-0.22,-2.2941,10146240,98108115.51
2019-04-12,'000584,哈工智能,9.59,9.6,9.25,9.34,9.33,0.26,2.7867,7920670,74737468.11
2019-04-11,'000584,哈工智能,9.33,9.63,9.33,9.45,9.49,-0.16,-1.686,7566845,71587215.48
2019-04-10,'000584,哈工智能,9.49,9.65,9.37,9.6,9.67,-0.18,-1.8614,8645539,82058217.51
2019-04-09,'000584,哈工智能,9.67,9.82,9.53,9.64,9.61,0.06,0.6243,9186719,88836333.19
2019-04-08,'000584,哈工智能,9.61,9.94,9.41,9.91,9.84,-0.23,-2.3374,12592464,121694232.76
2019-04-04,'000584,哈工智能,9.84,10.13,9.82,10.02,10.11,-0.27,-2.6706,14552519,144541077.58
2019-04-03,'000584,哈工智能,10.11,10.26,9.56,9.85,10.02,0.09,0.8982,21929811,216716381.7
2019-04-02,'000584,哈工智能,10.02,10.67,9.93,10.3,10.03,-0.01,-0.0997,35489604,364938150.52
2019-04-01,'000584,哈工智能,10.03,10.03,9.1,9.1,9.12,0.91,9.9781,28401498,272404013.95
2019-03-29,'000584,哈工智能,9.12,9.18,8.65,8.95,8.95,0.17,1.8994,17042652,153194867.21
2019-03-28,'000584,哈工智能,8.95,9.15,8.62,8.73,8.86,0.09,1.0158,18697972,167096726.61
2019-03-27,'000584,哈工智能,8.86,8.86,8.17,8.44,8.38,0.48,5.7279,11569984,98714175.05
2019-03-26,'000584,哈工智能,8.38,8.98,8.38,8.88,8.88,-0.5,-5.6306,10583324,91253990.46
2019-03-25,'000584,哈工智能,8.88,9.13,8.74,8.8,8.74,0.14,1.6018,13392809,119593184.02
2019-03-22,'000584,哈工智能,8.74,8.8,8.55,8.8,8.84,-0.1,-1.1312,8964454,77685034.58
2019-03-21,'000584,哈工智能,8.84,9.03,8.65,8.81,8.7,0.14,1.6092,11658506,103459059.01
2019-03-20,'000584,哈工智能,8.7,8.99,8.57,8.96,8.88,-0.18,-2.027,9103950,79494229.11
2019-03-19,'000584,哈工智能,8.88,9.01,8.7,9.01,9.01,-0.13,-1.4428,12573953,111099416.84
2019-03-18,'000584,哈工智能,9.01,9.05,8.45,8.51,8.39,0.62,7.3897,14332970,125468252.39
2019-03-15,'000584,哈工智能,8.39,8.67,8.38,8.57,8.5,-0.11,-1.2941,8984852,76611842.22
2019-03-14,'000584,哈工智能,8.5,8.84,8.26,8.7,8.72,-0.22,-2.5229,9597650,81619971.19
2019-03-13,'000584,哈工智能,8.72,9.17,8.62,9.17,9.12,-0.4,-4.386,13864522,122694983.23
2019-03-12,'000584,哈工智能,9.12,9.35,8.91,8.92,8.84,0.28,3.1674,19996739,181899172.11
2019-03-11,'000584,哈工智能,8.84,8.85,8.38,8.38,8.35,0.49,5.8683,14358903,124836228.6
2019-03-08,'000584,哈工智能,8.35,9.0,8.35,8.81,9.13,-0.78,-8.5433,19643254,170462050.55
2019-03-07,'000584,哈工智能,9.13,9.45,8.88,9.05,9.02,0.11,1.2195,20963528,191350853.96
2019-03-06,'000584,哈工智能,9.02,9.33,8.8,8.8,8.61,0.41,4.7619,26007751,234403634.54
2019-03-05,'000584,哈工智能,8.61,8.64,8.13,8.13,8.23,0.38,4.6173,20283942,171404027.79
2019-03-04,'000584,哈工智能,8.23,8.46,8.12,8.17,8.1,0.13,1.6049,16555985,136899918.15
2019-03-01,'000584,哈工智能,8.1,8.19,7.96,8.1,8.12,-0.02,-0.2463,8398868,67567705.96
2019-02-28,'000584,哈工智能,8.12,8.27,8.06,8.25,8.24,-0.12,-1.4563,10943051,89023627.57
2019-02-27,'000584,哈工智能,8.24,8.57,8.02,8.09,8.18,0.06,0.7335,22229357,184057507.97
2019-02-26,'000584,哈工智能,8.18,8.68,7.8,8.0,7.96,0.22,2.7638,30894427,253373740.42
2019-02-25,'000584,哈工智能,7.96,8.04,7.68,7.83,7.67,0.29,3.781,22418390,176361961.91
2019-02-22,'000584,哈工智能,7.67,7.68,7.45,7.63,7.61,0.06,0.7884,16288100,123461306.0
2019-02-21,'000584,哈工智能,7.61,7.88,7.57,7.77,7.82,-0.21,-2.6854,21764566,167411753.2
2019-02-20,'000584,哈工智能,7.82,8.03,7.68,7.88,8.07,-0.25,-3.0979,23585497,184660597.99
2019-02-19,'000584,哈工智能,8.07,8.76,7.84,8.76,7.98,0.09,1.1278,48599988,401272167.74
2019-02-18,'000584,哈工智能,7.98,7.98,7.63,7.7,7.25,0.73,10.069,9936930,77937119.67
2019-02-15,'000584,哈工智能,7.25,7.25,6.58,6.63,6.59,0.66,10.0152,16966661,119491768.07
2019-02-14,'000584,哈工智能,6.59,6.62,6.51,6.58,6.58,0.01,0.152,5906631,38739902.1
