日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000585,*ST东电,2.23,2.23,2.19,2.2,2.19,0.04,1.8265,3183898,7042902.82
2019-06-28,'000585,*ST东电,2.19,2.22,2.17,2.22,2.22,-0.03,-1.3514,2471200,5410206.0
2019-06-27,'000585,*ST东电,2.22,2.29,2.2,2.24,2.26,-0.04,-1.7699,4220741,9444322.42
2019-06-26,'000585,*ST东电,2.26,2.26,2.22,2.25,2.25,0.01,0.4444,3553119,7973892.37
2019-06-25,'000585,*ST东电,2.25,2.27,2.22,2.24,2.24,0.01,0.4464,3119826,6993789.74
2019-06-24,'000585,*ST东电,2.24,2.29,2.21,2.25,2.28,-0.04,-1.7544,3625025,8138046.5
2019-06-21,'000585,*ST东电,2.28,2.3,2.25,2.25,2.21,0.07,3.1674,5128300,11681521.12
2019-06-20,'000585,*ST东电,2.21,2.22,2.16,2.21,2.21,0.0,0.0,3526851,7733097.2
2019-06-19,'000585,*ST东电,2.21,2.22,2.18,2.19,2.18,0.03,1.3761,2388501,5250084.39
2019-06-18,'000585,*ST东电,2.18,2.18,2.14,2.16,2.14,0.04,1.8692,1431583,3097348.61
2019-06-17,'000585,*ST东电,2.14,2.2,2.13,2.14,2.14,0.0,0.0,1597301,3439984.73
2019-06-14,'000585,*ST东电,2.14,2.2,2.12,2.19,2.19,-0.05,-2.2831,1996600,4325532.0
2019-06-13,'000585,*ST东电,2.19,2.19,2.14,2.17,2.16,0.03,1.3889,2281701,4949313.94
2019-06-12,'000585,*ST东电,2.16,2.19,2.14,2.16,2.15,0.01,0.4651,2225588,4809101.08
2019-06-11,'000585,*ST东电,2.15,2.16,2.09,2.1,2.1,0.05,2.381,2455868,5238061.2
2019-06-10,'000585,*ST东电,2.1,2.13,2.07,2.08,2.06,0.04,1.9417,2348950,4930539.5
2019-06-06,'000585,*ST东电,2.06,2.17,2.06,2.16,2.17,-0.11,-5.0691,3286000,6868216.0
2019-06-05,'000585,*ST东电,2.17,2.27,2.15,2.25,2.21,-0.04,-1.81,2852981,6228746.15
2019-06-04,'000585,*ST东电,2.21,2.27,2.16,2.26,2.24,-0.03,-1.3393,2763300,6146610.94
2019-06-03,'000585,*ST东电,2.24,2.38,2.24,2.34,2.35,-0.11,-4.6809,3438100,7879335.0
2019-05-31,'000585,*ST东电,2.35,2.36,2.34,2.34,2.35,0.0,0.0,1361000,3199050.0
2019-05-30,'000585,*ST东电,2.35,2.36,2.32,2.34,2.35,0.0,0.0,2386682,5574928.24
