日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000586,汇源通信,12.92,12.97,12.58,12.79,12.23,0.69,5.6419,16543051,211833356.37
2019-06-28,'000586,汇源通信,12.23,13.0,12.03,12.98,12.9,-0.67,-5.1938,16086200,199354074.0
2019-06-27,'000586,汇源通信,12.9,13.07,12.61,12.83,12.6,0.3,2.381,15541018,200444638.08
2019-06-26,'000586,汇源通信,12.6,13.09,12.51,12.84,12.98,-0.38,-2.9276,12202100,155991815.21
2019-06-25,'000586,汇源通信,12.98,13.51,12.85,13.51,13.5,-0.52,-3.8519,14882294,194693182.19
2019-06-24,'000586,汇源通信,13.5,13.74,13.2,13.37,13.88,-0.38,-2.7378,18432422,247216209.06
2019-06-21,'000586,汇源通信,13.88,14.3,13.65,14.08,13.81,0.07,0.5069,17730990,248256083.14
2019-06-20,'000586,汇源通信,13.81,14.02,13.3,14.01,14.19,-0.38,-2.6779,20677492,282732250.94
2019-06-19,'000586,汇源通信,14.19,15.25,14.12,15.1,14.48,-0.29,-2.0028,18879692,275294217.95
2019-06-18,'000586,汇源通信,14.48,15.06,14.15,14.8,14.87,-0.39,-2.6227,15669528,227923335.74
2019-06-17,'000586,汇源通信,14.87,14.98,13.8,14.29,14.44,0.43,2.9778,19729791,287475162.95
2019-06-14,'000586,汇源通信,14.44,15.36,14.15,14.99,15.3,-0.86,-5.6209,24646837,361576445.12
2019-06-13,'000586,汇源通信,15.3,16.2,14.7,16.04,16.2,-0.9,-5.5556,43450583,670797188.07
2019-06-12,'000586,汇源通信,16.2,16.2,14.15,14.34,14.73,1.47,9.9796,55331300,869120241.47
2019-06-11,'000586,汇源通信,14.73,15.0,13.26,14.18,14.49,0.24,1.6563,41426937,587581018.14
2019-06-10,'000586,汇源通信,14.49,15.34,13.89,13.89,14.74,-0.25,-1.6961,35220751,516752599.28
2019-06-06,'000586,汇源通信,14.74,15.34,14.74,15.11,16.38,-1.64,-10.0122,15403500,229047653.0
2019-06-05,'000586,汇源通信,16.38,16.38,14.79,15.09,14.89,1.49,10.0067,56418539,881649775.73
2019-06-04,'000586,汇源通信,14.89,17.66,14.51,17.66,16.05,-1.16,-7.2274,57594373,935143155.89
2019-06-03,'000586,汇源通信,16.05,16.05,15.03,15.38,14.59,1.46,10.0069,46516414,733132098.17
2019-05-31,'000586,汇源通信,14.59,14.59,14.59,14.59,13.26,1.33,10.0302,6597400,96256066.0
2019-05-30,'000586,汇源通信,13.26,13.26,11.82,12.16,12.05,1.21,10.0415,24206643,303726183.61
2019-05-29,'000586,汇源通信,12.05,12.45,11.66,11.66,11.78,0.27,2.292,16508480,200123694.3
2019-05-28,'000586,汇源通信,11.78,12.28,11.58,11.7,11.58,0.2,1.7271,16445355,195583291.6
2019-05-27,'000586,汇源通信,11.58,11.69,10.88,10.88,10.89,0.69,6.3361,13586462,155015968.37
2019-05-24,'000586,汇源通信,10.89,11.66,10.88,11.24,11.5,-0.61,-5.3043,11176500,125151039.0
2019-05-23,'000586,汇源通信,11.5,12.19,11.43,12.0,12.45,-0.95,-7.6305,17364101,203889380.46
2019-05-22,'000586,汇源通信,12.45,13.47,12.22,12.8,13.0,-0.55,-4.2308,26204861,335195849.96
2019-05-21,'000586,汇源通信,13.0,13.83,11.9,12.36,12.67,0.33,2.6046,36845518,475652805.22
2019-05-20,'000586,汇源通信,12.67,12.87,11.22,11.91,12.06,0.61,5.058,26520346,324253204.75
2019-05-17,'000586,汇源通信,12.06,12.74,11.62,11.72,11.75,0.31,2.6383,24777849,301229916.39
2019-05-16,'000586,汇源通信,11.75,12.0,11.4,11.96,12.1,-0.35,-2.8926,18550501,216538332.29
2019-05-15,'000586,汇源通信,12.1,12.47,11.8,12.05,12.05,0.05,0.4149,18272089,221267763.35
2019-05-14,'000586,汇源通信,12.05,12.95,11.46,11.99,12.07,-0.02,-0.1657,25068269,304233441.76
2019-05-13,'000586,汇源通信,12.07,12.07,10.92,11.3,10.97,1.1,10.0273,20240415,231912939.95
2019-05-10,'000586,汇源通信,10.97,10.97,10.42,10.8,9.97,1.0,10.0301,12035134,130274440.48
2019-05-09,'000586,汇源通信,9.97,10.26,9.85,10.13,10.13,-0.16,-1.5795,6875102,68910048.86
2019-05-08,'000586,汇源通信,10.13,10.2,9.54,9.68,9.81,0.32,3.262,7984551,80069183.5
2019-05-07,'000586,汇源通信,9.81,10.03,9.47,9.7,9.5,0.31,3.2632,8515505,83327216.02
2019-05-06,'000586,汇源通信,9.5,10.46,9.5,10.28,10.55,-1.05,-9.9526,10441250,103955591.5
2019-04-30,'000586,汇源通信,10.55,10.68,10.1,10.54,10.47,0.08,0.7641,8772140,91514046.46
2019-04-29,'000586,汇源通信,10.47,11.52,10.18,11.41,11.16,-0.69,-6.1828,12691701,135748610.35
2019-04-26,'000586,汇源通信,11.16,11.56,10.62,10.75,10.88,0.28,2.5735,15558663,174646229.5
2019-04-25,'000586,汇源通信,10.88,12.03,10.85,11.9,12.05,-1.17,-9.7095,17295538,197447520.8
2019-04-24,'000586,汇源通信,12.05,12.09,11.51,11.59,11.67,0.38,3.2562,13783008,163896655.22
2019-04-23,'000586,汇源通信,11.67,12.15,11.38,12.04,12.01,-0.34,-2.831,14297740,166941481.12
2019-04-22,'000586,汇源通信,12.01,12.91,11.77,12.78,12.86,-0.85,-6.6096,23548231,293827775.24
2019-04-19,'000586,汇源通信,12.86,13.18,12.05,12.21,12.45,0.41,3.2932,31216926,395883551.62
2019-04-18,'000586,汇源通信,12.45,12.62,11.69,11.85,11.9,0.55,4.6218,26373819,322388199.56
2019-04-17,'000586,汇源通信,11.9,12.18,11.79,12.07,12.2,-0.3,-2.459,19412227,231894763.69
2019-04-16,'000586,汇源通信,12.2,12.38,10.88,11.2,11.47,0.73,6.3644,26509524,316005317.73
2019-04-15,'000586,汇源通信,11.47,12.19,11.41,11.55,11.5,-0.03,-0.2609,16448590,193241772.94
2019-04-12,'000586,汇源通信,11.5,11.58,10.71,10.9,11.01,0.49,4.4505,16074453,179388649.76
2019-04-11,'000586,汇源通信,11.01,11.6,11.0,11.49,11.71,-0.7,-5.9778,16864232,189689623.06
2019-04-10,'000586,汇源通信,11.71,12.4,11.14,11.33,11.28,0.43,3.8121,30568548,361350574.88
2019-04-09,'000586,汇源通信,11.28,11.28,10.7,10.77,10.82,0.46,4.2514,11763473,130121022.6
2019-04-08,'000586,汇源通信,10.82,11.22,10.6,11.14,11.06,-0.24,-2.17,9354901,102490205.08
2019-04-04,'000586,汇源通信,11.06,11.14,10.85,11.04,10.99,0.07,0.6369,9937903,109291534.85
2019-04-03,'000586,汇源通信,10.99,11.06,10.6,10.75,10.8,0.19,1.7593,9371300,102179763.97
2019-04-02,'000586,汇源通信,10.8,11.2,10.75,11.2,10.82,-0.02,-0.1848,11616558,127922807.12
2019-04-01,'000586,汇源通信,10.82,11.11,10.69,10.78,10.6,0.22,2.0755,12463694,135771741.86
2019-03-29,'000586,汇源通信,10.6,10.63,10.01,10.37,10.46,0.14,1.3384,8140620,84721644.08
2019-03-28,'000586,汇源通信,10.46,10.85,10.28,10.34,10.45,0.01,0.0957,7542512,80252278.4
2019-03-27,'000586,汇源通信,10.45,10.71,10.21,10.6,10.5,-0.05,-0.4762,6028712,62872671.72
2019-03-26,'000586,汇源通信,10.5,11.36,10.3,11.26,11.27,-0.77,-6.8323,10414302,112921870.65
2019-03-25,'000586,汇源通信,11.27,11.47,10.92,11.05,11.23,0.04,0.3562,8818100,98968230.59
2019-03-22,'000586,汇源通信,11.23,11.46,11.01,11.39,11.4,-0.17,-1.4912,9940743,111499100.59
2019-03-21,'000586,汇源通信,11.4,11.62,11.33,11.42,11.43,-0.03,-0.2625,11490603,131907243.06
2019-03-20,'000586,汇源通信,11.43,11.51,11.02,11.31,11.27,0.16,1.4197,12763071,144869951.34
2019-03-19,'000586,汇源通信,11.27,11.47,11.15,11.3,11.28,-0.01,-0.0887,9101704,102638920.0
2019-03-18,'000586,汇源通信,11.28,11.28,10.7,10.96,10.87,0.41,3.7718,10225204,112413305.55
2019-03-15,'000586,汇源通信,10.87,10.99,10.7,10.87,10.76,0.11,1.0223,7833904,85062313.16
2019-03-14,'000586,汇源通信,10.76,11.36,10.41,11.15,11.1,-0.34,-3.0631,9606444,104405331.5
2019-03-13,'000586,汇源通信,11.1,11.93,11.01,11.93,11.94,-0.84,-7.0352,13611294,156176550.19
2019-03-12,'000586,汇源通信,11.94,12.3,11.73,11.86,11.83,0.11,0.9298,17550480,209279671.8
2019-03-11,'000586,汇源通信,11.83,11.84,11.17,11.4,11.57,0.26,2.2472,13215247,154341253.6
2019-03-08,'000586,汇源通信,11.57,12.44,11.57,11.7,12.85,-1.28,-9.9611,19074380,228803770.98
2019-03-07,'000586,汇源通信,12.85,13.43,11.8,12.05,12.21,0.64,5.2416,30905982,386700654.45
2019-03-06,'000586,汇源通信,12.21,12.55,11.93,12.27,12.32,-0.11,-0.8929,20255967,245917375.16
2019-03-05,'000586,汇源通信,12.32,12.32,11.61,11.82,11.95,0.37,3.0962,23413847,282090510.27
2019-03-04,'000586,汇源通信,11.95,12.22,11.67,11.7,11.64,0.31,2.6632,20733659,248529251.35
2019-03-01,'000586,汇源通信,11.64,11.9,11.45,11.77,11.67,-0.03,-0.2571,9787000,113480622.0
2019-02-28,'000586,汇源通信,11.67,12.15,11.42,11.59,11.99,-0.32,-2.6689,13653981,160379998.97
2019-02-27,'000586,汇源通信,11.99,12.32,11.35,11.7,11.96,0.03,0.2508,21895327,258386996.97
2019-02-26,'000586,汇源通信,11.96,12.64,11.58,12.64,12.8,-0.84,-6.5625,27456177,332903785.26
2019-02-25,'000586,汇源通信,12.8,13.25,12.51,12.51,12.5,0.3,2.4,31363041,403022866.55
2019-02-22,'000586,汇源通信,12.5,12.76,11.56,11.88,11.72,0.78,6.6553,35829175,441348106.3
2019-02-21,'000586,汇源通信,11.72,11.72,10.58,10.76,10.65,1.07,10.0469,32798304,371844370.84
2019-02-20,'000586,汇源通信,10.65,10.65,10.2,10.6,10.56,0.09,0.8523,13972129,145895432.67
2019-02-19,'000586,汇源通信,10.56,10.87,10.22,10.72,10.66,-0.1,-0.9381,17260702,182236887.04
2019-02-18,'000586,汇源通信,10.66,10.73,10.31,10.41,10.26,0.4,3.8986,16936100,179167452.82
2019-02-15,'000586,汇源通信,10.26,10.58,10.2,10.28,10.4,-0.14,-1.3462,15025718,156272763.54
2019-02-14,'000586,汇源通信,10.4,10.59,10.18,10.3,10.39,0.01,0.0962,13856899,143436273.79
2019-02-13,'000586,汇源通信,10.39,10.74,10.09,10.28,10.3,0.09,0.8738,16972833,177095885.19
2019-02-12,'000586,汇源通信,10.3,10.88,10.09,10.15,10.3,0.0,0.0,19316482,201288325.77
2019-02-11,'000586,汇源通信,10.3,10.3,9.56,9.63,9.56,0.74,7.7406,16103858,161876479.62
2019-02-01,'000586,汇源通信,9.56,9.68,9.19,9.19,9.19,0.37,4.0261,11471766,108689575.87
2019-01-31,'000586,汇源通信,9.19,9.74,9.1,9.17,8.99,0.2,2.2247,15887380,148394864.69
2019-01-30,'000586,汇源通信,8.99,9.54,8.81,9.39,9.37,-0.38,-4.0555,9313485,86203885.65
2019-01-29,'000586,汇源通信,9.37,9.8,9.01,9.61,9.9,-0.53,-5.3535,10824949,101556551.36
2019-01-28,'000586,汇源通信,9.9,10.09,9.67,9.99,9.84,0.06,0.6098,7947799,78890306.11
2019-01-25,'000586,汇源通信,9.84,10.6,9.8,10.58,10.55,-0.71,-6.7299,13931681,141272559.51
2019-01-24,'000586,汇源通信,10.55,10.72,10.39,10.56,10.58,-0.03,-0.2836,9515366,100438121.31
2019-01-23,'000586,汇源通信,10.58,10.9,10.4,10.86,11.03,-0.45,-4.0798,12624917,133673103.09
2019-01-22,'000586,汇源通信,11.03,11.33,10.65,11.14,10.92,0.11,1.0073,16554545,182535436.7
2019-01-21,'000586,汇源通信,10.92,11.18,10.53,10.99,10.83,0.09,0.831,12368900,135266015.01
2019-01-18,'000586,汇源通信,10.83,11.84,10.62,11.75,11.72,-0.89,-7.5939,18900199,210332087.3
2019-01-17,'000586,汇源通信,11.72,12.21,11.6,11.79,11.94,-0.22,-1.8425,16321482,194392968.35
2019-01-16,'000586,汇源通信,11.94,12.28,11.6,11.87,12.0,-0.06,-0.5,16933310,203662946.58
2019-01-15,'000586,汇源通信,12.0,12.85,11.9,11.98,12.91,-0.91,-7.0488,27103649,331782462.15
2019-01-14,'000586,汇源通信,12.91,13.1,11.03,11.15,12.25,0.66,5.3878,38358014,447509239.37
2019-01-11,'000586,汇源通信,12.25,13.86,12.21,13.06,12.6,-0.35,-2.7778,46166847,615258783.7
2019-01-10,'000586,汇源通信,12.6,12.6,11.11,12.0,11.45,1.15,10.0437,33722922,407690754.86
2019-01-09,'000586,汇源通信,11.45,11.45,10.0,10.5,10.41,1.04,9.9904,26529295,291103248.67
2019-01-08,'000586,汇源通信,10.41,10.59,9.88,10.26,10.41,0.0,0.0,23789872,243797684.23
2019-01-07,'000586,汇源通信,10.41,10.77,9.91,10.04,10.06,0.35,3.4791,26483751,275414052.63
2019-01-04,'000586,汇源通信,10.06,10.32,9.66,10.06,10.62,-0.56,-5.2731,24846798,249605878.36
2019-01-03,'000586,汇源通信,10.62,11.65,10.49,11.22,11.65,-1.03,-8.8412,33078425,358266858.44
2019-01-02,'000586,汇源通信,11.65,12.26,10.85,11.04,11.57,0.08,0.6914,37586228,434473009.82
2018-12-28,'000586,汇源通信,11.57,12.27,10.67,11.13,11.15,0.42,3.7668,43951807,508264629.13
2018-12-27,'000586,汇源通信,11.15,11.15,9.51,10.1,10.14,1.01,9.9606,32883748,341011888.76
2018-12-26,'000586,汇源通信,10.14,10.14,9.42,10.05,9.22,0.92,9.9783,33402389,333691515.3
2018-12-25,'000586,汇源通信,9.22,9.22,8.37,8.58,8.38,0.84,10.0239,16997879,150068643.08
2018-12-24,'000586,汇源通信,8.38,8.38,7.65,7.74,7.62,0.76,9.9738,7092240,57685031.1
2018-12-21,'000586,汇源通信,7.62,7.9,7.55,7.72,7.89,-0.27,-3.4221,3642182,28110589.2
2018-12-20,'000586,汇源通信,7.89,7.98,7.7,7.87,7.98,-0.09,-1.1278,4978960,39054390.63
2018-12-19,'000586,汇源通信,7.98,8.32,7.57,7.63,7.82,0.16,2.046,7382561,59601672.45
2018-12-18,'000586,汇源通信,7.82,7.93,7.52,7.75,7.67,0.15,1.9557,3628281,28182824.48
2018-12-17,'000586,汇源通信,7.67,7.83,7.47,7.48,7.51,0.16,2.1305,4626977,35417957.75
2018-12-14,'000586,汇源通信,7.51,8.1,7.44,8.1,8.09,-0.58,-7.1693,6767364,52218525.34
2018-12-13,'000586,汇源通信,8.09,8.32,8.02,8.14,8.18,-0.09,-1.1002,4568592,37231115.43
2018-12-12,'000586,汇源通信,8.18,8.43,8.16,8.42,8.5,-0.32,-3.7647,4229469,35010623.16
2018-12-11,'000586,汇源通信,8.5,8.5,8.11,8.16,8.25,0.25,3.0303,4913876,41247341.41
2018-12-10,'000586,汇源通信,8.25,8.47,8.13,8.22,8.21,0.04,0.4872,3034525,25210368.5
2018-12-07,'000586,汇源通信,8.21,8.48,8.14,8.19,8.13,0.08,0.984,3309500,27536940.0
2018-12-06,'000586,汇源通信,8.13,8.51,8.12,8.5,8.53,-0.4,-4.6893,3821700,31673835.0
2018-12-05,'000586,汇源通信,8.53,8.7,8.5,8.5,8.85,-0.32,-3.6158,4347098,37324379.72
2018-12-04,'000586,汇源通信,8.85,9.08,8.75,8.92,8.95,-0.1,-1.1173,4542349,40307201.65
2018-12-03,'000586,汇源通信,8.95,9.06,8.62,8.8,8.51,0.44,5.1704,6095100,53903577.0
2018-11-30,'000586,汇源通信,8.51,8.64,8.08,8.49,8.61,-0.1,-1.1614,5603093,46992644.65
2018-11-29,'000586,汇源通信,8.61,9.12,8.61,9.05,9.02,-0.41,-4.5455,8257861,72391988.18
2018-11-28,'000586,汇源通信,9.02,9.23,8.9,9.14,9.25,-0.23,-2.4865,8417234,76295409.03
2018-11-27,'000586,汇源通信,9.25,9.28,8.8,8.87,8.88,0.37,4.1667,14410640,130897543.81
2018-11-26,'000586,汇源通信,8.88,8.92,8.31,8.48,8.54,0.34,3.9813,9215752,79937732.64
2018-11-23,'000586,汇源通信,8.54,8.8,8.22,8.67,8.8,-0.26,-2.9545,8231925,69906113.1
2018-11-22,'000586,汇源通信,8.8,9.0,8.71,8.87,8.76,0.04,0.4566,4981166,44012461.11
2018-11-21,'000586,汇源通信,8.76,8.88,8.52,8.54,8.71,0.05,0.5741,6653524,58271776.23
2018-11-20,'000586,汇源通信,8.71,9.32,8.6,9.1,9.17,-0.46,-5.0164,8480977,76316959.0
2018-11-19,'000586,汇源通信,9.17,9.36,8.95,9.3,9.38,-0.21,-2.2388,7428753,68025182.98
2018-11-16,'000586,汇源通信,9.38,9.48,9.2,9.4,9.44,-0.06,-0.6356,7535552,70294595.56
2018-11-15,'000586,汇源通信,9.44,9.49,9.06,9.36,9.35,0.09,0.9626,9379268,87132144.45
2018-11-14,'000586,汇源通信,9.35,9.73,9.31,9.59,9.67,-0.32,-3.3092,11949994,112924255.08
2018-11-13,'000586,汇源通信,9.67,10.11,9.05,9.14,9.38,0.29,3.0917,18037934,172280692.73
2018-11-12,'000586,汇源通信,9.38,9.45,8.6,8.6,8.75,0.63,7.2,18437834,167312824.1
2018-11-09,'000586,汇源通信,8.75,9.3,8.01,8.19,8.45,0.3,3.5503,17925478,157229218.02
2018-11-08,'000586,汇源通信,8.45,8.64,7.95,8.1,8.06,0.39,4.8387,15662412,130283782.5
2018-11-07,'000586,汇源通信,8.06,8.3,7.81,7.95,7.93,0.13,1.6393,11659109,94282267.39
2018-11-06,'000586,汇源通信,7.93,8.24,7.7,8.14,8.28,-0.35,-4.2271,10532113,83343502.12
2018-11-05,'000586,汇源通信,8.28,8.55,8.02,8.07,8.1,0.18,2.2222,14501559,119223411.21
2018-11-02,'000586,汇源通信,8.1,8.67,7.88,8.05,8.1,0.0,0.0,18698777,152671764.57
2018-11-01,'000586,汇源通信,8.1,8.27,7.4,7.4,7.52,0.58,7.7128,16528094,131972693.49
2018-10-31,'000586,汇源通信,7.52,7.73,7.25,7.34,7.43,0.09,1.2113,9328578,69898250.46
2018-10-30,'000586,汇源通信,7.43,7.8,6.83,7.15,7.25,0.18,2.4828,10625290,76997994.79
2018-10-29,'000586,汇源通信,7.25,7.8,7.21,7.52,7.89,-0.64,-8.1115,9186563,69268548.96
2018-10-26,'000586,汇源通信,7.89,7.9,7.16,7.45,7.47,0.42,5.6225,13786917,104214188.31
2018-10-25,'000586,汇源通信,7.47,7.6,7.1,7.37,7.78,-0.31,-3.9846,8303951,60877631.88
2018-10-24,'000586,汇源通信,7.78,8.18,7.59,8.18,8.18,-0.4,-4.89,9776764,76659462.61
2018-10-23,'000586,汇源通信,8.18,8.18,8.18,8.18,7.44,0.74,9.9462,2078722,17003945.96
2018-10-22,'000586,汇源通信,7.44,7.44,6.87,6.87,6.76,0.68,10.0592,2987053,21705230.4
2018-10-19,'000586,汇源通信,6.76,6.76,6.16,6.33,6.57,0.19,2.8919,6231979,40855520.68
2018-10-18,'000586,汇源通信,6.57,7.22,6.57,7.22,7.3,-0.73,-10.0,7560482,51356335.68
2018-10-17,'000586,汇源通信,7.3,7.48,6.98,7.39,7.27,0.03,0.4127,3736152,27174231.98
2018-10-16,'000586,汇源通信,7.27,7.55,7.0,7.54,7.45,-0.18,-2.4161,3173919,23092806.23
2018-10-15,'000586,汇源通信,7.45,7.76,7.16,7.16,7.29,0.16,2.1948,6000220,45120232.38
2018-10-12,'000586,汇源通信,7.29,7.55,6.93,7.35,7.69,-0.4,-5.2016,6140216,44347759.8
2018-10-11,'000586,汇源通信,7.69,8.29,7.69,8.0,8.54,-0.85,-9.9532,6101300,47948574.0
2018-10-10,'000586,汇源通信,8.54,8.71,8.27,8.47,8.54,0.0,0.0,4517074,38423259.81
2018-10-09,'000586,汇源通信,8.54,8.65,8.38,8.4,8.33,0.21,2.521,5916873,50253299.12
2018-10-08,'000586,汇源通信,8.33,8.92,8.22,8.9,9.13,-0.8,-8.7623,7897700,67657341.0
2018-09-28,'000586,汇源通信,9.13,9.4,8.79,9.19,9.55,-0.42,-4.3979,11234417,102238979.47
2018-09-27,'000586,汇源通信,9.55,10.29,9.55,10.2,10.61,-1.06,-9.9906,13748001,136383045.65
2018-09-26,'000586,汇源通信,10.61,10.91,9.91,10.04,9.92,0.69,6.9556,19982012,209768295.52
2018-09-25,'000586,汇源通信,9.92,10.49,9.88,10.0,10.2,-0.28,-2.7451,10470717,106086930.48
2018-09-21,'000586,汇源通信,10.2,10.74,9.9,10.51,10.75,-0.55,-5.1163,16645884,170722673.84
2018-09-20,'000586,汇源通信,10.75,11.58,10.61,11.58,10.53,0.22,2.0893,23768169,270453669.52
2018-09-19,'000586,汇源通信,10.53,10.53,10.15,10.38,9.57,0.96,10.0313,3102325,32338467.9
2018-09-18,'000586,汇源通信,9.57,9.57,9.28,9.36,8.7,0.87,10.0,3255258,30866535.35
2018-09-17,'000586,汇源通信,8.7,8.7,7.81,7.91,7.91,0.79,9.9874,2536603,21580751.54
2018-09-14,'000586,汇源通信,7.91,8.04,7.8,7.87,7.87,0.04,0.5083,1647852,13080465.24
2018-09-13,'000586,汇源通信,7.87,7.94,7.72,7.83,7.84,0.03,0.3827,1891900,14788152.0
2018-09-12,'000586,汇源通信,7.84,7.93,7.41,7.83,8.07,-0.23,-2.8501,3126986,24241321.2
2018-09-11,'000586,汇源通信,8.07,8.77,7.83,8.73,8.7,-0.63,-7.2414,4901190,38776777.6
2018-09-10,'000586,汇源通信,8.7,9.31,8.67,9.31,9.31,-0.61,-6.5521,1188890,10556718.7
2018-09-07,'000586,汇源通信,9.31,9.55,9.27,9.41,9.61,-0.3,-3.1217,970400,9118927.0
2018-09-06,'000586,汇源通信,9.61,9.79,9.45,9.6,9.85,-0.24,-2.4365,1347700,12943263.0
2018-09-05,'000586,汇源通信,9.85,10.19,9.22,9.28,9.32,0.53,5.6867,1976244,19277377.16
2018-09-04,'000586,汇源通信,9.32,9.41,9.11,9.2,9.22,0.1,1.0846,1079900,10029288.0
