日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000587,金洲慈航,2.54,2.57,2.41,2.44,2.58,-0.04,-1.5504,72691846,181653560.0
2019-06-28,'000587,金洲慈航,2.58,2.71,2.56,2.6,2.57,0.01,0.3891,81943540,215597565.42
2019-06-27,'000587,金洲慈航,2.57,2.65,2.46,2.52,2.56,0.01,0.3906,80180784,204790868.1
2019-06-26,'000587,金洲慈航,2.56,2.68,2.56,2.6,2.84,-0.28,-9.8592,121934036,316428451.52
2019-06-25,'000587,金洲慈航,2.84,3.0,2.79,2.82,2.74,0.1,3.6496,175710932,506024833.79
2019-06-24,'000587,金洲慈航,2.74,2.93,2.7,2.8,2.68,0.06,2.2388,179045683,502257585.08
2019-06-21,'000587,金洲慈航,2.68,2.68,2.42,2.5,2.44,0.24,9.8361,86851371,224890553.76
2019-06-20,'000587,金洲慈航,2.44,2.58,2.42,2.5,2.41,0.03,1.2448,104628447,259330039.07
2019-06-19,'000587,金洲慈航,2.41,2.5,2.35,2.35,2.47,-0.06,-2.4291,108435960,262575478.14
2019-06-18,'000587,金洲慈航,2.47,2.55,2.18,2.27,2.32,0.15,6.4655,131749274,311532923.9
2019-06-17,'000587,金洲慈航,2.32,2.48,2.32,2.41,2.58,-0.26,-10.0775,107307705,253731052.74
2019-06-14,'000587,金洲慈航,2.58,2.77,2.42,2.67,2.52,0.06,2.381,189660708,494420033.63
2019-06-13,'000587,金洲慈航,2.52,2.52,2.38,2.52,2.29,0.23,10.0437,39254215,98235704.86
2019-06-12,'000587,金洲慈航,2.29,2.29,2.07,2.08,2.08,0.21,10.0962,35174309,77951997.7
2019-06-11,'000587,金洲慈航,2.08,2.09,1.96,1.97,1.98,0.1,5.0505,29573036,60210136.66
2019-06-10,'000587,金洲慈航,1.98,2.0,1.96,1.96,1.97,0.01,0.5076,21024918,41583554.52
2019-06-06,'000587,金洲慈航,1.97,2.07,1.95,2.06,2.07,-0.1,-4.8309,31919896,63374702.76
2019-06-05,'000587,金洲慈航,2.07,2.08,2.04,2.06,2.06,0.01,0.4854,24666199,50888623.23
2019-06-04,'000587,金洲慈航,2.06,2.15,2.04,2.14,2.12,-0.06,-2.8302,31869155,66545775.0
2019-06-03,'000587,金洲慈航,2.12,2.2,2.1,2.16,2.13,-0.01,-0.4695,47529873,102139619.1
2019-05-31,'000587,金洲慈航,2.13,2.18,2.12,2.14,2.13,0.0,0.0,23331038,50070431.94
2019-05-30,'000587,金洲慈航,2.13,2.18,2.1,2.17,2.16,-0.03,-1.3889,25242571,53897704.23
2019-05-29,'000587,金洲慈航,2.16,2.21,2.16,2.18,2.18,-0.02,-0.9174,26442732,57646506.73
2019-05-28,'000587,金洲慈航,2.18,2.24,2.16,2.21,2.19,-0.01,-0.4566,23684704,52153377.41
2019-05-27,'000587,金洲慈航,2.19,2.2,2.08,2.13,2.11,0.08,3.7915,35484976,76665785.49
2019-05-24,'000587,金洲慈航,2.11,2.21,2.11,2.19,2.16,-0.05,-2.3148,33875519,72566219.3
2019-05-23,'000587,金洲慈航,2.16,2.26,2.15,2.2,2.23,-0.07,-3.139,38627276,85029269.42
2019-05-22,'000587,金洲慈航,2.23,2.35,2.21,2.28,2.23,0.0,0.0,46067347,104755160.89
2019-05-21,'000587,金洲慈航,2.23,2.25,2.13,2.16,2.16,0.07,3.2407,44211188,97544324.88
2019-05-20,'000587,金洲慈航,2.16,2.38,2.14,2.36,2.38,-0.22,-9.2437,64178083,139651008.65
2019-05-17,'000587,金洲慈航,2.38,2.48,2.35,2.41,2.45,-0.07,-2.8571,45279550,109703687.28
2019-05-16,'000587,金洲慈航,2.45,2.54,2.34,2.53,2.6,-0.15,-5.7692,67470745,163700875.98
2019-05-15,'000587,金洲慈航,2.6,2.61,2.55,2.57,2.58,0.02,0.7752,29985154,77354506.98
2019-05-14,'000587,金洲慈航,2.58,2.67,2.57,2.58,2.56,0.02,0.7813,34794770,91277516.92
2019-05-13,'000587,金洲慈航,2.56,2.63,2.54,2.6,2.62,-0.06,-2.2901,20321408,52572698.64
2019-05-10,'000587,金洲慈航,2.62,2.64,2.49,2.56,2.56,0.06,2.3438,31913600,82784565.0
2019-05-09,'000587,金洲慈航,2.56,2.69,2.56,2.63,2.66,-0.1,-3.7594,31826100,83640032.5
2019-05-08,'000587,金洲慈航,2.66,2.73,2.47,2.52,2.55,0.11,4.3137,44813109,117080559.02
2019-05-07,'000587,金洲慈航,2.55,2.56,2.47,2.51,2.47,0.08,3.2389,26557702,66853732.53
2019-05-06,'000587,金洲慈航,2.47,2.67,2.44,2.65,2.71,-0.24,-8.8561,45527202,116417802.28
2019-04-30,'000587,金洲慈航,2.71,2.77,2.55,2.55,2.71,0.0,0.0,50399914,135559273.51
2019-04-29,'000587,金洲慈航,2.71,2.99,2.71,2.95,3.01,-0.3,-9.9668,64757222,178818123.33
2019-04-26,'000587,金洲慈航,3.01,3.1,3.0,3.06,3.09,-0.08,-2.589,37411684,113981614.68
2019-04-25,'000587,金洲慈航,3.09,3.32,3.08,3.28,3.31,-0.22,-6.6465,50930581,162514956.89
2019-04-24,'000587,金洲慈航,3.31,3.31,3.21,3.23,3.25,0.06,1.8462,34564497,112819786.54
2019-04-23,'000587,金洲慈航,3.25,3.45,3.22,3.45,3.46,-0.21,-6.0694,70963781,234039885.78
2019-04-22,'000587,金洲慈航,3.46,3.59,3.43,3.44,3.44,0.02,0.5814,80630593,282576487.01
2019-04-19,'000587,金洲慈航,3.44,3.49,3.37,3.48,3.46,-0.02,-0.578,40656748,139174315.72
2019-04-18,'000587,金洲慈航,3.46,3.49,3.4,3.43,3.44,0.02,0.5814,48437598,166148534.33
2019-04-17,'000587,金洲慈航,3.44,3.49,3.3,3.31,3.34,0.1,2.994,69573421,237261524.49
2019-04-16,'000587,金洲慈航,3.34,3.34,3.12,3.15,3.21,0.13,4.0498,49448336,160436829.81
2019-04-15,'000587,金洲慈航,3.21,3.38,3.21,3.33,3.29,-0.08,-2.4316,47281812,156586824.72
2019-04-12,'000587,金洲慈航,3.29,3.38,3.26,3.36,3.39,-0.1,-2.9499,47000912,156135584.84
2019-04-11,'000587,金洲慈航,3.39,3.59,3.35,3.49,3.54,-0.15,-4.2373,82296279,284928546.35
2019-04-10,'000587,金洲慈航,3.54,3.64,3.26,3.37,3.38,0.16,4.7337,115451311,402708773.34
2019-04-09,'000587,金洲慈航,3.38,3.43,3.27,3.3,3.29,0.09,2.7356,65412942,220231329.44
2019-04-08,'000587,金洲慈航,3.29,3.39,3.22,3.38,3.35,-0.06,-1.791,51033635,168975176.42
2019-04-04,'000587,金洲慈航,3.35,3.41,3.31,3.4,3.4,-0.05,-1.4706,53046213,177844291.55
2019-04-03,'000587,金洲慈航,3.4,3.43,3.24,3.27,3.29,0.11,3.3435,68548999,229537815.64
2019-04-02,'000587,金洲慈航,3.29,3.34,3.25,3.28,3.26,0.03,0.9202,48052709,158180735.85
2019-04-01,'000587,金洲慈航,3.26,3.27,3.15,3.15,3.15,0.11,3.4921,44474094,143483541.24
2019-03-29,'000587,金洲慈航,3.15,3.15,3.0,3.03,3.04,0.11,3.6184,46732217,144113383.08
2019-03-28,'000587,金洲慈航,3.04,3.14,3.04,3.1,3.12,-0.08,-2.5641,37564109,115880789.68
2019-03-27,'000587,金洲慈航,3.12,3.17,3.04,3.15,3.13,-0.01,-0.3195,37617723,116798649.84
2019-03-26,'000587,金洲慈航,3.13,3.34,3.12,3.29,3.28,-0.15,-4.5732,63031349,202793667.1
2019-03-25,'000587,金洲慈航,3.28,3.38,3.26,3.3,3.39,-0.11,-3.2448,45915585,152434061.74
2019-03-22,'000587,金洲慈航,3.39,3.44,3.29,3.41,3.44,-0.05,-1.4535,57121179,192262715.93
2019-03-21,'000587,金洲慈航,3.44,3.5,3.32,3.34,3.34,0.1,2.994,91279002,312626979.11
2019-03-20,'000587,金洲慈航,3.34,3.39,3.23,3.37,3.4,-0.06,-1.7647,65587790,217822520.56
2019-03-19,'000587,金洲慈航,3.4,3.44,3.29,3.36,3.38,0.02,0.5917,69075089,233352951.08
2019-03-18,'000587,金洲慈航,3.38,3.38,3.25,3.31,3.29,0.09,2.7356,64284630,212789706.7
2019-03-15,'000587,金洲慈航,3.29,3.38,3.24,3.26,3.26,0.03,0.9202,70268099,231672148.48
2019-03-14,'000587,金洲慈航,3.26,3.49,3.2,3.44,3.48,-0.22,-6.3218,88226139,292081058.95
2019-03-13,'000587,金洲慈航,3.48,3.65,3.4,3.61,3.61,-0.13,-3.6011,91384912,322880811.22
2019-03-12,'000587,金洲慈航,3.61,3.73,3.51,3.6,3.62,-0.01,-0.2762,122940467,447221740.28
2019-03-11,'000587,金洲慈航,3.62,3.68,3.37,3.55,3.59,0.03,0.8357,128212513,454614794.73
2019-03-08,'000587,金洲慈航,3.59,4.08,3.56,3.8,3.76,-0.17,-4.5213,230939220,882631321.18
2019-03-07,'000587,金洲慈航,3.76,3.76,3.33,3.35,3.42,0.34,9.9415,151420760,541147448.05
2019-03-06,'000587,金洲慈航,3.42,3.47,3.17,3.24,3.21,0.21,6.5421,164535274,544917509.97
2019-03-05,'000587,金洲慈航,3.21,3.27,3.09,3.11,3.13,0.08,2.5559,106625540,339362154.53
2019-03-04,'000587,金洲慈航,3.13,3.22,3.04,3.05,3.07,0.06,1.9544,103034395,322735841.05
2019-03-01,'000587,金洲慈航,3.07,3.13,3.01,3.12,3.13,-0.06,-1.9169,75728828,232213050.91
2019-02-28,'000587,金洲慈航,3.13,3.2,3.07,3.14,3.18,-0.05,-1.5723,85787589,268411316.07
2019-02-27,'000587,金洲慈航,3.18,3.28,3.03,3.05,3.13,0.05,1.5974,139479615,439131170.9
2019-02-26,'000587,金洲慈航,3.13,3.31,3.03,3.13,3.09,0.04,1.2945,138498700,438429874.57
2019-02-25,'000587,金洲慈航,3.09,3.14,2.96,2.96,2.95,0.14,4.7458,129349277,394003660.27
2019-02-22,'000587,金洲慈航,2.95,2.97,2.85,2.9,2.97,-0.02,-0.6734,84615244,246952883.52
2019-02-21,'000587,金洲慈航,2.97,3.05,2.82,2.84,2.89,0.08,2.7682,120104954,353561997.98
2019-02-20,'000587,金洲慈航,2.89,3.02,2.81,2.92,2.89,0.0,0.0,77433123,225376230.21
2019-02-19,'000587,金洲慈航,2.89,2.97,2.73,2.76,2.76,0.13,4.7101,98137984,280763853.5
2019-02-18,'000587,金洲慈航,2.76,2.81,2.66,2.66,2.68,0.08,2.9851,61076702,167931899.3
2019-02-15,'000587,金洲慈航,2.68,2.73,2.65,2.66,2.69,-0.01,-0.3717,42349165,114038737.5
2019-02-14,'000587,金洲慈航,2.69,2.74,2.62,2.67,2.66,0.03,1.1278,46440608,123661287.78
2019-02-13,'000587,金洲慈航,2.66,2.68,2.6,2.61,2.66,0.0,0.0,49255219,130291611.91
2019-02-12,'000587,金洲慈航,2.66,2.69,2.51,2.54,2.54,0.12,4.7244,62051065,161673358.83
2019-02-11,'000587,金洲慈航,2.54,2.55,2.47,2.47,2.46,0.08,3.252,31580508,79459118.08
2019-02-01,'000587,金洲慈航,2.46,2.47,2.36,2.37,2.35,0.11,4.6809,33300602,80810381.9
2019-01-31,'000587,金洲慈航,2.35,2.43,2.33,2.34,2.38,-0.03,-1.2605,43357946,103028535.8
2019-01-30,'000587,金洲慈航,2.38,2.49,2.38,2.43,2.5,-0.12,-4.8,40878100,99493045.94
2019-01-29,'000587,金洲慈航,2.5,2.52,2.35,2.48,2.46,0.04,1.626,54436883,133597531.67
2019-01-28,'000587,金洲慈航,2.46,2.57,2.46,2.53,2.59,-0.13,-5.0193,64216468,161509496.27
2019-01-25,'000587,金洲慈航,2.59,2.86,2.59,2.85,2.88,-0.29,-10.0694,107683809,285262276.63
2019-01-24,'000587,金洲慈航,2.88,2.94,2.84,2.86,2.9,-0.02,-0.6897,48887700,141098030.34
2019-01-23,'000587,金洲慈航,2.9,2.98,2.87,2.94,2.96,-0.06,-2.027,58433691,170835354.91
2019-01-22,'000587,金洲慈航,2.96,3.01,2.86,2.99,2.99,-0.03,-1.0033,88723382,261261317.71
2019-01-21,'000587,金洲慈航,2.99,3.07,2.96,2.99,3.04,-0.05,-1.6447,71420127,214640745.73
2019-01-18,'000587,金洲慈航,3.04,3.25,3.01,3.18,3.24,-0.2,-6.1728,115032254,359618512.61
2019-01-17,'000587,金洲慈航,3.24,3.32,3.13,3.18,3.25,-0.01,-0.3077,134968018,433849280.39
2019-01-16,'000587,金洲慈航,3.25,3.37,3.01,3.05,3.13,0.12,3.8339,173697328,554307200.04
2019-01-15,'000587,金洲慈航,3.13,3.24,2.98,3.11,3.07,0.06,1.9544,212922980,665402118.92
2019-01-14,'000587,金洲慈航,3.07,3.07,2.77,2.8,2.79,0.28,10.0358,160577649,480245392.72
2019-01-11,'000587,金洲慈航,2.79,2.85,2.72,2.78,2.86,-0.07,-2.4476,81537578,226877235.53
2019-01-10,'000587,金洲慈航,2.86,2.98,2.78,2.85,2.91,-0.05,-1.7182,107645994,310735399.95
2019-01-09,'000587,金洲慈航,2.91,2.96,2.7,2.74,2.82,0.09,3.1915,130803269,369292476.09
2019-01-08,'000587,金洲慈航,2.82,2.88,2.7,2.86,2.96,-0.14,-4.7297,141092119,395370169.26
2019-01-07,'000587,金洲慈航,2.96,3.09,2.74,2.79,2.81,0.15,5.3381,213416537,634280112.89
2019-01-04,'000587,金洲慈航,2.81,2.81,2.59,2.6,2.55,0.26,10.1961,154840783,420837855.92
2019-01-03,'000587,金洲慈航,2.55,2.55,2.29,2.34,2.32,0.23,9.9138,46827992,114107213.92
2019-01-02,'000587,金洲慈航,2.32,2.37,2.31,2.37,2.35,-0.03,-1.2766,11632800,27150734.99
2018-12-28,'000587,金洲慈航,2.35,2.38,2.33,2.34,2.33,0.02,0.8584,14983063,35249378.42
2018-12-27,'000587,金洲慈航,2.33,2.45,2.33,2.45,2.41,-0.08,-3.3195,21028102,50577842.86
2018-12-26,'000587,金洲慈航,2.41,2.46,2.41,2.45,2.45,-0.04,-1.6327,19142302,46504688.88
2018-12-25,'000587,金洲慈航,2.45,2.53,2.39,2.51,2.53,-0.08,-3.1621,27276902,66642929.9
2018-12-24,'000587,金洲慈航,2.53,2.54,2.48,2.52,2.52,0.01,0.3968,12367100,31139695.0
2018-12-21,'000587,金洲慈航,2.52,2.58,2.51,2.55,2.54,-0.02,-0.7874,15568638,39595019.0
