日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2001-06-01,'000588,PT粤金曼,4.37,4.37,4.37,4.37,4.6,-0.23,-5.0,3601300,15737681.0
2001-05-31,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.6,None,None,0,0.0
2001-05-30,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.6,None,None,0,0.0
2001-05-29,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.6,None,None,0,0.0
2001-05-28,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.6,None,None,0,0.0
2001-05-25,'000588,PT粤金曼,4.6,4.6,4.6,4.6,4.8,-0.2,-4.1667,1598100,7351260.0
2001-05-24,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.8,None,None,0,0.0
2001-05-23,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.8,None,None,0,0.0
2001-05-22,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.8,None,None,0,0.0
2001-05-21,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.8,None,None,0,0.0
2001-05-18,'000588,PT粤金曼,4.8,4.8,4.8,4.8,4.9,-0.1,-2.0408,2078600,9977280.0
2001-05-17,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.9,None,None,0,0.0
2001-05-16,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.9,None,None,0,0.0
2001-05-15,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.9,None,None,0,0.0
2001-05-14,'000588,PT粤金曼,0.0,0.0,0.0,0.0,4.9,None,None,0,0.0
2001-05-11,'000588,PT粤金曼,4.9,4.9,4.9,4.9,5.0,-0.1,-2.0,1723000,8442700.0
2001-05-10,'000588,PT粤金曼,0.0,0.0,0.0,0.0,5.0,None,None,0,0.0
2001-05-09,'000588,PT粤金曼,0.0,0.0,0.0,0.0,5.0,None,None,0,0.0
2001-05-08,'000588,PT粤金曼,0.0,0.0,0.0,0.0,5.0,None,None,0,0.0
2001-04-30,'000588,PT粤金曼,0.0,0.0,0.0,0.0,5.0,None,None,0,0.0
2001-04-27,'000588,PT粤金曼,5.0,5.0,5.0,5.0,5.28,-0.28,-5.303,776000,3880000.0
2001-04-26,'000588,ST粤金曼,0.0,0.0,0.0,0.0,5.28,None,None,0,0.0
2001-04-25,'000588,ST粤金曼,0.0,0.0,0.0,0.0,5.28,None,None,0,0.0
2001-04-24,'000588,ST粤金曼,0.0,0.0,0.0,0.0,5.28,None,None,0,0.0
2001-04-23,'000588,ST粤金曼,0.0,0.0,0.0,0.0,5.28,None,None,0,0.0
2001-04-20,'000588,ST粤金曼,0.0,0.0,0.0,0.0,5.28,None,None,0,0.0
2001-04-19,'000588,ST粤金曼,5.28,5.38,5.2,5.3,5.35,-0.07,-1.3084,1586013,8336060.71
2001-04-18,'000588,ST粤金曼,5.35,5.52,5.28,5.52,5.52,-0.17,-3.0797,1907885,10178392.25
2001-04-17,'000588,ST粤金曼,5.52,5.6,5.34,5.4,5.39,0.13,2.4119,928686,5102369.76
2001-04-16,'000588,ST粤金曼,5.39,5.48,5.23,5.46,5.47,-0.08,-1.4625,1989728,10621448.13
2001-04-13,'000588,ST粤金曼,5.47,5.7,5.43,5.68,5.72,-0.25,-4.3706,1887295,10345045.66
2001-04-12,'000588,ST粤金曼,0.0,0.0,0.0,0.0,5.72,None,None,0,0.0
2001-04-11,'000588,ST粤金曼,5.72,5.75,5.6,5.7,5.72,0.0,0.0,986568,5584513.49
2001-04-10,'000588,ST粤金曼,5.72,5.8,5.7,5.75,5.7,0.02,0.3509,970875,5569667.13
2001-04-09,'000588,ST粤金曼,5.7,5.79,5.53,5.55,5.57,0.13,2.3339,1354058,7670781.33
2001-04-06,'000588,ST粤金曼,5.57,5.65,5.55,5.64,5.64,-0.07,-1.2411,1074691,6018769.66
2001-04-05,'000588,ST粤金曼,5.64,5.68,5.57,5.6,5.61,0.03,0.5348,875680,4940061.78
2001-04-04,'000588,ST粤金曼,5.61,5.85,5.6,5.8,5.78,-0.17,-2.9412,868400,4973234.62
2001-04-03,'000588,ST粤金曼,5.78,5.8,5.63,5.65,5.65,0.13,2.3009,1943858,11191660.65
2001-04-02,'000588,ST粤金曼,5.65,5.7,5.6,5.65,5.62,0.03,0.5338,815795,4611119.36
2001-03-30,'000588,ST粤金曼,5.62,5.64,5.52,5.61,5.61,0.01,0.1783,679970,3790003.85
2001-03-29,'000588,ST粤金曼,5.61,5.69,5.54,5.56,5.56,0.05,0.8993,862249,4839757.05
2001-03-28,'000588,ST粤金曼,5.56,5.66,5.5,5.59,5.59,-0.03,-0.5367,1077308,6003601.05
2001-03-27,'000588,ST粤金曼,5.59,5.73,5.5,5.73,5.73,-0.14,-2.4433,1540608,8600479.28
2001-03-26,'000588,ST粤金曼,5.73,5.78,5.6,5.7,5.73,0.0,0.0,1192956,6823217.36
2001-03-23,'000588,ST粤金曼,5.73,5.77,5.56,5.6,5.7,0.03,0.5263,1384828,7865646.92
2001-03-22,'000588,ST粤金曼,5.7,5.93,5.68,5.9,5.92,-0.22,-3.7162,2306962,13300701.43
2001-03-21,'000588,ST粤金曼,5.92,5.99,5.74,5.8,5.94,-0.02,-0.3367,1817289,10678531.44
2001-03-20,'000588,ST粤金曼,5.94,5.94,5.66,5.66,5.66,0.28,4.947,1352622,7870801.39
2001-03-19,'000588,ST粤金曼,5.66,5.75,5.57,5.62,5.65,0.01,0.177,861544,4888952.55
2001-03-16,'000588,ST粤金曼,5.65,5.79,5.62,5.77,5.77,-0.12,-2.0797,1266715,7212364.25
2001-03-15,'000588,ST粤金曼,5.77,5.78,5.65,5.67,5.7,0.07,1.2281,1306818,7501055.28
2001-03-14,'000588,ST粤金曼,5.7,5.75,5.58,5.65,5.67,0.03,0.5291,841781,4782428.52
2001-03-13,'000588,ST粤金曼,5.67,5.78,5.61,5.66,5.66,0.01,0.1767,1004156,5711927.57
2001-03-12,'000588,ST粤金曼,5.66,5.7,5.55,5.56,5.55,0.11,1.982,915253,5170135.79
2001-03-09,'000588,ST粤金曼,5.55,5.61,5.4,5.45,5.52,0.03,0.5435,1006740,5534082.4
2001-03-08,'000588,ST粤金曼,5.52,5.6,5.42,5.6,5.6,-0.08,-1.4286,1262036,6935270.25
2001-03-07,'000588,ST粤金曼,5.6,5.87,5.56,5.8,5.71,-0.11,-1.9264,2847683,16120176.64
2001-03-06,'000588,ST粤金曼,5.71,5.71,5.5,5.62,5.44,0.27,4.9632,3272591,18570510.51
2001-03-05,'000588,ST粤金曼,5.44,5.44,5.2,5.2,5.18,0.26,5.0193,1859597,9993773.87
2001-03-02,'000588,ST粤金曼,5.18,5.22,5.12,5.2,5.18,0.0,0.0,1370822,7080487.52
2001-03-01,'000588,ST粤金曼,5.18,5.29,5.11,5.13,5.12,0.06,1.1719,1564933,8162390.76
2001-02-28,'000588,ST粤金曼,5.12,5.15,5.0,5.09,5.11,0.01,0.1957,891310,4544189.72
2001-02-27,'000588,ST粤金曼,5.11,5.18,4.88,4.88,5.04,0.07,1.3889,2242847,11375981.58
2001-02-26,'000588,ST粤金曼,5.04,5.18,5.04,5.04,5.3,-0.26,-4.9057,3530658,17829844.36
2001-02-23,'000588,ST粤金曼,5.3,5.5,5.23,5.23,5.5,-0.2,-3.6364,3775916,19909643.18
2001-02-22,'000588,ST粤金曼,5.5,5.5,5.5,5.5,5.79,-0.29,-5.0086,233900,1286450.0
