╚╒╞┌,╣╔╞▒┤·┬ы,├√│╞,╩╒┼╠╝█,╫ю╕▀╝█,╫ю╡═╝█,┐к┼╠╝█,╟░╩╒┼╠,╒╟╡°╢ю,╒╟╡°╖∙,│╔╜╗┴┐,│╔╜╗╜Ё╢ю
2019-07-01,'000589,╣є╓▌┬╓╠е,4.33,4.36,4.23,4.28,4.19,0.14,3.3413,22653233,96965255.04
2019-06-28,'000589,╣є╓▌┬╓╠е,4.19,4.29,4.16,4.28,4.29,-0.1,-2.331,15892401,66834729.53
2019-06-27,'000589,╣є╓▌┬╓╠е,4.29,4.33,4.26,4.28,4.27,0.02,0.4684,16758954,71809674.1
2019-06-26,'000589,╣є╓▌┬╓╠е,4.27,4.29,4.21,4.24,4.27,0.0,0.0,10810450,46029370.5
2019-06-25,'000589,╣є╓▌┬╓╠е,4.27,4.36,4.23,4.36,4.36,-0.09,-2.0642,22571889,96584344.67
2019-06-24,'000589,╣є╓▌┬╓╠е,4.36,4.42,4.32,4.34,4.39,-0.03,-0.6834,23243051,101362853.85
2019-06-21,'000589,╣є╓▌┬╓╠е,4.39,4.43,4.36,4.4,4.38,0.01,0.2283,36483699,160101033.47
2019-06-20,'000589,╣є╓▌┬╓╠е,4.38,4.44,4.21,4.29,4.33,0.05,1.1547,38838661,167964202.52
2019-06-19,'000589,╣є╓▌┬╓╠е,4.33,4.45,4.32,4.38,4.29,0.04,0.9324,33220249,145092617.19
2019-06-18,'000589,╣є╓▌┬╓╠е,4.29,4.37,4.23,4.27,4.3,-0.01,-0.2326,25369500,108865166.52
2019-06-17,'000589,╣є╓▌┬╓╠е,4.3,4.35,4.18,4.28,4.29,0.01,0.2331,33708511,143338447.16
2019-06-14,'000589,╣є╓▌┬╓╠е,4.29,4.67,4.26,4.66,4.57,-0.28,-6.1269,77630178,343968551.12
2019-06-13,'000589,╣є╓▌┬╓╠е,4.57,4.57,4.13,4.15,4.15,0.42,10.1205,60456277,267842530.4
2019-06-12,'000589,╣є╓▌┬╓╠е,4.15,4.26,4.15,4.25,4.28,-0.13,-3.0374,32285555,135634058.5
2019-06-11,'000589,╣є╓▌┬╓╠е,4.28,4.29,4.12,4.14,4.16,0.12,2.8846,38083056,160806147.29
2019-06-10,'000589,╣є╓▌┬╓╠е,4.16,4.16,4.01,4.05,4.05,0.11,2.716,28636642,117343796.44
2019-06-06,'000589,╣є╓▌┬╓╠е,4.05,4.16,3.96,4.13,4.13,-0.08,-1.937,31966498,129133852.56
2019-06-05,'000589,╣є╓▌┬╓╠е,4.13,4.24,4.12,4.23,4.19,-0.06,-1.432,25455679,106520033.75
2019-06-04,'000589,╣є╓▌┬╓╠е,4.19,4.28,4.12,4.28,4.23,-0.04,-0.9456,25892999,108692737.08
2019-06-03,'000589,╣є╓▌┬╓╠е,4.23,4.49,4.18,4.46,4.5,-0.27,-6.0,48837777,211418654.37
2019-05-31,'000589,╣є╓▌┬╓╠е,4.5,4.53,4.4,4.49,4.47,0.03,0.6711,47208260,211029174.71
2019-05-30,'000589,╣є╓▌┬╓╠е,4.47,4.64,4.36,4.64,4.67,-0.2,-4.2827,58687901,263542426.38
2019-05-29,'000589,╣є╓▌┬╓╠е,4.67,4.67,4.51,4.59,4.59,0.08,1.7429,61596322,282805807.88
2019-05-28,'000589,╣є╓▌┬╓╠е,4.59,4.79,4.56,4.65,4.68,-0.09,-1.9231,67210860,314013734.52
2019-05-27,'000589,╣є╓▌┬╓╠е,4.68,4.74,4.53,4.67,4.67,0.01,0.2141,66336585,307924307.22
2019-05-24,'000589,╣є╓▌┬╓╠е,4.67,4.97,4.66,4.88,5.18,-0.51,-9.8456,98250487,467170598.67
2019-05-23,'000589,╣є╓▌┬╓╠е,5.18,5.6,5.18,5.41,5.75,-0.57,-9.913,127807434,685883666.64
2019-05-22,'000589,╣є╓▌┬╓╠е,5.75,6.13,5.52,5.53,5.66,0.09,1.5901,162772801,949155186.0
2019-05-21,'000589,╣є╓▌┬╓╠е,5.66,5.66,5.24,5.3,5.82,-0.16,-2.7491,156763186,835639553.27
2019-05-20,'000589,╣є╓▌┬╓╠е,5.82,6.14,5.4,5.69,5.73,0.09,1.5707,157727492,922645764.35
2019-05-17,'000589,╣є╓▌┬╓╠е,5.73,6.13,5.31,5.61,5.87,-0.14,-2.385,176507366,995702221.04
2019-05-16,'000589,╣є╓▌┬╓╠е,5.87,6.13,5.23,5.4,5.57,0.3,5.386,211160159,1203912931.7
2019-05-15,'000589,╣є╓▌┬╓╠е,5.57,5.75,5.2,5.38,5.59,-0.02,-0.3578,170128932,925259482.9
2019-05-14,'000589,╣є╓▌┬╓╠е,5.59,6.34,5.54,6.34,5.76,-0.17,-2.9514,215242229,1293170541.0
2019-05-13,'000589,╣є╓▌┬╓╠е,5.76,5.76,5.76,5.76,5.24,0.52,9.9237,7584038,43684058.88
2019-05-10,'000589,╣є╓▌┬╓╠е,5.24,5.24,5.24,5.24,4.76,0.48,10.084,11190621,58638854.04
2019-05-09,'000589,╣є╓▌┬╓╠е,4.76,4.76,4.34,4.49,4.33,0.43,9.9307,57745904,265457595.5
2019-05-08,'000589,╣є╓▌┬╓╠е,4.33,4.33,3.86,3.86,3.94,0.39,9.8985,13713831,58278506.14
2019-05-07,'000589,╟н┬╓╠ег┴,3.94,3.95,3.86,3.89,3.86,0.08,2.0725,8374814,32775666.08
2019-05-06,'000589,╟н┬╓╠ег┴,3.86,4.1,3.79,4.1,4.17,-0.31,-7.4341,15519506,61400989.44
2019-04-30,'000589,╟н┬╓╠ег┴,4.17,4.18,4.04,4.04,4.02,0.15,3.7313,10288199,42448918.8
2019-04-29,'000589,╟н┬╓╠ег┴,4.02,4.25,4.02,4.19,4.15,-0.13,-3.1325,11811954,48503140.24
2019-04-26,'000589,╟н┬╓╠ег┴,4.15,4.24,4.13,4.16,4.2,-0.05,-1.1905,10669534,44675120.98
2019-04-25,'000589,╟н┬╓╠ег┴,4.2,4.48,4.2,4.48,4.48,-0.28,-6.25,15226905,65853528.05
2019-04-24,'000589,╟н┬╓╠ег┴,4.48,4.48,4.38,4.46,4.43,0.05,1.1287,8134028,36095510.2
2019-04-23,'000589,╟н┬╓╠ег┴,4.43,4.55,4.43,4.51,4.52,-0.09,-1.9912,10784370,48375447.77
2019-04-22,'000589,╟н┬╓╠ег┴,4.52,4.68,4.51,4.56,4.59,-0.07,-1.5251,15068229,69110280.01
2019-04-19,'000589,╟н┬╓╠ег┴,4.59,4.63,4.5,4.51,4.55,0.04,0.8791,13407284,61248166.89
2019-04-18,'000589,╟н┬╓╠ег┴,4.55,4.62,4.46,4.52,4.48,0.07,1.5625,22262951,101361139.52
2019-04-17,'000589,╟н┬╓╠ег┴,4.48,4.5,4.39,4.42,4.41,0.07,1.5873,11650606,51900947.59
2019-04-16,'000589,╟н┬╓╠ег┴,4.41,4.41,4.26,4.32,4.35,0.06,1.3793,10782041,46857689.88
2019-04-15,'000589,╟н┬╓╠ег┴,4.35,4.5,4.35,4.43,4.37,-0.02,-0.4577,11608140,51483561.84
2019-04-12,'000589,╟н┬╓╠ег┴,4.37,4.42,4.31,4.37,4.35,0.02,0.4598,8138335,35576288.27
2019-04-11,'000589,╟н┬╓╠ег┴,4.35,4.46,4.34,4.45,4.45,-0.1,-2.2472,9537895,41875140.25
2019-04-10,'000589,╟н┬╓╠ег┴,4.45,4.49,4.33,4.36,4.39,0.06,1.3667,12338722,54412425.04
2019-04-09,'000589,╟н┬╓╠ег┴,4.39,4.43,4.36,4.43,4.39,0.0,0.0,8750635,38461163.85
2019-04-08,'000589,╟н┬╓╠ег┴,4.39,4.5,4.32,4.39,4.38,0.01,0.2283,13503362,59541162.77
2019-04-04,'000589,╟н┬╓╠ег┴,4.38,4.41,4.33,4.37,4.38,0.0,0.0,13038414,56933086.9
2019-04-03,'000589,╟н┬╓╠ег┴,4.38,4.42,4.27,4.29,4.32,0.06,1.3889,13458329,58611783.23
2019-04-02,'000589,╟н┬╓╠ег┴,4.32,4.37,4.25,4.29,4.26,0.06,1.4085,15720832,67874357.71
2019-04-01,'000589,╟н┬╓╠ег┴,4.26,4.26,4.13,4.14,4.12,0.14,3.3981,15028226,63491058.64
2019-03-29,'000589,╟н┬╓╠ег┴,4.12,4.13,3.99,4.06,4.02,0.1,2.4876,12886526,52456763.54
2019-03-28,'000589,╟н┬╓╠ег┴,4.02,4.12,4.02,4.1,4.1,-0.08,-1.9512,6963839,28355435.06
2019-03-27,'000589,╟н┬╓╠ег┴,4.1,4.16,4.02,4.14,4.13,-0.03,-0.7264,8266342,33852827.29
2019-03-26,'000589,╟н┬╓╠ег┴,4.13,4.32,4.11,4.29,4.22,-0.09,-2.1327,12260066,51481180.31
2019-03-25,'000589,╟н┬╓╠ег┴,4.22,4.32,4.12,4.16,4.25,-0.03,-0.7059,15945601,67510275.39
2019-03-22,'000589,╟н┬╓╠ег┴,4.25,4.3,4.09,4.16,4.16,0.09,2.1635,17774908,74503857.73
2019-03-21,'000589,╟н┬╓╠ег┴,4.16,4.17,4.12,4.16,4.14,0.02,0.4831,13932447,57776216.05
2019-03-20,'000589,╟н┬╓╠ег┴,4.14,4.19,4.07,4.15,4.19,-0.05,-1.1933,16889482,69490367.99
2019-03-19,'000589,╟н┬╓╠ег┴,4.19,4.19,4.07,4.08,4.08,0.11,2.6961,14320627,59003121.14
2019-03-18,'000589,╟н┬╓╠ег┴,4.08,4.09,3.99,3.99,4.01,0.07,1.7456,8798563,35738268.21
2019-03-15,'000589,╟н┬╓╠ег┴,4.01,4.04,3.92,3.93,3.91,0.1,2.5575,9588122,38280384.1
2019-03-14,'000589,╟н┬╓╠ег┴,3.91,4.07,3.83,4.0,4.03,-0.12,-2.9777,10777835,42533652.1
2019-03-13,'000589,╟н┬╓╠ег┴,4.03,4.13,4.01,4.11,4.1,-0.07,-1.7073,12114860,49461352.5
2019-03-12,'000589,╟н┬╓╠ег┴,4.1,4.18,4.02,4.05,4.02,0.08,1.99,16505051,67812372.1
2019-03-11,'000589,╟н┬╓╠ег┴,4.02,4.03,3.91,3.93,3.91,0.11,2.8133,11312071,44961832.41
