ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000590,ÆôµÏ¹Åºº,11.88,11.93,11.61,11.62,11.51,0.37,3.2146,6069294,71440461.54
2019-06-28,'000590,ÆôµÏ¹Åºº,11.51,11.89,11.4,11.83,11.84,-0.33,-2.7872,4367705,50647869.4
2019-06-27,'000590,ÆôµÏ¹Åºº,11.84,11.97,11.6,11.63,11.61,0.23,1.9811,6077038,71915033.84
2019-06-26,'000590,ÆôµÏ¹Åºº,11.61,11.76,11.43,11.57,11.57,0.04,0.3457,4183910,48699101.1
2019-06-25,'000590,ÆôµÏ¹Åºº,11.57,11.85,11.25,11.8,11.81,-0.24,-2.0322,6189509,71144074.95
2019-06-24,'000590,ÆôµÏ¹Åºº,11.81,12.07,11.68,12.07,12.01,-0.2,-1.6653,5172516,61082416.9
2019-06-21,'000590,ÆôµÏ¹Åºº,12.01,12.23,11.81,11.91,11.88,0.13,1.0943,10540893,126480859.98
2019-06-20,'000590,ÆôµÏ¹Åºº,11.88,12.4,11.41,11.43,11.5,0.38,3.3043,12104033,142983150.38
2019-06-19,'000590,ÆôµÏ¹Åºº,11.5,11.8,11.43,11.62,11.32,0.18,1.5901,7989659,92629778.18
2019-06-18,'000590,ÆôµÏ¹Åºº,11.32,11.72,11.12,11.69,11.52,-0.2,-1.7361,5710384,64718421.51
2019-06-17,'000590,ÆôµÏ¹Åºº,11.52,11.84,11.07,11.07,11.07,0.45,4.065,9088250,104546364.76
2019-06-14,'000590,ÆôµÏ¹Åºº,11.07,11.84,11.05,11.78,11.65,-0.58,-4.9785,7003645,79477704.55
2019-06-13,'000590,ÆôµÏ¹Åºº,11.65,11.78,11.3,11.55,11.69,-0.04,-0.3422,6450694,74434843.38
2019-06-12,'000590,ÆôµÏ¹Åºº,11.69,12.15,11.64,11.85,11.89,-0.2,-1.6821,6182344,73122941.93
2019-06-11,'000590,ÆôµÏ¹Åºº,11.89,11.95,11.36,11.42,11.42,0.47,4.1156,6577620,77239122.69
2019-06-10,'000590,ÆôµÏ¹Åºº,11.42,11.63,11.27,11.49,11.39,0.03,0.2634,4301270,49268677.21
2019-06-06,'000590,ÆôµÏ¹Åºº,11.39,11.9,11.15,11.63,11.57,-0.18,-1.5557,6399872,73185793.11
2019-06-05,'000590,ÆôµÏ¹Åºº,11.57,11.88,11.55,11.71,11.47,0.1,0.8718,6979213,81790202.62
2019-06-04,'000590,ÆôµÏ¹Åºº,11.47,12.3,11.12,12.11,12.25,-0.78,-6.3673,8257677,96690638.04
2019-06-03,'000590,ÆôµÏ¹Åºº,12.25,12.87,12.18,12.18,12.57,-0.32,-2.5457,6363259,79214994.93
2019-05-31,'000590,ÆôµÏ¹Åºº,12.57,13.15,12.47,13.03,13.2,-0.63,-4.7727,10436418,132413052.06
2019-05-30,'000590,ÆôµÏ¹Åºº,13.2,14.02,12.1,12.81,13.1,0.1,0.7634,17355404,224843820.22
2019-05-29,'000590,ÆôµÏ¹Åºº,13.1,13.65,13.0,13.14,13.04,0.06,0.4601,12162501,161471429.43
2019-05-28,'000590,ÆôµÏ¹Åºº,13.04,13.45,12.93,13.13,13.23,-0.19,-1.4361,8337732,110140099.79
2019-05-27,'000590,ÆôµÏ¹Åºº,13.23,13.24,12.52,12.84,12.84,0.39,3.0374,6739270,87848847.29
2019-05-24,'000590,ÆôµÏ¹Åºº,12.84,13.32,12.7,12.99,13.07,-0.23,-1.7598,7867637,101953402.52
2019-05-23,'000590,ÆôµÏ¹Åºº,13.07,13.72,12.87,13.66,13.46,-0.39,-2.8975,9381898,123021809.45
2019-05-22,'000590,ÆôµÏ¹Åºº,13.46,13.95,13.06,13.71,13.84,-0.38,-2.7457,12665681,170379904.73
2019-05-21,'000590,ÆôµÏ¹Åºº,13.84,14.05,13.14,13.14,13.16,0.68,5.1672,15092554,208280706.36
2019-05-20,'000590,ÆôµÏ¹Åºº,13.16,13.45,12.55,12.93,12.59,0.57,4.5274,12663990,165029426.59
2019-05-17,'000590,ÆôµÏ¹Åºº,12.59,14.07,12.43,13.83,13.71,-1.12,-8.1692,13084703,174039277.71
2019-05-16,'000590,ÆôµÏ¹Åºº,13.71,14.34,13.51,14.05,13.75,-0.04,-0.2909,12156969,169599125.47
2019-05-15,'000590,ÆôµÏ¹Åºº,13.75,13.93,13.55,13.55,13.22,0.53,4.0091,11867302,162648096.88
2019-05-14,'000590,ÆôµÏ¹Åºº,13.22,13.7,13.11,13.43,13.54,-0.32,-2.3634,9676000,129813520.17
2019-05-13,'000590,ÆôµÏ¹Åºº,13.54,14.08,13.25,13.82,13.79,-0.25,-1.8129,12169280,166039788.91
2019-05-10,'000590,ÆôµÏ¹Åºº,13.79,14.17,13.07,13.42,13.08,0.71,5.4281,14151576,193784188.82
2019-05-09,'000590,ÆôµÏ¹Åºº,13.08,13.93,12.94,13.65,13.6,-0.52,-3.8235,10287806,137421685.87
2019-05-08,'000590,ÆôµÏ¹Åºº,13.6,14.32,12.92,13.05,13.32,0.28,2.1021,14808805,202622403.63
2019-05-07,'000590,ÆôµÏ¹Åºº,13.32,13.75,13.03,13.35,12.97,0.35,2.6985,11893921,158768964.56
2019-05-06,'000590,ÆôµÏ¹Åºº,12.97,14.25,12.82,13.07,13.48,-0.51,-3.7834,15113730,204881270.73
2019-04-30,'000590,ÆôµÏ¹Åºº,13.48,14.3,13.02,13.66,14.25,-0.77,-5.4035,15708946,214117166.9
2019-04-29,'000590,ÆôµÏ¹Åºº,14.25,16.78,14.25,16.6,15.83,-1.58,-9.981,17413908,262878859.46
2019-04-26,'000590,ÆôµÏ¹Åºº,15.83,15.83,14.62,14.62,14.39,1.44,10.0069,9367683,145165063.34
2019-04-25,'000590,ÆôµÏ¹Åºº,14.39,15.64,14.23,15.36,15.81,-1.42,-8.9817,14559033,217868171.44
2019-04-24,'000590,ÆôµÏ¹Åºº,15.81,16.17,14.98,14.98,14.86,0.95,6.393,19256866,304060938.6
2019-04-23,'000590,ÆôµÏ¹Åºº,14.86,15.42,14.8,15.23,15.13,-0.27,-1.7845,10847920,164744936.05
2019-04-22,'000590,ÆôµÏ¹Åºº,15.13,16.23,14.93,16.18,16.22,-1.09,-6.7201,17902536,277099937.93
2019-04-19,'000590,ÆôµÏ¹Åºº,16.22,16.78,15.71,16.0,16.35,-0.13,-0.7951,14062463,228872769.5
2019-04-18,'000590,ÆôµÏ¹Åºº,16.35,16.7,16.11,16.52,16.86,-0.51,-3.0249,14210990,232807884.35
2019-04-17,'000590,ÆôµÏ¹Åºº,16.86,17.45,16.01,16.49,16.66,0.2,1.2005,19765836,334185527.45
2019-04-16,'000590,ÆôµÏ¹Åºº,16.66,16.68,15.77,16.07,16.37,0.29,1.7715,13489009,219181607.14
2019-04-15,'000590,ÆôµÏ¹Åºº,16.37,17.16,16.1,16.52,16.28,0.09,0.5528,16507601,275692543.62
2019-04-12,'000590,ÆôµÏ¹Åºº,16.28,17.01,16.0,16.5,16.82,-0.54,-3.2105,15971148,263940239.49
