ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000591,Ì«ÑôÄÜ,3.34,3.35,3.3,3.32,3.28,0.06,1.8293,15865870,52838241.62
2019-06-28,'000591,Ì«ÑôÄÜ,3.28,3.35,3.26,3.35,3.34,-0.06,-1.7964,10378357,34198002.36
2019-06-27,'000591,Ì«ÑôÄÜ,3.34,3.36,3.31,3.34,3.35,-0.01,-0.2985,9638717,32112178.38
2019-06-26,'000591,Ì«ÑôÄÜ,3.35,3.35,3.28,3.3,3.3,0.05,1.5152,10377264,34492606.05
2019-06-25,'000591,Ì«ÑôÄÜ,3.3,3.36,3.27,3.36,3.34,-0.04,-1.1976,11236440,37131234.2
2019-06-24,'000591,Ì«ÑôÄÜ,3.34,3.37,3.32,3.33,3.33,0.01,0.3003,9936562,33171575.24
2019-06-21,'000591,Ì«ÑôÄÜ,3.33,3.35,3.3,3.31,3.29,0.04,1.2158,16109734,53632062.8
2019-06-20,'000591,Ì«ÑôÄÜ,3.29,3.32,3.23,3.25,3.26,0.03,0.9202,13363942,43884767.7
2019-06-19,'000591,Ì«ÑôÄÜ,3.26,3.31,3.25,3.31,3.22,0.04,1.2422,11591450,37905194.76
2019-06-18,'000591,Ì«ÑôÄÜ,3.22,3.24,3.2,3.24,3.25,-0.03,-0.9231,7422550,23914144.36
2019-06-17,'000591,Ì«ÑôÄÜ,3.35,3.4,3.28,3.39,3.34,0.01,0.2994,13686255,45625896.2
2019-06-14,'000591,Ì«ÑôÄÜ,3.34,3.44,3.32,3.41,3.39,-0.05,-1.4749,16722830,56085259.58
2019-06-13,'000591,Ì«ÑôÄÜ,3.39,3.44,3.29,3.31,3.3,0.09,2.7273,19649872,66464008.53
2019-06-12,'000591,Ì«ÑôÄÜ,3.3,3.35,3.3,3.33,3.32,-0.02,-0.6024,9919883,32952653.43
2019-06-11,'000591,Ì«ÑôÄÜ,3.32,3.33,3.22,3.22,3.23,0.09,2.7864,11799933,38799872.8
2019-06-10,'000591,Ì«ÑôÄÜ,3.23,3.26,3.18,3.2,3.18,0.05,1.5723,7980340,25685070.2
2019-06-06,'000591,Ì«ÑôÄÜ,3.18,3.29,3.17,3.28,3.28,-0.1,-3.0488,12375853,39777192.81
2019-06-05,'000591,Ì«ÑôÄÜ,3.28,3.32,3.27,3.32,3.29,-0.01,-0.304,9835020,32355450.4
2019-06-04,'000591,Ì«ÑôÄÜ,3.29,3.34,3.27,3.32,3.34,-0.05,-1.497,10503788,34609360.34
2019-06-03,'000591,Ì«ÑôÄÜ,3.34,3.4,3.31,3.38,3.42,-0.08,-2.3392,19359384,64868446.79
2019-05-31,'000591,Ì«ÑôÄÜ,3.42,3.58,3.34,3.36,3.33,0.09,2.7027,34774730,120086586.83
2019-05-30,'000591,Ì«ÑôÄÜ,3.33,3.37,3.28,3.37,3.37,-0.04,-1.1869,12717020,42149948.31
2019-05-29,'000591,Ì«ÑôÄÜ,3.37,3.41,3.36,3.38,3.39,-0.02,-0.59,7160860,24224287.6
2019-05-28,'000591,Ì«ÑôÄÜ,3.39,3.43,3.37,3.4,3.42,-0.03,-0.8772,10596951,36084240.69
2019-05-27,'000591,Ì«ÑôÄÜ,3.42,3.42,3.34,3.36,3.35,0.07,2.0896,11417168,38620877.32
2019-05-24,'000591,Ì«ÑôÄÜ,3.35,3.36,3.31,3.31,3.33,0.02,0.6006,6755566,22566335.01
2019-05-23,'000591,Ì«ÑôÄÜ,3.33,3.39,3.32,3.38,3.4,-0.07,-2.0588,12588244,42110240.44
2019-05-22,'000591,Ì«ÑôÄÜ,3.4,3.47,3.36,3.4,3.4,0.0,0.0,15187155,51872859.85
2019-05-21,'000591,Ì«ÑôÄÜ,3.4,3.43,3.34,3.35,3.37,0.03,0.8902,10713415,36384867.05
2019-05-20,'000591,Ì«ÑôÄÜ,3.37,3.38,3.27,3.34,3.35,0.02,0.597,13033680,43441758.82
2019-05-17,'000591,Ì«ÑôÄÜ,3.35,3.51,3.33,3.51,3.5,-0.15,-4.2857,20605400,70044336.0
2019-05-16,'000591,Ì«ÑôÄÜ,3.5,3.56,3.47,3.51,3.51,-0.01,-0.2849,23036714,80816871.84
2019-05-15,'000591,Ì«ÑôÄÜ,3.51,3.58,3.41,3.41,3.4,0.11,3.2353,30503030,106185504.02
2019-05-14,'000591,Ì«ÑôÄÜ,3.4,3.44,3.36,3.41,3.45,-0.05,-1.4493,12026228,40976906.28
2019-05-13,'000591,Ì«ÑôÄÜ,3.45,3.48,3.43,3.46,3.49,-0.04,-1.1461,9125387,31495049.81
2019-05-10,'000591,Ì«ÑôÄÜ,3.49,3.52,3.4,3.44,3.42,0.07,2.0468,15703466,54576704.66
2019-05-09,'000591,Ì«ÑôÄÜ,3.42,3.45,3.38,3.4,3.43,-0.01,-0.2915,9061584,30999079.84
2019-05-08,'000591,Ì«ÑôÄÜ,3.43,3.46,3.33,3.36,3.4,0.03,0.8824,14207774,48542486.06
2019-05-07,'000591,Ì«ÑôÄÜ,3.4,3.45,3.33,3.35,3.34,0.06,1.7964,15159896,51508561.7
2019-05-06,'000591,Ì«ÑôÄÜ,3.34,3.6,3.31,3.6,3.68,-0.34,-9.2391,29642498,102206170.44
2019-04-30,'000591,Ì«ÑôÄÜ,3.68,3.71,3.64,3.64,3.65,0.03,0.8219,13345028,49107075.56
2019-04-29,'000591,Ì«ÑôÄÜ,3.65,3.82,3.53,3.8,3.79,-0.14,-3.6939,26899470,98928224.22
2019-04-26,'000591,Ì«ÑôÄÜ,3.79,3.92,3.78,3.88,3.92,-0.13,-3.3163,22973158,88245891.74
2019-04-25,'000591,Ì«ÑôÄÜ,3.92,4.1,3.91,4.1,4.14,-0.22,-5.314,31284801,125476276.6
2019-04-24,'000591,Ì«ÑôÄÜ,4.14,4.15,3.95,3.97,3.97,0.17,4.2821,35742809,145052753.21
2019-04-23,'000591,Ì«ÑôÄÜ,3.97,4.09,3.93,4.08,4.1,-0.13,-3.1707,36393945,145826335.25
2019-04-22,'000591,Ì«ÑôÄÜ,4.1,4.19,4.08,4.19,4.18,-0.08,-1.9139,21777071,89926649.99
2019-04-19,'000591,Ì«ÑôÄÜ,4.18,4.18,4.1,4.17,4.16,0.02,0.4808,18638835,77270392.55
2019-04-18,'000591,Ì«ÑôÄÜ,4.16,4.21,4.14,4.19,4.18,-0.02,-0.4785,15599620,64908698.8
2019-04-17,'000591,Ì«ÑôÄÜ,4.18,4.2,4.12,4.13,4.15,0.03,0.7229,18996654,79135057.77
2019-04-16,'000591,Ì«ÑôÄÜ,4.15,4.16,4.03,4.09,4.11,0.04,0.9732,21718673,88889930.91
2019-04-15,'000591,Ì«ÑôÄÜ,4.11,4.31,4.09,4.28,4.23,-0.12,-2.8369,33637641,141576375.17
2019-04-12,'000591,Ì«ÑôÄÜ,4.23,4.27,4.16,4.19,4.23,0.0,0.0,17039133,71843173.37
2019-04-11,'000591,Ì«ÑôÄÜ,4.23,4.48,4.23,4.41,4.35,-0.12,-2.7586,38540414,166650218.49
2019-04-10,'000591,Ì«ÑôÄÜ,4.35,4.35,4.22,4.29,4.28,0.07,1.6355,25564542,109728749.31
2019-04-09,'000591,Ì«ÑôÄÜ,4.28,4.31,4.18,4.26,4.25,0.03,0.7059,19495526,83225662.26
2019-04-08,'000591,Ì«ÑôÄÜ,4.25,4.34,4.19,4.3,4.32,-0.07,-1.6204,37072891,158272040.97
2019-04-04,'000591,Ì«ÑôÄÜ,4.32,4.34,4.25,4.32,4.29,0.03,0.6993,33943208,146056867.28
2019-04-03,'000591,Ì«ÑôÄÜ,4.29,4.31,4.22,4.22,4.27,0.02,0.4684,27044515,115448124.04
2019-04-02,'000591,Ì«ÑôÄÜ,4.27,4.32,4.26,4.29,4.29,-0.02,-0.4662,28756126,123280933.36
2019-04-01,'000591,Ì«ÑôÄÜ,4.29,4.34,4.15,4.15,4.14,0.15,3.6232,36207079,154424632.61
