日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000592,平潭发展,3.57,3.59,3.53,3.55,3.5,0.07,2.0,35549574,126721308.57
2019-06-28,'000592,平潭发展,3.5,3.58,3.47,3.56,3.55,-0.05,-1.4085,32205409,113195874.4
2019-06-27,'000592,平潭发展,3.55,3.62,3.52,3.53,3.58,-0.03,-0.838,56657007,201241810.19
2019-06-26,'000592,平潭发展,3.58,3.8,3.43,3.45,3.45,0.13,3.7681,93511830,341804895.73
2019-06-25,'000592,平潭发展,3.45,3.53,3.42,3.51,3.54,-0.09,-2.5424,24659969,85575042.57
2019-06-24,'000592,平潭发展,3.54,3.55,3.48,3.5,3.51,0.03,0.8547,28449685,100138435.67
2019-06-21,'000592,平潭发展,3.51,3.58,3.48,3.48,3.49,0.02,0.5731,38524365,135807289.43
2019-06-20,'000592,平潭发展,3.49,3.53,3.37,3.43,3.42,0.07,2.0468,35308971,122143983.77
2019-06-19,'000592,平潭发展,3.42,3.49,3.41,3.47,3.4,0.02,0.5882,18780908,64647326.39
2019-06-18,'000592,平潭发展,3.4,3.45,3.36,3.43,3.43,-0.03,-0.8746,13434370,45639156.26
2019-06-17,'000592,平潭发展,3.43,3.5,3.4,3.48,3.45,-0.02,-0.5797,15349621,52685104.67
2019-06-14,'000592,平潭发展,3.45,3.55,3.42,3.47,3.47,-0.02,-0.5764,25669346,89427156.68
2019-06-13,'000592,平潭发展,3.47,3.49,3.41,3.43,3.45,0.02,0.5797,22473536,77714402.19
2019-06-12,'000592,平潭发展,3.45,3.54,3.43,3.45,3.47,-0.02,-0.5764,29454072,102378827.01
2019-06-11,'000592,平潭发展,3.47,3.52,3.32,3.33,3.38,0.09,2.6627,39565398,136077040.94
2019-06-10,'000592,平潭发展,3.38,3.46,3.23,3.31,3.27,0.11,3.3639,25136542,83592515.6
2019-06-06,'000592,平潭发展,3.27,3.44,3.25,3.41,3.43,-0.16,-4.6647,36202329,120390892.77
2019-06-05,'000592,平潭发展,3.43,3.52,3.41,3.49,3.44,-0.01,-0.2907,25591571,88510358.41
2019-06-04,'000592,平潭发展,3.44,3.62,3.39,3.61,3.61,-0.17,-4.7091,44029489,153325959.61
2019-06-03,'000592,平潭发展,3.61,3.69,3.56,3.57,3.59,0.02,0.5571,38846686,140443370.91
2019-05-31,'000592,平潭发展,3.59,3.74,3.51,3.54,3.56,0.03,0.8427,54319167,197119483.7
2019-05-30,'000592,平潭发展,3.56,3.59,3.47,3.54,3.67,-0.11,-2.9973,64123035,226743786.1
2019-05-29,'000592,平潭发展,3.67,3.81,3.43,3.44,3.46,0.21,6.0694,102523500,382079450.71
2019-05-28,'000592,平潭发展,3.46,3.55,3.44,3.47,3.46,0.0,0.0,27176932,95237613.08
2019-05-27,'000592,平潭发展,3.46,3.49,3.38,3.41,3.4,0.06,1.7647,24212492,83297068.31
2019-05-24,'000592,平潭发展,3.4,3.55,3.4,3.5,3.52,-0.12,-3.4091,20101946,69767690.09
2019-05-23,'000592,平潭发展,3.52,3.6,3.48,3.56,3.62,-0.1,-2.7624,31851966,112132392.0
2019-05-22,'000592,平潭发展,3.62,3.73,3.5,3.58,3.59,0.03,0.8357,46905353,169276565.28
2019-05-21,'000592,平潭发展,3.59,3.65,3.49,3.52,3.55,0.04,1.1268,34375315,122770990.57
2019-05-20,'000592,平潭发展,3.55,3.73,3.37,3.65,3.7,-0.15,-4.0541,47923985,169415393.54
2019-05-17,'000592,平潭发展,3.7,3.97,3.69,3.84,3.91,-0.21,-5.3708,62524127,240007277.57
2019-05-16,'000592,平潭发展,3.91,4.05,3.74,3.8,3.79,0.12,3.1662,62133834,242801399.81
2019-05-15,'000592,平潭发展,3.79,3.81,3.72,3.74,3.72,0.07,1.8817,37567628,141180509.62
2019-05-14,'000592,平潭发展,3.72,3.75,3.66,3.71,3.76,-0.04,-1.0638,33282907,123482065.83
2019-05-13,'000592,平潭发展,3.76,3.81,3.71,3.76,3.84,-0.08,-2.0833,28762055,108163359.01
2019-05-10,'000592,平潭发展,3.84,3.9,3.63,3.82,3.77,0.07,1.8568,53058377,202503055.77
2019-05-09,'000592,平潭发展,3.77,3.86,3.73,3.81,3.88,-0.11,-2.8351,29787445,112955832.96
2019-05-08,'000592,平潭发展,3.88,3.91,3.63,3.71,3.86,0.02,0.5181,43499565,164691419.12
2019-05-07,'000592,平潭发展,3.86,3.95,3.68,3.83,3.81,0.05,1.3123,49760711,191066018.08
2019-05-06,'000592,平潭发展,3.81,4.14,3.81,4.06,4.23,-0.42,-9.9291,75076092,295993024.27
2019-04-30,'000592,平潭发展,4.23,4.23,4.05,4.05,4.06,0.17,4.1872,55854690,229967056.45
2019-04-29,'000592,平潭发展,4.06,4.4,4.02,4.36,4.27,-0.21,-4.918,80247169,335523099.38
2019-04-26,'000592,平潭发展,4.27,4.58,4.2,4.43,4.53,-0.26,-5.7395,96663191,421375350.66
2019-04-25,'000592,平潭发展,4.53,4.79,4.46,4.5,4.58,-0.05,-1.0917,117398380,544683853.2
2019-04-24,'000592,平潭发展,4.58,4.68,4.46,4.55,4.66,-0.08,-1.7167,95229755,434751284.64
2019-04-23,'000592,平潭发展,4.66,4.84,4.35,4.41,4.42,0.24,5.4299,206571470,958490855.51
2019-04-22,'000592,平潭发展,4.42,4.66,4.35,4.47,4.51,-0.09,-1.9956,150744537,678113300.84
2019-04-19,'000592,平潭发展,4.51,4.8,4.46,4.76,4.93,-0.42,-8.5193,262236238,1208095542.54
2019-04-18,'000592,平潭发展,4.93,4.93,4.63,4.93,4.48,0.45,10.0446,354897587,1729138803.0
2019-04-17,'000592,平潭发展,4.48,4.48,4.08,4.09,4.07,0.41,10.0737,123190967,534772318.42
2019-04-16,'000592,平潭发展,4.07,4.09,3.91,4.0,4.05,0.02,0.4938,51554128,205756116.47
2019-04-15,'000592,平潭发展,4.05,4.19,4.05,4.13,4.12,-0.07,-1.699,51859962,213669013.14
2019-04-12,'000592,平潭发展,4.12,4.22,4.06,4.12,4.26,-0.14,-3.2864,86525108,357533193.24
2019-04-11,'000592,平潭发展,4.26,4.49,4.06,4.1,4.08,0.18,4.4118,161225354,694324259.35
2019-04-10,'000592,平潭发展,4.08,4.18,3.95,4.04,4.03,0.05,1.2407,74935328,305653750.78
2019-04-09,'000592,平潭发展,4.03,4.04,3.91,3.92,3.95,0.08,2.0253,34806269,138690662.08
2019-04-08,'000592,平潭发展,3.95,4.1,3.87,4.05,4.05,-0.1,-2.4691,49468329,197316681.52
2019-04-04,'000592,平潭发展,4.05,4.13,4.02,4.08,4.09,-0.04,-0.978,47853359,194484928.19
2019-04-03,'000592,平潭发展,4.09,4.16,3.96,4.0,4.01,0.08,1.995,63941349,260963245.61
2019-04-02,'000592,平潭发展,4.01,4.08,3.95,4.05,4.04,-0.03,-0.7426,46185185,185288169.59
2019-04-01,'000592,平潭发展,4.04,4.05,3.91,3.91,3.91,0.13,3.3248,53346369,212870987.03
2019-03-29,'000592,平潭发展,3.91,3.93,3.77,3.77,3.78,0.13,3.4392,38931058,150377600.64
2019-03-28,'000592,平潭发展,3.78,3.92,3.74,3.79,3.81,-0.03,-0.7874,33056744,126950416.23
2019-03-27,'000592,平潭发展,3.81,3.92,3.76,3.89,3.85,-0.04,-1.039,34730032,132491911.11
2019-03-26,'000592,平潭发展,3.85,4.06,3.85,4.04,4.04,-0.19,-4.703,52714125,207809353.14
2019-03-25,'000592,平潭发展,4.04,4.08,3.96,4.04,4.16,-0.12,-2.8846,59791385,241551679.08
2019-03-22,'000592,平潭发展,4.16,4.2,4.05,4.14,4.2,-0.04,-0.9524,73191854,301900177.57
2019-03-21,'000592,平潭发展,4.2,4.27,4.12,4.17,4.16,0.04,0.9615,97535845,408601400.34
2019-03-20,'000592,平潭发展,4.16,4.27,4.05,4.18,4.24,-0.08,-1.8868,91849508,380442961.87
2019-03-19,'000592,平潭发展,4.24,4.28,3.96,3.96,3.99,0.25,6.2657,146531467,610129004.96
2019-03-18,'000592,平潭发展,3.99,4.02,3.81,3.85,3.93,0.06,1.5267,64351374,252580365.18
2019-03-15,'000592,平潭发展,3.93,4.06,3.86,3.89,3.83,0.1,2.611,64690172,255501571.43
2019-03-14,'000592,平潭发展,3.83,3.98,3.7,3.94,3.98,-0.15,-3.7688,53887603,206898385.42
2019-03-13,'000592,平潭发展,3.98,4.16,3.96,4.13,4.12,-0.14,-3.3981,66439440,266902475.91
2019-03-12,'000592,平潭发展,4.12,4.2,4.02,4.08,4.05,0.07,1.7284,81004701,333866952.43
2019-03-11,'000592,平潭发展,4.05,4.06,3.9,3.9,3.88,0.17,4.3814,61378373,245737098.21
2019-03-08,'000592,平潭发展,3.88,4.13,3.87,4.12,4.21,-0.33,-7.8385,103715323,418396627.74
2019-03-07,'000592,平潭发展,4.21,4.3,4.1,4.3,4.28,-0.07,-1.6355,111111459,465619118.84
2019-03-06,'000592,平潭发展,4.28,4.41,4.05,4.09,4.09,0.19,4.6455,145108630,618938292.86
2019-03-05,'000592,平潭发展,4.09,4.1,3.96,4.02,4.09,0.0,0.0,90788230,366077484.4
2019-03-04,'000592,平潭发展,4.09,4.17,3.96,4.04,4.1,-0.01,-0.2439,141309071,575841194.68
2019-03-01,'000592,平潭发展,4.1,4.18,4.01,4.05,4.03,0.07,1.737,93896162,383822487.18
2019-02-28,'000592,平潭发展,4.03,4.17,4.0,4.11,4.24,-0.21,-4.9528,130464001,531277303.71
2019-02-27,'000592,平潭发展,4.24,4.24,3.85,3.85,3.85,0.39,10.1299,227246689,940452369.07
2019-02-26,'000592,平潭发展,3.85,4.06,3.75,3.82,3.87,-0.02,-0.5168,141500575,554722496.49
2019-02-25,'000592,平潭发展,3.87,3.95,3.64,3.72,3.72,0.15,4.0323,154731648,585268890.55
2019-02-22,'000592,平潭发展,3.72,3.83,3.43,3.5,3.49,0.23,6.5903,140304255,515803270.94
2019-02-21,'000592,平潭发展,3.49,3.59,3.46,3.51,3.57,-0.08,-2.2409,78572119,275644508.09
2019-02-20,'000592,平潭发展,3.57,3.66,3.49,3.55,3.56,0.01,0.2809,85805986,307013879.95
2019-02-19,'000592,平潭发展,3.56,3.66,3.46,3.59,3.64,-0.08,-2.1978,119869327,425697144.52
2019-02-18,'000592,平潭发展,3.64,3.77,3.58,3.6,3.58,0.06,1.676,170089099,623374807.19
2019-02-15,'000592,平潭发展,3.58,3.58,3.22,3.26,3.25,0.33,10.1538,154061694,535192854.88
2019-02-14,'000592,平潭发展,3.25,3.34,3.23,3.25,3.23,0.02,0.6192,59911443,196521962.41
2019-02-13,'000592,平潭发展,3.23,3.29,3.17,3.22,3.21,0.02,0.6231,55841009,180189966.08
2019-02-12,'000592,平潭发展,3.21,3.24,3.14,3.14,3.13,0.08,2.5559,45598538,145255529.63
2019-02-11,'000592,平潭发展,3.13,3.16,3.04,3.06,3.05,0.08,2.623,32579109,101528794.64
2019-02-01,'000592,平潭发展,3.05,3.07,2.98,2.98,2.96,0.09,3.0405,23800864,71928945.17
2019-01-31,'000592,平潭发展,2.96,3.13,2.92,3.09,3.11,-0.15,-4.8232,56267301,169512410.32
2019-01-30,'000592,平潭发展,3.11,3.25,3.11,3.24,3.28,-0.17,-5.1829,53708956,170425422.45
2019-01-29,'000592,平潭发展,3.28,3.38,3.07,3.09,3.11,0.17,5.4662,91633126,297480526.33
2019-01-28,'000592,平潭发展,3.11,3.16,3.08,3.13,3.11,0.0,0.0,25007857,77816100.15
2019-01-25,'000592,平潭发展,3.11,3.23,3.11,3.17,3.17,-0.06,-1.8927,37813900,119621701.82
2019-01-24,'000592,平潭发展,3.17,3.25,3.09,3.1,3.09,0.08,2.589,50671786,161153070.29
2019-01-23,'000592,平潭发展,3.09,3.15,3.07,3.14,3.15,-0.06,-1.9048,38304654,118670846.22
2019-01-22,'000592,平潭发展,3.15,3.22,3.14,3.2,3.24,-0.09,-2.7778,38931202,123203653.42
2019-01-21,'000592,平潭发展,3.24,3.29,3.13,3.16,3.16,0.08,2.5316,72773020,234437362.06
2019-01-18,'000592,平潭发展,3.16,3.17,3.07,3.09,3.09,0.07,2.2654,45165382,140880576.77
2019-01-17,'000592,平潭发展,3.09,3.22,3.07,3.2,3.18,-0.09,-2.8302,52324269,164401173.74
2019-01-16,'000592,平潭发展,3.18,3.29,3.18,3.28,3.32,-0.14,-4.2169,63781589,205954541.74
2019-01-15,'000592,平潭发展,3.32,3.33,3.2,3.31,3.35,-0.03,-0.8955,83294805,271857401.46
2019-01-14,'000592,平潭发展,3.35,3.45,3.17,3.24,3.26,0.09,2.7607,131737622,437736458.35
2019-01-11,'000592,平潭发展,3.26,3.33,3.14,3.2,3.23,0.03,0.9288,91185274,296105118.33
2019-01-10,'000592,平潭发展,3.23,3.29,3.18,3.24,3.28,-0.05,-1.5244,84900620,273744848.39
2019-01-09,'000592,平潭发展,3.28,3.39,3.18,3.24,3.3,-0.02,-0.6061,124922056,411723930.81
2019-01-08,'000592,平潭发展,3.3,3.44,3.22,3.42,3.48,-0.18,-5.1724,165032120,545246609.73
