日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000593,大通燃气,7.1,7.21,7.05,7.05,7.0,0.1,1.4286,10357100,73465617.0
2019-06-28,'000593,大通燃气,7.0,7.23,6.97,7.09,7.13,-0.13,-1.8233,10434800,73819891.0
2019-06-27,'000593,大通燃气,7.13,7.21,7.04,7.16,7.17,-0.04,-0.5579,13755743,97604828.58
2019-06-26,'000593,大通燃气,7.17,7.26,7.0,7.19,7.3,-0.13,-1.7808,16639434,118763265.83
2019-06-25,'000593,大通燃气,7.3,7.63,7.05,7.08,7.02,0.28,3.9886,28973073,212287745.55
2019-06-24,'000593,大通燃气,7.02,7.17,6.98,7.1,7.22,-0.2,-2.7701,12446517,87475786.74
2019-06-21,'000593,大通燃气,7.22,7.47,7.18,7.28,7.4,-0.18,-2.4324,21764169,158922399.23
2019-06-20,'000593,大通燃气,7.4,7.69,6.87,7.01,6.99,0.41,5.8655,26694183,193263200.21
2019-06-19,'000593,大通燃气,6.99,7.06,6.83,7.02,6.87,0.12,1.7467,12438692,86038420.41
2019-06-18,'000593,大通燃气,6.87,7.25,6.86,7.11,7.16,-0.29,-4.0503,10709197,75399437.84
2019-06-17,'000593,大通燃气,7.16,7.29,6.92,7.08,7.12,0.04,0.5618,10541437,74988622.16
2019-06-14,'000593,大通燃气,7.12,7.39,7.02,7.39,7.4,-0.28,-3.7838,14387800,102825388.61
2019-06-13,'000593,大通燃气,7.4,7.55,7.31,7.4,7.56,-0.16,-2.1164,16612461,122827777.78
2019-06-12,'000593,大通燃气,7.56,7.69,7.03,7.11,7.28,0.28,3.8462,29916998,221177302.55
2019-06-11,'000593,大通燃气,7.28,7.28,6.85,7.05,7.25,0.03,0.4138,23531198,166407421.55
2019-06-10,'000593,大通燃气,7.25,7.44,6.82,7.05,7.0,0.25,3.5714,29164008,210106851.83
2019-06-06,'000593,大通燃气,7.0,7.0,6.93,7.0,6.36,0.64,10.0629,14511934,101557415.85
