日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2015-07-10,'000594,国恒退,1.29,1.29,1.11,1.18,1.17,0.12,10.2564,132495399,166367426.46
2015-07-09,'000594,国恒退,1.17,1.22,1.0,1.0,1.11,0.06,5.4054,130310881,143371627.41
2015-07-08,'000594,国恒退,1.11,1.11,1.11,1.11,1.23,-0.12,-9.7561,9522400,10569864.0
2015-07-07,'000594,国恒退,1.23,1.26,1.23,1.24,1.37,-0.14,-10.219,14315200,17704561.4
2015-07-06,'000594,国恒退,1.37,1.61,1.37,1.61,1.52,-0.15,-9.8684,58123353,83416021.3
2015-07-03,'000594,国恒退,1.52,1.66,1.51,1.54,1.57,-0.05,-3.1847,49243628,76650000.09
2015-07-02,'000594,国恒退,1.57,1.73,1.55,1.65,1.63,-0.06,-3.681,52772926,86681305.0
2015-07-01,'000594,国恒退,1.63,1.67,1.5,1.5,1.52,0.11,7.2368,74009985,119169524.58
2015-06-30,'000594,国恒退,1.52,1.54,1.4,1.48,1.45,0.07,4.8276,48860700,71988622.5
2015-06-29,'000594,国恒退,1.45,1.59,1.38,1.57,1.49,-0.04,-2.6846,53041233,79508891.86
2015-06-26,'000594,国恒退,1.49,1.65,1.49,1.61,1.65,-0.16,-9.697,61625233,95888608.29
2015-06-25,'000594,国恒退,1.65,1.74,1.63,1.7,1.67,-0.02,-1.1976,39940112,67485540.06
2015-06-24,'000594,国恒退,1.67,1.73,1.63,1.64,1.61,0.06,3.7267,56585258,95061558.88
2015-06-23,'000594,国恒退,1.61,1.68,1.47,1.51,1.59,0.02,1.2579,70628302,111871550.62
2015-06-19,'000594,国恒退,1.59,1.74,1.59,1.71,1.77,-0.18,-10.1695,68170976,109902511.58
2015-06-18,'000594,国恒退,1.77,1.98,1.77,1.98,1.97,-0.2,-10.1523,88285622,162052164.12
2015-06-17,'000594,国恒退,1.97,2.04,1.95,2.02,2.02,-0.05,-2.4752,45736100,90888238.88
2015-06-16,'000594,国恒退,2.02,2.08,1.97,1.99,2.0,0.02,1.0,52874204,106542958.72
2015-06-15,'000594,国恒退,2.0,2.09,1.98,2.09,2.06,-0.06,-2.9126,70920641,144670634.37
2015-06-12,'000594,国恒退,2.06,2.14,2.06,2.1,2.11,-0.05,-2.3697,70586351,147850242.96
2015-06-11,'000594,国恒退,2.11,2.2,2.07,2.1,2.05,0.06,2.9268,92572852,196982951.66
2015-06-10,'000594,国恒退,2.05,2.29,2.0,2.1,2.2,-0.15,-6.8182,181820245,382492757.79
2015-06-09,'000594,国恒退,2.2,2.2,2.2,2.2,2.44,-0.24,-9.8361,13627700,29980940.0
2015-06-08,'000594,国恒退,2.44,2.98,2.44,2.98,2.71,-0.27,-9.9631,65308200,179646602.23
2015-06-05,'000594,国恒退,2.71,2.71,2.71,2.71,2.46,0.25,10.1626,6927712,18774099.52
