日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000595,宝塔实业,3.07,3.08,2.98,2.98,2.96,0.11,3.7162,8290557,25291477.62
2019-06-28,'000595,宝塔实业,2.96,3.04,2.95,3.0,3.01,-0.05,-1.6611,6105400,18186606.0
2019-06-27,'000595,宝塔实业,3.01,3.07,3.01,3.07,3.06,-0.05,-1.634,6839993,20754114.81
2019-06-26,'000595,宝塔实业,3.06,3.08,3.0,3.02,3.04,0.02,0.6579,6701701,20432432.74
2019-06-25,'000595,宝塔实业,3.04,3.1,2.98,3.03,3.04,0.0,0.0,9301207,28222092.18
2019-06-24,'000595,宝塔实业,3.04,3.17,2.98,3.05,3.03,0.01,0.33,12349697,37827124.99
2019-06-21,'000595,宝塔实业,3.03,3.15,2.97,2.97,2.95,0.08,2.7119,10863095,33071808.9
2019-06-20,'000595,宝塔实业,2.95,2.96,2.83,2.85,2.86,0.09,3.1469,8752800,25361613.0
2019-06-19,'000595,宝塔实业,2.86,2.9,2.84,2.85,2.81,0.05,1.7794,7410500,21257336.0
2019-06-18,'000595,宝塔实业,2.81,2.82,2.75,2.75,2.8,0.01,0.3571,6906924,19236749.0
2019-06-17,'000595,宝塔实业,2.8,2.95,2.7,2.93,3.0,-0.2,-6.6667,16871173,47405899.02
2019-06-14,'000595,宝塔实业,3.0,3.19,2.88,2.88,2.9,0.1,3.4483,23854638,73714821.68
2019-06-13,'000595,宝塔实业,2.9,2.93,2.84,2.92,2.85,0.05,1.7544,6794335,19614832.01
2019-06-12,'000595,宝塔实业,2.85,2.94,2.83,2.89,2.86,-0.01,-0.3497,6832900,19694028.0
2019-06-11,'000595,宝塔实业,2.86,2.87,2.7,2.73,2.71,0.15,5.5351,8413402,23585965.62
2019-06-10,'000595,宝塔实业,2.71,2.75,2.69,2.69,2.69,0.02,0.7435,4112800,11195988.0
2019-06-06,'000595,宝塔实业,2.69,2.83,2.65,2.83,2.81,-0.12,-4.2705,7144404,19349553.68
2019-06-05,'000595,宝塔实业,2.81,2.87,2.8,2.85,2.81,0.0,0.0,3957000,11179710.0
2019-06-04,'000595,宝塔实业,2.81,2.94,2.79,2.93,2.92,-0.11,-3.7671,7343400,20830368.8
2019-06-03,'000595,宝塔实业,2.92,3.04,2.88,3.02,3.02,-0.1,-3.3113,7726000,22705583.0
2019-05-31,'000595,宝塔实业,3.02,3.05,2.99,3.01,3.01,0.01,0.3322,4254300,12869871.0
2019-05-30,'000595,宝塔实业,3.01,3.07,2.98,3.04,3.05,-0.04,-1.3115,6964700,20944407.0
2019-05-29,'000595,宝塔实业,3.05,3.11,3.02,3.11,3.1,-0.05,-1.6129,6104900,18684393.96
2019-05-28,'000595,宝塔实业,3.1,3.14,3.06,3.09,3.09,0.01,0.3236,6757615,21031193.35
2019-05-27,'000595,宝塔实业,3.09,3.1,3.01,3.04,3.03,0.06,1.9802,6425620,19678218.65
2019-05-24,'000595,宝塔实业,3.03,3.08,3.0,3.0,3.01,0.02,0.6645,5663886,17138959.02
2019-05-23,'000595,宝塔实业,3.01,3.16,3.0,3.16,3.16,-0.15,-4.7468,8994404,27328241.2
2019-05-22,'000595,宝塔实业,3.16,3.24,3.1,3.21,3.25,-0.09,-2.7692,8603200,27274798.0
2019-05-21,'000595,宝塔实业,3.25,3.26,3.15,3.17,3.2,0.05,1.5625,6423401,20744800.8
2019-05-20,'000595,宝塔实业,3.2,3.26,3.15,3.22,3.25,-0.05,-1.5385,6792900,21667515.0
2019-05-17,'000595,宝塔实业,3.25,3.49,3.18,3.49,3.42,-0.17,-4.9708,10986100,36222676.0
2019-05-16,'000595,宝塔实业,3.42,3.42,3.32,3.35,3.35,0.07,2.0896,10486592,35501710.64
2019-05-15,'000595,宝塔实业,3.35,3.38,3.31,3.31,3.3,0.05,1.5152,8430200,28150212.0
2019-05-14,'000595,宝塔实业,3.3,3.37,3.29,3.34,3.38,-0.08,-2.3669,7586744,25242474.26
2019-05-13,'000595,宝塔实业,3.38,3.39,3.31,3.36,3.4,-0.02,-0.5882,9058400,30414915.0
2019-05-10,'000595,宝塔实业,3.4,3.46,3.16,3.27,3.25,0.15,4.6154,13954582,46502527.78
2019-05-09,'000595,宝塔实业,3.25,3.33,3.25,3.27,3.3,-0.05,-1.5152,5589008,18343416.52
2019-05-08,'000595,宝塔实业,3.3,3.34,3.1,3.19,3.28,0.02,0.6098,9010182,29491964.24
2019-05-07,'000595,宝塔实业,3.28,3.33,3.17,3.26,3.23,0.05,1.548,10141000,33112789.0
2019-05-06,'000595,宝塔实业,3.23,3.55,3.22,3.41,3.58,-0.35,-9.7765,18253897,61396404.55
2019-04-30,'000595,宝塔实业,3.58,3.65,3.36,3.5,3.53,0.05,1.4164,10391795,36967629.35
2019-04-29,'000595,宝塔实业,3.53,3.82,3.43,3.81,3.81,-0.28,-7.3491,20240108,73146813.43
2019-04-26,'000595,宝塔实业,3.81,3.82,3.55,3.6,3.67,0.14,3.8147,18887306,70065779.42
2019-04-25,'000595,宝塔实业,3.67,3.86,3.65,3.79,3.83,-0.16,-4.1775,22479937,84178252.23
2019-04-24,'000595,宝塔实业,3.83,3.93,3.77,3.87,3.99,-0.16,-4.01,27874997,106607621.59
2019-04-23,'000595,宝塔实业,3.99,4.23,3.99,4.21,4.43,-0.44,-9.9323,59726504,240845064.14
2019-04-22,'000595,宝塔实业,4.43,4.49,4.09,4.09,4.08,0.35,8.5784,39795900,177915317.0
2019-04-19,'000595,宝塔实业,4.08,4.15,3.96,3.99,4.04,0.04,0.9901,36518436,148599743.82
2019-04-18,'000595,宝塔实业,4.04,4.19,3.84,3.93,3.9,0.14,3.5897,42546888,171482715.9
2019-04-17,'000595,宝塔实业,3.9,3.95,3.78,3.8,3.8,0.1,2.6316,21337516,83161271.4
2019-04-16,'000595,宝塔实业,3.8,3.81,3.63,3.68,3.68,0.12,3.2609,17439656,65357925.64
2019-04-15,'000595,宝塔实业,3.68,3.82,3.63,3.75,3.75,-0.07,-1.8667,15669520,58825489.0
2019-04-12,'000595,宝塔实业,3.75,3.9,3.7,3.9,3.9,-0.15,-3.8462,19884522,75177864.48
2019-04-11,'000595,宝塔实业,3.9,3.97,3.86,3.9,3.91,-0.01,-0.2558,14259404,55786913.64
2019-04-10,'000595,宝塔实业,3.91,3.98,3.88,3.98,3.98,-0.07,-1.7588,17355900,67972250.0
2019-04-09,'000595,宝塔实业,3.98,4.04,3.91,3.95,3.96,0.02,0.5051,18861400,75117985.0
2019-04-08,'000595,宝塔实业,3.96,4.16,3.9,4.14,4.12,-0.16,-3.8835,36660624,146907122.49
2019-04-04,'000595,宝塔实业,4.12,4.26,3.97,4.01,4.17,-0.05,-1.199,63589610,259531020.88
2019-04-03,'000595,宝塔实业,4.17,4.42,4.03,4.32,4.32,-0.15,-3.4722,76731844,323157125.91
2019-04-02,'000595,宝塔实业,4.32,4.32,4.03,4.12,3.93,0.39,9.9237,74480628,316971222.9
2019-04-01,'000595,宝塔实业,3.93,3.93,3.58,3.6,3.57,0.36,10.084,26914715,101834554.25
2019-03-29,'000595,宝塔实业,3.57,3.61,3.41,3.45,3.49,0.08,2.2923,15661816,55114072.32
2019-03-28,'000595,宝塔实业,3.49,3.68,3.48,3.57,3.59,-0.1,-2.7855,14243302,50910235.1
2019-03-27,'000595,宝塔实业,3.59,3.74,3.56,3.73,3.69,-0.1,-2.71,15430865,55967583.5
2019-03-26,'000595,宝塔实业,3.69,3.97,3.67,3.93,3.98,-0.29,-7.2864,28526102,108442928.36
2019-03-25,'000595,宝塔实业,3.98,4.09,3.73,3.82,3.89,0.09,2.3136,37300400,146988160.28
2019-03-22,'000595,宝塔实业,3.89,4.15,3.84,3.9,3.97,-0.08,-2.0151,36329630,143257061.46
2019-03-21,'000595,宝塔实业,3.97,4.02,3.75,3.8,3.85,0.12,3.1169,43521610,169429220.9
2019-03-20,'000595,宝塔实业,3.85,3.93,3.73,3.81,3.76,0.09,2.3936,29306368,112399653.84
2019-03-19,'000595,宝塔实业,3.76,3.89,3.71,3.8,3.8,-0.04,-1.0526,18424538,69913172.72
2019-03-18,'000595,宝塔实业,3.8,3.83,3.7,3.74,3.75,0.05,1.3333,19130994,72131134.6
2019-03-15,'000595,宝塔实业,3.75,3.75,3.61,3.63,3.54,0.21,5.9322,24116940,88938496.6
2019-03-14,'000595,宝塔实业,3.54,3.79,3.41,3.68,3.72,-0.18,-4.8387,20701702,75075930.68
2019-03-13,'000595,宝塔实业,3.72,3.9,3.65,3.89,3.9,-0.18,-4.6154,25500794,96777411.14
2019-03-12,'000595,宝塔实业,3.9,3.95,3.79,3.84,3.8,0.1,2.6316,31439780,121640574.84
2019-03-11,'000595,宝塔实业,3.8,3.8,3.6,3.6,3.69,0.11,2.981,24986885,93160076.06
2019-03-08,'000595,宝塔实业,3.69,4.05,3.69,4.0,4.1,-0.41,-10.0,43582503,168349211.0
2019-03-07,'000595,宝塔实业,4.1,4.18,3.87,3.95,3.95,0.15,3.7975,50194459,203795763.76
2019-03-06,'000595,宝塔实业,3.95,4.01,3.73,3.96,3.85,0.1,2.5974,58494295,226652767.86
2019-03-05,'000595,宝塔实业,3.85,3.93,3.61,3.63,3.66,0.19,5.1913,51212482,192218042.64
2019-03-04,'000595,宝塔实业,3.66,3.73,3.55,3.61,3.6,0.06,1.6667,41848401,152524061.57
2019-03-01,'000595,宝塔实业,3.6,3.68,3.51,3.55,3.54,0.06,1.6949,28415999,102112202.4
2019-02-28,'000595,宝塔实业,3.54,3.71,3.48,3.65,3.61,-0.07,-1.9391,28498410,102228717.97
2019-02-27,'000595,宝塔实业,3.61,3.8,3.51,3.57,3.65,-0.04,-1.0959,44702312,164164308.26
2019-02-26,'000595,宝塔实业,3.65,3.89,3.52,3.59,3.64,0.01,0.2747,55565820,202669706.41
2019-02-25,'000595,宝塔实业,3.64,3.76,3.44,3.48,3.47,0.17,4.8991,51328301,183210269.71
2019-02-22,'000595,宝塔实业,3.47,3.49,3.28,3.36,3.4,0.07,2.0588,33488338,113680205.34
2019-02-21,'000595,宝塔实业,3.4,3.57,3.38,3.45,3.51,-0.11,-3.1339,42533194,147555401.48
2019-02-20,'000595,宝塔实业,3.51,3.65,3.33,3.38,3.4,0.11,3.2353,46517343,161030377.32
2019-02-19,'000595,宝塔实业,3.4,3.45,3.22,3.3,3.3,0.1,3.0303,48859992,163328252.32
2019-02-18,'000595,宝塔实业,3.3,3.3,3.16,3.17,3.19,0.11,3.4483,29265594,95018972.68
2019-02-15,'000595,宝塔实业,3.19,3.26,3.15,3.18,3.2,-0.01,-0.3125,26492306,85068087.14
2019-02-14,'000595,宝塔实业,3.2,3.22,3.09,3.13,3.2,0.0,0.0,27962425,88572413.76
2019-02-13,'000595,宝塔实业,3.2,3.29,3.11,3.17,3.26,-0.06,-1.8405,49351697,157672775.05
2019-02-12,'000595,宝塔实业,3.26,3.31,3.01,3.04,3.01,0.25,8.3056,47217197,150375303.66
2019-02-11,'000595,宝塔实业,3.01,3.05,2.98,3.01,2.94,0.07,2.381,9514000,28632984.0
2019-02-01,'000595,宝塔实业,2.94,2.98,2.85,2.87,2.82,0.12,4.2553,12153100,35557911.0
2019-01-31,'000595,宝塔实业,2.82,2.96,2.8,2.91,2.93,-0.11,-3.7543,13600622,39094902.04
2019-01-30,'000595,宝塔实业,2.93,3.15,2.89,2.91,3.01,-0.08,-2.6578,14938400,44632988.0
2019-01-29,'000595,宝塔实业,3.01,3.06,2.91,3.06,3.03,-0.02,-0.6601,17638865,52592356.7
2019-01-28,'000595,宝塔实业,3.03,3.15,3.0,3.12,3.09,-0.06,-1.9417,17836343,54620901.49
2019-01-25,'000595,宝塔实业,3.09,3.25,3.06,3.21,3.33,-0.24,-7.2072,37285281,117799444.48
2019-01-24,'000595,宝塔实业,3.33,3.63,3.32,3.51,3.5,-0.17,-4.8571,55433442,193477462.16
2019-01-23,'000595,宝塔实业,3.5,3.54,3.37,3.4,3.43,0.07,2.0408,41115560,142832103.9
2019-01-22,'000595,宝塔实业,3.43,3.47,3.35,3.41,3.43,0.0,0.0,19268602,65719773.76
2019-01-21,'000595,宝塔实业,3.43,3.49,3.35,3.42,3.4,0.03,0.8824,22492502,76873721.78
2019-01-18,'000595,宝塔实业,3.4,3.56,3.36,3.53,3.55,-0.15,-4.2254,40431650,138843707.72
2019-01-17,'000595,宝塔实业,3.55,3.67,3.47,3.62,3.66,-0.11,-3.0055,43077367,152690974.77
2019-01-16,'000595,宝塔实业,3.66,3.84,3.59,3.7,3.71,-0.05,-1.3477,52283543,193502194.9
2019-01-15,'000595,宝塔实业,3.71,3.84,3.55,3.64,3.94,-0.23,-5.8376,74523549,274221482.35
2019-01-14,'000595,宝塔实业,3.94,4.66,3.94,4.6,4.38,-0.44,-10.0457,82978246,341456108.14
2019-01-11,'000595,宝塔实业,4.38,4.38,3.86,4.06,3.98,0.4,10.0503,117243594,496799200.43
