ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000596,¹Å¾®¹±¾Æ,123.16,124.0,120.66,120.66,118.51,4.65,3.9237,4145390,507902715.1
2019-06-28,'000596,¹Å¾®¹±¾Æ,118.51,121.11,115.52,116.77,116.92,1.59,1.3599,3341399,395314705.93
2019-06-27,'000596,¹Å¾®¹±¾Æ,116.92,118.38,112.95,112.96,112.3,4.62,4.114,4537334,527318851.71
2019-06-26,'000596,¹Å¾®¹±¾Æ,112.3,114.2,110.67,111.7,112.96,-0.66,-0.5843,3250480,365028571.89
2019-06-25,'000596,¹Å¾®¹±¾Æ,112.96,113.96,110.03,112.39,112.38,0.58,0.5161,3324470,372648169.53
2019-06-24,'000596,¹Å¾®¹±¾Æ,112.38,115.0,110.37,112.34,111.75,0.63,0.5638,3590530,405833281.94
2019-06-21,'000596,¹Å¾®¹±¾Æ,111.75,112.3,109.0,110.0,110.49,1.26,1.1404,4179029,463776765.21
2019-06-20,'000596,¹Å¾®¹±¾Æ,111.99,112.95,105.2,105.88,106.15,5.84,5.5016,4904809,540493646.75
2019-06-19,'000596,¹Å¾®¹±¾Æ,106.15,107.96,103.4,105.5,102.67,3.48,3.3895,4450341,470194924.8
2019-06-18,'000596,¹Å¾®¹±¾Æ,102.67,104.79,101.57,103.46,103.82,-1.15,-1.1077,2637514,270673317.56
2019-06-17,'000596,¹Å¾®¹±¾Æ,103.82,106.22,102.31,104.0,105.0,-1.18,-1.1238,2864630,298093770.48
2019-06-14,'000596,¹Å¾®¹±¾Æ,105.0,107.98,103.63,105.68,106.47,-1.47,-1.3807,3030166,318672910.81
2019-06-13,'000596,¹Å¾®¹±¾Æ,106.47,108.18,105.0,108.07,107.2,-0.73,-0.681,2068053,219245442.99
2019-06-12,'000596,¹Å¾®¹±¾Æ,107.2,110.5,105.5,108.6,108.69,-1.49,-1.3709,3857244,416831301.59
2019-06-11,'000596,¹Å¾®¹±¾Æ,108.69,109.93,103.18,103.21,102.32,6.37,6.2256,4962261,532734764.31
2019-06-10,'000596,¹Å¾®¹±¾Æ,102.32,104.88,97.0,101.27,100.79,1.53,1.518,3270631,333781648.57
2019-06-06,'000596,¹Å¾®¹±¾Æ,100.79,102.75,100.17,102.2,102.0,-1.21,-1.1863,2087843,211033497.57
2019-06-05,'000596,¹Å¾®¹±¾Æ,102.0,103.5,101.16,103.38,101.75,0.25,0.2457,2942997,301353426.06
2019-06-04,'000596,¹Å¾®¹±¾Æ,101.75,106.5,100.55,106.27,105.98,-4.23,-3.9913,2929543,298867496.45
2019-06-03,'000596,¹Å¾®¹±¾Æ,105.98,107.99,104.69,106.99,106.77,-0.79,-0.7399,1764800,187258062.94
2019-05-31,'000596,¹Å¾®¹±¾Æ,106.77,108.37,106.0,107.95,107.47,-0.7,-0.6513,2235876,238878401.58
2019-05-30,'000596,¹Å¾®¹±¾Æ,107.47,109.5,106.0,108.0,107.91,-0.44,-0.4077,2390359,256193423.41
2019-05-29,'000596,¹Å¾®¹±¾Æ,107.91,110.28,107.0,107.9,108.23,-0.32,-0.2957,2184013,236992054.27
2019-05-28,'000596,¹Å¾®¹±¾Æ,108.23,110.39,107.0,107.48,108.26,-0.03,-0.0277,2915758,316953191.4
2019-05-27,'000596,¹Å¾®¹±¾Æ,108.26,108.98,106.0,108.42,108.05,0.21,0.1944,2201195,236627506.39
2019-05-24,'000596,¹Å¾®¹±¾Æ,108.05,110.1,105.88,106.99,106.95,1.1,1.0285,2582867,279885751.19
2019-05-23,'000596,¹Å¾®¹±¾Æ,106.95,111.3,106.49,111.24,113.0,-6.05,-5.354,3183539,346060578.53
2019-05-22,'000596,¹Å¾®¹±¾Æ,113.0,113.49,108.9,112.27,112.27,0.73,0.6502,3359034,372471938.8
2019-05-21,'000596,¹Å¾®¹±¾Æ,112.27,114.0,109.12,112.37,112.37,-0.1,-0.089,3961154,441588667.6
2019-05-20,'000596,¹Å¾®¹±¾Æ,112.37,116.91,108.0,115.9,116.8,-4.43,-3.7928,3601277,404351328.22
2019-05-17,'000596,¹Å¾®¹±¾Æ,116.8,122.8,112.0,119.61,121.37,-4.57,-3.7653,3071711,364218416.92
2019-05-16,'000596,¹Å¾®¹±¾Æ,121.37,123.3,114.82,116.0,117.25,4.12,3.5139,4276658,512586472.29
2019-05-15,'000596,¹Å¾®¹±¾Æ,117.25,118.2,109.19,110.89,109.1,8.15,7.4702,4269265,485662568.88
2019-05-14,'000596,¹Å¾®¹±¾Æ,109.1,110.25,106.7,107.38,107.89,1.21,1.1215,3251957,354780693.98
2019-05-13,'000596,¹Å¾®¹±¾Æ,107.89,111.2,105.26,107.0,108.2,-0.31,-0.2865,4377085,476599241.33
2019-05-10,'000596,¹Å¾®¹±¾Æ,108.2,108.66,102.5,106.03,103.9,4.3,4.1386,4994307,531820948.35
2019-05-09,'000596,¹Å¾®¹±¾Æ,103.9,114.83,103.8,112.5,114.0,-10.1,-8.8596,5760550,613380524.23
2019-05-08,'000596,¹Å¾®¹±¾Æ,114.0,117.7,107.78,108.0,111.02,2.98,2.6842,4048456,463325187.92
2019-05-07,'000596,¹Å¾®¹±¾Æ,111.02,114.7,108.16,109.65,111.09,-0.07,-0.063,2834074,317548164.32
2019-05-06,'000596,¹Å¾®¹±¾Æ,111.09,115.98,106.2,113.44,117.55,-6.46,-5.4955,3327001,368663771.8
2019-04-30,'000596,¹Å¾®¹±¾Æ,117.55,120.87,115.3,117.4,117.58,-0.03,-0.0255,2936133,345696817.41
2019-04-29,'000596,¹Å¾®¹±¾Æ,117.58,120.0,110.11,113.0,115.8,1.78,1.5371,4829303,560706354.68
2019-04-26,'000596,¹Å¾®¹±¾Æ,115.8,116.85,106.21,107.52,107.38,8.42,7.8413,3974695,444007264.96
2019-04-25,'000596,¹Å¾®¹±¾Æ,107.38,110.0,106.9,109.77,109.77,-2.39,-2.1773,1619239,175696930.55
2019-04-24,'000596,¹Å¾®¹±¾Æ,109.77,111.99,107.7,110.87,110.83,-1.06,-0.9564,1343644,147062298.99
2019-04-23,'000596,¹Å¾®¹±¾Æ,110.83,112.08,109.01,109.68,109.79,1.04,0.9473,1304120,144482356.23
2019-04-22,'000596,¹Å¾®¹±¾Æ,109.79,115.57,109.23,111.0,112.75,-2.96,-2.6253,1457479,162953007.81
2019-04-19,'000596,¹Å¾®¹±¾Æ,112.75,113.01,107.2,110.49,110.98,1.77,1.5949,1871150,207521752.82
2019-04-18,'000596,¹Å¾®¹±¾Æ,110.98,114.17,106.2,106.2,106.2,4.78,4.5009,3569319,391818870.73
2019-04-17,'000596,¹Å¾®¹±¾Æ,106.2,106.8,101.5,103.52,103.45,2.75,2.6583,2897989,302986387.95
2019-04-16,'000596,¹Å¾®¹±¾Æ,103.45,104.62,100.7,101.0,102.45,1.0,0.9761,1862079,191769389.81
2019-04-15,'000596,¹Å¾®¹±¾Æ,102.45,106.64,102.0,104.0,103.57,-1.12,-1.0814,2544471,265948403.81
2019-04-12,'000596,¹Å¾®¹±¾Æ,103.57,105.0,101.0,101.0,103.26,0.31,0.3002,1926413,198459325.37
2019-04-11,'000596,¹Å¾®¹±¾Æ,103.26,110.8,101.0,110.19,110.2,-6.94,-6.2976,3351138,352823274.06
2019-04-10,'000596,¹Å¾®¹±¾Æ,110.2,112.0,104.21,106.21,108.0,2.2,2.037,3808185,416539866.4
2019-04-09,'000596,¹Å¾®¹±¾Æ,108.0,108.0,104.01,106.2,108.92,-0.92,-0.8447,4354811,459783797.01
2019-04-08,'000596,¹Å¾®¹±¾Æ,108.92,115.0,106.95,113.0,112.2,-3.28,-2.9234,6144116,671536456.3
2019-04-04,'000596,¹Å¾®¹±¾Æ,112.2,113.58,105.5,106.13,106.12,6.08,5.7294,3851595,423337328.54
2019-04-03,'000596,¹Å¾®¹±¾Æ,106.12,108.8,104.19,105.01,106.6,-0.48,-0.4503,2966349,316571068.75
2019-04-02,'000596,¹Å¾®¹±¾Æ,106.6,108.5,105.5,107.01,108.84,-2.24,-2.0581,2698233,287884086.51
2019-04-01,'000596,¹Å¾®¹±¾Æ,108.84,110.94,105.0,106.7,107.5,1.34,1.2465,3833533,412699118.81
2019-03-29,'000596,¹Å¾®¹±¾Æ,107.5,110.5,103.6,104.3,104.05,3.45,3.3157,3842553,409619605.66
2019-03-28,'000596,¹Å¾®¹±¾Æ,104.05,108.1,102.0,103.35,103.36,0.69,0.6676,2956468,310343615.04
2019-03-27,'000596,¹Å¾®¹±¾Æ,103.36,109.39,100.25,102.0,101.82,1.54,1.5125,4463055,467827387.37
2019-03-26,'000596,¹Å¾®¹±¾Æ,101.82,103.37,96.17,97.5,97.3,4.52,4.6454,3744572,374943571.12
2019-03-25,'000596,¹Å¾®¹±¾Æ,97.3,98.3,95.46,97.5,99.35,-2.05,-2.0634,2301165,222618911.4
