ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000599,ÇàµºË«ÐÇ,4.6,4.62,4.54,4.57,4.5,0.1,2.2222,5814532,26681047.88
2019-06-28,'000599,ÇàµºË«ÐÇ,4.5,4.58,4.45,4.55,4.57,-0.07,-1.5317,4150900,18730226.0
2019-06-27,'000599,ÇàµºË«ÐÇ,4.57,4.65,4.57,4.59,4.59,-0.02,-0.4357,3837500,17664486.0
2019-06-26,'000599,ÇàµºË«ÐÇ,4.59,4.62,4.5,4.57,4.57,0.02,0.4376,3951858,18116276.64
2019-06-25,'000599,ÇàµºË«ÐÇ,4.57,4.66,4.52,4.66,4.67,-0.1,-2.1413,4705858,21528635.9
2019-06-24,'000599,ÇàµºË«ÐÇ,4.67,4.69,4.59,4.63,4.63,0.04,0.8639,5693511,26390642.97
2019-06-21,'000599,ÇàµºË«ÐÇ,4.63,4.67,4.59,4.59,4.59,0.04,0.8715,7144512,33108851.15
2019-06-20,'000599,ÇàµºË«ÐÇ,4.59,4.62,4.49,4.51,4.54,0.05,1.1013,6692240,30591817.63
2019-06-19,'000599,ÇàµºË«ÐÇ,4.54,4.58,4.51,4.53,4.45,0.09,2.0225,5715433,25990735.14
2019-06-18,'000599,ÇàµºË«ÐÇ,4.45,4.48,4.41,4.45,4.44,0.01,0.2252,2638760,11722878.6
2019-06-17,'000599,ÇàµºË«ÐÇ,4.44,4.5,4.4,4.43,4.46,-0.02,-0.4484,3106106,13792365.4
2019-06-14,'000599,ÇàµºË«ÐÇ,4.46,4.61,4.45,4.61,4.63,-0.17,-3.6717,8048303,36434507.31
2019-06-13,'000599,ÇàµºË«ÐÇ,4.63,4.91,4.4,4.43,4.46,0.17,3.8117,14561827,68336100.91
2019-06-12,'000599,ÇàµºË«ÐÇ,4.46,4.52,4.42,4.48,4.45,0.01,0.2247,5208410,23230142.3
2019-06-11,'000599,ÇàµºË«ÐÇ,4.45,4.48,4.27,4.29,4.29,0.16,3.7296,6065432,26658777.12
2019-06-10,'000599,ÇàµºË«ÐÇ,4.29,4.3,4.24,4.26,4.23,0.06,1.4184,3647510,15585629.5
2019-06-06,'000599,ÇàµºË«ÐÇ,4.23,4.42,4.2,4.39,4.39,-0.16,-3.6446,5254220,22421070.2
2019-06-05,'000599,ÇàµºË«ÐÇ,4.39,4.47,4.37,4.42,4.37,0.02,0.4577,3835420,16983368.8
2019-06-04,'000599,ÇàµºË«ÐÇ,4.37,4.54,4.36,4.51,4.52,-0.15,-3.3186,6044628,26782521.04
2019-06-03,'000599,ÇàµºË«ÐÇ,4.52,4.71,4.51,4.71,4.63,-0.11,-2.3758,5486227,25204483.31
2019-05-31,'000599,ÇàµºË«ÐÇ,4.63,4.7,4.57,4.58,4.62,0.01,0.2165,5518300,25582966.59
2019-05-30,'000599,ÇàµºË«ÐÇ,4.62,4.62,4.53,4.6,4.61,0.01,0.2169,4481000,20456723.99
2019-05-29,'000599,ÇàµºË«ÐÇ,4.61,4.69,4.54,4.59,4.61,0.0,0.0,4441900,20571329.0
2019-05-28,'000599,ÇàµºË«ÐÇ,4.61,4.74,4.57,4.61,4.62,-0.01,-0.2165,7263926,33842306.64
2019-05-27,'000599,ÇàµºË«ÐÇ,4.62,4.63,4.48,4.48,4.48,0.14,3.125,6319675,28801128.13
2019-05-24,'000599,ÇàµºË«ÐÇ,4.48,4.55,4.44,4.44,4.49,-0.01,-0.2227,4725300,21236434.0
2019-05-23,'000599,ÇàµºË«ÐÇ,4.49,4.64,4.48,4.61,4.68,-0.19,-4.0598,8428256,38339920.24
2019-05-22,'000599,ÇàµºË«ÐÇ,4.68,4.8,4.65,4.74,4.73,-0.05,-1.0571,8657000,40835885.45
2019-05-21,'000599,ÇàµºË«ÐÇ,4.73,4.77,4.59,4.63,4.68,0.05,1.0684,8751330,41215741.07
2019-05-20,'000599,ÇàµºË«ÐÇ,4.68,4.81,4.51,4.72,4.86,-0.18,-3.7037,11542424,53724510.4
2019-05-17,'000599,ÇàµºË«ÐÇ,4.86,5.07,4.83,5.05,5.17,-0.31,-5.9961,19664023,97418030.44
2019-05-16,'000599,ÇàµºË«ÐÇ,5.17,5.4,4.83,4.95,5.0,0.17,3.4,31412383,158970048.23
2019-05-15,'000599,ÇàµºË«ÐÇ,5.0,5.04,4.9,4.99,4.99,0.01,0.2004,23510310,116583343.5
2019-05-14,'000599,ÇàµºË«ÐÇ,4.99,5.25,4.9,5.13,5.42,-0.43,-7.9336,35077884,177161894.88
2019-05-13,'000599,ÇàµºË«ÐÇ,5.42,5.49,5.03,5.2,4.99,0.43,8.6172,48934896,260961927.14
2019-05-10,'000599,ÇàµºË«ÐÇ,4.99,4.99,4.99,4.99,4.54,0.45,9.9119,11689785,58332027.15
2019-05-09,'000599,ÇàµºË«ÐÇ,4.54,4.61,4.45,4.5,4.52,0.02,0.4425,6988803,31805291.56
2019-05-08,'000599,ÇàµºË«ÐÇ,4.52,4.61,4.33,4.4,4.52,0.0,0.0,8220823,36958707.93
2019-05-07,'000599,ÇàµºË«ÐÇ,4.52,4.54,4.41,4.46,4.46,0.06,1.3453,7321600,32878698.0
