日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000600,建投能源,6.83,6.86,6.75,6.77,6.7,0.13,1.9403,5945516,40516997.91
2019-06-28,'000600,建投能源,6.7,6.85,6.67,6.85,6.8,-0.1,-1.4706,4298827,28990454.24
2019-06-27,'000600,建投能源,6.8,6.88,6.73,6.79,6.77,0.03,0.4431,4727925,32150837.39
2019-06-26,'000600,建投能源,6.77,6.88,6.75,6.84,6.84,-0.07,-1.0234,4172300,28373996.0
2019-06-25,'000600,建投能源,6.84,7.03,6.71,7.02,6.99,-0.15,-2.1459,7032961,47915516.99
2019-06-24,'000600,建投能源,6.99,7.07,6.91,7.04,7.04,-0.05,-0.7102,7096026,49435202.07
2019-06-21,'000600,建投能源,7.04,7.17,7.0,7.03,6.96,0.08,1.1494,6749397,47712282.34
2019-06-20,'000600,建投能源,6.96,7.12,6.78,6.79,6.77,0.19,2.8065,9265581,64479686.74
2019-06-19,'000600,建投能源,6.77,6.88,6.7,6.7,6.61,0.16,2.4206,7243640,49363310.56
2019-06-18,'000600,建投能源,6.61,6.71,6.57,6.71,6.71,-0.1,-1.4903,4006040,26508753.07
2019-06-17,'000600,建投能源,6.71,6.75,6.6,6.7,6.78,-0.07,-1.0324,5210845,34801477.51
2019-06-14,'000600,建投能源,6.78,7.11,6.7,6.9,6.85,-0.07,-1.0219,6509725,44695106.75
2019-06-13,'000600,建投能源,6.85,7.02,6.67,6.7,6.7,0.15,2.2388,7739560,52943059.82
2019-06-12,'000600,建投能源,6.7,6.78,6.6,6.7,6.8,-0.1,-1.4706,7393548,49341632.08
2019-06-11,'000600,建投能源,6.8,6.8,6.45,6.45,6.43,0.37,5.7543,8906301,59468879.24
2019-06-10,'000600,建投能源,6.43,6.58,6.4,6.46,6.46,-0.03,-0.4644,3805087,24631135.74
2019-06-06,'000600,建投能源,6.46,6.59,6.43,6.5,6.5,-0.04,-0.6154,4879285,31776738.11
2019-06-05,'000600,建投能源,6.5,6.71,6.42,6.68,6.57,-0.07,-1.0654,7199496,46766948.81
2019-06-04,'000600,建投能源,6.67,6.7,6.55,6.58,6.58,0.09,1.3678,7469034,49672150.29
2019-06-03,'000600,建投能源,6.58,6.75,6.53,6.66,6.64,-0.06,-0.9036,6640268,44002710.45
2019-05-31,'000600,建投能源,6.64,6.71,6.48,6.53,6.57,0.07,1.0654,7482784,49646059.53
2019-05-30,'000600,建投能源,6.57,6.6,6.4,6.54,6.54,0.03,0.4587,6000364,38892771.44
2019-05-29,'000600,建投能源,6.54,6.6,6.46,6.5,6.49,0.05,0.7704,5396845,35326319.96
2019-05-28,'000600,建投能源,6.49,6.57,6.47,6.55,6.54,-0.05,-0.7645,5790061,37745113.6
2019-05-27,'000600,建投能源,6.54,6.65,6.35,6.63,6.53,0.01,0.1531,9739717,63004044.47
2019-05-24,'000600,建投能源,6.53,6.65,6.34,6.35,6.4,0.13,2.0313,6970716,45568014.45
2019-05-23,'000600,建投能源,6.4,6.6,6.33,6.58,6.58,-0.18,-2.7356,7071771,45600809.26
2019-05-22,'000600,建投能源,6.58,6.77,6.53,6.69,6.69,-0.11,-1.6442,5795477,38503198.51
2019-05-21,'000600,建投能源,6.69,6.78,6.54,6.58,6.59,0.1,1.5175,6054900,40513323.74
2019-05-20,'000600,建投能源,6.59,6.79,6.46,6.75,6.77,-0.18,-2.6588,8527741,55977517.35
2019-05-17,'000600,建投能源,6.77,7.08,6.7,7.06,7.06,-0.29,-4.1076,8480514,58343136.41
2019-05-16,'000600,建投能源,7.06,7.08,6.98,7.03,7.03,0.03,0.4267,5938749,41751215.09
2019-05-15,'000600,建投能源,7.03,7.09,6.9,6.99,6.97,0.06,0.8608,7694698,53683692.28
2019-05-14,'000600,建投能源,6.97,7.11,6.94,6.99,7.07,-0.1,-1.4144,5604070,39310285.67
2019-05-13,'000600,建投能源,7.07,7.2,7.02,7.12,7.15,-0.08,-1.1189,7287440,51845970.21
