日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000601,韶能股份,5.02,5.08,4.86,4.92,4.79,0.23,4.8017,10178996,50595253.55
2019-06-28,'000601,韶能股份,4.79,4.91,4.78,4.89,4.89,-0.1,-2.045,4763900,22968598.0
2019-06-27,'000601,韶能股份,4.89,4.94,4.83,4.9,4.88,0.01,0.2049,4939034,24151986.61
2019-06-26,'000601,韶能股份,4.88,4.96,4.81,4.85,4.85,0.03,0.6186,6224528,30487111.28
2019-06-25,'000601,韶能股份,4.85,4.91,4.76,4.9,4.9,-0.05,-1.0204,5364791,25931786.62
2019-06-24,'000601,韶能股份,4.9,4.96,4.74,4.76,4.76,0.14,2.9412,9745970,47638705.27
2019-06-21,'000601,韶能股份,4.76,4.92,4.67,4.67,4.67,0.09,1.9272,6609806,31655400.49
2019-06-20,'000601,韶能股份,4.67,4.71,4.56,4.58,4.59,0.08,1.7429,6584273,30676652.12
2019-06-19,'000601,韶能股份,4.59,4.63,4.52,4.56,4.48,0.11,2.4554,6400946,29349221.89
2019-06-18,'000601,韶能股份,4.48,4.51,4.45,4.51,4.5,-0.02,-0.4444,2505214,11206728.48
2019-06-17,'000601,韶能股份,4.5,4.51,4.39,4.39,4.42,0.08,1.81,4404493,19661083.9
2019-06-14,'000601,韶能股份,4.42,4.53,4.42,4.48,4.49,-0.07,-1.559,3583360,16028326.32
2019-06-13,'000601,韶能股份,4.49,4.5,4.44,4.48,4.5,-0.01,-0.2222,3696860,16517108.4
2019-06-12,'000601,韶能股份,4.5,4.56,4.47,4.56,4.56,-0.06,-1.3158,4323201,19498284.53
2019-06-11,'000601,韶能股份,4.56,4.56,4.41,4.43,4.45,0.11,2.4719,6286863,28258986.97
2019-06-10,'000601,韶能股份,4.45,4.5,4.4,4.48,4.48,-0.03,-0.6696,5842460,25956621.14
2019-06-06,'000601,韶能股份,4.48,4.51,4.3,4.39,4.37,0.11,2.5172,8338297,36768890.65
2019-06-05,'000601,韶能股份,4.37,4.4,4.34,4.36,4.34,0.03,0.6912,4238220,18542059.1
2019-06-04,'000601,韶能股份,4.34,4.39,4.3,4.37,4.37,-0.03,-0.6865,4516314,19610510.37
2019-06-03,'000601,韶能股份,4.37,4.41,4.31,4.32,4.33,0.04,0.9238,6917921,30208975.02
2019-05-31,'000601,韶能股份,4.33,4.43,4.3,4.34,4.29,0.04,0.9324,7732248,33718954.94
2019-05-30,'000601,韶能股份,4.29,4.3,4.23,4.23,4.26,0.03,0.7042,5655694,24126995.19
2019-05-29,'000601,韶能股份,4.26,4.34,4.24,4.24,4.23,0.03,0.7092,5659034,24195032.0
2019-05-28,'000601,韶能股份,4.23,4.28,4.2,4.24,4.23,0.0,0.0,6009100,25542289.0
2019-05-27,'000601,韶能股份,4.23,4.25,4.13,4.13,4.13,0.1,2.4213,5161833,21622735.86
2019-05-24,'000601,韶能股份,4.13,4.23,4.1,4.18,4.2,-0.07,-1.6667,5452527,22619497.24
2019-05-23,'000601,韶能股份,4.2,4.31,4.16,4.29,4.27,-0.07,-1.6393,5099401,21606721.16
2019-05-22,'000601,韶能股份,4.27,4.38,4.26,4.34,4.34,-0.07,-1.6129,4618885,19934171.96
2019-05-21,'000601,韶能股份,4.34,4.39,4.2,4.29,4.28,0.06,1.4019,8623122,37262989.82
2019-05-20,'000601,韶能股份,4.28,4.54,4.21,4.54,4.53,-0.25,-5.5188,12061721,51699538.44
2019-05-17,'000601,韶能股份,4.53,4.71,4.52,4.68,4.69,-0.16,-3.4115,4282102,19741126.7
2019-05-16,'000601,韶能股份,4.69,4.72,4.66,4.67,4.67,0.02,0.4283,4833957,22662316.76
2019-05-15,'000601,韶能股份,4.67,4.74,4.65,4.65,4.6,0.07,1.5217,5681202,26669791.45
2019-05-14,'000601,韶能股份,4.6,4.7,4.57,4.64,4.69,-0.09,-1.919,3713320,17259402.99
2019-05-13,'000601,韶能股份,4.69,4.76,4.64,4.75,4.76,-0.07,-1.4706,4949100,23291939.0
2019-05-10,'000601,韶能股份,4.76,4.78,4.52,4.62,4.58,0.18,3.9301,7804141,36557509.29
2019-05-09,'000601,韶能股份,4.58,4.72,4.54,4.68,4.66,-0.08,-1.7167,5770448,26577013.5
2019-05-08,'000601,韶能股份,4.66,4.72,4.4,4.5,4.57,0.09,1.9694,8077952,37373437.32
2019-05-07,'000601,韶能股份,4.57,4.72,4.53,4.57,4.55,0.02,0.4396,6770357,31287947.59
2019-05-06,'000601,韶能股份,4.55,4.78,4.47,4.73,4.8,-0.25,-5.2083,10834686,50391916.68
2019-04-30,'000601,韶能股份,4.8,4.88,4.69,4.69,4.72,0.08,1.6949,6017491,28925446.34
2019-04-29,'000601,韶能股份,4.72,4.96,4.7,4.91,4.9,-0.18,-3.6735,10029235,48307037.52
2019-04-26,'000601,韶能股份,4.9,5.07,4.86,5.07,5.05,-0.15,-2.9703,7839675,38790612.39
2019-04-25,'000601,韶能股份,5.05,5.34,5.0,5.34,5.27,-0.22,-4.1746,8454300,43416364.68
2019-04-24,'000601,韶能股份,5.27,5.3,5.19,5.24,5.21,0.06,1.1516,7767946,40792037.4
2019-04-23,'000601,韶能股份,5.21,5.43,5.17,5.43,5.43,-0.22,-4.0516,11593702,60899625.39
2019-04-22,'000601,韶能股份,5.43,5.51,5.34,5.45,5.43,0.0,0.0,6535159,35396388.55
2019-04-19,'000601,韶能股份,5.43,5.46,5.3,5.33,5.31,0.12,2.2599,7706119,41579345.27
2019-04-18,'000601,韶能股份,5.31,5.45,5.31,5.38,5.41,-0.1,-1.8484,7480949,40128775.95
2019-04-17,'000601,韶能股份,5.41,5.49,5.36,5.36,5.43,-0.02,-0.3683,10261592,55627349.15
2019-04-16,'000601,韶能股份,5.43,5.43,5.22,5.33,5.35,0.08,1.4953,10768694,57123720.81
2019-04-15,'000601,韶能股份,5.35,5.43,5.2,5.21,5.19,0.16,3.0829,14661766,78142142.73
2019-04-12,'000601,韶能股份,5.19,5.19,5.05,5.15,5.13,0.06,1.1696,7950761,40780613.62
2019-04-11,'000601,韶能股份,5.13,5.26,5.07,5.19,5.18,-0.05,-0.9653,8184300,42200543.0
2019-04-10,'000601,韶能股份,5.18,5.27,5.11,5.15,5.21,-0.03,-0.5758,7572947,39358901.39
2019-04-09,'000601,韶能股份,5.21,5.33,5.01,5.02,5.05,0.16,3.1683,14529806,75144697.45
2019-04-08,'000601,韶能股份,5.05,5.19,5.0,5.11,5.12,-0.07,-1.3672,12804780,65191062.72
2019-04-04,'000601,韶能股份,5.12,5.17,4.95,4.96,4.96,0.16,3.2258,15281764,77237394.04
2019-04-03,'000601,韶能股份,4.96,4.97,4.85,4.86,4.87,0.09,1.848,10529182,51767508.88
2019-04-02,'000601,韶能股份,4.87,4.94,4.83,4.86,4.84,0.03,0.6198,8318234,40704659.04
2019-04-01,'000601,韶能股份,4.84,4.92,4.67,4.67,4.65,0.19,4.086,11908317,57382199.99
2019-03-29,'000601,韶能股份,4.65,4.69,4.5,4.53,4.55,0.1,2.1978,7162848,32976590.58
2019-03-28,'000601,韶能股份,4.55,4.69,4.53,4.68,4.68,-0.13,-2.7778,8576500,39669739.0
2019-03-27,'000601,韶能股份,4.68,4.81,4.62,4.73,4.71,-0.03,-0.6369,6259582,29348619.84
