日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000603,盛达矿业,11.05,11.15,10.75,10.75,11.18,-0.13,-1.1628,10665806,117295707.34
2019-06-28,'000603,盛达矿业,11.18,11.77,10.99,11.68,11.44,-0.26,-2.2727,13534700,154010159.0
2019-06-27,'000603,盛达矿业,11.44,11.82,11.43,11.54,11.41,0.03,0.2629,10379771,120312232.2
2019-06-26,'000603,盛达矿业,11.41,12.02,11.3,12.02,12.5,-1.09,-8.72,18565093,216198488.82
2019-06-25,'000603,盛达矿业,12.5,12.68,12.05,12.27,11.81,0.69,5.8425,27934410,345116419.57
2019-06-24,'000603,盛达矿业,11.81,12.17,11.65,11.83,11.84,-0.03,-0.2534,18885828,224578800.15
2019-06-21,'000603,盛达矿业,11.84,12.27,11.3,11.36,11.15,0.69,6.1883,32956322,397274480.1
2019-06-20,'000603,盛达矿业,11.15,11.33,10.91,11.3,10.83,0.32,2.9548,14126750,156866943.5
2019-06-19,'000603,盛达矿业,10.83,10.95,10.6,10.6,10.73,0.1,0.932,6927210,74671157.4
2019-06-18,'000603,盛达矿业,10.73,10.88,10.52,10.75,10.89,-0.16,-1.4692,7534010,80593119.2
2019-06-17,'000603,盛达矿业,10.89,11.11,10.72,10.78,10.96,-0.07,-0.6387,7911849,86125464.63
2019-06-14,'000603,盛达矿业,10.96,11.34,10.81,11.2,11.13,-0.17,-1.5274,10450369,115278493.28
2019-06-13,'000603,盛达矿业,11.13,11.5,11.0,11.11,11.31,-0.18,-1.5915,10296513,115083272.72
2019-06-12,'000603,盛达矿业,11.31,11.57,10.72,10.8,10.9,0.41,3.7615,21083888,236590030.51
2019-06-11,'000603,盛达矿业,10.9,11.26,10.67,10.79,10.89,0.01,0.0918,13624361,148562772.08
2019-06-10,'000603,盛达矿业,10.89,10.89,10.41,10.62,10.47,0.42,4.0115,12564816,133893174.43
2019-06-06,'000603,盛达矿业,10.47,10.56,10.08,10.2,10.3,0.17,1.6505,11551429,120150866.32
2019-06-05,'000603,盛达矿业,10.3,10.38,9.74,10.16,10.11,0.19,1.8793,7965942,80834942.26
2019-06-04,'000603,盛达矿业,10.11,10.6,9.97,10.05,9.97,0.14,1.4042,8307959,85179288.38
2019-06-03,'000603,盛达矿业,9.97,10.34,9.92,10.17,10.06,-0.09,-0.8946,8299202,84118135.16
2019-05-31,'000603,盛达矿业,10.06,10.08,9.72,9.8,9.69,0.37,3.8184,7369032,73229304.95
2019-05-30,'000603,盛达矿业,9.69,9.89,9.49,9.64,9.73,-0.04,-0.4111,4913600,47547390.0
