日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000605,渤海股份,8.34,8.39,8.21,8.22,8.11,0.23,2.836,2863778,23793863.76
2019-06-28,'000605,渤海股份,8.11,8.22,8.01,8.21,8.2,-0.09,-1.0976,1888744,15288521.52
2019-06-27,'000605,渤海股份,8.2,8.34,8.16,8.19,8.19,0.01,0.1221,2408540,19855602.6
2019-06-26,'000605,渤海股份,8.19,8.26,8.14,8.18,8.25,-0.06,-0.7273,1445645,11836763.55
2019-06-25,'000605,渤海股份,8.25,8.47,8.13,8.39,8.35,-0.1,-1.1976,2439439,20040255.01
2019-06-24,'000605,渤海股份,8.35,8.52,8.24,8.42,8.44,-0.09,-1.0664,3261390,27254612.63
2019-06-21,'000605,渤海股份,8.44,8.86,8.2,8.25,8.25,0.19,2.303,6372658,53796961.07
2019-06-20,'000605,渤海股份,8.25,8.3,7.9,7.9,7.9,0.35,4.4304,4808877,39403300.09
2019-06-19,'000605,渤海股份,7.9,8.03,7.9,7.99,7.8,0.1,1.2821,1793924,14281902.44
2019-06-18,'000605,渤海股份,7.8,8.0,7.77,7.82,7.91,-0.11,-1.3906,1501020,11769867.6
2019-06-17,'000605,渤海股份,7.91,8.08,7.87,8.08,7.94,-0.03,-0.3778,1263134,10011632.48
2019-06-14,'000605,渤海股份,7.94,8.19,7.89,8.11,8.11,-0.17,-2.0962,1654220,13315955.0
2019-06-13,'000605,渤海股份,8.11,8.22,7.99,8.13,8.13,-0.02,-0.246,1663189,13445439.37
2019-06-12,'000605,渤海股份,8.13,8.2,7.99,8.08,8.04,0.09,1.1194,2235667,18172504.98
2019-06-11,'000605,渤海股份,8.04,8.07,7.79,7.81,7.81,0.23,2.9449,2159749,17197539.58
2019-06-10,'000605,渤海股份,7.81,7.83,7.59,7.59,7.61,0.2,2.6281,1626710,12622472.08
2019-06-06,'000605,渤海股份,7.61,7.92,7.57,7.83,7.8,-0.19,-2.4359,1697381,13020874.18
2019-06-05,'000605,渤海股份,7.8,7.97,7.78,7.97,7.8,0.0,0.0,1433520,11274567.0
2019-06-04,'000605,渤海股份,7.8,8.06,7.78,8.06,8.11,-0.31,-3.8224,2242184,17714922.4
2019-06-03,'000605,渤海股份,8.11,8.25,7.98,8.02,8.02,0.09,1.1222,2548804,20711608.75
2019-05-31,'000605,渤海股份,8.02,8.2,7.96,7.99,8.02,0.0,0.0,1580491,12784478.48
2019-05-30,'000605,渤海股份,8.02,8.18,7.91,8.18,8.18,-0.16,-1.956,2457488,19649097.65
2019-05-29,'000605,渤海股份,8.18,8.33,8.04,8.09,8.09,0.09,1.1125,2053715,16909651.22
2019-05-28,'000605,渤海股份,8.09,8.25,8.0,8.02,8.05,0.04,0.4969,1846840,15053025.0
2019-05-27,'000605,渤海股份,8.05,8.07,7.72,8.0,7.88,0.17,2.1574,1835874,14675817.36
2019-05-24,'000605,渤海股份,7.88,8.06,7.84,7.93,7.9,-0.02,-0.2532,1251337,9909874.73
2019-05-23,'000605,渤海股份,7.9,8.17,7.85,8.14,8.11,-0.21,-2.5894,2009718,16097956.12
2019-05-22,'000605,渤海股份,8.11,8.35,8.04,8.31,8.28,-0.17,-2.0531,1626235,13294087.95
2019-05-21,'000605,渤海股份,8.28,8.37,8.1,8.15,8.11,0.17,2.0962,1754192,14477002.52
2019-05-20,'000605,渤海股份,8.11,8.15,7.83,8.09,8.06,0.05,0.6203,2512398,20119784.61
2019-05-17,'000605,渤海股份,8.06,8.76,8.04,8.75,8.7,-0.64,-7.3563,4217153,35157264.21
2019-05-16,'000605,渤海股份,8.7,8.82,8.65,8.82,8.79,-0.09,-1.0239,2315000,20146278.0
2019-05-15,'000605,渤海股份,8.79,8.8,8.66,8.66,8.59,0.2,2.3283,1886929,16488678.97
2019-05-14,'000605,渤海股份,8.59,8.76,8.56,8.56,8.74,-0.15,-1.7162,1552620,13423145.0
2019-05-13,'000605,渤海股份,8.74,8.87,8.67,8.7,8.85,-0.11,-1.2429,2086160,18290403.0
2019-05-10,'000605,渤海股份,8.85,8.9,8.44,8.69,8.67,0.18,2.0761,3394573,29712464.87
2019-05-09,'000605,渤海股份,8.67,8.82,8.42,8.42,8.59,0.08,0.9313,2216444,19205777.08
2019-05-08,'000605,渤海股份,8.59,8.75,8.35,8.41,8.61,-0.02,-0.2323,2521113,21707217.08
2019-05-07,'000605,渤海股份,8.61,8.62,8.36,8.36,8.28,0.33,3.9855,2911268,24762825.14
2019-05-06,'000605,渤海股份,8.28,8.95,8.23,8.95,9.14,-0.86,-9.4092,4051768,34464999.44
