日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000607,华媒控股,5.97,6.15,5.5,5.82,5.97,0.0,0.0,66078488,385260709.63
2019-06-28,'000607,华媒控股,5.97,6.24,5.37,5.5,5.67,0.3,5.291,80346411,476095919.99
2019-06-27,'000607,华媒控股,5.67,5.67,5.67,5.67,5.15,0.52,10.0971,4420900,25066503.0
2019-06-26,'000607,华媒控股,5.15,5.15,4.69,4.71,4.68,0.47,10.0427,12770680,64732650.45
2019-06-25,'000607,华媒控股,4.68,4.81,4.63,4.81,4.79,-0.11,-2.2965,5631905,26427703.55
2019-06-24,'000607,华媒控股,4.79,4.84,4.73,4.8,4.79,0.0,0.0,6422593,30697701.66
2019-06-21,'000607,华媒控股,4.79,4.79,4.7,4.79,4.72,0.07,1.4831,9563995,45426895.64
2019-06-20,'000607,华媒控股,4.72,4.79,4.55,4.65,4.72,0.0,0.0,11830130,55153177.02
2019-06-19,'000607,华媒控股,4.72,4.88,4.58,4.78,4.55,0.17,3.7363,14259800,67582413.89
2019-06-18,'000607,华媒控股,4.55,4.56,4.45,4.45,4.49,0.06,1.3363,2718001,12281856.51
2019-06-17,'000607,华媒控股,4.49,4.55,4.47,4.48,4.44,0.05,1.1261,2871300,12933008.0
2019-06-14,'000607,华媒控股,4.44,4.61,4.42,4.61,4.6,-0.16,-3.4783,5050012,22826199.88
2019-06-13,'000607,华媒控股,4.6,4.62,4.51,4.55,4.55,0.05,1.0989,4581607,20929290.32
2019-06-12,'000607,华媒控股,4.55,4.64,4.52,4.56,4.56,-0.01,-0.2193,5318200,24343644.88
2019-06-11,'000607,华媒控股,4.56,4.57,4.34,4.42,4.39,0.17,3.8724,6077557,27240893.28
2019-06-10,'000607,华媒控股,4.39,4.47,4.35,4.42,4.42,-0.03,-0.6787,3797500,16749466.0
2019-06-06,'000607,华媒控股,4.42,4.54,4.38,4.49,4.48,-0.06,-1.3393,3694359,16454634.92
2019-06-05,'000607,华媒控股,4.48,4.55,4.43,4.45,4.41,0.07,1.5873,4502565,20230505.25
2019-06-04,'000607,华媒控股,4.41,4.53,4.37,4.52,4.54,-0.13,-2.8634,4140800,18440855.0
2019-06-03,'000607,华媒控股,4.54,4.68,4.51,4.65,4.64,-0.1,-2.1552,4608881,21034762.47
2019-05-31,'000607,华媒控股,4.64,4.72,4.63,4.65,4.66,-0.02,-0.4292,3742100,17472596.0
2019-05-30,'000607,华媒控股,4.66,4.77,4.61,4.77,4.75,-0.09,-1.8947,4394100,20495977.0
2019-05-29,'000607,华媒控股,4.75,4.85,4.69,4.7,4.71,0.04,0.8493,5282418,25190591.08
2019-05-28,'000607,华媒控股,4.71,4.82,4.69,4.73,4.71,0.0,0.0,6115084,29156131.57
2019-05-27,'000607,华媒控股,4.71,4.72,4.57,4.58,4.57,0.14,3.0635,5472673,25464155.55
2019-05-24,'000607,华媒控股,4.57,4.67,4.55,4.61,4.62,-0.05,-1.0823,4338322,20007137.64
2019-05-23,'000607,华媒控股,4.62,4.79,4.58,4.79,4.76,-0.14,-2.9412,6469150,30170433.73
2019-05-22,'000607,华媒控股,4.76,4.89,4.71,4.87,4.86,-0.1,-2.0576,5734416,27505635.62
2019-05-21,'000607,华媒控股,4.86,4.91,4.77,4.83,4.85,0.01,0.2062,7282245,35357841.81
2019-05-20,'000607,华媒控股,4.85,4.92,4.57,4.71,4.81,0.04,0.8316,8039074,37869759.67
2019-05-17,'000607,华媒控股,4.81,5.14,4.73,5.14,5.2,-0.39,-7.5,16520508,81811778.61
2019-05-16,'000607,华媒控股,5.2,5.35,5.07,5.16,5.09,0.11,2.1611,14745974,76985866.72
2019-05-15,'000607,华媒控股,5.09,5.18,5.05,5.15,5.06,0.03,0.5929,10528260,53697105.98
2019-05-14,'000607,华媒控股,5.06,5.15,4.93,5.0,5.07,-0.01,-0.1972,8858101,44931547.97
2019-05-13,'000607,华媒控股,5.07,5.21,5.01,5.04,5.07,0.0,0.0,11934651,60913973.55
2019-05-10,'000607,华媒控股,5.07,5.1,4.82,4.99,4.9,0.17,3.4694,13838423,69625866.06
2019-05-09,'000607,华媒控股,4.9,5.13,4.89,4.92,4.99,-0.09,-1.8036,10839400,54045583.47
2019-05-08,'000607,华媒控股,4.99,5.16,4.8,4.91,4.93,0.06,1.217,11290555,56543350.65
2019-05-07,'000607,华媒控股,4.93,5.06,4.86,4.86,4.87,0.06,1.232,9544351,47177961.8
