日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000608,阳光股份,5.56,5.63,5.43,5.46,5.5,0.06,1.0909,3956114,21757354.76
2019-06-28,'000608,阳光股份,5.5,5.62,5.4,5.59,5.58,-0.08,-1.4337,1347600,7391701.0
2019-06-27,'000608,阳光股份,5.58,5.66,5.51,5.56,5.56,0.02,0.3597,1197492,6700670.28
2019-06-26,'000608,阳光股份,5.56,5.58,5.43,5.49,5.5,0.06,1.0909,1211534,6706175.89
2019-06-25,'000608,阳光股份,5.5,5.55,5.4,5.45,5.46,0.04,0.7326,1680980,9216914.2
2019-06-24,'000608,阳光股份,5.46,5.49,5.33,5.48,5.44,0.02,0.3676,1213855,6584144.45
2019-06-21,'000608,阳光股份,5.44,5.56,5.42,5.44,5.37,0.07,1.3035,1670764,9139090.16
2019-06-20,'000608,阳光股份,5.37,5.37,5.26,5.32,5.31,0.06,1.1299,1912370,10222934.74
2019-06-19,'000608,阳光股份,5.31,5.38,5.26,5.33,5.29,0.02,0.3781,1146860,6082183.2
2019-06-18,'000608,阳光股份,5.29,5.37,5.22,5.28,5.32,-0.03,-0.5639,1508700,7987491.0
2019-06-17,'000608,阳光股份,5.32,5.4,5.09,5.16,5.14,0.18,3.5019,1898704,9952537.68
2019-06-14,'000608,阳光股份,5.14,5.27,5.14,5.27,5.26,-0.12,-2.2814,2151500,11177171.84
2019-06-13,'000608,阳光股份,5.26,5.31,5.2,5.26,5.25,0.01,0.1905,1182010,6216361.4
2019-06-12,'000608,阳光股份,5.25,5.36,5.21,5.36,5.34,-0.09,-1.6854,1478114,7789541.48
2019-06-11,'000608,阳光股份,5.34,5.36,5.16,5.24,5.28,0.06,1.1364,2815081,14819699.54
2019-06-10,'000608,阳光股份,5.28,5.29,5.1,5.21,5.22,0.06,1.1494,1500584,7807108.41
2019-06-06,'000608,阳光股份,5.22,5.4,5.08,5.38,5.4,-0.18,-3.3333,2874848,14890799.58
2019-06-05,'000608,阳光股份,5.4,5.59,5.35,5.59,5.66,-0.26,-4.5936,2049231,11129382.79
2019-06-04,'000608,阳光股份,5.66,5.69,5.21,5.69,5.77,-0.11,-1.9064,4000826,21747580.39
2019-06-03,'000608,阳光股份,5.77,6.0,5.01,5.41,5.47,0.3,5.4845,4858440,26744756.95
2019-05-31,'000608,阳光股份,5.47,5.51,5.4,5.47,5.45,0.02,0.367,1710921,9362510.86
2019-05-30,'000608,阳光股份,5.45,5.51,5.35,5.51,5.42,0.03,0.5535,2637060,14314549.79
2019-05-29,'000608,阳光股份,5.42,5.57,5.41,5.46,5.49,-0.07,-1.275,2586692,14187765.9
2019-05-28,'000608,阳光股份,5.49,5.63,5.46,5.6,5.56,-0.07,-1.259,2618141,14478166.63
2019-05-27,'000608,阳光股份,5.56,5.61,5.43,5.43,5.49,0.07,1.275,1641606,9076830.09
2019-05-24,'000608,阳光股份,5.49,5.59,5.43,5.51,5.47,0.02,0.3656,1499832,8247527.48
2019-05-23,'000608,阳光股份,5.47,5.72,5.44,5.69,5.65,-0.18,-3.1858,2366668,13095939.52
2019-05-22,'000608,阳光股份,5.65,5.87,5.58,5.7,5.72,-0.07,-1.2238,2247236,12766234.08
2019-05-21,'000608,阳光股份,5.72,5.79,5.51,5.52,5.59,0.13,2.3256,2453795,13992502.92
2019-05-20,'000608,阳光股份,5.59,5.7,5.38,5.57,5.58,0.01,0.1792,3018411,16666268.4
2019-05-17,'000608,阳光股份,5.58,5.9,5.3,5.89,5.86,-0.28,-4.7782,4077643,22987499.91
2019-05-16,'000608,阳光股份,5.86,5.93,5.85,5.9,5.88,-0.02,-0.3401,1877497,11059970.72
2019-05-15,'000608,阳光股份,5.88,5.99,5.83,5.9,5.88,0.0,0.0,2554890,15012250.6
2019-05-14,'000608,阳光股份,5.88,5.97,5.78,5.96,5.94,-0.06,-1.0101,2504000,14782392.0
2019-05-13,'000608,阳光股份,5.94,6.01,5.79,5.96,5.93,0.01,0.1686,2343300,13902923.89
2019-05-10,'000608,阳光股份,5.93,6.02,5.6,5.71,5.68,0.25,4.4014,3556866,20842962.46
2019-05-09,'000608,阳光股份,5.68,5.93,5.65,5.69,5.91,-0.23,-3.8917,2626262,15201511.92
2019-05-08,'000608,阳光股份,5.91,6.06,5.81,5.81,5.94,-0.03,-0.5051,2444781,14475713.61
2019-05-07,'000608,阳光股份,5.94,5.97,5.65,5.78,5.7,0.24,4.2105,3205807,18856257.96
2019-05-06,'000608,阳光股份,5.7,6.2,5.63,6.0,6.25,-0.55,-8.8,5532300,32367915.13
2019-04-30,'000608,阳光股份,6.25,6.41,5.67,5.93,5.93,0.32,5.3963,4358181,26648947.02
2019-04-29,'000608,阳光股份,5.93,6.64,5.93,6.64,6.59,-0.66,-10.0152,7286100,44875871.46
2019-04-26,'000608,阳光股份,6.59,6.9,6.56,6.9,6.9,-0.31,-4.4928,3645683,24289211.05
2019-04-25,'000608,阳光股份,6.9,7.22,6.86,7.15,7.15,-0.25,-3.4965,3960660,27855436.6
2019-04-24,'000608,阳光股份,7.15,7.38,7.12,7.31,7.31,-0.16,-2.1888,2896078,20893272.64
2019-04-23,'000608,阳光股份,7.31,7.46,7.23,7.38,7.37,-0.06,-0.8141,2258633,16580682.19
2019-04-22,'000608,阳光股份,7.37,7.52,7.2,7.33,7.33,0.04,0.5457,3757869,27950398.66
2019-04-19,'000608,阳光股份,7.33,7.46,7.2,7.44,7.38,-0.05,-0.6775,2446100,17995538.0
2019-04-18,'000608,阳光股份,7.38,7.48,7.32,7.41,7.47,-0.09,-1.2048,2773180,20551075.8
2019-04-17,'000608,阳光股份,7.47,7.56,7.2,7.49,7.43,0.04,0.5384,3311000,24786210.69
2019-04-16,'000608,阳光股份,7.43,7.51,7.3,7.4,7.43,0.0,0.0,2310661,17137902.64
2019-04-15,'000608,阳光股份,7.43,7.58,7.31,7.49,7.45,-0.02,-0.2685,3959560,29383069.24
2019-04-12,'000608,阳光股份,7.45,7.66,7.41,7.66,7.62,-0.17,-2.231,2945668,22017716.1
2019-04-11,'000608,阳光股份,7.62,7.89,7.56,7.88,7.46,0.16,2.1448,6430549,49593023.39
2019-04-10,'000608,阳光股份,7.46,7.6,7.22,7.32,7.6,-0.14,-1.8421,3630895,27197843.79
2019-04-09,'000608,阳光股份,7.6,7.85,7.5,7.5,7.65,-0.05,-0.6536,5012665,38290125.96
2019-04-08,'000608,阳光股份,7.65,7.94,7.56,7.7,7.8,-0.15,-1.9231,7625935,58865984.64
2019-04-04,'000608,阳光股份,7.8,7.92,7.15,7.3,7.31,0.49,6.7031,11433303,85246032.5
2019-04-03,'000608,阳光股份,7.31,7.65,7.2,7.65,7.65,-0.34,-4.4444,15710525,115973260.96
2019-04-02,'000608,阳光股份,7.65,7.65,7.01,7.65,6.95,0.7,10.0719,18755231,141725208.63
2019-04-01,'000608,阳光股份,0.0,0.0,0.0,0.0,6.95,None,None,0,0.0
2019-03-29,'000608,阳光股份,0.0,0.0,0.0,0.0,6.95,None,None,0,0.0
2019-03-28,'000608,阳光股份,0.0,0.0,0.0,0.0,6.95,None,None,0,0.0
2019-03-27,'000608,阳光股份,0.0,0.0,0.0,0.0,6.95,None,None,0,0.0
2019-03-26,'000608,阳光股份,0.0,0.0,0.0,0.0,6.95,None,None,0,0.0
2019-03-25,'000608,阳光股份,6.95,7.3,6.78,6.78,6.79,0.16,2.3564,7654730,53865031.32
2019-03-22,'000608,阳光股份,6.79,6.88,6.52,6.52,6.52,0.27,4.1411,7481190,49706235.04
2019-03-21,'000608,阳光股份,6.52,6.65,6.33,6.33,6.35,0.17,2.6772,6608402,43050680.05
2019-03-20,'000608,阳光股份,6.35,6.45,6.27,6.3,6.33,0.02,0.316,4186539,26650897.93
2019-03-19,'000608,阳光股份,6.33,6.55,6.28,6.38,6.45,-0.12,-1.8605,5284949,33728306.68
2019-03-18,'000608,阳光股份,6.45,6.75,6.33,6.75,6.81,-0.36,-5.2863,10754537,69147495.76
2019-03-15,'000608,阳光股份,6.81,6.94,6.26,6.31,6.31,0.5,7.9239,14046373,95862999.65
2019-03-14,'000608,阳光股份,6.31,6.43,6.2,6.4,6.34,-0.03,-0.4732,6786316,43004449.4
2019-03-13,'000608,阳光股份,6.34,6.35,6.04,6.07,6.06,0.28,4.6205,6179001,38662256.23
2019-03-12,'000608,阳光股份,6.06,6.17,6.0,6.08,6.04,0.02,0.3311,2799989,17059924.91
2019-03-11,'000608,阳光股份,6.04,6.09,5.88,5.88,5.97,0.07,1.1725,2455937,14766170.2
2019-03-08,'000608,阳光股份,5.97,6.1,5.92,6.0,6.11,-0.14,-2.2913,4725542,28502209.09
2019-03-07,'000608,阳光股份,6.11,6.33,5.89,5.9,5.89,0.22,3.7351,6072121,37155291.42
2019-03-06,'000608,阳光股份,5.89,5.98,5.84,5.98,5.9,-0.01,-0.1695,4422515,26019393.41
2019-03-05,'000608,阳光股份,5.9,5.98,5.82,5.97,5.89,0.01,0.1698,3079938,18092320.86
2019-03-04,'000608,阳光股份,5.89,6.0,5.79,5.79,5.83,0.06,1.0292,3161351,18638751.85
2019-03-01,'000608,阳光股份,5.83,5.93,5.75,5.82,5.81,0.02,0.3442,1537160,8974492.53
2019-02-28,'000608,阳光股份,5.81,6.1,5.67,5.7,5.7,0.11,1.9298,3100059,18226213.64
2019-02-27,'000608,阳光股份,5.7,5.78,5.62,5.78,5.74,-0.04,-0.6969,2296257,13077320.89
2019-02-26,'000608,阳光股份,5.74,5.85,5.67,5.8,5.79,-0.05,-0.8636,3941021,22660049.68
2019-02-25,'000608,阳光股份,5.79,5.95,5.71,5.71,5.69,0.1,1.7575,5925204,34363632.25
2019-02-22,'000608,阳光股份,5.69,5.74,5.38,5.4,5.41,0.28,5.1756,4013282,22516306.57
2019-02-21,'000608,阳光股份,5.41,5.49,5.38,5.4,5.4,0.01,0.1852,2591900,14089533.33
2019-02-20,'000608,阳光股份,5.4,5.42,5.31,5.34,5.34,0.06,1.1236,1829446,9847881.74
2019-02-19,'000608,阳光股份,5.34,5.39,5.3,5.36,5.36,-0.02,-0.3731,1535647,8199090.0
2019-02-18,'000608,阳光股份,5.36,5.42,5.13,5.2,5.15,0.21,4.0777,2639866,13903412.83
2019-02-15,'000608,阳光股份,5.15,5.15,5.04,5.07,5.07,0.08,1.5779,1191460,6077877.8
2019-02-14,'000608,阳光股份,5.07,5.11,5.02,5.11,5.11,-0.04,-0.7828,2186741,11065351.27
2019-02-13,'000608,阳光股份,5.11,5.11,5.06,5.08,5.08,0.03,0.5906,1370581,6977656.64
2019-02-12,'000608,阳光股份,5.08,5.13,5.05,5.08,5.07,0.01,0.1972,1258264,6396074.48
2019-02-11,'000608,阳光股份,5.07,5.08,5.0,5.07,5.0,0.07,1.4,972422,4907127.1
2019-02-01,'000608,阳光股份,5.0,5.08,4.84,4.84,4.94,0.06,1.2146,942286,4694095.42
2019-01-31,'000608,阳光股份,4.94,5.04,4.9,5.03,5.02,-0.08,-1.5936,924814,4589168.4
2019-01-30,'000608,阳光股份,5.02,5.04,4.85,4.87,4.95,0.07,1.4141,1108500,5517959.4
2019-01-29,'000608,阳光股份,4.95,5.06,4.85,4.97,4.97,-0.02,-0.4024,1443214,7165863.8
2019-01-28,'000608,阳光股份,4.97,5.17,4.96,5.1,5.07,-0.1,-1.9724,997622,5037993.07
2019-01-25,'000608,阳光股份,5.07,5.21,5.03,5.16,5.17,-0.1,-1.9342,1292129,6643034.73
2019-01-24,'000608,阳光股份,5.17,5.3,5.14,5.22,5.26,-0.09,-1.711,1257884,6540962.38
2019-01-23,'000608,阳光股份,5.26,5.37,5.2,5.25,5.25,0.01,0.1905,1294226,6828977.86
2019-01-22,'000608,阳光股份,5.25,5.41,5.25,5.38,5.44,-0.19,-3.4926,1950186,10380786.5
2019-01-21,'000608,阳光股份,5.44,5.44,5.21,5.21,5.22,0.22,4.2146,2609866,14063158.34
2019-01-18,'000608,阳光股份,5.22,5.4,5.22,5.4,5.35,-0.13,-2.4299,1586602,8465923.4
2019-01-17,'000608,阳光股份,5.35,5.42,5.35,5.37,5.39,-0.04,-0.7421,1428100,7684092.0
2019-01-16,'000608,阳光股份,5.39,5.49,5.36,5.41,5.41,-0.02,-0.3697,1493759,8064479.9
2019-01-15,'000608,阳光股份,5.41,5.5,5.38,5.42,5.41,0.0,0.0,1805392,9774983.96
2019-01-14,'000608,阳光股份,5.41,5.5,5.35,5.37,5.37,0.04,0.7449,1753470,9489404.08
2019-01-11,'000608,阳光股份,5.37,5.4,5.29,5.35,5.3,0.07,1.3208,1660601,8909807.31
2019-01-10,'000608,阳光股份,5.3,5.41,5.29,5.36,5.38,-0.08,-1.487,1606667,8591320.87
2019-01-09,'000608,阳光股份,5.38,5.62,5.34,5.62,5.38,0.0,0.0,1690600,9149412.24
2019-01-08,'000608,阳光股份,5.38,5.47,5.3,5.4,5.4,-0.02,-0.3704,1908570,10231237.4
2019-01-07,'000608,阳光股份,5.4,5.45,5.3,5.34,5.36,0.04,0.7463,2800702,15063092.79
2019-01-04,'000608,阳光股份,5.36,5.43,5.04,5.09,5.15,0.21,4.0777,4209387,22169566.85
2019-01-03,'000608,阳光股份,5.15,5.3,5.01,5.04,5.07,0.08,1.5779,3894174,19996425.03
2019-01-02,'000608,阳光股份,5.07,5.08,4.84,4.9,4.9,0.17,3.4694,2305554,11484925.62
2018-12-28,'000608,阳光股份,4.9,4.93,4.81,4.84,4.87,0.03,0.616,1534800,7491791.2
2018-12-27,'000608,阳光股份,4.87,5.11,4.85,5.05,5.02,-0.15,-2.988,2854644,14216224.38
2018-12-26,'000608,阳光股份,5.02,5.04,4.88,4.92,4.92,0.1,2.0325,3309618,16384667.52
2018-12-25,'000608,阳光股份,4.92,4.95,4.75,4.92,4.82,0.1,2.0747,2874501,13996354.91
2018-12-24,'000608,阳光股份,4.82,4.85,4.74,4.74,4.72,0.1,2.1186,2106500,10124570.89
2018-12-21,'000608,阳光股份,4.72,4.93,4.72,4.9,4.92,-0.2,-4.065,2783311,13449829.14
2018-12-20,'000608,阳光股份,4.92,5.05,4.47,4.6,4.7,0.22,4.6809,6259573,30674724.93
2018-12-19,'000608,阳光股份,4.7,4.97,4.7,4.92,4.9,-0.2,-4.0816,3198200,15385027.0
2018-12-18,'000608,阳光股份,4.9,4.96,4.85,4.87,4.9,0.0,0.0,2728010,13366155.7
2018-12-17,'000608,阳光股份,4.9,4.9,4.78,4.79,4.87,0.03,0.616,1160400,5645194.0
2018-12-14,'000608,阳光股份,4.87,5.03,4.83,4.96,4.98,-0.11,-2.2088,2273381,11195852.85
2018-12-13,'000608,阳光股份,4.98,5.0,4.91,4.91,4.94,0.04,0.8097,2145352,10637491.93
2018-12-12,'000608,阳光股份,4.94,5.05,4.9,4.94,4.92,0.02,0.4065,2797996,13876516.28
2018-12-11,'000608,阳光股份,4.92,5.15,4.9,5.13,5.01,-0.09,-1.7964,4020380,19929012.1
2018-12-10,'000608,阳光股份,5.01,5.13,4.8,4.96,4.85,0.16,3.299,7667795,38682855.43
2018-12-07,'000608,阳光股份,4.85,5.05,4.82,4.98,4.99,-0.14,-2.8056,2839280,13959360.55
2018-12-06,'000608,阳光股份,4.99,5.07,4.93,5.06,5.03,-0.04,-0.7952,2884477,14425524.45
2018-12-05,'000608,阳光股份,5.03,5.37,4.95,5.37,5.47,-0.44,-8.0439,7493145,38159479.9
2018-12-04,'000608,阳光股份,5.47,5.8,5.27,5.31,5.31,0.16,3.0132,6216500,33843090.21
2018-12-03,'000608,阳光股份,5.31,5.48,5.22,5.47,5.28,0.03,0.5682,3485421,18600792.72
2018-11-30,'000608,阳光股份,5.28,5.41,5.15,5.16,5.3,-0.02,-0.3774,3073268,16285847.76
2018-11-29,'000608,阳光股份,5.3,5.67,5.3,5.65,5.39,-0.09,-1.6698,5625346,30989149.98
2018-11-28,'000608,阳光股份,5.39,5.57,5.32,5.48,5.39,0.0,0.0,4806296,26114078.6
2018-11-27,'000608,阳光股份,5.39,5.8,5.15,5.8,5.62,-0.23,-4.0925,5702199,31206212.99
2018-11-26,'000608,阳光股份,5.62,5.69,5.56,5.59,5.6,0.02,0.3571,4853750,27225758.5
2018-11-23,'000608,阳光股份,5.6,6.26,5.6,6.1,6.05,-0.45,-7.438,6265545,36276016.3
2018-11-22,'000608,阳光股份,6.05,6.21,6.01,6.08,6.1,-0.05,-0.8197,3952684,24063615.44
2018-11-21,'000608,阳光股份,6.1,6.11,5.85,5.87,6.02,0.08,1.3289,2198842,13251908.22
2018-11-20,'000608,阳光股份,6.02,6.18,5.93,6.0,6.09,-0.07,-1.1494,3587107,21590318.49
2018-11-19,'000608,阳光股份,6.09,6.18,5.67,5.7,5.75,0.34,5.913,5298886,31661684.95
2018-11-16,'000608,阳光股份,5.75,5.9,5.66,5.74,5.72,0.03,0.5245,4162540,23993752.54
2018-11-15,'000608,阳光股份,5.72,5.74,5.26,5.26,5.61,0.11,1.9608,4314000,24213092.2
2018-11-14,'000608,阳光股份,5.61,5.64,5.45,5.56,5.53,0.08,1.4467,4716019,26333755.43
2018-11-13,'000608,阳光股份,5.53,5.57,5.32,5.36,5.43,0.1,1.8416,4661322,25286574.88
2018-11-12,'000608,阳光股份,5.43,5.5,5.23,5.34,5.37,0.06,1.1173,4886845,26269259.67
2018-11-09,'000608,阳光股份,5.37,5.61,5.29,5.58,5.65,-0.28,-4.9558,7283708,39581897.79
2018-11-08,'000608,阳光股份,5.65,5.89,5.33,5.52,5.52,0.13,2.3551,13647746,76988653.74
2018-11-07,'000608,阳光股份,5.52,5.52,4.92,4.98,5.02,0.5,9.9602,11551130,62493790.0
2018-11-06,'000608,阳光股份,5.02,5.02,4.66,4.76,4.81,0.21,4.3659,6064297,29638452.02
2018-11-05,'000608,阳光股份,4.81,5.08,4.52,4.59,4.62,0.19,4.1126,12811387,62229968.73
2018-11-02,'000608,阳光股份,4.62,4.67,4.38,4.55,4.53,0.09,1.9868,5946683,27102074.12
2018-11-01,'000608,阳光股份,4.53,4.6,4.28,4.28,4.34,0.19,4.3779,7971025,35679046.54
2018-10-31,'000608,阳光股份,4.34,4.35,4.06,4.14,4.16,0.18,4.3269,7448200,31716950.0
2018-10-30,'000608,阳光股份,4.16,4.23,3.94,4.14,4.18,-0.02,-0.4785,5617600,22978413.0
2018-10-29,'000608,阳光股份,4.18,4.22,4.06,4.17,4.29,-0.11,-2.5641,6815504,28245297.4
2018-10-26,'000608,阳光股份,4.29,4.29,3.86,3.9,3.9,0.39,10.0,17808688,75861007.42
2018-10-25,'000608,阳光股份,3.9,3.91,3.7,3.78,3.84,0.06,1.5625,4500686,17196121.08
2018-10-24,'000608,阳光股份,3.84,3.9,3.82,3.86,3.91,-0.07,-1.7903,3321800,12884667.6
2018-10-23,'000608,阳光股份,3.91,3.96,3.85,3.9,3.95,-0.04,-1.0127,4135770,16204789.82
2018-10-22,'000608,阳光股份,3.95,4.0,3.7,3.76,3.64,0.31,8.5165,6350404,24604363.04
2018-10-19,'000608,阳光股份,3.64,3.67,3.5,3.6,3.66,-0.02,-0.5464,3309800,11893552.0
2018-10-18,'000608,阳光股份,3.66,3.7,3.57,3.65,3.65,0.01,0.274,2621701,9575242.65
2018-10-17,'000608,阳光股份,3.65,3.72,3.63,3.69,3.66,-0.01,-0.2732,2002086,7330064.18
2018-10-16,'000608,阳光股份,3.66,3.68,3.46,3.63,3.63,0.03,0.8264,3310093,12096691.8
2018-10-15,'000608,阳光股份,3.63,3.79,3.62,3.76,3.75,-0.12,-3.2,1461300,5404814.0
2018-10-12,'000608,阳光股份,3.75,3.87,3.61,3.82,3.87,-0.12,-3.1008,1867787,6977600.29
2018-10-11,'000608,阳光股份,3.87,4.21,3.79,4.1,4.21,-0.34,-8.076,2916243,11580711.11
