日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000610,西安旅游,10.31,10.33,10.08,10.09,9.93,0.38,3.8268,13084569,133602390.09
2019-06-28,'000610,西安旅游,9.93,10.17,9.81,10.17,10.12,-0.19,-1.8775,8909587,88616292.89
2019-06-27,'000610,西安旅游,10.12,10.29,10.1,10.14,10.14,-0.02,-0.1972,9252500,94151962.0
2019-06-26,'000610,西安旅游,10.14,10.26,10.05,10.22,10.29,-0.15,-1.4577,7758568,78831718.16
2019-06-25,'000610,西安旅游,10.29,10.45,10.11,10.42,10.28,0.01,0.0973,12000735,123512619.08
2019-06-24,'000610,西安旅游,10.28,10.48,10.24,10.36,10.37,-0.09,-0.8679,9803501,101198302.29
2019-06-21,'000610,西安旅游,10.37,10.55,10.31,10.5,10.34,0.03,0.2901,13870180,144700313.56
2019-06-20,'000610,西安旅游,10.34,10.41,10.11,10.2,10.17,0.17,1.6716,13035910,134106681.45
2019-06-19,'000610,西安旅游,10.17,10.35,10.09,10.18,9.95,0.22,2.2111,13874120,141961374.19
2019-06-18,'000610,西安旅游,9.95,9.99,9.76,9.95,9.9,0.05,0.5051,7319840,72545072.86
2019-06-17,'000610,西安旅游,9.9,10.09,9.87,10.03,10.02,-0.12,-1.1976,7111900,70731821.0
2019-06-14,'000610,西安旅游,10.02,10.31,9.98,10.26,10.35,-0.33,-3.1884,10689521,108512479.15
2019-06-13,'000610,西安旅游,10.35,10.47,10.06,10.13,10.05,0.3,2.9851,15052652,154679652.62
2019-06-12,'000610,西安旅游,10.05,10.33,10.01,10.33,10.32,-0.27,-2.6163,12398536,126300969.36
2019-06-11,'000610,西安旅游,10.32,10.43,9.78,9.84,9.78,0.54,5.5215,14942602,151304895.6
2019-06-10,'000610,西安旅游,9.78,9.85,9.63,9.76,9.58,0.2,2.0877,8943300,87142563.0
2019-06-06,'000610,西安旅游,9.58,10.2,9.5,10.2,10.18,-0.6,-5.8939,13110367,127863356.15
2019-06-05,'000610,西安旅游,10.18,10.5,10.11,10.47,10.27,-0.09,-0.8763,9645160,98837582.0
2019-06-04,'000610,西安旅游,10.27,10.63,10.1,10.56,10.43,-0.16,-1.534,11829535,121899675.11
2019-06-03,'000610,西安旅游,10.43,10.92,10.36,10.79,10.85,-0.42,-3.871,13405829,141826810.05
2019-05-31,'000610,西安旅游,10.85,11.16,10.83,11.14,11.01,-0.16,-1.4532,11114926,121931499.77
2019-05-30,'000610,西安旅游,11.01,11.38,10.9,11.32,11.3,-0.29,-2.5664,14252446,157124779.88
2019-05-29,'000610,西安旅游,11.3,11.59,11.15,11.3,11.53,-0.23,-1.9948,14588471,165608962.26
2019-05-28,'000610,西安旅游,11.55,11.85,11.37,11.4,11.41,0.14,1.227,24847817,288487724.42
2019-05-27,'000610,西安旅游,11.41,11.48,10.79,11.24,11.16,0.25,2.2401,20315591,227640211.2
2019-05-24,'000610,西安旅游,11.16,11.52,11.03,11.03,11.1,0.06,0.5405,14020500,157855844.0
