日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000611,*ST天首,3.45,3.47,3.4,3.43,3.39,0.06,1.7699,1801700,6209726.0
2019-06-28,'000611,*ST天首,3.39,3.45,3.35,3.45,3.46,-0.07,-2.0231,2932201,9940784.35
2019-06-27,'000611,*ST天首,3.46,3.53,3.43,3.5,3.51,-0.05,-1.4245,2684601,9339563.5
2019-06-26,'000611,*ST天首,3.51,3.54,3.32,3.41,3.39,0.12,3.5398,4209061,14503804.68
2019-06-25,'000611,*ST天首,3.39,3.42,3.28,3.31,3.31,0.08,2.4169,3464956,11644529.24
2019-06-24,'000611,*ST天首,3.31,3.43,3.26,3.36,3.36,-0.05,-1.4881,4030296,13361299.88
2019-06-21,'000611,*ST天首,3.36,3.36,3.34,3.36,3.2,0.16,5.0,4268996,14338625.94
2019-06-20,'000611,*ST天首,3.2,3.24,3.15,3.24,3.24,-0.04,-1.2346,3800192,12105815.55
2019-06-19,'000611,*ST天首,3.24,3.3,3.22,3.3,3.24,0.0,0.0,3080432,10047087.68
2019-06-18,'000611,*ST天首,3.24,3.24,3.17,3.17,3.19,0.05,1.5674,1929210,6196447.9
2019-06-17,'000611,*ST天首,3.19,3.34,3.15,3.29,3.31,-0.12,-3.6254,4262300,13782619.0
2019-06-14,'000611,*ST天首,3.31,3.5,3.31,3.45,3.48,-0.17,-4.8851,2756960,9368654.99
2019-06-13,'000611,*ST天首,3.48,3.51,3.37,3.37,3.42,0.06,1.7544,2878545,9964419.91
2019-06-12,'000611,*ST天首,3.42,3.44,3.38,3.41,3.42,0.0,0.0,2150023,7344406.2
2019-06-11,'000611,*ST天首,3.42,3.44,3.25,3.33,3.33,0.09,2.7027,3329754,11213459.36
2019-06-10,'000611,*ST天首,3.33,3.45,3.28,3.45,3.45,-0.12,-3.4783,6015769,19921950.32
2019-06-06,'000611,*ST天首,3.45,3.6,3.45,3.56,3.63,-0.18,-4.9587,4032200,13989672.0
2019-06-05,'000611,*ST天首,3.63,3.66,3.6,3.63,3.63,0.0,0.0,2106600,7633049.0
2019-06-04,'000611,*ST天首,3.63,3.73,3.61,3.71,3.75,-0.12,-3.2,2302300,8465645.0
2019-06-03,'000611,*ST天首,3.75,3.88,3.7,3.81,3.84,-0.09,-2.3438,2692600,10156796.0
2019-05-31,'000611,*ST天首,3.84,3.85,3.6,3.64,3.67,0.17,4.6322,7321292,27767319.54
2019-05-30,'000611,*ST天首,3.67,3.81,3.65,3.81,3.64,0.03,0.8242,7128300,26674601.4
