日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000612,焦作万方,5.31,5.31,5.18,5.28,5.34,-0.03,-0.5618,17815645,93746312.1
2019-06-28,'000612,焦作万方,5.34,5.39,5.13,5.3,5.28,0.06,1.1364,22738187,119917084.01
2019-06-27,'000612,焦作万方,5.28,5.38,5.2,5.3,5.29,-0.01,-0.189,13421214,71018920.19
2019-06-26,'000612,焦作万方,5.29,5.4,5.25,5.25,5.33,-0.04,-0.7505,13953453,74291007.76
2019-06-25,'000612,焦作万方,5.33,5.58,5.29,5.51,5.56,-0.23,-4.1367,30555142,164437043.22
2019-06-24,'000612,焦作万方,5.56,5.77,5.48,5.59,5.67,-0.11,-1.94,28287166,158675756.08
2019-06-21,'000612,焦作万方,5.67,5.8,5.63,5.68,5.72,-0.05,-0.8741,33720331,192558197.54
2019-06-20,'000612,焦作万方,5.72,5.8,5.53,5.77,5.84,-0.12,-2.0548,44685885,252444775.5
2019-06-19,'000612,焦作万方,5.84,6.0,5.73,5.73,5.9,-0.06,-1.0169,56746780,333079706.77
2019-06-18,'000612,焦作万方,5.9,6.5,5.8,6.37,6.15,-0.25,-4.065,88323477,544088022.14
2019-06-17,'000612,焦作万方,6.15,6.15,5.46,5.48,5.59,0.56,10.0179,34482195,205144019.48
2019-06-14,'000612,焦作万方,5.59,5.91,5.45,5.61,5.65,-0.06,-1.0619,49548293,282168193.45
2019-06-13,'000612,焦作万方,5.65,5.66,5.34,5.6,5.57,0.08,1.4363,37262350,205818084.61
2019-06-12,'000612,焦作万方,5.57,6.08,5.53,5.66,5.66,-0.09,-1.5901,66571022,386942941.39
2019-06-11,'000612,焦作万方,5.66,5.87,5.3,5.35,5.48,0.18,3.2847,56756003,319905099.08
2019-06-10,'000612,焦作万方,5.48,5.5,5.1,5.28,5.29,0.19,3.5917,43065986,229882894.8
2019-06-06,'000612,焦作万方,5.29,5.5,5.07,5.2,5.19,0.1,1.9268,39861232,212070612.33
2019-06-05,'000612,焦作万方,5.19,5.47,5.13,5.35,5.26,-0.07,-1.3308,37846151,200090012.51
2019-06-04,'000612,焦作万方,5.26,5.61,5.12,5.56,5.61,-0.35,-6.2389,45922042,245204254.8
2019-06-03,'000612,焦作万方,5.61,6.1,5.58,6.0,6.2,-0.59,-9.5161,65349429,380542512.64
2019-05-31,'000612,焦作万方,6.2,6.7,5.89,6.3,6.3,-0.1,-1.5873,95132195,601725879.51
2019-05-30,'000612,焦作万方,6.3,6.3,5.81,6.0,5.73,0.57,9.9476,74444367,456836754.43
2019-05-29,'000612,焦作万方,5.73,5.73,5.73,5.73,5.21,0.52,9.9808,17269645,98955065.85
2019-05-28,'000612,焦作万方,5.21,5.4,5.02,5.2,5.32,-0.11,-2.0677,39906009,206930293.81
2019-05-27,'000612,焦作万方,5.32,5.4,4.81,4.9,5.16,0.16,3.1008,51429502,262994301.88
2019-05-24,'000612,焦作万方,5.16,5.31,4.77,4.78,4.83,0.33,6.8323,51458100,267983307.49
2019-05-23,'000612,焦作万方,4.83,5.11,4.75,4.95,5.01,-0.18,-3.5928,23953951,117962568.33
2019-05-22,'000612,焦作万方,5.01,5.45,5.01,5.22,5.2,-0.19,-3.6538,44484864,234042870.72
2019-05-21,'000612,焦作万方,5.2,5.2,4.45,4.58,4.73,0.47,9.9366,25099421,124813651.9
2019-05-20,'000612,焦作万方,4.73,4.9,4.26,4.55,4.64,0.09,1.9397,16023364,72254972.26
2019-05-17,'000612,焦作万方,4.64,5.01,4.59,5.0,4.73,-0.09,-1.9027,23454438,113596180.69
2019-05-16,'000612,焦作万方,4.73,4.73,4.33,4.39,4.3,0.43,10.0,6426987,29896570.47
2019-05-15,'000612,焦作万方,4.3,4.32,4.24,4.24,4.24,0.06,1.4151,3533171,15173149.34
2019-05-14,'000612,焦作万方,4.24,4.29,4.2,4.2,4.25,-0.01,-0.2353,2707121,11522110.82
2019-05-13,'000612,焦作万方,4.25,4.35,4.23,4.35,4.35,-0.1,-2.2989,4683506,20031476.34
2019-05-10,'000612,焦作万方,4.35,4.42,4.23,4.34,4.3,0.05,1.1628,4384481,19069662.19
2019-05-09,'000612,焦作万方,4.3,4.35,4.24,4.27,4.32,-0.02,-0.463,2589878,11125713.27
2019-05-08,'000612,焦作万方,4.32,4.38,4.2,4.27,4.33,-0.01,-0.2309,3317632,14360074.96
2019-05-07,'000612,焦作万方,4.33,4.35,4.25,4.31,4.29,0.04,0.9324,5221001,22483018.08
2019-05-06,'000612,焦作万方,4.29,4.49,4.2,4.48,4.56,-0.27,-5.9211,7447892,32413386.86
2019-04-30,'000612,焦作万方,4.56,4.61,4.48,4.48,4.52,0.04,0.885,5369071,24531714.75
2019-04-29,'000612,焦作万方,4.52,4.69,4.49,4.61,4.62,-0.1,-2.1645,5947425,27207256.23
2019-04-26,'000612,焦作万方,4.62,4.74,4.6,4.62,4.63,-0.01,-0.216,6224606,28963750.02
2019-04-25,'000612,焦作万方,4.63,4.95,4.62,4.92,4.92,-0.29,-5.8943,8161182,38965986.7
2019-04-24,'000612,焦作万方,4.92,4.96,4.85,4.95,4.92,0.0,0.0,5177400,25320738.12
2019-04-23,'000612,焦作万方,4.92,4.99,4.85,4.98,4.95,-0.03,-0.6061,7339118,36033215.54
2019-04-22,'000612,焦作万方,4.95,5.12,4.93,5.12,5.1,-0.15,-2.9412,7695866,38406670.3
2019-04-19,'000612,焦作万方,5.1,5.13,4.92,5.11,5.11,-0.01,-0.1957,8599378,43214960.65
2019-04-18,'000612,焦作万方,5.11,5.22,5.08,5.09,5.09,0.02,0.3929,8952619,45948457.58
2019-04-17,'000612,焦作万方,5.09,5.17,5.01,5.05,5.02,0.07,1.3944,10534141,53802083.66
2019-04-16,'000612,焦作万方,5.02,5.05,4.82,4.85,4.88,0.14,2.8689,9022126,44743291.75
2019-04-15,'000612,焦作万方,4.88,5.08,4.87,5.01,4.97,-0.09,-1.8109,9595954,47852318.14
2019-04-12,'000612,焦作万方,4.97,5.03,4.93,4.97,4.97,0.0,0.0,5036767,25041147.19
2019-04-11,'000612,焦作万方,4.97,5.18,4.95,5.09,5.1,-0.13,-2.549,9640480,48660138.18
2019-04-10,'000612,焦作万方,5.1,5.18,5.04,5.18,5.2,-0.1,-1.9231,8894050,45346377.67
2019-04-09,'000612,焦作万方,5.2,5.32,5.12,5.28,5.33,-0.13,-2.439,11569960,60038793.78
2019-04-08,'000612,焦作万方,5.33,5.49,5.18,5.23,5.23,0.1,1.912,21277559,113203969.21
2019-04-04,'000612,焦作万方,5.23,5.65,5.1,5.58,5.28,-0.05,-0.947,21784946,116246171.68
2019-04-03,'000612,焦作万方,5.28,5.33,5.21,5.24,5.32,-0.04,-0.7519,12931256,68194308.35
2019-04-02,'000612,焦作万方,5.32,5.46,5.22,5.35,5.39,-0.07,-1.2987,28367855,150665128.27
2019-04-01,'000612,焦作万方,5.39,5.61,5.04,5.1,5.11,0.28,5.4795,46229197,246689955.77
2019-03-29,'000612,焦作万方,5.11,5.11,4.8,4.84,4.88,0.23,4.7131,21852168,109445230.22
2019-03-28,'000612,焦作万方,4.88,5.0,4.79,5.0,5.13,-0.25,-4.8733,18901919,92203736.93
2019-03-27,'000612,焦作万方,5.13,5.13,4.72,4.78,4.78,0.35,7.3222,24527610,122064118.55
2019-03-26,'000612,焦作万方,4.78,4.88,4.64,4.86,4.83,-0.05,-1.0352,9534055,45258870.56
2019-03-25,'000612,焦作万方,4.83,4.95,4.8,4.9,4.97,-0.14,-2.8169,6761577,32966911.05
2019-03-22,'000612,焦作万方,4.97,5.01,4.8,5.01,5.02,-0.05,-0.996,9018453,44229436.87
2019-03-21,'000612,焦作万方,5.02,5.1,4.99,5.1,5.03,-0.01,-0.1988,8425411,42443902.67
2019-03-20,'000612,焦作万方,5.03,5.07,4.88,4.98,4.97,0.06,1.2072,9045323,45040466.14
2019-03-19,'000612,焦作万方,4.97,5.17,4.96,5.12,5.08,-0.11,-2.1654,11578989,58465170.66
2019-03-18,'000612,焦作万方,5.08,5.14,4.84,4.95,4.85,0.23,4.7423,14890992,74502308.17
2019-03-15,'000612,焦作万方,4.85,4.9,4.75,4.81,4.82,0.03,0.6224,9396201,45327647.64
2019-03-14,'000612,焦作万方,4.82,5.05,4.75,4.85,4.88,-0.06,-1.2295,11135280,54240136.3
2019-03-13,'000612,焦作万方,4.88,5.09,4.82,5.09,5.0,-0.12,-2.4,11460075,56777180.81
2019-03-12,'000612,焦作万方,5.0,5.11,4.91,4.99,4.94,0.06,1.2146,13497409,67741699.31
2019-03-11,'000612,焦作万方,4.94,4.96,4.76,4.76,4.75,0.19,4.0,10697017,52196561.6
2019-03-08,'000612,焦作万方,4.75,5.15,4.75,5.09,5.28,-0.53,-10.0379,21107195,105592239.56
2019-03-07,'000612,焦作万方,5.28,5.47,5.11,5.14,5.19,0.09,1.7341,30569794,160903205.96
2019-03-06,'000612,焦作万方,5.19,5.3,4.86,4.87,4.93,0.26,5.2738,26293951,134872359.01
2019-03-05,'000612,焦作万方,4.93,4.94,4.74,4.83,4.81,0.12,2.4948,15731661,76292827.98
2019-03-04,'000612,焦作万方,4.81,4.98,4.69,4.69,4.71,0.1,2.1231,13878174,67123962.47
2019-03-01,'000612,焦作万方,4.71,4.82,4.62,4.78,4.73,-0.02,-0.4228,9321813,43908579.8
2019-02-28,'000612,焦作万方,4.73,4.88,4.66,4.66,4.59,0.14,3.0501,14906807,71103111.53
2019-02-27,'000612,焦作万方,4.59,4.85,4.51,4.7,4.72,-0.13,-2.7542,12877230,60403990.5
2019-02-26,'000612,焦作万方,4.72,4.93,4.66,4.7,4.79,-0.07,-1.4614,21086523,100817411.63
2019-02-25,'000612,焦作万方,4.79,4.84,4.55,4.64,4.6,0.19,4.1304,19822170,93694502.79
2019-02-22,'000612,焦作万方,4.6,4.6,4.33,4.38,4.38,0.22,5.0228,14340406,64545435.54
2019-02-21,'000612,焦作万方,4.38,4.49,4.33,4.44,4.44,-0.06,-1.3514,10594746,46617662.92
2019-02-20,'000612,焦作万方,4.44,4.47,4.28,4.29,4.28,0.16,3.7383,11932593,52324409.81
2019-02-19,'000612,焦作万方,4.28,4.37,4.18,4.19,4.18,0.1,2.3923,10294830,44057288.38
2019-02-18,'000612,焦作万方,4.18,4.18,4.09,4.09,4.07,0.11,2.7027,7156668,29622809.32
2019-02-15,'000612,焦作万方,4.07,4.13,4.06,4.08,4.1,-0.03,-0.7317,5573361,22799165.14
2019-02-14,'000612,焦作万方,4.1,4.12,4.07,4.09,4.12,-0.02,-0.4854,5411881,22152412.87
2019-02-13,'000612,焦作万方,4.12,4.18,4.01,4.07,4.08,0.04,0.9804,7230961,29682076.35
2019-02-12,'000612,焦作万方,4.08,4.09,4.01,4.03,4.05,0.03,0.7407,5589060,22641383.2
2019-02-11,'000612,焦作万方,4.05,4.07,3.95,4.04,3.95,0.1,2.5316,5410261,21618391.82
2019-02-01,'000612,焦作万方,3.95,3.98,3.8,3.8,3.78,0.17,4.4974,5072767,19782716.11
2019-01-31,'000612,焦作万方,3.78,3.88,3.74,3.86,3.83,-0.05,-1.3055,6979934,26695939.04
2019-01-30,'000612,焦作万方,3.83,3.96,3.77,3.79,4.11,-0.28,-6.8127,10444484,40300989.35
2019-01-29,'000612,焦作万方,4.11,4.29,4.0,4.29,4.29,-0.18,-4.1958,10020984,41406172.51
2019-01-28,'000612,焦作万方,4.29,4.49,4.27,4.46,4.48,-0.19,-4.2411,10178508,44398809.77
2019-01-25,'000612,焦作万方,4.48,4.6,4.38,4.59,4.62,-0.14,-3.0303,17450871,78112448.5
2019-01-24,'000612,焦作万方,4.62,4.76,4.53,4.72,4.85,-0.23,-4.7423,20119312,93047502.75
2019-01-23,'000612,焦作万方,4.85,4.94,4.56,4.68,4.96,-0.11,-2.2177,25931293,122676522.33
2019-01-22,'000612,焦作万方,4.96,5.35,4.93,5.2,4.92,0.04,0.813,39353071,202687191.03
2019-01-21,'000612,焦作万方,4.92,4.92,4.63,4.76,4.47,0.45,10.0671,11456816,55442263.34
2019-01-18,'000612,焦作万方,4.47,4.47,4.05,4.05,4.06,0.41,10.0985,5767341,25507963.25
2019-01-17,'000612,焦作万方,4.06,4.13,4.01,4.08,4.08,-0.02,-0.4902,3038250,12403133.47
2019-01-16,'000612,焦作万方,4.08,4.11,4.05,4.09,4.07,0.01,0.2457,2712897,11078963.43
2019-01-15,'000612,焦作万方,4.07,4.08,4.01,4.04,4.06,0.01,0.2463,2330696,9428620.79
2019-01-14,'000612,焦作万方,4.06,4.09,4.01,4.03,4.03,0.03,0.7444,2292684,9306784.87
2019-01-11,'000612,焦作万方,4.03,4.05,3.96,3.96,3.98,0.05,1.2563,1753085,7031519.6
2019-01-10,'000612,焦作万方,3.98,4.05,3.96,4.05,4.05,-0.07,-1.7284,2665075,10651078.12
2019-01-09,'000612,焦作万方,4.05,4.13,4.02,4.06,4.02,0.03,0.7463,3081251,12558293.46
2019-01-08,'000612,焦作万方,4.02,4.08,3.98,4.02,4.01,0.01,0.2494,2040798,8242587.04
2019-01-07,'000612,焦作万方,4.01,4.03,3.89,4.0,3.95,0.06,1.519,2488646,9918141.29
2019-01-04,'000612,焦作万方,3.95,3.95,3.83,3.87,3.86,0.09,2.3316,2653337,10341708.91
2019-01-03,'000612,焦作万方,3.86,3.92,3.85,3.85,3.87,-0.01,-0.2584,1670582,6485914.87
2019-01-02,'000612,焦作万方,3.87,4.04,3.84,3.97,3.96,-0.09,-2.2727,2959424,11531357.81
2018-12-28,'000612,焦作万方,3.96,4.07,3.96,4.02,4.0,-0.04,-1.0,1819648,7299703.5
2018-12-27,'000612,焦作万方,4.0,4.16,3.99,4.16,4.08,-0.08,-1.9608,2944204,11901947.5
2018-12-26,'000612,焦作万方,4.08,4.12,4.01,4.09,4.06,0.02,0.4926,2864493,11727392.66
2018-12-25,'000612,焦作万方,4.06,4.11,3.98,4.11,4.09,-0.03,-0.7335,3107644,12541225.35
2018-12-24,'000612,焦作万方,4.09,4.12,4.01,4.03,4.03,0.06,1.4888,3331679,13624245.01
2018-12-21,'000612,焦作万方,4.03,4.13,3.96,4.12,4.08,-0.05,-1.2255,3463676,13980926.69
2018-12-20,'000612,焦作万方,4.08,4.12,4.0,4.03,4.08,0.0,0.0,2185714,8931134.16
2018-12-19,'000612,焦作万方,4.08,4.15,3.98,4.07,4.02,0.06,1.4925,3378257,13816935.45
2018-12-18,'000612,焦作万方,4.02,4.11,3.95,4.05,4.09,-0.07,-1.7115,3691643,14866928.56
2018-12-17,'000612,焦作万方,4.09,4.13,4.05,4.12,4.09,0.0,0.0,2411989,9851522.18
2018-12-14,'000612,焦作万方,4.09,4.31,4.05,4.31,4.29,-0.2,-4.662,4205032,17469371.68
2018-12-13,'000612,焦作万方,4.29,4.34,4.18,4.25,4.19,0.1,2.3866,4571315,19513985.74
2018-12-12,'000612,焦作万方,4.19,4.28,4.19,4.28,4.23,-0.04,-0.9456,1969059,8309538.21
2018-12-11,'000612,焦作万方,4.23,4.23,4.08,4.17,4.09,0.14,3.423,2670000,11125710.0
2018-12-10,'000612,焦作万方,4.09,4.25,4.06,4.25,4.19,-0.1,-2.3866,2565700,10553419.8
2018-12-07,'000612,焦作万方,4.19,4.28,4.17,4.27,4.2,-0.01,-0.2381,2289600,9640862.0
2018-12-06,'000612,焦作万方,4.2,4.26,4.16,4.24,4.28,-0.08,-1.8692,3194161,13460349.17
2018-12-05,'000612,焦作万方,4.28,4.34,4.21,4.28,4.28,0.0,0.0,3226359,13805826.06
2018-12-04,'000612,焦作万方,4.28,4.3,4.15,4.2,4.15,0.13,3.1325,4369272,18595508.17
2018-12-03,'000612,焦作万方,4.15,4.21,4.11,4.17,4.04,0.11,2.7228,4444505,18517218.47
2018-11-30,'000612,焦作万方,4.04,4.07,3.96,4.05,4.07,-0.03,-0.7371,2594220,10444249.0
2018-11-29,'000612,焦作万方,4.07,4.18,4.07,4.13,4.09,-0.02,-0.489,3432361,14108640.69
2018-11-28,'000612,焦作万方,4.09,4.1,3.86,4.02,4.02,0.07,1.7413,3559124,14224249.85
2018-11-27,'000612,焦作万方,4.02,4.08,3.99,4.03,4.02,0.0,0.0,2160731,8733993.76
2018-11-26,'000612,焦作万方,4.02,4.1,4.0,4.08,4.09,-0.07,-1.7115,2262001,9144494.95
2018-11-23,'000612,焦作万方,4.09,4.39,4.06,4.36,4.39,-0.3,-6.8337,4641180,19421076.91
2018-11-22,'000612,焦作万方,4.39,4.41,4.28,4.31,4.3,0.09,2.093,3618781,15771074.38
2018-11-21,'000612,焦作万方,4.3,4.35,4.18,4.31,4.31,-0.01,-0.232,2890915,12305081.23
2018-11-20,'000612,焦作万方,4.31,4.49,4.27,4.37,4.4,-0.09,-2.0455,5328849,23385947.23
2018-11-19,'000612,焦作万方,4.4,4.42,4.35,4.4,4.42,-0.02,-0.4525,3010467,13195031.51
2018-11-16,'000612,焦作万方,4.42,4.44,4.34,4.38,4.38,0.04,0.9132,4304560,18947111.0
2018-11-15,'000612,焦作万方,4.38,4.39,4.31,4.35,4.32,0.06,1.3889,2588362,11279363.7
2018-11-14,'000612,焦作万方,4.32,4.42,4.28,4.39,4.37,-0.05,-1.1442,3063741,13319835.31
2018-11-13,'000612,焦作万方,4.37,4.43,4.17,4.21,4.23,0.14,3.3097,5521643,23919488.39
2018-11-12,'000612,焦作万方,4.23,4.23,4.12,4.22,4.15,0.08,1.9277,2991120,12578139.0
2018-11-09,'000612,焦作万方,4.15,4.2,4.1,4.12,4.09,0.06,1.467,2423859,10087339.24
2018-11-08,'000612,焦作万方,4.09,4.22,4.09,4.22,4.17,-0.08,-1.9185,3670321,15197228.15
2018-11-07,'000612,焦作万方,4.17,4.29,4.15,4.17,4.17,0.0,0.0,2708196,11449638.36
2018-11-06,'000612,焦作万方,4.17,4.2,4.11,4.15,4.2,-0.03,-0.7143,1773500,7349730.4
2018-11-05,'000612,焦作万方,4.2,4.25,4.13,4.22,4.23,-0.03,-0.7092,3022994,12674633.05
2018-11-02,'000612,焦作万方,4.23,4.44,4.14,4.14,4.08,0.15,3.6765,4739882,20023070.31
2018-11-01,'000612,焦作万方,4.08,4.19,4.07,4.15,4.14,-0.06,-1.4493,3165372,13082893.02
2018-10-31,'000612,焦作万方,4.14,4.14,3.95,3.95,3.95,0.19,4.8101,3773317,15452608.96
2018-10-30,'000612,焦作万方,3.95,4.0,3.87,3.88,3.87,0.08,2.0672,2034609,8029122.78
2018-10-29,'000612,焦作万方,3.87,3.98,3.86,3.9,3.99,-0.12,-3.0075,1761233,6884793.94
2018-10-26,'000612,焦作万方,3.99,4.12,3.89,3.91,3.91,0.08,2.046,2754707,11012905.52
2018-10-25,'000612,焦作万方,3.91,3.91,3.79,3.89,3.94,-0.03,-0.7614,1909143,7348205.81
2018-10-24,'000612,焦作万方,3.94,3.97,3.9,3.95,3.95,-0.01,-0.2532,1687281,6644146.13
2018-10-23,'000612,焦作万方,3.95,3.99,3.88,3.9,3.87,0.08,2.0672,4130415,16335750.63
2018-10-22,'000612,焦作万方,3.87,3.9,3.69,3.69,3.69,0.18,4.878,3144298,12095532.26
2018-10-19,'000612,焦作万方,3.69,3.7,3.48,3.56,3.64,0.05,1.3736,2006309,7253623.96
2018-10-18,'000612,焦作万方,3.64,3.78,3.61,3.78,3.78,-0.14,-3.7037,1528340,5592940.4
2018-10-17,'000612,焦作万方,3.78,3.84,3.72,3.79,3.79,-0.01,-0.2639,1691126,6403739.75
2018-10-16,'000612,焦作万方,3.79,3.9,3.71,3.83,3.83,-0.04,-1.0444,1626682,6176895.4
2018-10-15,'000612,焦作万方,3.83,3.94,3.75,3.82,3.83,0.0,0.0,2215755,8489959.49
2018-10-12,'000612,焦作万方,3.83,3.99,3.65,3.99,4.01,-0.18,-4.4888,3919678,15007117.45
2018-10-11,'000612,焦作万方,4.01,4.37,4.01,4.37,4.45,-0.44,-9.8876,4660615,19236882.26
2018-10-10,'000612,焦作万方,4.45,4.52,4.41,4.48,4.47,-0.02,-0.4474,1610151,7188916.66
2018-10-09,'000612,焦作万方,4.47,4.52,4.44,4.45,4.45,0.02,0.4494,1551045,6945741.93
2018-10-08,'000612,焦作万方,4.45,4.58,4.45,4.53,4.54,-0.09,-1.9824,2034195,9188530.06
2018-09-28,'000612,焦作万方,4.54,4.62,4.51,4.51,4.51,0.03,0.6652,1511600,6878773.0
2018-09-27,'000612,焦作万方,4.51,4.6,4.49,4.6,4.59,-0.08,-1.7429,1633700,7442405.0
2018-09-26,'000612,焦作万方,4.59,4.64,4.58,4.64,4.6,-0.01,-0.2174,1846840,8516730.4
