日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000613,大东海A,6.12,6.14,6.0,6.04,5.95,0.17,2.8571,5806902,35260643.84
2019-06-28,'000613,大东海A,5.95,6.2,5.78,5.98,6.0,-0.05,-0.8333,5515414,32880307.2
2019-06-27,'000613,大东海A,6.0,6.06,5.99,6.0,6.0,0.0,0.0,2618969,15756639.72
2019-06-26,'000613,大东海A,6.0,6.09,5.97,6.03,6.05,-0.05,-0.8264,3094270,18657926.61
2019-06-25,'000613,大东海A,6.05,6.1,5.96,6.1,6.05,0.0,0.0,3921200,23667215.0
2019-06-24,'000613,大东海A,6.05,6.1,6.01,6.04,6.06,-0.01,-0.165,4147401,25078764.06
2019-06-21,'000613,大东海A,6.06,6.16,5.98,6.02,5.98,0.08,1.3378,7537915,45749806.62
2019-06-20,'000613,大东海A,5.98,6.08,5.81,5.88,5.88,0.1,1.7007,6962184,41407843.02
2019-06-19,'000613,大东海A,5.88,5.96,5.86,5.89,5.87,0.01,0.1704,4006314,23638561.04
2019-06-18,'000613,大东海A,5.87,5.88,5.77,5.82,5.8,0.07,1.2069,3170400,18504961.0
2019-06-17,'000613,大东海A,5.8,5.89,5.74,5.75,5.74,0.06,1.0453,2704800,15691439.0
2019-06-14,'000613,大东海A,5.74,5.92,5.71,5.86,5.86,-0.12,-2.0478,4251001,24854731.85
2019-06-13,'000613,大东海A,5.86,5.88,5.75,5.82,5.86,0.0,0.0,4393600,25574747.0
2019-06-12,'000613,大东海A,5.86,5.97,5.8,5.84,5.85,0.01,0.1709,6253401,36799291.82
2019-06-11,'000613,大东海A,5.85,5.85,5.65,5.66,5.67,0.18,3.1746,4749100,27479746.0
2019-06-10,'000613,大东海A,5.67,5.73,5.61,5.67,5.68,-0.01,-0.1761,3038100,17189611.95
2019-06-06,'000613,大东海A,5.68,5.82,5.59,5.82,5.83,-0.15,-2.5729,4334681,24666867.52
2019-06-05,'000613,大东海A,5.83,5.95,5.78,5.85,5.8,0.03,0.5172,4113600,24103702.6
2019-06-04,'000613,大东海A,5.8,5.93,5.67,5.9,6.13,-0.33,-5.3834,8183108,47540174.12
2019-06-03,'000613,大东海A,6.13,6.44,6.13,6.4,6.05,0.08,1.3223,10448081,65649133.92
2019-05-31,'000613,大东海A,6.05,6.11,6.03,6.08,6.06,-0.01,-0.165,2902054,17606599.78
2019-05-30,'000613,大东海A,6.06,6.2,6.01,6.06,6.14,-0.08,-1.3029,4360400,26508502.9
2019-05-29,'000613,大东海A,6.14,6.18,6.05,6.1,6.14,0.0,0.0,4382958,26835732.38
2019-05-28,'000613,大东海A,6.14,6.27,6.1,6.18,6.22,-0.08,-1.2862,7340700,45520136.0
2019-05-27,'000613,大东海A,6.22,6.25,5.96,6.08,6.12,0.1,1.634,7276779,44602217.5
2019-05-24,'000613,大东海A,6.12,6.29,6.01,6.28,6.41,-0.29,-4.5242,9418515,57657645.4
2019-05-23,'000613,大东海A,6.41,6.72,6.3,6.65,6.6,-0.19,-2.8788,18125308,118051819.54
2019-05-22,'000613,大东海A,6.6,6.6,5.86,6.05,6.0,0.6,10.0,15313366,97085859.38
2019-05-21,'000613,大东海A,6.0,6.04,5.87,5.92,5.91,0.09,1.5228,5662476,33912040.0
2019-05-20,'000613,大东海A,5.91,6.12,5.79,6.12,6.15,-0.24,-3.9024,6319364,37225009.78
2019-05-17,'000613,大东海A,6.15,6.44,6.1,6.44,6.39,-0.24,-3.7559,7364700,46438627.0
2019-05-16,'000613,大东海A,6.39,6.43,6.31,6.37,6.37,0.02,0.314,4519100,28808847.0
2019-05-15,'000613,大东海A,6.37,6.42,6.26,6.26,6.22,0.15,2.4116,5062618,32102620.04
2019-05-14,'000613,大东海A,6.22,6.35,6.09,6.16,6.28,-0.06,-0.9554,5055583,31512874.89
2019-05-13,'000613,大东海A,6.28,6.45,6.27,6.36,6.26,0.02,0.3195,6307153,40091313.09
2019-05-10,'000613,大东海A,6.26,6.29,6.05,6.15,6.12,0.14,2.2876,6295400,39156712.0
2019-05-09,'000613,大东海A,6.12,6.24,6.1,6.16,6.21,-0.09,-1.4493,4073200,25156311.0
2019-05-08,'000613,大东海A,6.21,6.28,5.93,6.08,6.17,0.04,0.6483,5426881,33451976.66
2019-05-07,'000613,大东海A,6.17,6.4,6.05,6.06,6.03,0.14,2.3217,5542300,34201537.58
2019-05-06,'000613,大东海A,6.03,6.5,6.0,6.5,6.66,-0.63,-9.4595,8461243,52853841.27
2019-04-30,'000613,大东海A,6.66,6.72,6.42,6.42,6.47,0.19,2.9366,4692300,31063024.0
2019-04-29,'000613,大东海A,6.47,6.96,6.4,6.95,6.96,-0.49,-7.0402,7955000,52778686.0
2019-04-26,'000613,大东海A,6.96,7.19,6.91,7.19,7.19,-0.23,-3.1989,7904511,55283097.56
2019-04-25,'000613,大东海A,7.19,7.68,7.08,7.68,7.71,-0.52,-6.7445,8395272,62747072.84
2019-04-24,'000613,大东海A,7.71,7.73,7.54,7.66,7.61,0.1,1.3141,6821411,52100653.13
2019-04-23,'000613,大东海A,7.61,7.85,7.53,7.85,7.88,-0.27,-3.4264,9352719,71719716.04
2019-04-22,'000613,大东海A,7.88,7.92,7.72,7.75,7.75,0.13,1.6774,9717053,75936357.39
2019-04-19,'000613,大东海A,7.75,7.76,7.63,7.66,7.71,0.04,0.5188,7824258,60299902.6
2019-04-18,'000613,大东海A,7.71,7.9,7.69,7.89,7.91,-0.2,-2.5284,12768000,99394429.0
2019-04-17,'000613,大东海A,7.91,7.95,7.82,7.95,7.91,0.0,0.0,10572600,83521568.0
2019-04-16,'000613,大东海A,7.91,7.99,7.72,7.99,8.11,-0.2,-2.4661,17220500,135298288.0
2019-04-15,'000613,大东海A,8.11,8.47,8.04,8.24,8.47,-0.36,-4.2503,27393188,225159221.84
2019-04-12,'000613,大东海A,8.47,8.66,8.18,8.2,8.33,0.14,1.6807,30995988,262338363.58
2019-04-11,'000613,大东海A,8.33,8.69,8.06,8.25,8.34,-0.01,-0.1199,32216481,268016833.71
2019-04-10,'000613,大东海A,8.34,8.44,7.85,8.0,8.08,0.26,3.2178,29055456,239164586.36
2019-04-09,'000613,大东海A,8.08,8.14,7.71,7.73,7.78,0.3,3.856,22473180,179319750.08
2019-04-08,'000613,大东海A,7.78,8.04,7.68,7.82,7.84,-0.06,-0.7653,15791905,124137576.95
2019-04-04,'000613,大东海A,7.84,7.88,7.71,7.83,7.82,0.02,0.2558,14385256,111944087.36
2019-04-03,'000613,大东海A,7.82,7.92,7.66,7.72,7.74,0.08,1.0336,11368596,88631470.03
2019-04-02,'000613,大东海A,7.74,7.88,7.7,7.79,7.74,0.0,0.0,13657725,106203549.36
2019-04-01,'000613,大东海A,7.74,7.83,7.55,7.56,7.56,0.18,2.381,15626406,120327804.33
2019-03-29,'000613,大东海A,7.56,7.59,7.32,7.4,7.45,0.11,1.4765,13630550,102126617.2
2019-03-28,'000613,大东海A,7.45,7.91,7.4,7.91,8.02,-0.57,-7.1072,17588567,134778145.94
2019-03-27,'000613,大东海A,8.02,8.33,7.76,8.25,8.17,-0.15,-1.836,17009787,135029674.94
2019-03-26,'000613,大东海A,8.17,8.97,8.08,8.85,8.68,-0.51,-5.8756,23076001,193823753.8
2019-03-25,'000613,大东海A,8.68,8.89,8.3,8.38,8.61,0.07,0.813,28778531,244110878.72
2019-03-22,'000613,大东海A,8.61,8.9,8.1,8.11,8.1,0.51,6.2963,34167040,289101530.69
2019-03-21,'000613,大东海A,8.1,8.28,8.05,8.12,8.2,-0.1,-1.2195,18462037,150294317.34
2019-03-20,'000613,大东海A,8.2,8.34,7.82,7.85,7.94,0.26,3.2746,27791573,225518841.75
2019-03-19,'000613,大东海A,7.94,7.98,7.7,7.87,7.9,0.04,0.5063,17724561,138988512.11
2019-03-18,'000613,大东海A,7.9,8.02,7.65,7.95,7.78,0.12,1.5424,22890429,179474758.82
2019-03-15,'000613,大东海A,7.78,7.85,7.31,7.39,7.29,0.49,6.7215,24990063,190426768.83
2019-03-14,'000613,大东海A,7.29,7.57,7.0,7.46,7.49,-0.2,-2.6702,12108401,88512520.32
2019-03-13,'000613,大东海A,7.49,7.73,7.39,7.61,7.7,-0.21,-2.7273,17210299,130724776.36
2019-03-12,'000613,大东海A,7.7,7.95,7.5,7.56,7.55,0.15,1.9868,26264003,202649814.22
2019-03-11,'000613,大东海A,7.55,7.56,7.34,7.35,7.37,0.18,2.4423,14612128,109157680.08
2019-03-08,'000613,大东海A,7.37,7.75,7.23,7.45,7.56,-0.19,-2.5132,22292521,166336278.99
2019-03-07,'000613,大东海A,7.56,7.71,7.31,7.4,7.4,0.16,2.1622,20772601,156202948.63
2019-03-06,'000613,大东海A,7.4,7.42,7.18,7.33,7.37,0.03,0.4071,17853717,130820879.24
2019-03-05,'000613,大东海A,7.37,7.47,7.14,7.18,7.18,0.19,2.6462,19375148,141023158.0
2019-03-04,'000613,大东海A,7.18,7.25,7.09,7.11,7.11,0.07,0.9845,15328341,109972226.07
2019-03-01,'000613,大东海A,7.11,7.19,7.02,7.15,7.13,-0.02,-0.2805,8624288,61170729.27
2019-02-28,'000613,大东海A,7.13,7.26,7.06,7.16,7.09,0.04,0.5642,8071127,57553673.55
2019-02-27,'000613,大东海A,7.09,7.28,7.01,7.13,7.28,-0.19,-2.6099,13778300,98349018.75
2019-02-26,'000613,大东海A,7.28,7.5,6.97,7.1,7.08,0.2,2.8249,21887187,157783037.61
2019-02-25,'000613,大东海A,7.08,7.11,6.82,6.9,6.87,0.21,3.0568,17089293,119802005.93
2019-02-22,'000613,大东海A,6.87,6.9,6.75,6.84,6.84,0.03,0.4386,8466234,57820744.9
2019-02-21,'000613,大东海A,6.84,7.0,6.8,6.93,7.02,-0.18,-2.5641,11961040,82408287.4
2019-02-20,'000613,大东海A,7.02,7.18,6.7,6.79,7.04,-0.02,-0.2841,20974110,144774922.33
2019-02-19,'000613,大东海A,7.04,7.15,6.5,6.51,6.5,0.54,8.3077,26860131,187901652.87
2019-02-18,'000613,大东海A,6.5,6.5,6.35,6.38,6.34,0.16,2.5237,8398028,54068663.43
2019-02-15,'000613,大东海A,6.34,6.45,6.25,6.37,6.36,-0.02,-0.3145,8006081,50794324.78
2019-02-14,'000613,大东海A,6.36,6.46,6.32,6.35,6.32,0.04,0.6329,7519581,47976533.35
2019-02-13,'000613,大东海A,6.32,6.35,6.23,6.3,6.28,0.04,0.6369,7260200,45704496.0
2019-02-12,'000613,大东海A,6.28,6.4,6.16,6.19,6.18,0.1,1.6181,7396100,46641261.88
2019-02-11,'000613,大东海A,6.18,6.2,6.06,6.14,6.05,0.13,2.1488,5241882,32242534.52
2019-02-01,'000613,大东海A,6.05,6.07,5.91,5.91,5.89,0.16,2.7165,6313901,37935656.02
2019-01-31,'000613,大东海A,5.89,6.53,5.89,6.42,6.54,-0.65,-9.9388,14092933,85583288.88
2019-01-30,'000613,大东海A,6.54,7.1,6.44,7.03,7.09,-0.55,-7.7574,9167630,62114973.8
2019-01-29,'000613,大东海A,7.09,7.31,6.99,7.0,7.43,-0.34,-4.576,9664451,68626405.1
2019-01-28,'000613,大东海A,7.43,7.58,7.3,7.42,7.3,0.13,1.7808,9902100,73842763.1
2019-01-25,'000613,大东海A,7.3,7.39,7.28,7.33,7.35,-0.05,-0.6803,4317600,31634191.0
2019-01-24,'000613,大东海A,7.35,7.48,7.35,7.42,7.32,0.03,0.4098,5328000,39520327.0
2019-01-23,'000613,大东海A,7.32,7.42,7.31,7.36,7.38,-0.06,-0.813,3570650,26207221.49
2019-01-22,'000613,大东海A,7.38,7.55,7.38,7.47,7.5,-0.12,-1.6,5313201,39581271.39
2019-01-21,'000613,大东海A,7.5,7.53,7.41,7.47,7.43,0.07,0.9421,6765800,50556088.0
2019-01-18,'000613,大东海A,7.43,7.48,7.37,7.37,7.41,0.02,0.2699,3952701,29384347.42
2019-01-17,'000613,大东海A,7.41,7.52,7.41,7.44,7.49,-0.08,-1.0681,4933800,36776815.0
2019-01-16,'000613,大东海A,7.49,7.59,7.41,7.49,7.51,-0.02,-0.2663,6337900,47378078.0
2019-01-15,'000613,大东海A,7.51,7.59,7.31,7.41,7.45,0.06,0.8054,9498321,71015397.49
2019-01-14,'000613,大东海A,7.45,7.55,7.43,7.5,7.49,-0.04,-0.534,4302900,32214611.0
2019-01-11,'000613,大东海A,7.49,7.52,7.44,7.45,7.46,0.03,0.4021,4312738,32241841.62
2019-01-10,'000613,大东海A,7.46,7.57,7.42,7.5,7.53,-0.07,-0.9296,5960600,44684492.0
2019-01-09,'000613,大东海A,7.53,7.64,7.51,7.53,7.54,-0.01,-0.1326,6663796,50476049.73
2019-01-08,'000613,大东海A,7.54,7.68,7.51,7.6,7.69,-0.15,-1.9506,8179933,61819268.82
2019-01-07,'000613,大东海A,7.69,7.85,7.59,7.7,7.7,-0.01,-0.1299,14588700,112390070.0
2019-01-04,'000613,大东海A,7.7,7.85,7.25,7.29,7.42,0.28,3.7736,17802676,136001679.09
2019-01-03,'000613,大东海A,7.42,7.7,7.32,7.4,7.49,-0.07,-0.9346,10849100,81198183.0
2019-01-02,'000613,大东海A,7.49,7.78,7.49,7.62,7.47,0.02,0.2677,11827533,90279733.41
2018-12-28,'000613,大东海A,7.47,7.68,7.21,7.3,7.25,0.22,3.0345,12516100,93593176.99
2018-12-27,'000613,大东海A,7.25,7.57,7.24,7.54,7.44,-0.19,-2.5538,6159300,45665632.0
2018-12-26,'000613,大东海A,7.44,7.54,7.35,7.46,7.46,-0.02,-0.2681,5898565,43950052.7
2018-12-25,'000613,大东海A,7.46,7.55,7.27,7.55,7.62,-0.16,-2.0997,7420900,54874327.0
2018-12-24,'000613,大东海A,7.62,7.7,7.56,7.65,7.6,0.02,0.2632,4974900,37920788.0
2018-12-21,'000613,大东海A,7.6,7.74,7.52,7.61,7.61,-0.01,-0.1314,5951517,45373021.71
2018-12-20,'000613,大东海A,7.61,7.61,7.45,7.56,7.55,0.06,0.7947,6249201,47176550.55
2018-12-19,'000613,大东海A,7.55,7.74,7.53,7.7,7.7,-0.15,-1.9481,7229033,55032628.12
2018-12-18,'000613,大东海A,7.7,7.96,7.57,7.78,7.84,-0.14,-1.7857,9372675,72878053.84
2018-12-17,'000613,大东海A,7.84,7.88,7.52,7.79,7.88,-0.04,-0.5076,9337843,71790148.32
2018-12-14,'000613,大东海A,7.88,8.08,7.88,7.93,7.89,-0.01,-0.1267,13159401,104961795.0
2018-12-13,'000613,大东海A,7.89,7.99,7.8,7.95,7.94,-0.05,-0.6297,9228900,72977940.87
2018-12-12,'000613,大东海A,7.94,8.05,7.9,7.97,7.98,-0.04,-0.5013,8271033,65946682.65
2018-12-11,'000613,大东海A,7.98,8.09,7.85,8.06,7.97,0.01,0.1255,10525232,83988822.81
2018-12-10,'000613,大东海A,7.97,8.07,7.81,7.9,8.02,-0.05,-0.6234,11751400,93382781.79
2018-12-07,'000613,大东海A,8.02,8.16,7.9,7.99,7.9,0.12,1.519,19819199,159606067.98
2018-12-06,'000613,大东海A,7.9,8.19,7.74,7.87,7.84,0.06,0.7653,24370443,193851076.42
2018-12-05,'000613,大东海A,7.84,8.37,7.56,7.6,7.8,0.04,0.5128,26526426,212088274.64
2018-12-04,'000613,大东海A,7.8,7.86,7.66,7.7,7.75,0.05,0.6452,9471928,73562448.38
2018-12-03,'000613,大东海A,7.75,7.88,7.6,7.74,7.6,0.15,1.9737,13038531,100870262.39
2018-11-30,'000613,大东海A,7.6,7.72,7.46,7.51,7.57,0.03,0.3963,10043531,76405203.5
2018-11-29,'000613,大东海A,7.57,8.0,7.55,7.9,8.14,-0.57,-7.0025,17555900,137401558.0
2018-11-28,'000613,大东海A,8.14,8.25,7.2,7.5,7.5,0.64,8.5333,29532932,235903452.77
2018-11-27,'000613,大东海A,7.5,7.62,7.37,7.56,7.52,-0.02,-0.266,6299100,47115897.0
2018-11-26,'000613,大东海A,7.52,7.65,7.42,7.42,7.66,-0.14,-1.8277,7431100,55931713.0
2018-11-23,'000613,大东海A,7.66,8.1,7.6,7.83,7.94,-0.28,-3.5264,12825891,101159228.79
2018-11-22,'000613,大东海A,7.94,8.01,7.8,7.96,8.03,-0.09,-1.1208,9987664,78890715.84
2018-11-21,'000613,大东海A,8.03,8.2,7.68,7.7,7.87,0.16,2.033,14817566,118202377.32
2018-11-20,'000613,大东海A,7.87,8.24,7.81,8.13,8.25,-0.38,-4.6061,14529503,116294442.86
2018-11-19,'000613,大东海A,8.25,8.39,7.92,8.0,8.0,0.25,3.125,21639358,175733481.56
2018-11-16,'000613,大东海A,8.0,8.1,7.76,7.95,7.95,0.05,0.6289,17220191,136628316.26
2018-11-15,'000613,大东海A,7.95,8.24,7.91,8.15,7.9,0.05,0.6329,20762622,166983338.89
2018-11-14,'000613,大东海A,7.9,8.3,7.78,7.83,7.84,0.06,0.7653,21133892,168684852.1
2018-11-13,'000613,大东海A,7.84,7.85,7.46,7.51,7.65,0.19,2.4837,15506780,119936751.47
2018-11-12,'000613,大东海A,7.65,7.66,7.48,7.55,7.57,0.08,1.0568,8620605,65588515.65
2018-11-09,'000613,大东海A,7.57,7.65,7.47,7.59,7.62,-0.05,-0.6562,4119000,31184608.0
2018-11-08,'000613,大东海A,7.62,7.75,7.59,7.65,7.62,0.0,0.0,6607000,50579018.0
2018-11-07,'000613,大东海A,7.62,7.85,7.6,7.79,7.77,-0.15,-1.9305,8646591,66560154.69
2018-11-06,'000613,大东海A,7.77,7.83,7.59,7.83,7.86,-0.09,-1.145,8009601,61866988.75
2018-11-05,'000613,大东海A,7.86,8.05,7.72,7.8,7.83,0.03,0.3831,13365007,105415791.19
2018-11-02,'000613,大东海A,7.83,7.85,7.64,7.69,7.67,0.16,2.086,13335190,103412186.83
2018-11-01,'000613,大东海A,7.67,7.72,7.56,7.56,7.58,0.09,1.1873,10277855,78508408.5
2018-10-31,'000613,大东海A,7.58,7.65,7.52,7.52,7.52,0.06,0.7979,8028115,60895637.7
2018-10-30,'000613,大东海A,7.52,7.64,7.2,7.53,7.54,-0.02,-0.2653,7918825,59093840.26
2018-10-29,'000613,大东海A,7.54,7.76,7.43,7.46,7.55,-0.01,-0.1325,7082714,53931193.83
2018-10-26,'000613,大东海A,7.55,7.8,7.48,7.65,7.55,0.0,0.0,6720800,51314678.0
2018-10-25,'000613,大东海A,7.55,7.6,7.19,7.2,7.65,-0.1,-1.3072,7216990,53816266.2
2018-10-24,'000613,大东海A,7.65,7.87,7.62,7.76,7.9,-0.25,-3.1646,9465700,73076518.0
2018-10-23,'000613,大东海A,7.9,8.25,7.63,7.92,7.85,0.05,0.6369,17004599,134555698.33
2018-10-22,'000613,大东海A,7.85,7.98,7.57,7.57,7.53,0.32,4.2497,14209625,110663644.71
2018-10-19,'000613,大东海A,7.53,7.61,7.02,7.11,7.48,0.05,0.6684,11213420,82933002.4
2018-10-18,'000613,大东海A,7.48,7.82,7.34,7.7,8.16,-0.68,-8.3333,17300858,130178269.04
2018-10-17,'000613,大东海A,8.16,8.77,8.1,8.5,8.07,0.09,1.1152,26926219,226780680.9
2018-10-16,'000613,大东海A,8.07,8.21,7.76,8.06,8.06,0.01,0.1241,17525791,140918278.64
2018-10-15,'000613,大东海A,8.06,8.42,7.6,7.67,7.67,0.39,5.0847,21251532,170238607.43
2018-10-12,'000613,大东海A,7.67,7.9,7.15,7.32,7.22,0.45,6.2327,14522630,108864756.52
2018-10-11,'000613,大东海A,7.22,7.65,7.15,7.47,7.91,-0.69,-8.7231,11593760,85653461.68
2018-10-10,'000613,大东海A,7.91,8.14,7.66,7.72,7.74,0.17,2.1964,10510091,82959310.99
2018-10-09,'000613,大东海A,7.74,7.79,7.58,7.6,7.6,0.14,1.8421,6657500,51119160.0
2018-10-08,'000613,大东海A,7.6,7.98,7.56,7.98,8.19,-0.59,-7.2039,10446781,80699677.96
2018-09-28,'000613,大东海A,8.19,8.3,8.05,8.16,8.09,0.1,1.2361,9768633,79936118.37
