日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000615,京汉股份,5.54,5.55,5.44,5.45,5.39,0.15,2.7829,7982759,43963516.04
2019-06-28,'000615,京汉股份,5.39,5.48,5.36,5.48,5.46,-0.07,-1.2821,5888902,31803479.8
2019-06-27,'000615,京汉股份,5.46,5.54,5.46,5.5,5.48,-0.02,-0.365,4488290,24649949.38
2019-06-26,'000615,京汉股份,5.48,5.53,5.45,5.45,5.5,-0.02,-0.3636,2827677,15537881.29
2019-06-25,'000615,京汉股份,5.5,5.58,5.46,5.58,5.58,-0.08,-1.4337,5505638,30274962.52
2019-06-24,'000615,京汉股份,5.58,5.65,5.55,5.6,5.56,0.02,0.3597,6024816,33651797.91
2019-06-21,'000615,京汉股份,5.56,5.64,5.52,5.53,5.51,0.05,0.9074,7441857,41572121.01
2019-06-20,'000615,京汉股份,5.51,5.55,5.43,5.43,5.43,0.08,1.4733,5862543,32241083.43
2019-06-19,'000615,京汉股份,5.43,5.52,5.43,5.5,5.4,0.03,0.5556,5647137,30914383.02
2019-06-18,'000615,京汉股份,5.4,5.47,5.38,5.43,5.45,-0.05,-0.9174,4741600,25700226.29
2019-06-17,'000615,京汉股份,5.45,5.52,5.41,5.46,5.48,-0.03,-0.5474,4112258,22434387.68
2019-06-14,'000615,京汉股份,5.48,5.7,5.47,5.66,5.64,-0.16,-2.8369,7483102,41650932.26
2019-06-13,'000615,京汉股份,5.64,5.68,5.58,5.6,5.62,0.02,0.3559,5825836,32852153.08
2019-06-12,'000615,京汉股份,5.62,5.77,5.61,5.68,5.68,-0.06,-1.0563,7892800,44817057.0
2019-06-11,'000615,京汉股份,5.68,5.68,5.51,5.51,5.51,0.17,3.0853,8475099,47711097.22
2019-06-10,'000615,京汉股份,5.51,5.66,5.42,5.47,5.47,0.04,0.7313,6192341,34266878.5
2019-06-06,'000615,京汉股份,5.47,5.62,5.41,5.48,5.48,-0.01,-0.1825,6346736,34989353.82
2019-06-05,'000615,京汉股份,5.48,5.62,5.44,5.48,5.42,0.06,1.107,7269634,40027413.0
2019-06-04,'000615,京汉股份,5.42,5.63,5.4,5.57,5.61,-0.19,-3.3868,8280400,45401337.98
2019-06-03,'000615,京汉股份,5.61,5.85,5.55,5.62,5.58,0.03,0.5376,10852837,61754661.68
2019-05-31,'000615,京汉股份,5.58,5.7,5.56,5.69,5.69,-0.11,-1.9332,8669271,48707364.92
2019-05-30,'000615,京汉股份,5.69,5.78,5.48,5.61,5.62,0.07,1.2456,14143875,79889894.56
2019-05-29,'000615,京汉股份,5.62,5.78,5.57,5.62,5.6,0.02,0.3571,10271847,58439473.34
2019-05-28,'000615,京汉股份,5.6,5.73,5.55,5.64,5.62,-0.02,-0.3559,7445222,42011629.55
2019-05-27,'000615,京汉股份,5.62,5.65,5.41,5.41,5.41,0.21,3.8817,6983364,38743854.06
2019-05-24,'000615,京汉股份,5.41,5.51,5.37,5.43,5.43,-0.02,-0.3683,4017375,21851016.25
2019-05-23,'000615,京汉股份,5.43,5.59,5.43,5.57,5.58,-0.15,-2.6882,6035918,33170460.04
2019-05-22,'000615,京汉股份,5.58,5.76,5.52,5.76,5.73,-0.15,-2.6178,7880031,44334523.46
2019-05-21,'000615,京汉股份,5.73,5.73,5.61,5.62,5.64,0.09,1.5957,7939200,45163826.98
2019-05-20,'000615,京汉股份,5.64,5.67,5.35,5.53,5.54,0.1,1.8051,8538059,47273188.82
2019-05-17,'000615,京汉股份,5.54,5.83,5.48,5.83,5.84,-0.3,-5.137,10561300,59596194.0
2019-05-16,'000615,京汉股份,5.84,5.86,5.7,5.76,5.77,0.07,1.2132,9720803,56266004.38
2019-05-15,'000615,京汉股份,5.77,5.81,5.7,5.75,5.68,0.09,1.5845,7440400,42837102.0
2019-05-14,'000615,京汉股份,5.68,5.78,5.65,5.72,5.86,-0.18,-3.0717,8988300,51423792.0
2019-05-13,'000615,京汉股份,5.86,5.99,5.76,5.8,5.77,0.09,1.5598,17012000,99841991.04
2019-05-10,'000615,京汉股份,5.77,5.87,5.52,5.57,5.51,0.26,4.7187,17055395,97135049.92
2019-05-09,'000615,京汉股份,5.51,5.61,5.51,5.57,5.59,-0.08,-1.4311,6976600,38819604.0
2019-05-08,'000615,京汉股份,5.59,5.67,5.43,5.5,5.6,-0.01,-0.1786,8737115,48595375.46
2019-05-07,'000615,京汉股份,5.6,5.69,5.52,5.57,5.5,0.1,1.8182,10127836,56675905.65
2019-05-06,'000615,京汉股份,5.5,5.95,5.45,5.8,6.0,-0.5,-8.3333,17445438,98786003.66
2019-04-30,'000615,京汉股份,6.0,6.08,5.86,5.86,5.84,0.16,2.7397,10473986,62823244.84
2019-04-29,'000615,京汉股份,5.84,6.23,5.83,6.15,6.15,-0.31,-5.0407,13473386,80814808.26
2019-04-26,'000615,京汉股份,6.15,6.29,6.09,6.17,6.22,-0.07,-1.1254,11305100,70048318.52
2019-04-25,'000615,京汉股份,6.22,6.72,6.18,6.72,6.76,-0.54,-7.9882,17614637,113764557.61
2019-04-24,'000615,京汉股份,6.76,6.8,6.51,6.74,6.74,0.02,0.2967,13937302,93102510.34
2019-04-23,'000615,京汉股份,6.74,6.99,6.7,6.88,6.93,-0.19,-2.7417,13480900,92284152.0
2019-04-22,'000615,京汉股份,6.93,7.12,6.91,7.02,7.0,-0.07,-1.0,12427701,86726877.98
2019-04-19,'000615,京汉股份,7.0,7.13,6.94,7.08,7.08,-0.08,-1.1299,13518669,94792218.39
2019-04-18,'000615,京汉股份,7.08,7.27,7.03,7.25,7.32,-0.24,-3.2787,21357200,152061143.0
2019-04-17,'000615,京汉股份,7.32,7.6,7.29,7.45,7.4,-0.08,-1.0811,26379766,195883203.78
2019-04-16,'000615,京汉股份,7.4,7.4,7.08,7.09,7.16,0.24,3.352,20655552,150443369.71
2019-04-15,'000615,京汉股份,7.16,7.42,7.11,7.15,7.07,0.09,1.273,20698981,150421120.2
2019-04-12,'000615,京汉股份,7.07,7.16,7.01,7.03,7.03,0.04,0.569,11662646,82499479.01
2019-04-11,'000615,京汉股份,7.03,7.29,7.03,7.29,7.32,-0.29,-3.9617,18640430,133196711.63
2019-04-10,'000615,京汉股份,7.32,7.44,7.0,7.11,7.19,0.13,1.8081,28030483,203625694.64
2019-04-09,'000615,京汉股份,7.19,7.25,7.07,7.07,7.27,-0.08,-1.1004,24254004,173314955.32
2019-04-08,'000615,京汉股份,7.27,7.51,7.18,7.35,7.52,-0.25,-3.3245,31351596,229740249.24
2019-04-04,'000615,京汉股份,7.52,7.75,7.39,7.75,7.63,-0.11,-1.4417,38536301,291261111.27
2019-04-03,'000615,京汉股份,7.63,7.81,7.25,7.38,7.58,0.05,0.6596,58774208,440312129.66
2019-04-02,'000615,京汉股份,7.58,7.93,7.51,7.59,7.69,-0.11,-1.4304,67768182,522641644.43
2019-04-01,'000615,京汉股份,7.69,8.49,7.61,8.0,7.72,-0.03,-0.3886,111575968,897511895.18
2019-03-29,'000615,京汉股份,7.72,7.72,6.7,6.97,7.02,0.7,9.9715,83705997,599432099.56
2019-03-28,'000615,京汉股份,7.02,7.02,6.38,6.41,6.38,0.64,10.0313,47305213,325327710.49
2019-03-27,'000615,京汉股份,6.38,6.62,6.26,6.59,6.51,-0.13,-1.9969,28675801,183563778.4
2019-03-26,'000615,京汉股份,6.51,6.88,6.46,6.82,6.9,-0.39,-5.6522,42605093,283503432.44
2019-03-25,'000615,京汉股份,6.9,7.3,6.8,6.85,6.92,-0.02,-0.289,80871339,566772384.57
2019-03-22,'000615,京汉股份,6.92,6.92,6.29,6.35,6.29,0.63,10.0159,65956095,445740965.12
2019-03-21,'000615,京汉股份,6.29,6.53,6.1,6.14,6.14,0.15,2.443,38704496,244529657.91
2019-03-20,'000615,京汉股份,6.14,6.17,5.95,6.17,6.17,-0.03,-0.4862,23353400,142345463.68
2019-03-19,'000615,京汉股份,6.17,6.28,6.06,6.16,6.17,0.0,0.0,26893724,165473341.7
2019-03-18,'000615,京汉股份,6.17,6.17,5.95,6.06,6.01,0.16,2.6622,24595659,149145175.63
2019-03-15,'000615,京汉股份,6.01,6.1,5.84,5.86,5.82,0.19,3.2646,22064902,131869789.98
2019-03-14,'000615,京汉股份,5.82,6.06,5.72,5.97,6.04,-0.22,-3.6424,18867964,110993396.37
2019-03-13,'000615,京汉股份,6.04,6.16,5.91,6.09,5.96,0.08,1.3423,28917202,174781950.19
