日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000616,海航投资,3.03,3.05,3.0,3.01,2.97,0.06,2.0202,7516300,22780473.0
2019-06-28,'000616,海航投资,2.97,3.03,2.96,3.02,3.03,-0.06,-1.9802,8062431,24079912.76
2019-06-27,'000616,海航投资,3.03,3.06,3.02,3.03,3.03,0.0,0.0,5238591,15903655.73
2019-06-26,'000616,海航投资,3.03,3.05,3.0,3.03,3.03,0.0,0.0,4192655,12706807.65
2019-06-25,'000616,海航投资,3.03,3.07,3.01,3.07,3.06,-0.03,-0.9804,6001731,18214780.42
2019-06-24,'000616,海航投资,3.06,3.11,3.04,3.1,3.1,-0.04,-1.2903,7207700,22125036.0
2019-06-21,'000616,海航投资,3.1,3.12,3.07,3.1,3.07,0.03,0.9772,10833450,33564221.95
2019-06-20,'000616,海航投资,3.07,3.09,2.98,3.03,3.04,0.03,0.9868,11415028,34780774.19
2019-06-19,'000616,海航投资,3.04,3.07,3.01,3.02,2.99,0.05,1.6722,7325449,22208807.51
2019-06-18,'000616,海航投资,2.99,3.05,2.98,3.05,3.05,-0.06,-1.9672,4925100,14845270.0
2019-06-17,'000616,海航投资,3.05,3.05,3.0,3.0,3.0,0.05,1.6667,4232023,12797630.25
2019-06-14,'000616,海航投资,3.0,3.07,3.0,3.06,3.05,-0.05,-1.6393,6003534,18247065.36
2019-06-13,'000616,海航投资,3.05,3.07,3.02,3.05,3.05,0.0,0.0,5280100,16098305.0
2019-06-12,'000616,海航投资,3.05,3.09,3.02,3.04,3.03,0.02,0.6601,6426692,19639702.52
2019-06-11,'000616,海航投资,3.03,3.04,2.93,2.95,2.93,0.1,3.413,7859793,23643963.58
2019-06-10,'000616,海航投资,2.93,2.97,2.92,2.92,2.91,0.02,0.6873,3821794,11226672.4
2019-06-06,'000616,海航投资,2.91,3.05,2.86,3.03,3.04,-0.13,-4.2763,8253431,24476930.54
2019-06-05,'000616,海航投资,3.04,3.05,3.02,3.04,3.01,0.03,0.9967,4926601,14928546.02
2019-06-04,'000616,海航投资,3.01,3.06,2.99,3.05,3.05,-0.04,-1.3115,6730348,20306218.9
2019-06-03,'000616,海航投资,3.05,3.1,3.04,3.07,3.07,-0.02,-0.6515,7337900,22492403.0
2019-05-31,'000616,海航投资,3.07,3.12,3.06,3.08,3.11,-0.04,-1.2862,9256668,28545309.76
2019-05-30,'000616,海航投资,3.11,3.25,3.02,3.07,3.07,0.04,1.3029,17043400,53188413.39
2019-05-29,'000616,海航投资,3.07,3.1,3.05,3.08,3.07,0.0,0.0,6901390,21217121.2
2019-05-28,'000616,海航投资,3.07,3.13,3.06,3.09,3.1,-0.03,-0.9677,6522060,20240321.2
2019-05-27,'000616,海航投资,3.1,3.1,3.03,3.06,3.04,0.06,1.9737,6979964,21446205.12
2019-05-24,'000616,海航投资,3.04,3.09,3.02,3.04,3.07,-0.03,-0.9772,7612867,23163631.44
2019-05-23,'000616,海航投资,3.07,3.15,3.05,3.14,3.17,-0.1,-3.1546,9636834,29872446.92
2019-05-22,'000616,海航投资,3.17,3.26,3.09,3.09,3.11,0.06,1.9293,17211964,54561578.77
2019-05-21,'000616,海航投资,3.11,3.14,3.03,3.08,3.08,0.03,0.974,9838255,30546138.41
2019-05-20,'000616,海航投资,3.08,3.12,2.96,3.08,3.07,0.01,0.3257,9659009,29378591.82
2019-05-17,'000616,海航投资,3.07,3.22,3.06,3.21,3.22,-0.15,-4.6584,16539691,51790699.26
2019-05-16,'000616,海航投资,3.22,3.29,3.18,3.25,3.33,-0.11,-3.3033,25906607,83872923.36
2019-05-15,'000616,海航投资,3.33,3.33,3.03,3.06,3.03,0.3,9.901,24660270,80204509.11
2019-05-14,'000616,海航投资,3.03,3.06,3.0,3.02,3.06,-0.03,-0.9804,4567051,13871081.53
2019-05-13,'000616,海航投资,3.06,3.09,3.04,3.06,3.08,-0.02,-0.6494,6398958,19606162.19
2019-05-10,'000616,海航投资,3.08,3.1,3.0,3.02,3.01,0.07,2.3256,13533534,41439319.58
2019-05-09,'000616,海航投资,3.01,3.05,3.0,3.03,3.03,-0.02,-0.6601,6580632,19859363.0
2019-05-08,'000616,海航投资,3.03,3.08,2.98,2.99,3.07,-0.04,-1.3029,8457390,25689183.12
2019-05-07,'000616,海航投资,3.07,3.13,2.97,3.03,3.01,0.06,1.9934,10942566,33384849.57
2019-05-06,'000616,海航投资,3.01,3.18,2.95,3.1,3.2,-0.19,-5.9375,20785251,64031250.4
2019-04-30,'000616,海航投资,3.2,3.24,3.13,3.13,3.17,0.03,0.9464,11100401,35512001.4
2019-04-29,'000616,海航投资,3.17,3.43,3.1,3.33,3.33,-0.16,-4.8048,21156906,68463940.98
2019-04-26,'000616,海航投资,3.33,3.45,3.33,3.41,3.42,-0.09,-2.6316,14339886,48435791.68
2019-04-25,'000616,海航投资,3.42,3.6,3.41,3.51,3.51,-0.09,-2.5641,21910761,77355026.17
