日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000617,中油资本,12.61,12.75,12.53,12.61,12.36,0.25,2.0227,3658245,46171706.48
2019-06-28,'000617,中油资本,12.36,12.67,12.25,12.67,12.68,-0.32,-2.5237,1901000,23664320.0
2019-06-27,'000617,中油资本,12.68,12.85,12.54,12.63,12.63,0.05,0.3959,1579700,20054019.8
2019-06-26,'000617,中油资本,12.63,12.67,12.5,12.67,12.69,-0.06,-0.4728,1641402,20638656.61
2019-06-25,'000617,中油资本,12.69,12.79,12.47,12.72,12.69,0.0,0.0,3338850,42289609.9
2019-06-24,'000617,中油资本,12.69,12.82,12.62,12.78,12.72,-0.03,-0.2358,1727550,21914357.92
2019-06-21,'000617,中油资本,12.72,12.9,12.6,12.6,12.71,0.01,0.0787,5459641,69389984.21
2019-06-20,'000617,中油资本,12.71,12.93,12.09,12.21,12.23,0.48,3.9248,5011835,63083010.13
2019-06-19,'000617,中油资本,12.23,12.53,12.22,12.32,12.03,0.2,1.6625,2541412,31304690.36
2019-06-18,'000617,中油资本,12.03,12.17,11.91,12.17,12.01,0.02,0.1665,945504,11384447.32
2019-06-17,'000617,中油资本,12.01,12.13,11.8,12.01,12.01,0.0,0.0,906798,10899628.5
2019-06-14,'000617,中油资本,12.01,12.46,11.12,12.46,12.35,-0.34,-2.753,1876506,22863932.3
2019-06-13,'000617,中油资本,12.35,12.35,11.9,12.17,12.17,0.18,1.479,1480190,17950032.2
2019-06-12,'000617,中油资本,12.17,12.37,12.1,12.36,12.36,-0.19,-1.5372,1880310,22909042.5
2019-06-11,'000617,中油资本,12.36,12.54,11.93,12.1,11.89,0.47,3.9529,4375459,53603487.48
2019-06-10,'000617,中油资本,11.89,12.2,11.5,11.71,11.69,0.2,1.7109,3091900,36796345.81
2019-06-06,'000617,中油资本,11.69,11.89,11.68,11.85,11.79,-0.1,-0.8482,1012980,11913560.0
2019-06-05,'000617,中油资本,11.79,11.93,11.74,11.79,11.75,0.04,0.3404,1100533,13031590.73
2019-06-04,'000617,中油资本,11.75,12.02,11.68,11.98,11.98,-0.23,-1.9199,1185618,13963672.14
2019-06-03,'000617,中油资本,11.98,12.15,11.85,11.99,12.05,-0.07,-0.5809,2648301,31844708.98
2019-05-31,'000617,中油资本,12.05,12.25,12.03,12.2,12.16,-0.11,-0.9046,1191600,14428634.0
2019-05-30,'000617,中油资本,12.16,12.26,11.98,12.17,12.19,-0.03,-0.2461,1662173,20129202.04
2019-05-29,'000617,中油资本,12.19,12.28,12.06,12.27,12.2,-0.01,-0.082,1584900,19288975.0
2019-05-28,'000617,中油资本,12.2,12.36,12.1,12.18,12.19,0.01,0.082,4931200,60320642.0
2019-05-27,'000617,中油资本,12.19,12.25,11.85,11.93,11.99,0.2,1.6681,1918001,23214499.95
2019-05-24,'000617,中油资本,11.99,12.27,11.8,11.86,11.92,0.07,0.5872,2713161,32724161.69
2019-05-23,'000617,中油资本,11.92,12.18,11.81,12.11,12.11,-0.19,-1.569,1521000,18195472.8
2019-05-22,'000617,中油资本,12.11,12.2,12.04,12.16,12.2,-0.09,-0.7377,1281430,15506867.7
2019-05-21,'000617,中油资本,12.2,12.28,11.65,11.74,11.87,0.33,2.7801,3285940,39976271.42
2019-05-20,'000617,中油资本,11.87,11.92,11.48,11.88,11.8,0.07,0.5932,1483442,17422995.46
2019-05-17,'000617,中油资本,11.8,12.31,11.7,12.26,12.26,-0.46,-3.752,2941000,35382632.0
2019-05-16,'000617,中油资本,12.26,12.33,12.02,12.03,12.08,0.18,1.4901,2020320,24542779.14
2019-05-15,'000617,中油资本,12.08,12.14,11.96,12.08,11.97,0.11,0.919,1948681,23493464.86
2019-05-14,'000617,中油资本,11.97,12.23,11.93,12.13,12.11,-0.14,-1.1561,1824128,21948012.65
2019-05-13,'000617,中油资本,12.11,12.27,12.06,12.15,12.28,-0.17,-1.3844,1478463,17926867.04
2019-05-10,'000617,中油资本,12.28,12.44,11.82,11.98,11.9,0.38,3.1933,3991160,48563352.32
2019-05-09,'000617,中油资本,11.9,12.11,11.88,12.06,12.11,-0.21,-1.7341,1761500,21046041.0
2019-05-08,'000617,中油资本,12.11,12.39,12.0,12.3,12.31,-0.2,-1.6247,3245100,39484983.0
2019-05-07,'000617,中油资本,12.31,12.49,11.67,11.67,11.81,0.5,4.2337,4562362,55657208.54
2019-05-06,'000617,中油资本,11.81,12.51,11.6,12.48,12.8,-0.99,-7.7344,3958021,47677348.52
2019-04-30,'000617,中油资本,12.8,13.05,12.68,12.83,12.7,0.1,0.7874,2203600,28352534.8
2019-04-29,'000617,中油资本,12.7,13.5,12.41,13.35,13.35,-0.65,-4.8689,3414381,44243725.97
2019-04-26,'000617,中油资本,13.35,13.7,13.18,13.6,13.52,-0.17,-1.2574,3085841,41527451.79
2019-04-25,'000617,中油资本,13.52,14.07,13.48,13.92,13.92,-0.4,-2.8736,2946258,40420845.69
2019-04-24,'000617,中油资本,13.92,14.0,13.58,13.64,13.62,0.3,2.2026,3285694,45515681.44
2019-04-23,'000617,中油资本,13.62,13.9,13.51,13.88,13.91,-0.29,-2.0848,3133498,42926640.5
2019-04-22,'000617,中油资本,13.91,14.2,13.81,14.19,14.1,-0.19,-1.3475,3392636,47536856.5
2019-04-19,'000617,中油资本,14.1,14.18,13.93,14.03,14.03,0.07,0.4989,2709581,38056487.71
2019-04-18,'000617,中油资本,14.03,14.29,14.02,14.23,14.23,-0.2,-1.4055,3696772,52212365.98
2019-04-17,'000617,中油资本,14.23,14.5,14.12,14.5,14.54,-0.31,-2.132,4937140,70454528.71
2019-04-16,'000617,中油资本,14.54,14.71,13.92,14.53,14.8,-0.26,-1.7568,9573776,136431538.68
2019-04-15,'000617,中油资本,14.8,15.31,14.69,15.0,14.72,0.08,0.5435,12857471,192872404.87
2019-04-12,'000617,中油资本,14.72,15.14,14.25,14.5,14.52,0.2,1.3774,10706353,157486525.69
2019-04-11,'000617,中油资本,14.52,14.78,14.19,14.39,14.48,0.04,0.2762,7330084,106278940.09
2019-04-10,'000617,中油资本,14.48,14.64,13.91,14.22,14.23,0.25,1.7569,7085488,101452825.72
2019-04-09,'000617,中油资本,14.23,14.45,13.86,13.86,14.01,0.22,1.5703,4777624,68202225.61
2019-04-08,'000617,中油资本,14.01,14.5,13.9,14.4,14.4,-0.39,-2.7083,6411035,91001830.83
2019-04-04,'000617,中油资本,14.4,14.73,14.35,14.4,14.6,-0.2,-1.3699,7395102,107200864.05
2019-04-03,'000617,中油资本,14.6,14.67,14.09,14.32,14.28,0.32,2.2409,6687240,96573208.16
2019-04-02,'000617,中油资本,14.28,14.75,14.17,14.37,14.33,-0.05,-0.3489,9110846,131688295.0
2019-04-01,'000617,中油资本,14.33,14.4,13.75,13.77,13.86,0.47,3.3911,9353315,131977479.43
2019-03-29,'000617,中油资本,13.86,13.96,13.17,13.29,13.29,0.57,4.2889,8705256,119256284.38
2019-03-28,'000617,中油资本,13.29,13.62,13.25,13.37,13.42,-0.13,-0.9687,3455027,46282749.08
2019-03-27,'000617,中油资本,13.42,13.76,13.23,13.45,13.42,0.0,0.0,5175036,69238848.93
2019-03-26,'000617,中油资本,13.42,14.14,13.41,13.92,13.93,-0.51,-3.6612,6247505,85641646.33
2019-03-25,'000617,中油资本,13.93,14.2,13.85,14.08,14.48,-0.55,-3.7983,7546485,105695948.57
2019-03-22,'000617,中油资本,14.48,15.07,14.34,14.95,14.93,-0.45,-3.0141,10045983,146107192.54
2019-03-21,'000617,中油资本,14.93,15.58,14.73,14.9,15.28,-0.35,-2.2906,15432542,233390900.18
2019-03-20,'000617,中油资本,15.28,15.45,14.56,14.98,15.17,0.11,0.7251,20775970,309405387.65
2019-03-19,'000617,中油资本,15.17,15.75,14.07,14.14,14.32,0.85,5.9358,22811140,343283509.94
2019-03-18,'000617,中油资本,14.32,14.69,13.61,13.67,13.9,0.42,3.0216,13576747,193798107.1
2019-03-15,'000617,中油资本,13.9,14.09,13.17,13.29,13.27,0.63,4.7476,12198803,168266673.55
2019-03-14,'000617,中油资本,13.27,13.98,13.13,13.26,13.28,-0.01,-0.0753,5406985,72658088.97
2019-03-13,'000617,中油资本,13.28,13.6,13.1,13.59,13.65,-0.37,-2.7106,5287481,70714593.51
2019-03-12,'000617,中油资本,13.65,14.18,13.51,13.8,13.65,0.0,0.0,8640522,119154324.06
2019-03-11,'000617,中油资本,13.65,13.76,13.05,13.12,13.0,0.65,5.0,7198979,96553741.39
2019-03-08,'000617,中油资本,13.0,13.84,12.9,13.4,13.85,-0.85,-6.1372,10149776,135804149.49
2019-03-07,'000617,中油资本,13.85,14.3,13.5,13.73,13.73,0.12,0.874,11886020,165446807.03
2019-03-06,'000617,中油资本,13.73,13.8,13.18,13.42,13.44,0.29,2.1577,10288525,138752057.75
2019-03-05,'000617,中油资本,13.44,13.53,13.09,13.38,13.53,-0.09,-0.6652,6773463,90135456.02
