日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2006-08-31,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-30,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-29,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-28,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-25,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-24,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-23,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-22,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-21,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-18,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-17,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-16,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-15,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-14,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-11,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-10,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-09,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-08,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-07,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-04,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-03,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-02,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-08-01,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-31,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-28,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-27,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-26,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-25,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-24,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-21,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-20,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-19,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-18,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-17,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
2006-07-14,'000618,吉化退市,0.0,0.0,0.0,0.0,5.24,None,None,0,0.0
