日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000619,海螺型材,5.59,5.61,5.54,5.58,5.49,0.1,1.8215,2307757,12863201.94
2019-06-28,'000619,海螺型材,5.49,5.54,5.44,5.54,5.51,-0.02,-0.363,1814600,9942811.0
2019-06-27,'000619,海螺型材,5.51,5.59,5.5,5.52,5.53,-0.02,-0.3617,2004868,11114017.36
2019-06-26,'000619,海螺型材,5.53,5.56,5.5,5.52,5.51,0.02,0.363,1608600,8896824.0
2019-06-25,'000619,海螺型材,5.51,5.59,5.45,5.58,5.56,-0.05,-0.8993,2354668,13008103.32
2019-06-24,'000619,海螺型材,5.56,5.6,5.51,5.52,5.52,0.04,0.7246,2189801,12156782.13
2019-06-21,'000619,海螺型材,5.52,5.56,5.49,5.51,5.44,0.08,1.4706,2977387,16469276.24
2019-06-20,'000619,海螺型材,5.44,5.48,5.36,5.38,5.36,0.08,1.4925,2321900,12596750.0
2019-06-19,'000619,海螺型材,5.36,5.44,5.35,5.39,5.32,0.04,0.7519,1589700,8568484.09
2019-06-18,'000619,海螺型材,5.32,5.4,5.32,5.33,5.36,-0.04,-0.7463,1215100,6492989.0
2019-06-17,'000619,海螺型材,5.36,5.42,5.32,5.39,5.38,-0.02,-0.3717,1366300,7343280.0
2019-06-14,'000619,海螺型材,5.38,5.47,5.33,5.44,5.45,-0.07,-1.2844,1328500,7175878.0
2019-06-13,'000619,海螺型材,5.45,5.47,5.34,5.36,5.36,0.09,1.6791,1591700,8616472.0
2019-06-12,'000619,海螺型材,5.36,5.44,5.35,5.4,5.4,-0.04,-0.7407,1699001,9174275.37
2019-06-11,'000619,海螺型材,5.4,5.41,5.22,5.23,5.23,0.17,3.2505,2272200,12146609.99
2019-06-10,'000619,海螺型材,5.23,5.26,5.15,5.22,5.2,0.03,0.5769,1321201,6877589.12
2019-06-06,'000619,海螺型材,5.2,5.33,5.17,5.3,5.3,-0.1,-1.8868,1817600,9499361.45
2019-06-05,'000619,海螺型材,5.3,5.39,5.25,5.36,5.33,-0.03,-0.5629,1236100,6602566.0
2019-06-04,'000619,海螺型材,5.33,5.42,5.3,5.42,5.43,-0.1,-1.8416,1667001,8908573.31
2019-06-03,'000619,海螺型材,5.43,5.58,5.35,5.57,5.55,-0.12,-2.1622,2465802,13402969.76
2019-05-31,'000619,海螺型材,5.55,5.63,5.5,5.52,5.54,0.01,0.1805,1704103,9498508.67
2019-05-30,'000619,海螺型材,5.54,5.57,5.47,5.56,5.58,-0.04,-0.7168,1854501,10215296.48
2019-05-29,'000619,海螺型材,5.58,5.61,5.54,5.58,5.58,0.0,0.0,1686800,9400834.0
2019-05-28,'000619,海螺型材,5.58,5.69,5.56,5.65,5.65,-0.07,-1.2389,2034460,11468147.0
2019-05-27,'000619,海螺型材,5.65,5.66,5.51,5.58,5.58,0.07,1.2545,1769354,9897187.98
2019-05-24,'000619,海螺型材,5.58,5.6,5.51,5.56,5.62,-0.04,-0.7117,1461310,8113091.4
2019-05-23,'000619,海螺型材,5.62,5.73,5.49,5.66,5.67,-0.05,-0.8818,2053100,11455593.0
2019-05-22,'000619,海螺型材,5.67,5.85,5.66,5.71,5.76,-0.09,-1.5625,1580000,9021522.0
2019-05-21,'000619,海螺型材,5.76,5.8,5.55,5.57,5.58,0.18,3.2258,2656701,15109075.63
2019-05-20,'000619,海螺型材,5.58,5.64,5.37,5.64,5.65,-0.07,-1.2389,2330696,12863866.92
2019-05-17,'000619,海螺型材,5.65,5.83,5.57,5.82,5.82,-0.17,-2.921,2527192,14359228.99
2019-05-16,'000619,海螺型材,5.82,5.84,5.72,5.79,5.77,0.05,0.8666,2879192,16646571.46
2019-05-15,'000619,海螺型材,5.77,5.88,5.66,5.68,5.66,0.11,1.9435,3436001,19731219.67
2019-05-14,'000619,海螺型材,5.66,5.72,5.64,5.68,5.78,-0.12,-2.0761,2732616,15505276.04
2019-05-13,'000619,海螺型材,5.78,5.84,5.63,5.7,5.73,0.05,0.8726,3192716,18354593.04
2019-05-10,'000619,海螺型材,5.73,5.76,5.53,5.66,5.58,0.15,2.6882,3124300,17749277.0
2019-05-09,'000619,海螺型材,5.58,5.71,5.57,5.6,5.7,-0.12,-2.1053,2272201,12773815.58
2019-05-08,'000619,海螺型材,5.7,5.84,5.44,5.52,5.6,0.1,1.7857,4441507,25238937.19
2019-05-07,'000619,海螺型材,5.6,5.64,5.51,5.55,5.54,0.06,1.083,2538487,14145209.48
2019-05-06,'000619,海螺型材,5.54,5.85,5.43,5.85,5.93,-0.39,-6.5767,3856602,21744191.35
2019-04-30,'000619,海螺型材,5.93,6.02,5.88,5.89,5.92,0.01,0.1689,2655400,15819070.0
2019-04-29,'000619,海螺型材,5.92,6.15,5.92,6.09,6.09,-0.17,-2.7915,3226491,19474860.05
2019-04-26,'000619,海螺型材,6.09,6.18,6.08,6.17,6.14,-0.05,-0.8143,2665900,16334423.0
2019-04-25,'000619,海螺型材,6.14,6.42,6.14,6.4,6.42,-0.28,-4.3614,4057801,25390300.15
