日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000620,新华联,4.3,4.37,4.13,4.14,4.14,0.16,3.8647,11319511,47863920.5
2019-06-28,'000620,新华联,4.14,4.16,4.03,4.07,4.06,0.08,1.9704,6514501,26628176.49
2019-06-27,'000620,新华联,4.06,4.1,4.02,4.04,4.06,0.0,0.0,4527138,18346591.78
2019-06-26,'000620,新华联,4.06,4.07,4.02,4.05,4.06,0.0,0.0,3086401,12490415.04
2019-06-25,'000620,新华联,4.06,4.07,4.0,4.03,4.06,0.0,0.0,4969908,20044531.8
2019-06-24,'000620,新华联,4.06,4.12,4.04,4.07,4.1,-0.04,-0.9756,4187856,17025836.0
2019-06-21,'000620,新华联,4.1,4.1,3.98,3.99,3.98,0.12,3.0151,10438620,42365491.66
2019-06-20,'000620,新华联,3.98,4.01,3.93,3.97,3.97,0.01,0.2519,8575557,34093931.29
2019-06-19,'000620,新华联,3.97,4.01,3.96,3.97,3.94,0.03,0.7614,2352293,9372500.18
2019-06-18,'000620,新华联,3.94,3.98,3.92,3.95,3.96,-0.02,-0.5051,1297098,5118733.1
2019-06-17,'000620,新华联,3.96,3.98,3.94,3.97,3.95,0.01,0.2532,1567701,6199529.94
2019-06-14,'000620,新华联,3.95,4.01,3.94,4.01,3.99,-0.04,-1.0025,1982700,7894444.0
2019-06-13,'000620,新华联,3.99,4.01,3.95,3.97,3.97,0.02,0.5038,1634200,6510260.0
2019-06-12,'000620,新华联,3.97,4.03,3.96,4.0,4.02,-0.05,-1.2438,2392400,9551623.0
2019-06-11,'000620,新华联,4.02,4.03,3.93,3.93,3.93,0.09,2.2901,3744974,14961947.65
2019-06-10,'000620,新华联,3.93,3.96,3.89,3.96,3.95,-0.02,-0.5063,1643252,6465770.55
2019-06-06,'000620,新华联,3.95,3.97,3.89,3.96,3.96,-0.01,-0.2525,3015550,11826757.4
2019-06-05,'000620,新华联,3.96,4.02,3.94,3.98,3.98,-0.02,-0.5025,2588508,10293414.6
2019-06-04,'000620,新华联,3.98,4.0,3.93,4.0,4.01,-0.03,-0.7481,3575465,14170353.05
