日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000622,恒立实业,5.58,5.58,5.46,5.54,5.45,0.13,2.3853,17089820,94629408.97
2019-06-28,'000622,恒立实业,5.45,5.58,5.4,5.52,5.6,-0.15,-2.6786,16724719,91437302.79
2019-06-27,'000622,恒立实业,5.6,5.76,5.56,5.69,5.7,-0.1,-1.7544,24538599,138313115.43
2019-06-26,'000622,恒立实业,5.7,5.94,5.6,5.79,6.09,-0.39,-6.4039,33845650,194744232.0
2019-06-25,'000622,恒立实业,6.09,6.55,5.9,6.55,6.56,-0.47,-7.1646,63534705,389025142.62
2019-06-24,'000622,恒立实业,6.56,6.56,5.96,6.26,5.96,0.6,10.0671,17830100,114468020.19
2019-06-21,'000622,恒立实业,5.96,5.96,5.51,5.64,5.42,0.54,9.9631,42512500,247887659.0
2019-06-20,'000622,恒立实业,5.42,5.73,5.16,5.18,5.21,0.21,4.0307,39018820,216628343.13
2019-06-19,'000622,恒立实业,5.21,5.3,5.13,5.14,5.07,0.14,2.7613,15479100,80668908.0
2019-06-18,'000622,恒立实业,5.07,5.26,5.06,5.2,5.05,0.02,0.396,7586900,39012907.0
2019-06-17,'000622,恒立实业,5.05,5.15,4.95,5.15,5.13,-0.08,-1.5595,8924699,45112493.96
2019-06-14,'000622,恒立实业,5.13,5.26,5.0,5.2,5.22,-0.09,-1.7241,14490816,74464341.38
2019-06-13,'000622,恒立实业,5.22,5.3,4.99,5.07,5.01,0.21,4.1916,19486574,100706069.52
2019-06-12,'000622,恒立实业,5.01,5.15,5.0,5.05,5.09,-0.08,-1.5717,9096600,45964189.0
2019-06-11,'000622,恒立实业,5.09,5.11,4.94,4.99,4.96,0.13,2.621,13815575,69306294.0
2019-06-10,'000622,恒立实业,4.96,4.97,4.68,4.68,4.75,0.21,4.4211,10428890,50800902.6
2019-06-06,'000622,恒立实业,4.75,5.04,4.6,5.02,5.05,-0.3,-5.9406,12294500,59185428.05
2019-06-05,'000622,恒立实业,5.05,5.11,4.98,5.08,5.03,0.02,0.3976,6953600,35099762.0
2019-06-04,'000622,恒立实业,5.03,5.16,5.0,5.13,5.12,-0.09,-1.7578,9076299,45835936.97
2019-06-03,'000622,恒立实业,5.12,5.38,5.1,5.34,5.38,-0.26,-4.8327,13584064,70634803.52
2019-05-31,'000622,恒立实业,5.38,5.55,5.32,5.51,5.59,-0.21,-3.7567,15287807,83174782.15
2019-05-30,'000622,恒立实业,5.59,5.76,5.32,5.51,5.49,0.1,1.8215,18152890,100377746.9
2019-05-29,'000622,恒立实业,5.49,5.64,5.48,5.52,5.55,-0.06,-1.0811,9889900,54802672.0
2019-05-28,'000622,恒立实业,5.55,5.69,5.49,5.56,5.49,0.06,1.0929,19036600,106561523.7
2019-05-27,'000622,恒立实业,5.49,5.54,5.31,5.35,5.35,0.14,2.6168,12835650,69877227.75
2019-05-24,'000622,恒立实业,5.35,5.43,5.29,5.34,5.36,-0.01,-0.1866,10169400,54595623.88
2019-05-23,'000622,恒立实业,5.36,5.59,5.26,5.54,5.54,-0.18,-3.2491,14362419,78026637.17
2019-05-22,'000622,恒立实业,5.54,5.75,5.39,5.7,5.67,-0.13,-2.2928,17469029,97371534.55
2019-05-21,'000622,恒立实业,5.67,5.89,5.53,5.57,5.63,0.04,0.7105,23982229,136787119.9
2019-05-20,'000622,恒立实业,5.63,5.66,5.3,5.34,5.36,0.27,5.0373,20284800,112559642.0
2019-05-17,'000622,恒立实业,5.36,5.67,5.31,5.6,5.62,-0.26,-4.6263,14652800,80244714.0
2019-05-16,'000622,恒立实业,5.62,5.68,5.54,5.62,5.66,-0.04,-0.7067,14416104,80961693.4
2019-05-15,'000622,恒立实业,5.66,5.68,5.43,5.46,5.41,0.25,4.6211,16334875,90730104.5
2019-05-14,'000622,恒立实业,5.41,5.58,5.24,5.3,5.42,-0.01,-0.1845,12021500,65638665.66
2019-05-13,'000622,恒立实业,5.42,5.46,5.34,5.39,5.46,-0.04,-0.7326,8930669,48208913.47
2019-05-10,'000622,恒立实业,5.46,5.55,5.19,5.38,5.32,0.14,2.6316,16228827,87626467.59
2019-05-09,'000622,恒立实业,5.32,5.34,5.16,5.21,5.24,0.08,1.5267,11187100,58901113.0
2019-05-08,'000622,恒立实业,5.24,5.31,4.96,5.12,5.22,0.02,0.3831,11225475,58329844.5
