日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000623,吉林敖东,16.81,16.93,16.7,16.7,16.39,0.42,2.5625,9277381,156082980.07
2019-06-28,'000623,吉林敖东,16.39,16.66,16.29,16.65,16.61,-0.22,-1.3245,7395135,121421261.57
2019-06-27,'000623,吉林敖东,16.61,16.87,16.54,16.67,16.53,0.08,0.484,7385414,123406692.32
2019-06-26,'000623,吉林敖东,16.53,16.71,16.49,16.52,16.7,-0.17,-1.018,4235012,70218836.15
2019-06-25,'000623,吉林敖东,16.7,16.83,16.4,16.8,16.76,-0.06,-0.358,7565333,125587493.18
2019-06-24,'000623,吉林敖东,16.76,17.05,16.7,16.96,16.82,-0.06,-0.3567,6941318,116878350.59
2019-06-21,'000623,吉林敖东,16.82,17.09,16.76,16.88,16.85,-0.03,-0.178,9515891,161014599.58
2019-06-20,'000623,吉林敖东,16.85,17.25,16.34,16.37,16.47,0.38,2.3072,13774899,232167717.03
2019-06-19,'000623,吉林敖东,16.47,16.89,16.47,16.75,16.31,0.16,0.981,11936873,198620469.74
2019-06-18,'000623,吉林敖东,16.51,16.64,16.37,16.37,16.25,0.26,1.6,12312798,203533563.0
2019-06-17,'000623,吉林敖东,16.25,16.33,15.87,15.88,15.8,0.45,2.8481,7961031,128718601.41
2019-06-14,'000623,吉林敖东,15.8,16.26,15.8,16.2,16.2,-0.4,-2.4691,4743792,76107258.42
2019-06-13,'000623,吉林敖东,16.2,16.31,16.06,16.14,16.11,0.09,0.5587,3360557,54395195.13
2019-06-12,'000623,吉林敖东,16.11,16.31,16.08,16.25,16.28,-0.17,-1.0442,4183258,67656858.66
2019-06-11,'000623,吉林敖东,16.28,16.3,15.7,15.73,15.68,0.6,3.8265,7690300,123937519.01
2019-06-10,'000623,吉林敖东,15.68,15.88,15.55,15.76,15.75,-0.07,-0.4444,5146048,80939843.06
2019-06-06,'000623,吉林敖东,15.75,16.16,15.71,16.14,16.14,-0.39,-2.4164,7444891,118324277.72
2019-06-05,'000623,吉林敖东,16.14,16.3,16.14,16.24,16.13,0.01,0.062,4168298,67589802.76
2019-06-04,'000623,吉林敖东,16.13,16.25,16.06,16.2,16.18,-0.05,-0.309,4221775,68164350.62
2019-06-03,'000623,吉林敖东,16.18,16.4,16.15,16.24,16.19,-0.01,-0.0618,5177956,84095526.2
2019-05-31,'000623,吉林敖东,16.19,16.38,16.17,16.26,16.24,-0.05,-0.3079,3595007,58453964.1
2019-05-30,'000623,吉林敖东,16.24,16.44,16.12,16.36,16.45,-0.21,-1.2766,5244292,85048040.19
2019-05-29,'000623,吉林敖东,16.45,16.6,16.4,16.44,16.5,-0.05,-0.303,3801140,62715666.38
2019-05-28,'000623,吉林敖东,16.5,16.69,16.45,16.6,16.59,-0.09,-0.5425,4462529,74024605.98
2019-05-27,'000623,吉林敖东,16.59,16.69,16.16,16.27,16.21,0.38,2.3442,6264262,103244148.02
2019-05-24,'000623,吉林敖东,16.21,16.34,16.17,16.19,16.17,0.04,0.2474,2671980,43398180.47
2019-05-23,'000623,吉林敖东,16.17,16.37,16.13,16.26,16.33,-0.16,-0.9798,5210442,84681242.22
2019-05-22,'000623,吉林敖东,16.33,16.57,16.21,16.4,16.46,-0.13,-0.7898,4119326,67568558.01
2019-05-21,'000623,吉林敖东,16.46,16.63,16.2,16.23,16.2,0.26,1.6049,5902630,97076948.91
2019-05-20,'000623,吉林敖东,16.2,16.4,16.06,16.3,16.38,-0.18,-1.0989,6675559,108050551.89
2019-05-17,'000623,吉林敖东,16.38,16.98,16.34,16.98,16.96,-0.58,-3.4198,8372351,139376635.25
2019-05-16,'000623,吉林敖东,16.96,16.96,16.74,16.86,16.87,0.09,0.5335,7172041,120918324.92
2019-05-15,'000623,吉林敖东,16.87,16.95,16.7,16.7,16.6,0.27,1.6265,6231187,104836168.14
2019-05-14,'000623,吉林敖东,16.6,16.81,16.52,16.55,16.73,-0.13,-0.777,5547556,92420076.11
2019-05-13,'000623,吉林敖东,16.73,16.92,16.72,16.83,17.02,-0.29,-1.7039,7005177,117785896.99
2019-05-10,'000623,吉林敖东,17.02,17.09,16.52,16.78,16.62,0.4,2.4067,10838033,183001906.4
2019-05-09,'000623,吉林敖东,16.62,16.89,16.58,16.71,16.84,-0.22,-1.3064,7484327,124965786.71
2019-05-08,'000623,吉林敖东,16.84,17.11,16.7,16.8,17.04,-0.2,-1.1737,8076434,136821816.99
2019-05-07,'000623,吉林敖东,17.04,17.07,16.82,16.98,16.82,0.22,1.308,11158062,189214925.74
2019-05-06,'000623,吉林敖东,16.82,17.76,16.73,17.49,18.28,-1.46,-7.9869,20794871,358375663.28
2019-04-30,'000623,吉林敖东,18.28,18.47,17.94,17.97,17.88,0.4,2.2371,11279808,206242640.25
2019-04-29,'000623,吉林敖东,17.88,18.21,17.8,18.17,18.04,-0.16,-0.8869,11307765,203334231.11
2019-04-26,'000623,吉林敖东,18.04,18.33,18.02,18.16,18.19,-0.15,-0.8246,9953615,180669660.56
2019-04-25,'000623,吉林敖东,18.19,18.9,18.13,18.9,18.92,-0.73,-3.8584,14007022,260014238.91
2019-04-24,'000623,吉林敖东,18.92,18.99,18.7,18.96,18.86,0.06,0.3181,8004252,150872539.63
2019-04-23,'000623,吉林敖东,18.86,19.27,18.75,18.88,18.95,-0.09,-0.4749,11344327,215061623.39
2019-04-22,'000623,吉林敖东,18.95,19.55,18.9,19.49,19.39,-0.44,-2.2692,14450419,276907301.57
2019-04-19,'000623,吉林敖东,19.39,19.61,19.2,19.28,19.32,0.07,0.3623,12044905,233382381.06
2019-04-18,'000623,吉林敖东,19.32,19.57,19.2,19.5,19.41,-0.09,-0.4637,12683989,245663761.85
2019-04-17,'000623,吉林敖东,19.41,19.8,19.22,19.35,19.4,0.01,0.0515,25775211,502672926.32
2019-04-16,'000623,吉林敖东,19.4,19.46,18.39,18.45,18.45,0.95,5.1491,31859328,606471059.14
2019-04-15,'000623,吉林敖东,18.45,19.05,18.42,18.87,18.27,0.18,0.9852,16159516,303682321.82
2019-04-12,'000623,吉林敖东,18.27,18.55,18.2,18.5,18.42,-0.15,-0.8143,8412557,154344112.08
2019-04-11,'000623,吉林敖东,18.42,19.06,18.41,18.96,19.01,-0.59,-3.1036,13392752,249545361.02
2019-04-10,'000623,吉林敖东,19.01,19.11,18.63,18.7,18.73,0.28,1.4949,19258078,363431139.04
2019-04-09,'000623,吉林敖东,18.73,18.89,18.45,18.78,18.85,-0.12,-0.6366,12217046,228566858.27
2019-04-08,'000623,吉林敖东,18.85,19.18,18.43,19.06,18.99,-0.14,-0.7372,25372481,477655788.48
2019-04-04,'000623,吉林敖东,18.99,19.17,18.7,18.9,18.8,0.19,1.0106,25312552,478873199.08
2019-04-03,'000623,吉林敖东,18.8,18.84,18.24,18.32,18.52,0.28,1.5119,20644723,384534481.69
2019-04-02,'000623,吉林敖东,18.52,18.84,18.49,18.63,18.57,-0.05,-0.2693,15540500,289751479.6
2019-04-01,'000623,吉林敖东,18.57,18.68,18.23,18.28,18.21,0.36,1.9769,21235048,392807263.72
2019-03-29,'000623,吉林敖东,18.21,18.27,17.46,17.46,17.44,0.77,4.4151,16505326,296951008.18
2019-03-28,'000623,吉林敖东,17.44,17.81,17.44,17.64,17.69,-0.25,-1.4132,7502353,132197977.52
2019-03-27,'000623,吉林敖东,17.69,17.86,17.57,17.59,17.57,0.12,0.683,9471945,167574642.39
