日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000625,长安汽车,7.01,7.11,6.7,6.75,6.63,0.38,5.7315,34757308,239713063.73
2019-06-28,'000625,长安汽车,6.63,6.7,6.57,6.7,6.66,-0.03,-0.4505,12979766,86054804.03
2019-06-27,'000625,长安汽车,6.66,6.72,6.57,6.57,6.59,0.07,1.0622,19380371,128830026.17
2019-06-26,'000625,长安汽车,6.59,6.68,6.51,6.56,6.59,0.0,0.0,12907798,85437453.75
2019-06-25,'000625,长安汽车,6.59,6.72,6.55,6.68,6.75,-0.16,-2.3704,21464474,141972588.19
2019-06-24,'000625,长安汽车,6.75,6.78,6.52,6.62,6.66,0.09,1.3514,32430678,215567852.24
2019-06-21,'000625,长安汽车,6.66,6.68,6.43,6.44,6.42,0.24,3.7383,35375238,232785758.74
2019-06-20,'000625,长安汽车,6.42,6.48,6.27,6.33,6.32,0.1,1.5823,33644672,214960995.03
2019-06-19,'000625,长安汽车,6.32,6.5,6.29,6.42,6.32,0.0,0.0,32362095,206545908.76
2019-06-18,'000625,长安汽车,6.32,6.37,6.3,6.34,6.34,-0.02,-0.3155,9758877,61733019.65
2019-06-17,'000625,长安汽车,6.34,6.45,6.32,6.41,6.46,-0.12,-1.8576,16153013,102876891.21
2019-06-14,'000625,长安汽车,6.46,6.6,6.38,6.6,6.57,-0.11,-1.6743,20243567,131107584.69
2019-06-13,'000625,长安汽车,6.57,6.62,6.43,6.58,6.61,-0.04,-0.6051,18036028,117622033.59
2019-06-12,'000625,长安汽车,6.61,6.68,6.55,6.65,6.7,-0.09,-1.3433,17410837,115109806.77
2019-06-11,'000625,长安汽车,6.7,6.7,6.32,6.48,6.48,0.22,3.3951,31237321,205045422.83
2019-06-10,'000625,长安汽车,6.48,6.78,6.42,6.7,6.55,-0.07,-1.0687,28008829,183565199.22
2019-06-06,'000625,长安汽车,6.55,6.65,6.46,6.52,6.49,0.06,0.9245,20424927,133668596.13
2019-06-05,'000625,长安汽车,6.49,6.91,6.29,6.85,6.79,-0.3,-4.4183,38055656,248270619.79
2019-06-04,'000625,长安汽车,6.79,6.97,6.71,6.97,6.96,-0.17,-2.4425,16335816,110742566.58
2019-06-03,'000625,长安汽车,6.96,7.17,6.87,7.05,7.0,-0.04,-0.5714,19481352,136324898.79
2019-05-31,'000625,长安汽车,7.0,7.14,6.93,7.09,7.08,-0.08,-1.1299,14569957,102286937.34
