日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000626,远大控股,8.56,8.59,8.42,8.51,8.4,0.16,1.9048,4416818,37589036.48
2019-06-28,'000626,远大控股,8.4,8.41,8.11,8.29,8.18,0.22,2.6895,2907614,24063165.08
2019-06-27,'000626,远大控股,8.18,8.34,8.17,8.3,8.19,-0.01,-0.1221,2359515,19464646.82
2019-06-26,'000626,远大控股,8.19,8.4,8.18,8.36,8.36,-0.17,-2.0335,2424004,19979535.76
2019-06-25,'000626,远大控股,8.36,8.47,8.25,8.31,8.3,0.06,0.7229,2916984,24322262.26
2019-06-24,'000626,远大控股,8.3,8.43,8.28,8.42,8.42,-0.12,-1.4252,1955716,16314137.34
2019-06-21,'000626,远大控股,8.42,8.7,8.23,8.23,8.22,0.2,2.4331,4537599,38357230.05
2019-06-20,'000626,远大控股,8.22,8.31,8.04,8.08,8.1,0.12,1.4815,2820042,23149325.62
2019-06-19,'000626,远大控股,8.1,8.38,8.09,8.2,8.04,0.06,0.7463,2537863,20850164.02
2019-06-18,'000626,远大控股,8.04,8.22,7.98,8.08,8.04,0.0,0.0,1528121,12339924.82
2019-06-17,'000626,远大控股,8.04,8.14,7.82,7.82,7.84,0.2,2.551,2628803,21154116.24
2019-06-14,'000626,远大控股,7.84,8.22,7.84,8.2,8.16,-0.32,-3.9216,2359744,18918558.88
2019-06-13,'000626,远大控股,8.16,8.29,8.03,8.29,8.12,0.04,0.4926,2211901,17975953.06
2019-06-12,'000626,远大控股,8.12,8.38,8.11,8.18,8.1,0.02,0.2469,3123203,25704888.7
2019-06-11,'000626,远大控股,8.1,8.16,7.82,7.86,7.86,0.24,3.0534,2968788,23878637.66
2019-06-10,'000626,远大控股,7.86,7.9,7.75,7.75,7.75,0.11,1.4194,1746202,13681132.55
2019-06-06,'000626,远大控股,7.75,7.99,7.67,7.99,7.86,-0.11,-1.3995,1929358,15064560.34
2019-06-05,'000626,远大控股,7.86,7.99,7.82,7.88,7.79,0.07,0.8986,2387300,18851900.0
2019-06-04,'000626,远大控股,7.79,8.16,7.68,8.11,8.1,-0.31,-3.8272,3484046,27354635.74
2019-06-03,'000626,远大控股,8.1,8.56,8.05,8.54,8.44,-0.34,-4.0284,3007887,24739452.77
2019-05-31,'000626,远大控股,8.44,8.69,8.35,8.6,8.6,-0.16,-1.8605,2987045,25363022.0
2019-05-30,'000626,远大控股,8.6,8.73,8.43,8.61,8.65,-0.05,-0.578,2261387,19506801.89
2019-05-29,'000626,远大控股,8.65,8.73,8.57,8.64,8.69,-0.04,-0.4603,2125042,18364747.72
2019-05-28,'000626,远大控股,8.69,8.85,8.66,8.82,8.76,-0.07,-0.7991,2662000,23315557.0
2019-05-27,'000626,远大控股,8.76,8.87,8.56,8.56,8.56,0.2,2.3364,2754800,24097999.92
2019-05-24,'000626,远大控股,8.56,8.6,8.35,8.48,8.53,0.03,0.3517,2617603,22221771.76
2019-05-23,'000626,远大控股,8.53,8.78,8.49,8.68,8.68,-0.15,-1.7281,3371004,29071300.52
2019-05-22,'000626,远大控股,8.68,8.98,8.52,8.92,8.87,-0.19,-2.1421,4038302,35388198.76
2019-05-21,'000626,远大控股,8.87,8.98,8.63,8.63,8.72,0.15,1.7202,4581800,40502108.32
2019-05-20,'000626,远大控股,8.72,9.05,8.45,8.93,8.91,-0.19,-2.1324,5124800,44434006.0
2019-05-17,'000626,远大控股,8.91,9.46,8.75,9.45,9.47,-0.56,-5.9134,6617026,60233350.32
2019-05-16,'000626,远大控股,9.47,9.52,9.38,9.48,9.54,-0.07,-0.7338,4522400,42668565.0
2019-05-15,'000626,远大控股,9.54,9.69,9.23,9.36,9.33,0.21,2.2508,7121426,67305998.55
2019-05-14,'000626,远大控股,9.33,9.67,9.3,9.34,9.45,-0.12,-1.2698,6187183,58485942.72
2019-05-13,'000626,远大控股,9.45,9.61,9.3,9.43,9.62,-0.17,-1.7672,7338424,68991575.85
2019-05-10,'000626,远大控股,9.62,9.89,9.12,9.45,9.43,0.19,2.0148,16818816,159004216.17
2019-05-09,'000626,远大控股,9.43,9.43,8.6,8.63,8.57,0.86,10.035,15779267,146045850.45
2019-05-08,'000626,远大控股,8.57,9.06,8.35,8.92,9.19,-0.62,-6.7465,6527532,57679763.05
2019-05-07,'000626,远大控股,9.19,9.38,9.01,9.25,9.08,0.11,1.2115,5627281,51491578.71
2019-05-06,'000626,远大控股,9.08,9.52,8.81,9.05,9.61,-0.53,-5.5151,7234758,66332882.62
2019-04-30,'000626,远大控股,9.61,9.74,9.17,9.17,9.32,0.29,3.1116,6022277,57739355.23
2019-04-29,'000626,远大控股,9.32,10.5,9.32,10.36,10.35,-1.03,-9.9517,9037388,87402352.04
2019-04-26,'000626,远大控股,10.35,10.62,10.25,10.3,10.44,-0.09,-0.8621,6025792,62819923.32
2019-04-25,'000626,远大控股,10.44,11.12,10.31,10.88,10.88,-0.44,-4.0441,7460602,80461456.4
2019-04-24,'000626,远大控股,10.88,11.3,10.68,11.09,11.1,-0.22,-1.982,7316520,79829005.2
2019-04-23,'000626,远大控股,11.1,11.39,10.5,10.96,10.69,0.41,3.8354,11314720,124360130.63
2019-04-22,'000626,远大控股,10.69,11.78,10.63,11.08,11.01,-0.32,-2.9064,11914753,132410447.2
2019-04-19,'000626,远大控股,11.01,11.28,10.7,10.7,10.83,0.18,1.662,10580800,117021077.0
2019-04-18,'000626,远大控股,10.83,11.16,10.7,11.06,11.46,-0.63,-5.4974,16353055,179121434.62
2019-04-17,'000626,远大控股,11.46,11.88,10.78,11.2,10.8,0.66,6.1111,30129497,342035671.24
2019-04-16,'000626,远大控股,10.8,10.8,9.83,9.9,9.82,0.98,9.9796,13961872,147560827.99
2019-04-15,'000626,远大控股,9.82,10.45,9.5,9.7,9.53,0.29,3.043,12664576,126365610.53
2019-04-12,'000626,远大控股,9.53,10.37,9.52,10.37,10.37,-0.84,-8.1003,17372600,171376928.65
2019-04-11,'000626,远大控股,10.37,10.37,9.88,9.88,9.43,0.94,9.9682,8276020,85644049.4
2019-04-10,'000626,远大控股,9.43,9.43,9.05,9.28,9.29,0.14,1.507,5297520,48741923.22
2019-04-09,'000626,远大控股,9.29,9.42,9.09,9.2,9.29,0.0,0.0,5885042,54370904.2
2019-04-08,'000626,远大控股,9.29,9.65,9.08,9.45,9.37,-0.08,-0.8538,8455902,79111648.3
2019-04-04,'000626,远大控股,9.37,9.75,9.3,9.63,9.72,-0.35,-3.6008,11639988,110276355.87
2019-04-03,'000626,远大控股,9.72,9.85,8.9,8.91,9.01,0.71,7.8801,14980637,141005738.32
2019-04-02,'000626,远大控股,9.01,9.34,8.88,8.9,8.85,0.16,1.8079,8931977,81261673.39
2019-04-01,'000626,远大控股,8.85,8.88,8.54,8.66,8.54,0.31,3.63,5173107,45304108.94
2019-03-29,'000626,远大控股,8.54,8.63,8.23,8.38,8.4,0.14,1.6667,5713954,48286846.18
2019-03-28,'000626,远大控股,8.4,8.93,8.39,8.71,8.71,-0.31,-3.5591,7522395,65109469.81
2019-03-27,'000626,远大控股,8.71,9.07,8.64,8.93,8.98,-0.27,-3.0067,8025202,70682292.82
2019-03-26,'000626,远大控股,8.98,9.66,8.71,9.66,9.68,-0.7,-7.2314,19162776,176294862.15
2019-03-25,'000626,远大控股,9.68,9.68,8.55,8.67,8.8,0.88,10.0,22282295,208085202.92
2019-03-22,'000626,远大控股,8.8,8.94,8.53,8.88,8.8,0.0,0.0,6549062,57419810.4
2019-03-21,'000626,远大控股,8.8,9.16,8.78,9.14,8.83,-0.03,-0.3398,8612120,76838299.15
2019-03-20,'000626,远大控股,8.83,8.94,8.57,8.7,8.7,0.13,1.4943,6586074,57684612.05
2019-03-19,'000626,远大控股,8.7,9.09,8.58,8.66,8.58,0.12,1.3986,8619715,75606826.69
2019-03-18,'000626,远大控股,8.58,8.61,8.21,8.23,8.27,0.31,3.7485,5980658,50578827.36
2019-03-15,'000626,远大控股,8.27,8.42,8.15,8.22,8.16,0.11,1.348,4906696,40634791.47
2019-03-14,'000626,远大控股,8.16,8.71,7.93,8.51,8.6,-0.44,-5.1163,9841235,80376651.85
2019-03-13,'000626,远大控股,8.6,9.1,8.47,8.98,8.96,-0.36,-4.0179,7797700,68702374.12
2019-03-12,'000626,远大控股,8.96,9.38,8.68,8.75,8.72,0.24,2.7523,11929355,107594842.72
2019-03-11,'000626,远大控股,8.72,8.8,8.41,8.6,8.44,0.28,3.3175,6578835,56663240.71
2019-03-08,'000626,远大控股,8.44,9.4,8.38,8.75,8.84,-0.4,-4.5249,13165258,117123569.67
2019-03-07,'000626,远大控股,8.84,8.93,8.6,8.75,8.86,-0.02,-0.2257,10239088,89593041.21
2019-03-06,'000626,远大控股,8.86,8.93,8.15,8.45,8.44,0.42,4.9763,12632618,108034418.94
2019-03-05,'000626,远大控股,8.44,8.49,8.27,8.45,8.45,-0.01,-0.1183,6523044,54511133.44
2019-03-04,'000626,远大控股,8.45,8.7,8.2,8.44,8.41,0.04,0.4756,8706514,73935668.62
2019-03-01,'000626,远大控股,8.41,8.5,8.21,8.39,8.52,-0.11,-1.2911,6480504,53920976.24
2019-02-28,'000626,远大控股,8.52,8.83,7.91,7.98,8.09,0.43,5.3152,13354092,111593279.32
