日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000628,高新发展,10.55,10.7,10.51,10.62,10.47,0.08,0.7641,3990414,42191866.26
2019-06-28,'000628,高新发展,10.47,10.55,10.36,10.42,10.41,0.06,0.5764,2397410,25046551.44
2019-06-27,'000628,高新发展,10.41,10.52,10.24,10.25,10.24,0.17,1.6602,2837382,29581783.59
2019-06-26,'000628,高新发展,10.24,10.38,10.22,10.29,10.3,-0.06,-0.5825,1717703,17662186.87
2019-06-25,'000628,高新发展,10.3,10.56,10.25,10.55,10.59,-0.29,-2.7384,2701906,28025308.72
2019-06-24,'000628,高新发展,10.59,10.63,10.42,10.43,10.48,0.11,1.0496,2968600,31249029.85
2019-06-21,'000628,高新发展,10.48,10.58,10.41,10.48,10.46,0.02,0.1912,3670101,38459650.4
2019-06-20,'000628,高新发展,10.46,10.53,10.27,10.37,10.28,0.18,1.751,3540700,36920492.9
2019-06-19,'000628,高新发展,10.28,10.48,10.27,10.34,10.24,0.04,0.3906,1945400,20134540.0
2019-06-18,'000628,高新发展,10.24,10.35,10.2,10.2,10.23,0.01,0.0978,1395860,14290107.5
2019-06-17,'000628,高新发展,10.23,10.34,10.18,10.26,10.26,-0.03,-0.2924,1116100,11443423.0
2019-06-14,'000628,高新发展,10.26,10.56,10.2,10.51,10.51,-0.25,-2.3787,2437300,25282820.0
2019-06-13,'000628,高新发展,10.51,10.58,10.41,10.48,10.5,0.01,0.0952,1923986,20189607.14
2019-06-12,'000628,高新发展,10.5,10.6,10.43,10.47,10.53,-0.03,-0.2849,2721300,28643326.0
2019-06-11,'000628,高新发展,10.53,10.54,10.21,10.21,10.19,0.34,3.3366,3049100,31755636.0
2019-06-10,'000628,高新发展,10.19,10.38,10.06,10.28,10.14,0.05,0.4931,1597100,16332282.0
2019-06-06,'000628,高新发展,10.14,10.61,10.13,10.51,10.51,-0.37,-3.5205,2727686,28239759.0
2019-06-05,'000628,高新发展,10.51,10.8,10.5,10.8,10.68,-0.17,-1.5918,2881500,30527247.0
2019-06-04,'000628,高新发展,10.68,10.88,10.25,10.38,10.45,0.23,2.201,4864200,51285023.0
2019-06-03,'000628,高新发展,10.45,10.8,10.44,10.8,10.48,-0.03,-0.2863,3354479,35594201.22
2019-05-31,'000628,高新发展,10.48,10.63,10.45,10.5,10.57,-0.09,-0.8515,3597988,37855798.44
2019-05-30,'000628,高新发展,10.57,10.83,10.47,10.56,10.88,-0.31,-2.8493,7962105,84181234.69
2019-05-29,'000628,高新发展,10.88,11.18,10.52,10.89,10.16,0.72,7.0866,16108777,176571525.92
2019-05-28,'000628,高新发展,10.16,10.37,10.1,10.24,10.23,-0.07,-0.6843,3262000,33432636.0
2019-05-27,'000628,高新发展,10.23,10.27,9.9,10.07,10.12,0.11,1.087,3093484,31317144.64
2019-05-24,'000628,高新发展,10.12,10.16,9.83,9.95,10.02,0.1,0.998,3587387,35989015.31
2019-05-23,'000628,高新发展,10.02,10.17,9.86,9.98,9.98,0.04,0.4008,2466274,24741645.64
2019-05-22,'000628,高新发展,9.98,10.08,9.95,10.03,10.06,-0.08,-0.7952,1947660,19466917.6
2019-05-21,'000628,高新发展,10.06,10.12,9.93,9.96,9.96,0.1,1.004,2261060,22750201.36
2019-05-20,'000628,高新发展,9.96,10.0,9.73,9.93,9.92,0.04,0.4032,2313809,22827513.64
2019-05-17,'000628,高新发展,9.92,10.27,9.88,10.25,10.23,-0.31,-3.0303,4010900,40298443.91
2019-05-16,'000628,高新发展,10.23,10.35,10.16,10.18,10.17,0.06,0.59,2711060,27765812.8
2019-05-15,'000628,高新发展,10.17,10.22,10.07,10.1,10.03,0.14,1.3958,3357081,34096770.4
2019-05-14,'000628,高新发展,10.03,10.11,9.98,10.0,10.12,-0.09,-0.8893,2984864,29938573.32
2019-05-13,'000628,高新发展,10.12,10.18,10.06,10.08,10.18,-0.06,-0.5894,2985805,30212666.5
2019-05-10,'000628,高新发展,10.18,10.2,9.8,9.97,9.94,0.24,2.4145,5235168,52761770.36
2019-05-09,'000628,高新发展,9.94,10.12,9.91,10.07,9.97,-0.03,-0.3009,3147968,31514820.04
2019-05-08,'000628,高新发展,9.97,10.13,9.71,9.83,10.04,-0.07,-0.6972,3392692,33810521.96
2019-05-07,'000628,高新发展,10.04,10.25,9.8,10.18,9.96,0.08,0.8032,4428389,44287633.49
2019-05-06,'000628,高新发展,9.96,10.54,9.83,10.48,10.75,-0.79,-7.3488,5222900,53337749.0
2019-04-30,'000628,高新发展,10.75,10.8,10.61,10.65,10.57,0.18,1.7029,3044300,32526646.79
2019-04-29,'000628,高新发展,10.57,10.75,10.41,10.62,10.63,-0.06,-0.5644,4014996,42710615.24
2019-04-26,'000628,高新发展,10.63,10.92,10.5,10.85,10.85,-0.22,-2.0276,4756405,51084479.56
2019-04-25,'000628,高新发展,10.85,11.54,10.83,11.51,11.5,-0.65,-5.6522,8073508,90074715.64
2019-04-24,'000628,高新发展,11.5,11.62,11.28,11.52,11.46,0.04,0.349,7341107,84332158.94
2019-04-23,'000628,高新发展,11.46,11.73,11.38,11.66,11.92,-0.46,-3.8591,9532174,109955124.08
2019-04-22,'000628,高新发展,11.92,12.72,11.81,12.53,11.92,0.0,0.0,15770101,193079428.28
2019-04-19,'000628,高新发展,11.92,12.06,11.45,11.54,11.6,0.32,2.7586,8435872,99096223.41
2019-04-18,'000628,高新发展,11.6,11.92,11.54,11.74,11.74,-0.14,-1.1925,6191502,72590004.04
2019-04-17,'000628,高新发展,11.74,12.11,11.7,11.85,11.74,0.0,0.0,7806793,92782388.58
2019-04-16,'000628,高新发展,11.74,11.75,11.26,11.4,11.43,0.31,2.7122,7205582,83308553.13
2019-04-15,'000628,高新发展,11.43,11.93,11.33,11.69,11.54,-0.11,-0.9532,7728019,90163187.87
2019-04-12,'000628,高新发展,11.54,12.13,11.49,12.07,12.03,-0.49,-4.0732,11035222,129103033.83
2019-04-11,'000628,高新发展,12.03,12.37,11.71,12.0,12.0,0.03,0.25,13132123,158879039.55
2019-04-10,'000628,高新发展,12.0,12.54,11.48,11.58,11.69,0.31,2.6518,17126622,206279072.47
2019-04-09,'000628,高新发展,11.69,11.73,11.36,11.45,11.47,0.22,1.918,10170936,117761932.04
2019-04-08,'000628,高新发展,11.47,11.58,11.27,11.35,11.44,0.03,0.2622,9384510,107356481.7
2019-04-04,'000628,高新发展,11.44,11.68,11.31,11.68,11.53,-0.09,-0.7806,10137955,116166223.76
2019-04-03,'000628,高新发展,11.53,11.8,11.05,11.1,11.17,0.36,3.2229,12425533,142034958.42
2019-04-02,'000628,高新发展,11.17,11.33,11.13,11.31,11.2,-0.03,-0.2679,6889773,77319576.47
2019-04-01,'000628,高新发展,11.2,11.24,10.96,11.03,10.92,0.28,2.5641,6533893,72727675.17
2019-03-29,'000628,高新发展,10.92,10.97,10.48,10.74,10.68,0.24,2.2472,5101762,55132366.43
2019-03-28,'000628,高新发展,10.68,10.98,10.68,10.95,10.98,-0.3,-2.7322,4516369,48941667.36
2019-03-27,'000628,高新发展,10.98,11.1,10.71,11.01,10.98,0.0,0.0,5659321,61474053.36
2019-03-26,'000628,高新发展,10.98,11.6,10.96,11.58,11.5,-0.52,-4.5217,10893045,122044430.54
