»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,≥…Ωª¡ø,≥…ΩªΩ∂Ó
2019-07-01,'000629,≈ ∏÷∑∞Ó—,3.47,3.47,3.42,3.44,3.39,0.08,2.3599,53652977,184792759.05
2019-06-28,'000629,≈ ∏÷∑∞Ó—,3.39,3.43,3.36,3.43,3.43,-0.04,-1.1662,39707430,134524507.3
2019-06-27,'000629,≈ ∏÷∑∞Ó—,3.43,3.46,3.41,3.43,3.43,0.0,0.0,35489525,121908676.86
2019-06-26,'000629,≈ ∏÷∑∞Ó—,3.43,3.46,3.4,3.42,3.43,0.0,0.0,31729642,108706948.86
2019-06-25,'000629,≈ ∏÷∑∞Ó—,3.43,3.51,3.41,3.51,3.52,-0.09,-2.5568,65494418,225567378.47
2019-06-24,'000629,≈ ∏÷∑∞Ó—,3.52,3.57,3.46,3.49,3.51,0.01,0.2849,64052361,225546784.61
2019-06-21,'000629,≈ ∏÷∑∞Ó—,3.51,3.56,3.49,3.51,3.53,-0.02,-0.5666,78660446,276831263.72
2019-06-20,'000629,≈ ∏÷∑∞Ó—,3.53,3.55,3.41,3.49,3.49,0.04,1.1461,118654316,413890399.2
2019-06-19,'000629,≈ ∏÷∑∞Ó—,3.49,3.57,3.46,3.55,3.52,-0.03,-0.8523,121628754,427439346.61
2019-06-18,'000629,≈ ∏÷∑∞Ó—,3.52,3.67,3.48,3.65,3.75,-0.23,-6.1333,219800046,788655766.4
2019-06-17,'000629,≈ ∏÷∑∞Ó—,3.75,3.84,3.45,3.5,3.49,0.26,7.4499,325714664,1205693224.71
2019-06-14,'000629,≈ ∏÷∑∞Ó—,3.49,3.57,3.41,3.52,3.39,0.1,2.9499,188183193,656575272.28
2019-06-13,'000629,≈ ∏÷∑∞Ó—,3.39,3.42,3.36,3.37,3.4,-0.01,-0.2941,68706038,233182172.05
2019-06-12,'000629,≈ ∏÷∑∞Ó—,3.4,3.49,3.32,3.32,3.36,0.04,1.1905,127386389,435005504.46
2019-06-11,'000629,≈ ∏÷∑∞Ó—,3.36,3.39,3.24,3.24,3.24,0.12,3.7037,95847386,319016103.44
2019-06-10,'000629,≈ ∏÷∑∞Ó—,3.24,3.26,3.21,3.22,3.22,0.02,0.6211,34590639,111854030.12
2019-06-06,'000629,≈ ∏÷∑∞Ó—,3.22,3.26,3.21,3.25,3.24,-0.02,-0.6173,32552231,105237834.79
2019-06-05,'000629,≈ ∏÷∑∞Ó—,3.24,3.31,3.24,3.29,3.26,-0.02,-0.6135,38590675,126282301.37
2019-06-04,'000629,≈ ∏÷∑∞Ó—,3.26,3.32,3.25,3.32,3.35,-0.09,-2.6866,47895531,157392772.05
2019-06-03,'000629,≈ ∏÷∑∞Ó—,3.35,3.36,3.24,3.32,3.32,0.03,0.9036,83957889,276993726.93
2019-05-31,'000629,≈ ∏÷∑∞Ó—,3.32,3.38,3.29,3.31,3.34,-0.02,-0.5988,78882324,262684938.42
2019-05-30,'000629,≈ ∏÷∑∞Ó—,3.34,3.37,3.24,3.26,3.29,0.05,1.5198,92507326,306563298.3
2019-05-29,'000629,≈ ∏÷∑∞Ó—,3.29,3.34,3.21,3.22,3.24,0.05,1.5432,82089334,270424358.68
2019-05-28,'000629,≈ ∏÷∑∞Ó—,3.24,3.29,3.22,3.25,3.27,-0.03,-0.9174,40315063,131252328.82
2019-05-27,'000629,≈ ∏÷∑∞Ó—,3.27,3.27,3.17,3.19,3.19,0.08,2.5078,43080534,139103062.64
2019-05-24,'000629,≈ ∏÷∑∞Ó—,3.19,3.24,3.18,3.21,3.23,-0.04,-1.2384,43749600,140431676.34
2019-05-23,'000629,≈ ∏÷∑∞Ó—,3.23,3.3,3.23,3.29,3.32,-0.09,-2.7108,48606796,158162331.93
2019-05-22,'000629,≈ ∏÷∑∞Ó—,3.32,3.41,3.3,3.34,3.34,-0.02,-0.5988,72718188,242952082.41
2019-05-21,'000629,≈ ∏÷∑∞Ó—,3.34,3.37,3.23,3.25,3.25,0.09,2.7692,71609133,237330850.47
2019-05-20,'000629,≈ ∏÷∑∞Ó—,3.25,3.28,3.19,3.26,3.27,-0.02,-0.6116,42657146,137501013.94
2019-05-17,'000629,≈ ∏÷∑∞Ó—,3.27,3.4,3.25,3.39,3.4,-0.13,-3.8235,74656145,247793213.1
2019-05-16,'000629,≈ ∏÷∑∞Ó—,3.4,3.45,3.33,3.34,3.35,0.05,1.4925,91849299,312712982.97
2019-05-15,'000629,≈ ∏÷∑∞Ó—,3.35,3.37,3.31,3.34,3.33,0.02,0.6006,56735525,190030625.67
2019-05-14,'000629,≈ ∏÷∑∞Ó—,3.33,3.38,3.23,3.25,3.3,0.03,0.9091,55158566,182377382.54
2019-05-13,'000629,≈ ∏÷∑∞Ó—,3.3,3.33,3.28,3.31,3.36,-0.06,-1.7857,40126900,132704221.0
