日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000630,铜陵有色,2.49,2.51,2.47,2.48,2.46,0.03,1.2195,84184139,209428022.86
2019-06-28,'000630,铜陵有色,2.46,2.48,2.45,2.47,2.47,-0.01,-0.4049,47382687,116852359.97
2019-06-27,'000630,铜陵有色,2.47,2.49,2.46,2.47,2.46,0.01,0.4065,56912413,140773038.48
2019-06-26,'000630,铜陵有色,2.46,2.5,2.45,2.49,2.52,-0.06,-2.381,66987048,165663155.86
2019-06-25,'000630,铜陵有色,2.52,2.55,2.5,2.5,2.5,0.02,0.8,120354334,303274091.27
2019-06-24,'000630,铜陵有色,2.5,2.53,2.48,2.49,2.5,0.0,0.0,52388935,130997281.15
2019-06-21,'000630,铜陵有色,2.5,2.56,2.47,2.48,2.47,0.03,1.2146,98456143,247251573.56
2019-06-20,'000630,铜陵有色,2.47,2.49,2.43,2.44,2.44,0.03,1.2295,83135423,204678449.22
2019-06-19,'000630,铜陵有色,2.44,2.48,2.43,2.47,2.43,0.01,0.4115,47412786,116222130.26
2019-06-18,'000630,铜陵有色,2.43,2.44,2.41,2.42,2.41,0.02,0.8299,39372111,95446362.07
2019-06-17,'000630,铜陵有色,2.41,2.46,2.4,2.43,2.45,-0.04,-1.6327,56024309,135867141.82
2019-06-14,'000630,铜陵有色,2.45,2.51,2.42,2.44,2.43,0.02,0.823,85536507,210609488.36
2019-06-13,'000630,铜陵有色,2.43,2.44,2.41,2.43,2.44,-0.01,-0.4098,36757487,89107724.16
2019-06-12,'000630,铜陵有色,2.44,2.47,2.41,2.42,2.43,0.01,0.4115,74864476,182918658.57
2019-06-11,'000630,铜陵有色,2.43,2.43,2.35,2.35,2.35,0.08,3.4043,58394893,140492908.9
2019-06-10,'000630,铜陵有色,2.35,2.36,2.32,2.34,2.33,0.02,0.8584,42564312,99878513.92
2019-06-06,'000630,铜陵有色,2.33,2.37,2.32,2.36,2.36,-0.03,-1.2712,33467757,78474105.22
