日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000631,顺发恒业,3.04,3.05,3.02,3.02,3.0,0.04,1.3333,5151809,15634821.87
2019-06-28,'000631,顺发恒业,3.0,3.05,2.99,3.05,3.04,-0.04,-1.3158,5035738,15134837.62
2019-06-27,'000631,顺发恒业,3.04,3.06,3.03,3.03,3.04,0.0,0.0,2982522,9071148.46
2019-06-26,'000631,顺发恒业,3.04,3.06,3.03,3.05,3.06,-0.02,-0.6536,3387577,10316583.45
2019-06-25,'000631,顺发恒业,3.06,3.06,3.01,3.05,3.05,0.01,0.3279,3789633,11514409.7
2019-06-24,'000631,顺发恒业,3.05,3.08,3.04,3.07,3.07,-0.02,-0.6515,5251981,16060297.98
2019-06-21,'000631,顺发恒业,3.07,3.09,3.04,3.06,3.06,0.01,0.3268,8176040,25064417.18
2019-06-20,'000631,顺发恒业,3.06,3.07,3.0,3.03,3.03,0.03,0.9901,6551213,19927318.87
2019-06-19,'000631,顺发恒业,3.03,3.07,3.02,3.05,3.02,0.01,0.3311,5260872,15999744.72
2019-06-18,'000631,顺发恒业,3.02,3.04,3.0,3.02,3.0,0.02,0.6667,3607466,10885598.88
2019-06-17,'000631,顺发恒业,3.0,3.03,3.0,3.03,3.03,-0.03,-0.9901,2831594,8526233.58
2019-06-14,'000631,顺发恒业,3.03,3.07,3.03,3.05,3.06,-0.03,-0.9804,2771534,8443355.46
2019-06-13,'000631,顺发恒业,3.06,3.06,3.03,3.03,3.05,0.01,0.3279,2611368,7942805.76
2019-06-12,'000631,顺发恒业,3.05,3.09,3.04,3.08,3.07,-0.02,-0.6515,2405022,7357298.46
2019-06-11,'000631,顺发恒业,3.07,3.08,2.99,2.99,3.0,0.07,2.3333,5103827,15578834.39
2019-06-10,'000631,顺发恒业,3.0,3.02,2.99,3.0,3.0,0.0,0.0,2400500,7211155.0
2019-06-06,'000631,顺发恒业,3.0,3.03,2.97,3.02,3.03,-0.03,-0.9901,4517488,13501107.43
2019-06-05,'000631,顺发恒业,3.03,3.05,3.01,3.02,3.0,0.03,1.0,3510381,10632416.43
2019-06-04,'000631,顺发恒业,3.0,3.03,2.99,3.01,3.0,0.0,0.0,3584581,10772196.51
2019-06-03,'000631,顺发恒业,3.0,3.05,3.0,3.03,3.02,-0.02,-0.6623,3920460,11807038.97
2019-05-31,'000631,顺发恒业,3.02,3.07,3.02,3.02,3.03,-0.01,-0.33,2962012,8992891.68
2019-05-30,'000631,顺发恒业,3.03,3.06,3.02,3.04,3.05,-0.02,-0.6557,3317498,10062567.83
2019-05-29,'000631,顺发恒业,3.05,3.08,3.04,3.08,3.08,-0.03,-0.974,2990559,9144899.95
2019-05-28,'000631,顺发恒业,3.08,3.13,3.06,3.1,3.11,-0.03,-0.9646,3338334,10355590.74
2019-05-27,'000631,顺发恒业,3.11,3.11,3.04,3.06,3.06,0.05,1.634,3626564,11171290.74
2019-05-24,'000631,顺发恒业,3.06,3.08,3.03,3.06,3.06,0.0,0.0,2708800,8270769.04
2019-05-23,'000631,顺发恒业,3.06,3.1,3.04,3.06,3.09,-0.03,-0.9709,3911400,11986229.0
2019-05-22,'000631,顺发恒业,3.09,3.14,3.07,3.11,3.1,-0.01,-0.3226,3654274,11330326.15
2019-05-21,'000631,顺发恒业,3.1,3.14,3.09,3.09,3.09,0.01,0.3236,3810035,11874431.24
2019-05-20,'000631,顺发恒业,3.09,3.12,3.04,3.1,3.09,0.0,0.0,4082609,12544179.77
2019-05-17,'000631,顺发恒业,3.09,3.23,3.07,3.23,3.22,-0.13,-4.0373,6379680,20072308.2
2019-05-16,'000631,顺发恒业,3.22,3.24,3.18,3.24,3.23,-0.01,-0.3096,5019368,16075319.5
2019-05-15,'000631,顺发恒业,3.23,3.27,3.2,3.22,3.21,0.02,0.6231,7172754,23151129.14
2019-05-14,'000631,顺发恒业,3.21,3.33,3.21,3.32,3.32,-0.11,-3.3133,8104763,26387490.91
2019-05-13,'000631,顺发恒业,3.32,3.4,3.1,3.15,3.15,0.17,5.3968,18932403,62176151.52
2019-05-10,'000631,顺发恒业,3.15,3.17,3.04,3.11,3.07,0.08,2.6059,8735730,27156909.5
2019-05-09,'000631,顺发恒业,3.07,3.1,3.03,3.05,3.06,0.01,0.3268,7798354,23899859.45
